<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MHF.US,5,20250728,153000,6.69,6.69,6.69,6.69,948,0
MHF.US,5,20250728,154000,6.699,6.6994,6.6986,6.6986,1000,0
MHF.US,5,20250728,160000,6.685,6.72,6.685,6.695,6977,0
MHF.US,5,20250728,161000,6.69,6.69,6.69,6.69,300,0
MHF.US,5,20250728,162500,6.6928,6.6928,6.6928,6.6928,600,0
MHF.US,5,20250728,163500,6.71,6.71,6.71,6.71,400,0
MHF.US,5,20250728,164000,6.71,6.71,6.71,6.71,205,0
MHF.US,5,20250728,165000,6.7,6.7,6.7,6.7,500,0
MHF.US,5,20250728,170000,6.7,6.7,6.7,6.7,500,0
MHF.US,5,20250728,173000,6.7171,6.7171,6.7171,6.7171,898,0
MHF.US,5,20250728,175500,6.6944,6.6944,6.6944,6.6944,500,0
MHF.US,5,20250728,180000,6.71,6.73,6.71,6.71,1184,0
MHF.US,5,20250728,190000,6.73,6.73,6.73,6.73,200,0
MHF.US,5,20250728,191000,6.71,6.71,6.6904,6.6904,3000,0
MHF.US,5,20250728,203000,6.69,6.69,6.69,6.69,3000,0
MHF.US,5,20250728,210500,6.72,6.72,6.72,6.72,3915,0
MHF.US,5,20250728,212500,6.716,6.716,6.716,6.716,800,0
MHF.US,5,20250728,213500,6.7,6.7,6.7,6.7,200,0
MHF.US,5,20250728,215000,6.69,6.69,6.69,6.69,361,0
MHF.US,5,20250728,215500,6.71,6.71,6.71,6.71,2222,0
MHF.US,5,20250729,155000,6.7147,6.72,6.7,6.72,5300,0
MHF.US,5,20250729,162000,6.72,6.72,6.712,6.72,1870,0
MHF.US,5,20250729,170000,6.69,6.695,6.69,6.695,239,0
MHF.US,5,20250729,173000,6.69,6.69,6.688,6.688,500,0
MHF.US,5,20250729,173500,6.69,6.69,6.69,6.69,100,0
MHF.US,5,20250729,175500,6.69,6.72,6.69,6.7,5149,0
MHF.US,5,20250729,181000,6.71,6.7475,6.71,6.73,3007,0
MHF.US,5,20250729,185000,6.7229,6.7229,6.7101,6.7101,1500,0
MHF.US,5,20250729,190000,6.71,6.71,6.71,6.71,280,0
MHF.US,5,20250729,192500,6.726,6.726,6.726,6.726,400,0
MHF.US,5,20250729,193000,6.74,6.74,6.74,6.74,100,0
MHF.US,5,20250729,194000,6.74,6.74,6.74,6.74,100,0
MHF.US,5,20250729,194500,6.74,6.74,6.74,6.74,100,0
MHF.US,5,20250729,195500,6.74,6.74,6.74,6.74,100,0
MHF.US,5,20250729,200000,6.7249,6.74,6.72,6.74,3287,0
MHF.US,5,20250729,200500,6.72,6.72,6.72,6.72,200,0
MHF.US,5,20250729,201500,6.725,6.725,6.725,6.725,120,0
MHF.US,5,20250729,202000,6.74,6.74,6.72,6.74,1920,0
MHF.US,5,20250729,202500,6.73,6.75,6.72,6.75,5825,0
MHF.US,5,20250729,203000,6.74,6.76,6.74,6.76,5380,0
MHF.US,5,20250729,203500,6.76,6.76,6.75,6.75,2900,0
MHF.US,5,20250729,204000,6.75,6.77,6.75,6.77,4614,0
MHF.US,5,20250729,204500,6.77,6.77,6.76,6.77,4183,0
MHF.US,5,20250729,205000,6.76,6.7707,6.76,6.7707,3740,0
MHF.US,5,20250729,205500,6.77,6.8,6.7617,6.79,12100,0
MHF.US,5,20250729,210000,6.8,6.8,6.785,6.8,3417,0
MHF.US,5,20250729,210500,6.785,6.8,6.785,6.8,2925,0
MHF.US,5,20250729,211000,6.8,6.82,6.8,6.82,3610,0
MHF.US,5,20250729,211500,6.81,6.83,6.81,6.82,3630,0
