<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NE-WS-A.US,5,20250729,165000,8.08,8.1619,8.08,8.1619,1994,0
NE-WS-A.US,5,20250729,171500,8.06,8.0601,8.06,8.0601,2000,0
NE-WS-A.US,5,20250730,165000,7.505,7.505,7.505,7.505,300,0
NE-WS-A.US,5,20250801,155000,6.41,6.4101,6.41,6.4101,2000,0
NE-WS-A.US,5,20250801,160500,6.32,6.455,6.28,6.455,1000,0
NE-WS-A.US,5,20250801,162000,6.51,6.51,6.5,6.5,1300,0
NE-WS-A.US,5,20250801,162500,6.49,6.49,6.49,6.49,100,0
NE-WS-A.US,5,20250806,154000,8.0999,8.0999,8.0999,8.0999,100,0
NE-WS-A.US,5,20250806,205500,7.75,7.75,7.75,7.75,100,0
NE-WS-A.US,5,20250807,155000,7.86,7.86,7.86,7.86,400,0
NE-WS-A.US,5,20250807,185500,7.1801,7.1801,7.18,7.18,1100,0
NE-WS-A.US,5,20250807,204000,7.22,7.22,7.22,7.22,1000,0
NE-WS-A.US,5,20250811,185000,6.66,6.66,6.66,6.66,166,0
NE-WS-A.US,5,20250812,153500,6.95,6.95,6.95,6.95,315,0
NE-WS-A.US,5,20250814,212500,7.45,7.45,7.45,7.45,200,0
NE-WS-A.US,5,20250814,214000,7.45,7.45,7.45,7.45,200,0
NE-WS-A.US,5,20250822,154500,7.2,7.2,7.2,7.2,739,0
NE-WS-A.US,5,20250822,183500,8.08,8.08,7.92,7.92,1200,0
NE-WS-A.US,5,20250829,193000,8.24,8.2401,8.24,8.2401,284,0
NE-WS-A.US,5,20250902,154500,7.96,7.96,7.96,7.96,100,0
NE-WS-A.US,5,20250904,173500,8.28,8.28,8.28,8.28,100,0
NE-WS-A.US,5,20250908,163000,8.79,8.79,8.79,8.79,297,0
NE-WS-A.US,5,20250908,172000,9.67,9.67,9.67,9.67,100,0
NE-WS-A.US,5,20250910,212500,9.46,9.5768,9.46,9.5768,200,0
NE-WS-A.US,5,20250911,185000,9.49,9.49,9.49,9.49,100,0
NE-WS-A.US,5,20250911,190000,9.44,9.5675,9.44,9.5675,2000,0
NE-WS-A.US,5,20250911,204500,9.5,9.5001,9.5,9.5001,2200,0
NE-WS-A.US,5,20250911,205000,9.5,9.5675,9.5,9.5,2500,0
NE-WS-A.US,5,20250916,175000,10.39,10.4,10.39,10.39,300,0
NE-WS-A.US,5,20250916,175500,10.39,10.4,10.39,10.4,200,0
NE-WS-A.US,5,20250916,180000,10.4,10.4,10.4,10.4,300,0
NE-WS-A.US,5,20250916,194000,10.35,10.3502,10.35,10.3502,600,0
NE-WS-A.US,5,20250919,182500,8.8,8.8,8.8,8.8,100,0
NE-WS-A.US,5,20250919,184000,8.63,8.63,8.58,8.58,280,0
NE-WS-A.US,5,20250919,214500,8.55,8.55,8.55,8.55,100,0
NE-WS-A.US,5,20250923,202500,8.405,8.405,8.405,8.405,338,0
NE-WS-A.US,5,20250924,162500,8.76,8.76,8.76,8.76,300,0
NE-WS-A.US,5,20250925,195500,8.78,8.78,8.78,8.78,102,0
NE-WS-A.US,5,20250929,215000,8.38,8.59,8.38,8.59,309,0
NE-WS-A.US,5,20251007,181500,9.16,9.16,9.12,9.12,586,0
NE-WS-A.US,5,20251007,182000,9.2,9.2,9.2,9.2,100,0
NE-WS-A.US,5,20251007,194000,9.3,9.3,9.3,9.3,100,0
NE-WS-A.US,5,20251014,153000,7.45,7.45,7.45,7.45,100,0
NE-WS-A.US,5,20251014,155500,7.85,7.85,7.85,7.85,100,0
NE-WS-A.US,5,20251015,163000,7.9,7.9,7.9,7.9,100,0
NE-WS-A.US,5,20251017,174000,7.675,7.675,7.675,7.675,116,0
NE-WS-A.US,5,20251017,174500,7.57,7.57,7.57,7.57,100,0
NE-WS-A.US,5,20251020,194000,7.77,7.77,7.77,7.77,100,0
NE-WS-A.US,5,20251022,190000,8.39,8.39,8.39,8.39,100,0
