<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NFJ.US,5,20250728,153000,12.87,12.8882,12.8516,12.86,4781,0
NFJ.US,5,20250728,153500,12.86,12.86,12.8517,12.8517,900,0
NFJ.US,5,20250728,154000,12.86,12.8882,12.86,12.875,16882,0
NFJ.US,5,20250728,155000,12.88,12.88,12.855,12.86,9060,0
NFJ.US,5,20250728,155500,12.87,12.87,12.8401,12.8401,4907,0
NFJ.US,5,20250728,160000,12.86,12.86,12.85,12.85,300,0
NFJ.US,5,20250728,160500,12.8401,12.8401,12.8401,12.8401,1080,0
NFJ.US,5,20250728,161000,12.862,12.862,12.8401,12.8401,1591,0
NFJ.US,5,20250728,161500,12.86,12.8608,12.86,12.8608,2699,0
NFJ.US,5,20250728,162500,12.855,12.8608,12.85,12.8608,5516,0
NFJ.US,5,20250728,163500,12.86,12.88,12.84,12.852,3432,0
NFJ.US,5,20250728,164000,12.86,12.86,12.86,12.86,700,0
NFJ.US,5,20250728,165500,12.86,12.86,12.855,12.86,5200,0
NFJ.US,5,20250728,170000,12.848,12.86,12.848,12.86,600,0
NFJ.US,5,20250728,170500,12.87,12.87,12.865,12.87,6300,0
NFJ.US,5,20250728,171000,12.86,12.8673,12.86,12.86,1300,0
NFJ.US,5,20250728,171500,12.86,12.8781,12.86,12.8602,2578,0
NFJ.US,5,20250728,172000,12.87,12.87,12.86,12.86,1914,0
NFJ.US,5,20250728,172500,12.87,12.87,12.87,12.87,3605,0
NFJ.US,5,20250728,173500,12.8401,12.8632,12.8401,12.8632,2689,0
NFJ.US,5,20250728,175000,12.86,12.866,12.86,12.866,1595,0
NFJ.US,5,20250728,175500,12.86,12.86,12.86,12.86,2670,0
NFJ.US,5,20250728,180000,12.87,12.87,12.87,12.87,100,0
NFJ.US,5,20250728,180500,12.86,12.86,12.85,12.85,7430,0
NFJ.US,5,20250728,181500,12.86,12.86,12.86,12.86,1554,0
NFJ.US,5,20250728,182500,12.86,12.86,12.85,12.8503,926,0
NFJ.US,5,20250728,183500,12.85,12.85,12.85,12.85,1300,0
NFJ.US,5,20250728,184000,12.86,12.86,12.86,12.86,410,0
NFJ.US,5,20250728,184500,12.864812,12.864812,12.86,12.86,3800,0
NFJ.US,5,20250728,185500,12.855,12.8699,12.855,12.855,2195,0
NFJ.US,5,20250728,191000,12.86,12.86,12.86,12.86,530,0
NFJ.US,5,20250728,191500,12.86,12.86,12.85,12.85,7141,0
NFJ.US,5,20250728,193500,12.8598,12.8598,12.8598,12.8598,250,0
NFJ.US,5,20250728,194000,12.85,12.855,12.84,12.84,8092,0
NFJ.US,5,20250728,194500,12.84,12.84,12.825,12.825,3978,0
NFJ.US,5,20250728,195000,12.825,12.825,12.825,12.825,100,0
NFJ.US,5,20250728,195500,12.8081,12.8081,12.8081,12.8081,158,0
NFJ.US,5,20250728,200000,12.81,12.825,12.8,12.825,7020,0
NFJ.US,5,20250728,201000,12.82,12.82,12.82,12.82,100,0
NFJ.US,5,20250728,201500,12.8396,12.8399,12.815,12.815,5100,0
NFJ.US,5,20250728,202000,12.8216,12.8247,12.8216,12.8247,428,0
