<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NKX.US,5,20250728,153000,11.525,11.55,11.525,11.55,1000,0
NKX.US,5,20250728,153500,11.54,11.54,11.525,11.525,400,0
NKX.US,5,20250728,154500,11.53,11.55,11.53,11.54,708,0
NKX.US,5,20250728,155000,11.53,11.53,11.53,11.53,200,0
NKX.US,5,20250728,155500,11.53,11.535,11.52,11.52,300,0
NKX.US,5,20250728,160000,11.52,11.52,11.52,11.52,200,0
NKX.US,5,20250728,160500,11.52,11.52,11.52,11.52,200,0
NKX.US,5,20250728,161000,11.525,11.525,11.525,11.525,200,0
NKX.US,5,20250728,161500,11.525,11.53,11.525,11.53,1100,0
NKX.US,5,20250728,162000,11.53,11.53,11.53,11.53,300,0
NKX.US,5,20250728,162500,11.53,11.53,11.53,11.53,100,0
NKX.US,5,20250728,163000,11.52,11.53,11.51,11.5135,17705,0
NKX.US,5,20250728,163500,11.5163,11.53,11.5,11.53,17077,0
NKX.US,5,20250728,164000,11.53,11.53,11.53,11.53,100,0
NKX.US,5,20250728,170000,11.53,11.53,11.53,11.53,100,0
NKX.US,5,20250728,171000,11.5499,11.5499,11.5499,11.5499,830,0
NKX.US,5,20250728,172500,11.53,11.53,11.53,11.53,100,0
NKX.US,5,20250728,174000,11.53,11.53,11.53,11.53,550,0
NKX.US,5,20250728,175500,11.53,11.53,11.5104,11.5104,1600,0
NKX.US,5,20250728,180000,11.53,11.53,11.53,11.53,100,0
NKX.US,5,20250728,181000,11.5117,11.54,11.5117,11.5332,5950,0
NKX.US,5,20250728,181500,11.53,11.53,11.53,11.53,400,0
NKX.US,5,20250728,182000,11.53,11.53,11.53,11.53,800,0
NKX.US,5,20250728,182500,11.52,11.53,11.52,11.52,1360,0
NKX.US,5,20250728,183000,11.52,11.5291,11.52,11.52,1910,0
NKX.US,5,20250728,183500,11.52,11.52,11.52,11.52,700,0
NKX.US,5,20250728,184000,11.52,11.5275,11.52,11.52,1290,0
NKX.US,5,20250728,184500,11.525,11.525,11.52,11.52,1095,0
NKX.US,5,20250728,185000,11.52,11.525,11.52,11.52,1282,0
NKX.US,5,20250728,185500,11.52,11.525,11.52,11.52,1600,0
