<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NPFD.US,5,20250728,153000,19.14,19.14,19.14,19.14,100,0
NPFD.US,5,20250728,153500,19.125,19.15,19.125,19.15,4924,0
NPFD.US,5,20250728,160500,19.2023,19.2023,19.2023,19.2023,781,0
NPFD.US,5,20250728,161500,19.2037,19.2037,19.18,19.18,1302,0
NPFD.US,5,20250728,163000,19.19,19.19,19.19,19.19,100,0
NPFD.US,5,20250728,163500,19.2,19.2,19.2,19.2,200,0
NPFD.US,5,20250728,164000,19.2,19.2,19.2,19.2,200,0
NPFD.US,5,20250728,164500,19.2,19.2,19.185,19.2,300,0
NPFD.US,5,20250728,165000,19.2,19.2,19.2,19.2,100,0
NPFD.US,5,20250728,165500,19.2,19.2,19.17,19.17,2273,0
NPFD.US,5,20250728,170500,19.2,19.2,19.2,19.2,100,0
NPFD.US,5,20250728,171000,19.2,19.2,19.16,19.16,1448,0
NPFD.US,5,20250728,171500,19.15,19.17,19.15,19.16,1773,0
NPFD.US,5,20250728,172000,19.17,19.17,19.17,19.17,100,0
NPFD.US,5,20250728,172500,19.17,19.17,19.165,19.165,4194,0
NPFD.US,5,20250728,173000,19.18,19.18,19.18,19.18,100,0
NPFD.US,5,20250728,174000,19.2,19.2,19.2,19.2,100,0
NPFD.US,5,20250728,175000,19.185,19.185,19.185,19.185,115,0
NPFD.US,5,20250728,175500,19.21,19.21,19.21,19.21,100,0
NPFD.US,5,20250728,180000,19.21,19.21,19.21,19.21,200,0
NPFD.US,5,20250728,180500,19.2,19.21,19.2,19.21,300,0
NPFD.US,5,20250728,181000,19.21,19.21,19.2046,19.2046,700,0
NPFD.US,5,20250728,181500,19.21,19.21,19.17,19.21,1237,0
NPFD.US,5,20250728,182000,19.21,19.21,19.21,19.21,100,0
NPFD.US,5,20250728,182500,19.21,19.21,19.2,19.2,200,0
NPFD.US,5,20250728,183000,19.21,19.21,19.21,19.21,100,0
NPFD.US,5,20250728,183500,19.2,19.2,19.2,19.2,100,0
NPFD.US,5,20250728,184000,19.2,19.2,19.2,19.2,100,0
NPFD.US,5,20250728,185000,19.205,19.205,19.205,19.205,100,0
NPFD.US,5,20250728,185500,19.205,19.205,19.1506,19.1506,1100,0
NPFD.US,5,20250728,190000,19.1569,19.2,19.1569,19.2,683,0
NPFD.US,5,20250728,190500,19.2,19.2,19.18,19.18,350,0
NPFD.US,5,20250728,191000,19.2,19.2,19.2,19.2,100,0
NPFD.US,5,20250728,191500,19.21,19.21,19.1506,19.1506,5126,0
NPFD.US,5,20250728,192500,19.2,19.21,19.2,19.205,2087,0
NPFD.US,5,20250728,193000,19.205,19.205,19.205,19.205,100,0
NPFD.US,5,20250728,193500,19.2,19.2,19.2,19.2,100,0
NPFD.US,5,20250728,194000,19.2,19.2,19.2,19.2,100,0
NPFD.US,5,20250728,194500,19.205,19.205,19.205,19.205,100,0
NPFD.US,5,20250728,195000,19.2,19.2,19.2,19.2,100,0
NPFD.US,5,20250728,195500,19.2,19.2,19.2,19.2,100,0
NPFD.US,5,20250728,200000,19.21,19.21,19.21,19.21,100,0
NPFD.US,5,20250728,200500,19.2,19.2,19.2,19.2,100,0
NPFD.US,5,20250728,201000,19.21,19.21,19.21,19.21,100,0
NPFD.US,5,20250728,201500,19.21,19.21,19.21,19.21,100,0
NPFD.US,5,20250728,202000,19.187626,19.205,19.1812,19.205,738,0
NPFD.US,5,20250728,202500,19.21,19.21,19.21,19.21,100,0
NPFD.US,5,20250728,203000,19.2,19.2,19.2,19.2,100,0
NPFD.US,5,20250728,203500,19.21,19.21,19.21,19.21,100,0
NPFD.US,5,20250728,204000,19.21,19.21,19.21,19.21,100,0
NPFD.US,5,20250728,204500,19.21,19.21,19.21,19.21,100,0
NPFD.US,5,20250728,205000,19.2,19.2,19.2,19.2,100,0
NPFD.US,5,20250728,205500,19.21,19.21,19.21,19.21,100,0
NPFD.US,5,20250728,212000,19.18,19.18,19.18,19.18,500,0
NPFD.US,5,20250728,212500,19.18,19.2,19.15,19.2,1810,0
NPFD.US,5,20250728,213000,19.2,19.2,19.2,19.2,100,0
NPFD.US,5,20250728,213500,19.182,19.2,19.17,19.18,3014,0
NPFD.US,5,20250728,214000,19.175,19.175,19.175,19.175,1050,0
NPFD.US,5,20250728,214500,19.19,19.2,19.175,19.19,425,0
NPFD.US,5,20250728,215000,19.191,19.191,19.14,19.14,8801,0
NPFD.US,5,20250728,215500,19.15,19.18,19.14,19.18,2333,0
NPFD.US,5,20250729,153000,19.17,19.17,19.17,19.17,785,0
NPFD.US,5,20250729,153500,19.21,19.21,19.1001,19.1001,800,0
NPFD.US,5,20250729,154500,19.201,19.201,19.185,19.185,1332,0
NPFD.US,5,20250729,155000,19.21,19.21,19.18,19.18,450,0
NPFD.US,5,20250729,160000,19.22,19.22,19.22,19.22,100,0
NPFD.US,5,20250729,163000,19.1635,19.22,19.1635,19.22,5177,0
NPFD.US,5,20250729,164000,19.21,19.21,19.21,19.21,100,0
NPFD.US,5,20250729,164500,19.22,19.22,19.22,19.22,1200,0
NPFD.US,5,20250729,170500,19.165,19.165,19.165,19.165,100,0
NPFD.US,5,20250729,172500,19.21,19.22,19.21,19.21,1486,0
NPFD.US,5,20250729,173000,19.245,19.245,19.245,19.245,3000,0
NPFD.US,5,20250729,173500,19.2636,19.2636,19.2636,19.2636,1545,0
NPFD.US,5,20250729,174000,19.245,19.245,19.245,19.245,750,0
NPFD.US,5,20250729,175500,19.245,19.245,19.245,19.245,200,0
NPFD.US,5,20250729,182000,19.25,19.25,19.25,19.25,260,0
NPFD.US,5,20250729,184500,19.18,19.3,19.18,19.2399,2234,0
NPFD.US,5,20250729,200000,19.2035,19.2035,19.2035,19.2035,350,0
NPFD.US,5,20250729,202000,19.24,19.24,19.23,19.23,393,0
NPFD.US,5,20250729,203000,19.205,19.205,19.205,19.205,3000,0
NPFD.US,5,20250729,203500,19.205,19.205,19.205,19.205,159,0
NPFD.US,5,20250729,204000,19.205,19.205,19.205,19.205,1340,0
NPFD.US,5,20250729,205000,19.2011,19.2011,19.2011,19.2011,400,0
NPFD.US,5,20250729,205500,19.23,19.23,19.23,19.23,100,0
NPFD.US,5,20250729,210000,19.1766,19.1766,19.1766,19.1766,350,0
NPFD.US,5,20250729,213000,19.17,19.23,19.17,19.23,211,0
NPFD.US,5,20250729,213500,19.24,19.24,19.24,19.24,1300,0
NPFD.US,5,20250729,214500,19.24,19.24,19.23,19.23,207,0
NPFD.US,5,20250729,215500,19.2,19.25,19.2,19.24,814,0
NPFD.US,5,20250730,153500,19.24,19.3026,19.24,19.3026,311,0
NPFD.US,5,20250730,154000,19.24,19.24,19.24,19.24,1000,0
NPFD.US,5,20250730,154500,19.24,19.24,19.24,19.24,330,0
NPFD.US,5,20250730,155000,19.24,19.24,19.24,19.24,800,0
NPFD.US,5,20250730,155500,19.23,19.24,19.23,19.24,632,0
NPFD.US,5,20250730,160000,19.2,19.2,19.2,19.2,1039,0
NPFD.US,5,20250730,160500,19.24,19.26,19.2001,19.2001,1114,0
NPFD.US,5,20250730,161500,19.2001,19.2001,19.2001,19.2001,1450,0
NPFD.US,5,20250730,162500,19.26,19.2946,19.26,19.2946,200,0
NPFD.US,5,20250730,163500,19.26,19.26,19.24,19.24,600,0
NPFD.US,5,20250730,165000,19.24,19.26,19.24,19.26,700,0
NPFD.US,5,20250730,170500,19.24,19.25,19.24,19.25,2500,0
NPFD.US,5,20250730,171500,19.24,19.24,19.24,19.24,1735,0
NPFD.US,5,20250730,172500,19.21,19.21,19.21,19.21,100,0
NPFD.US,5,20250730,174500,19.2416,19.2416,19.2416,19.2416,496,0
NPFD.US,5,20250730,180500,19.225,19.225,19.2233,19.2233,1000,0
NPFD.US,5,20250730,181000,19.2001,19.2001,19.2001,19.2001,265,0
NPFD.US,5,20250730,182000,19.2499,19.2499,19.2499,19.2499,1200,0
NPFD.US,5,20250730,185500,19.2421,19.2421,19.2421,19.2421,107,0
NPFD.US,5,20250730,190000,19.2033,19.2033,19.2033,19.2033,1850,0
NPFD.US,5,20250730,191500,19.21,19.21,19.15,19.15,5096,0
NPFD.US,5,20250730,192000,19.19,19.19,19.19,19.19,200,0
NPFD.US,5,20250730,193000,19.2,19.24,19.2,19.24,433,0
NPFD.US,5,20250730,200000,19.2072,19.2072,19.2072,19.2072,200,0
NPFD.US,5,20250730,203000,19.2,19.2,19.2,19.2,412,0
NPFD.US,5,20250730,203500,19.16,19.2,19.16,19.1734,1506,0
NPFD.US,5,20250730,204000,19.19,19.22,19.1601,19.22,4484,0
NPFD.US,5,20250730,210000,19.16,19.18,19.16,19.18,1447,0
NPFD.US,5,20250730,211000,19.1875,19.1875,19.1875,19.1875,2000,0
NPFD.US,5,20250730,212000,19.21,19.21,19.21,19.21,200,0
NPFD.US,5,20250730,212500,19.21,19.21,19.21,19.21,300,0
NPFD.US,5,20250730,213000,19.21,19.21,19.21,19.21,400,0
NPFD.US,5,20250730,213500,19.23,19.23,19.23,19.23,100,0
NPFD.US,5,20250730,214000,19.23,19.23,19.21,19.21,561,0
NPFD.US,5,20250730,214500,19.21,19.2121,19.18,19.21,1131,0
NPFD.US,5,20250730,215000,19.2292,19.2292,19.185,19.185,1968,0
NPFD.US,5,20250730,215500,19.185,19.24,19.185,19.24,3879,0
NPFD.US,5,20250731,153000,19.3,19.3,19.3,19.3,200,0
NPFD.US,5,20250731,153500,19.2,19.2,19.2,19.2,100,0
NPFD.US,5,20250731,154000,19.3199,19.3199,19.3199,19.3199,100,0
NPFD.US,5,20250731,160000,19.31,19.31,19.31,19.31,200,0
NPFD.US,5,20250731,163000,19.32,19.32,19.32,19.32,200,0
NPFD.US,5,20250731,164000,19.32,19.32,19.32,19.32,256,0
NPFD.US,5,20250731,165000,19.32,19.32,19.2744,19.2744,2607,0
NPFD.US,5,20250731,170000,19.41,19.41,19.39,19.39,300,0
NPFD.US,5,20250731,170500,19.4,19.4,19.4,19.4,100,0
NPFD.US,5,20250731,172500,19.38,19.38,19.38,19.38,100,0
NPFD.US,5,20250731,173000,19.2905,19.2905,19.2905,19.2905,199,0
NPFD.US,5,20250731,174000,19.3719,19.3719,19.33,19.33,772,0
NPFD.US,5,20250731,175000,19.3799,19.3799,19.3799,19.3799,1300,0
NPFD.US,5,20250731,175500,19.38,19.38,19.38,19.38,1802,0
NPFD.US,5,20250731,180500,19.38,19.38,19.38,19.38,100,0
NPFD.US,5,20250731,181500,19.38,19.38,19.38,19.38,200,0
NPFD.US,5,20250731,184000,19.38,19.38,19.33,19.38,2700,0
NPFD.US,5,20250731,184500,19.3604,19.3699,19.325,19.3699,558,0
NPFD.US,5,20250731,185500,19.325,19.37,19.325,19.3699,2901,0
NPFD.US,5,20250731,190500,19.2801,19.2801,19.2801,19.2801,100,0
NPFD.US,5,20250731,191000,19.37,19.37,19.37,19.37,265,0
NPFD.US,5,20250731,192000,19.3219,19.3219,19.3219,19.3219,516,0
NPFD.US,5,20250731,193000,19.36,19.38,19.36,19.36,2313,0
NPFD.US,5,20250731,193500,19.38,19.39,19.38,19.39,574,0
NPFD.US,5,20250731,200000,19.38,19.4236,19.38,19.4236,3207,0
NPFD.US,5,20250731,200500,19.42,19.42,19.42,19.42,975,0
NPFD.US,5,20250731,203500,19.38,19.38,19.37,19.37,500,0
NPFD.US,5,20250731,204500,19.375,19.375,19.375,19.375,272,0
NPFD.US,5,20250731,210500,19.415,19.415,19.415,19.415,100,0
NPFD.US,5,20250731,211500,19.41,19.41,19.395,19.395,450,0
NPFD.US,5,20250731,212000,19.42,19.42,19.42,19.42,100,0
NPFD.US,5,20250731,212500,19.42,19.43,19.42,19.43,200,0
NPFD.US,5,20250731,213000,19.42,19.42,19.42,19.42,100,0
NPFD.US,5,20250731,213500,19.37,19.42,19.37,19.42,500,0
NPFD.US,5,20250731,214000,19.43,19.43,19.43,19.43,200,0
NPFD.US,5,20250731,214500,19.42,19.43,19.42,19.43,300,0
NPFD.US,5,20250731,215000,19.4436,19.4436,19.44,19.44,358,0
NPFD.US,5,20250731,215500,19.445,19.45,19.435,19.45,3199,0
NPFD.US,5,20250801,153000,19.48,19.4899,19.405,19.405,1368,0
NPFD.US,5,20250801,153500,19.39,19.39,19.39,19.39,120,0
NPFD.US,5,20250801,154000,19.378,19.378,19.378,19.378,150,0
NPFD.US,5,20250801,154500,19.375,19.44,19.375,19.44,858,0
NPFD.US,5,20250801,155000,19.44,19.44,19.3585,19.385,2128,0
NPFD.US,5,20250801,155500,19.375,19.375,19.375,19.375,832,0
NPFD.US,5,20250801,160000,19.4485,19.4485,19.4485,19.4485,1559,0
NPFD.US,5,20250801,161000,19.395,19.395,19.395,19.395,2860,0
NPFD.US,5,20250801,161500,19.41,19.41,19.41,19.41,115,0
NPFD.US,5,20250801,162500,19.41,19.41,19.41,19.41,460,0
NPFD.US,5,20250801,164000,19.345,19.345,19.345,19.345,200,0
NPFD.US,5,20250801,170500,19.345,19.345,19.345,19.345,100,0
NPFD.US,5,20250801,171500,19.3481,19.35,19.325,19.35,1856,0
NPFD.US,5,20250801,173000,19.35,19.35,19.35,19.35,275,0
NPFD.US,5,20250801,174000,19.35,19.35,19.35,19.35,167,0
NPFD.US,5,20250801,175500,19.3108,19.3108,19.3108,19.3108,1985,0
NPFD.US,5,20250801,180000,19.35,19.35,19.32,19.32,475,0
NPFD.US,5,20250801,181000,19.3101,19.3101,19.3101,19.3101,260,0
NPFD.US,5,20250801,182000,19.3101,19.3101,19.3101,19.3101,200,0
NPFD.US,5,20250801,183500,19.3269,19.3269,19.3269,19.3269,500,0
NPFD.US,5,20250801,184500,19.33,19.33,19.3207,19.3207,666,0
NPFD.US,5,20250801,192500,19.36,19.36,19.36,19.36,400,0
NPFD.US,5,20250801,194000,19.3883,19.3883,19.3883,19.3883,300,0
NPFD.US,5,20250801,194500,19.38,19.38,19.38,19.38,183,0
NPFD.US,5,20250801,195000,19.39,19.39,19.39,19.39,490,0
NPFD.US,5,20250801,195500,19.425,19.425,19.425,19.425,100,0
NPFD.US,5,20250801,201000,19.425,19.425,19.425,19.425,100,0
NPFD.US,5,20250801,201500,19.425,19.425,19.425,19.425,542,0
NPFD.US,5,20250801,202000,19.4,19.4,19.34,19.34,715,0
NPFD.US,5,20250801,205000,19.34,19.34,19.34,19.34,300,0
NPFD.US,5,20250801,210500,19.34,19.34,19.34,19.34,300,0
NPFD.US,5,20250801,212000,19.4015,19.4015,19.34,19.34,384,0
NPFD.US,5,20250801,213000,19.35,19.35,19.35,19.35,400,0
NPFD.US,5,20250801,214500,19.36,19.36,19.36,19.36,928,0
NPFD.US,5,20250801,215000,19.34,19.35,19.34,19.35,200,0
NPFD.US,5,20250801,215500,19.36,19.395,19.36,19.395,294,0
NPFD.US,5,20250804,153500,19.4295,19.4295,19.4116,19.4116,201,0
NPFD.US,5,20250804,154000,19.375,19.375,19.375,19.375,100,0
NPFD.US,5,20250804,154500,19.375,19.375,19.375,19.375,100,0
NPFD.US,5,20250804,160000,19.4316,19.4316,19.4316,19.4316,222,0
NPFD.US,5,20250804,160500,19.395,19.395,19.395,19.395,500,0
NPFD.US,5,20250804,161500,19.4,19.4,19.4,19.4,200,0
NPFD.US,5,20250804,163500,19.39,19.39,19.39,19.39,100,0
NPFD.US,5,20250804,164000,19.4,19.4,19.4,19.4,300,0
NPFD.US,5,20250804,170000,19.415,19.4174,19.415,19.4174,500,0
NPFD.US,5,20250804,170500,19.415,19.415,19.415,19.415,321,0
NPFD.US,5,20250804,173000,19.394,19.394,19.394,19.394,2598,0
NPFD.US,5,20250804,174500,19.43,19.43,19.43,19.43,150,0
NPFD.US,5,20250804,175000,19.4499,19.45,19.4499,19.45,650,0
NPFD.US,5,20250804,175500,19.45,19.45,19.45,19.45,400,0
NPFD.US,5,20250804,180000,19.45,19.45,19.446,19.446,1200,0
NPFD.US,5,20250804,180500,19.41,19.43,19.41,19.43,465,0
NPFD.US,5,20250804,181000,19.4292,19.4292,19.4292,19.4292,131,0
NPFD.US,5,20250804,182000,19.45,19.45,19.45,19.45,400,0
NPFD.US,5,20250804,182500,19.45,19.45,19.45,19.45,1062,0
NPFD.US,5,20250804,183500,19.44,19.44,19.44,19.44,100,0
NPFD.US,5,20250804,184000,19.47,19.47,19.47,19.47,1000,0
NPFD.US,5,20250804,185500,19.44,19.44,19.44,19.44,100,0
NPFD.US,5,20250804,190500,19.4492,19.4492,19.4492,19.4492,2402,0
NPFD.US,5,20250804,192000,19.43,19.45,19.43,19.45,2511,0
NPFD.US,5,20250804,193000,19.4444,19.4492,19.43,19.4492,4412,0
NPFD.US,5,20250804,202500,19.45,19.45,19.45,19.45,2548,0
NPFD.US,5,20250804,204500,19.4421,19.4421,19.4421,19.4421,188,0
NPFD.US,5,20250804,205000,19.443,19.443,19.443,19.443,837,0
NPFD.US,5,20250804,205500,19.4388,19.4388,19.4388,19.4388,282,0
NPFD.US,5,20250804,211500,19.44,19.44,19.4106,19.4106,840,0
NPFD.US,5,20250804,214500,19.41,19.41,19.41,19.41,200,0
NPFD.US,5,20250804,215500,19.45,19.45,19.42,19.42,228,0
NPFD.US,5,20250805,153000,19.49,19.49,19.49,19.49,100,0
NPFD.US,5,20250805,154000,19.475,19.49,19.475,19.49,886,0
NPFD.US,5,20250805,154500,19.475,19.475,19.4601,19.4648,1000,0
NPFD.US,5,20250805,155000,19.4648,19.465,19.46,19.46,1209,0
NPFD.US,5,20250805,155500,19.455,19.48,19.45,19.45,767,0
NPFD.US,5,20250805,160000,19.45,19.48,19.45,19.45,2602,0
NPFD.US,5,20250805,161500,19.426,19.45,19.415,19.415,458,0
NPFD.US,5,20250805,162500,19.4085,19.4085,19.4,19.4,200,0
NPFD.US,5,20250805,164500,19.45,19.45,19.4322,19.4322,1444,0
NPFD.US,5,20250805,165000,19.435,19.435,19.435,19.435,750,0
NPFD.US,5,20250805,165500,19.466889,19.483687,19.42,19.42,447,0
NPFD.US,5,20250805,170000,19.455,19.455,19.44,19.44,400,0
NPFD.US,5,20250805,170500,19.44,19.45,19.44,19.45,843,0
NPFD.US,5,20250805,171000,19.4599,19.4599,19.43,19.43,833,0
NPFD.US,5,20250805,171500,19.41,19.41,19.41,19.41,100,0
NPFD.US,5,20250805,174000,19.4,19.4,19.4,19.4,400,0
NPFD.US,5,20250805,174500,19.4499,19.4499,19.425,19.425,461,0
NPFD.US,5,20250805,180000,19.4461,19.4461,19.4461,19.4461,378,0
NPFD.US,5,20250805,180500,19.4164,19.4164,19.4164,19.4164,100,0
NPFD.US,5,20250805,181500,19.4348,19.4348,19.4348,19.4348,750,0
NPFD.US,5,20250805,183500,19.4499,19.45,19.4109,19.42,1405,0
NPFD.US,5,20250805,184000,19.4292,19.43,19.41,19.43,3039,0
