<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NSA_A.US,5,20250728,172000,22.2,22.2,22.19,22.19,200,0
NSA_A.US,5,20250728,175000,22.1928,22.1928,22.1928,22.1928,132,0
NSA_A.US,5,20250728,182000,22.153,22.21,22.153,22.2,500,0
NSA_A.US,5,20250728,193500,22.1699,22.1699,22.1699,22.1699,500,0
NSA_A.US,5,20250728,215000,22.17,22.17,22.17,22.17,100,0
NSA_A.US,5,20250728,215500,22.135,22.19,22.135,22.19,299,0
NSA_A.US,5,20250729,172500,22.25,22.25,22.25,22.25,500,0
NSA_A.US,5,20250729,192000,22.25,22.34,22.25,22.255,3783,0
NSA_A.US,5,20250729,192500,22.25,22.25,22.25,22.25,200,0
NSA_A.US,5,20250729,210500,22.23,22.23,22.23,22.23,100,0
NSA_A.US,5,20250730,174500,22.3764,22.3764,22.3764,22.3764,134,0
NSA_A.US,5,20250730,181500,22.37,22.37,22.37,22.37,100,0
NSA_A.US,5,20250730,194000,22.32,22.32,22.32,22.32,125,0
NSA_A.US,5,20250730,205500,22.1859,22.1859,22.1859,22.1859,600,0
NSA_A.US,5,20250731,174000,22.32,22.41,22.32,22.41,400,0
NSA_A.US,5,20250731,182000,22.3,22.35,22.3,22.35,203,0
NSA_A.US,5,20250731,185500,22.35,22.35,22.35,22.35,100,0
NSA_A.US,5,20250731,191500,22.39,22.39,22.39,22.39,100,0
NSA_A.US,5,20250731,192500,22.39,22.4,22.38,22.38,500,0
NSA_A.US,5,20250731,193500,22.4,22.4,22.4,22.4,100,0
NSA_A.US,5,20250731,194500,22.39,22.39,22.39,22.39,100,0
NSA_A.US,5,20250731,195500,22.39,22.39,22.39,22.39,100,0
NSA_A.US,5,20250731,200500,22.39,22.39,22.1101,22.1101,221,0
NSA_A.US,5,20250731,201500,22.39,22.39,22.39,22.39,100,0
NSA_A.US,5,20250731,202000,22.4,22.4,22.4,22.4,100,0
NSA_A.US,5,20250731,202500,22.38,22.38,22.38,22.38,100,0
NSA_A.US,5,20250731,203500,22.38,22.38,22.38,22.38,100,0
NSA_A.US,5,20250731,204000,22.38,22.38,22.38,22.38,100,0
NSA_A.US,5,20250731,204500,22.38,22.41,22.38,22.41,1729,0
NSA_A.US,5,20250731,205000,22.41,22.41,22.41,22.41,716,0
NSA_A.US,5,20250731,205500,22.41,22.41,22.41,22.41,100,0
NSA_A.US,5,20250731,210000,22.4,22.41,22.4,22.41,500,0
NSA_A.US,5,20250731,210500,22.4,22.4,22.4,22.4,500,0
NSA_A.US,5,20250731,211000,22.4,22.4,22.4,22.4,400,0
NSA_A.US,5,20250731,211500,22.4,22.4,22.4,22.4,200,0
NSA_A.US,5,20250731,212000,22.4,22.4,22.26,22.3,441,0
NSA_A.US,5,20250731,212500,22.4,22.4,22.4,22.4,100,0
NSA_A.US,5,20250731,213500,22.39,22.39,22.39,22.39,100,0
NSA_A.US,5,20250731,214500,22.4,22.4,22.4,22.4,250,0
NSA_A.US,5,20250731,215000,22.4,22.74,22.4,22.55,6612,0
NSA_A.US,5,20250731,215500,22.68,22.68,22.68,22.68,110,0
NSA_A.US,5,20250801,161000,22.16,22.17,22.16,22.16,5688,0
NSA_A.US,5,20250801,162000,22.36,22.36,22.33,22.33,991,0
NSA_A.US,5,20250801,171500,22.76,22.76,22.76,22.76,129,0
NSA_A.US,5,20250801,175500,22.1995,22.1995,22.1995,22.1995,189,0
NSA_A.US,5,20250801,181500,22.385,22.385,22.385,22.385,100,0
NSA_A.US,5,20250801,182500,22.38,22.38,22.38,22.38,200,0
NSA_A.US,5,20250801,190000,22.4345,22.4345,22.4345,22.4345,239,0
NSA_A.US,5,20250801,200000,22.425,22.425,22.425,22.425,100,0
NSA_A.US,5,20250801,205500,22.41,22.41,22.41,22.41,298,0
NSA_A.US,5,20250801,213000,22.41,22.41,22.41,22.41,100,0
NSA_A.US,5,20250804,160500,22.1794,22.1794,22.1794,22.1794,2000,0
NSA_A.US,5,20250804,162000,22.5,22.5,22.5,22.5,600,0
NSA_A.US,5,20250804,184000,22.44,22.44,22.44,22.44,200,0
NSA_A.US,5,20250804,214000,22.36,22.44,22.34,22.35,1400,0
NSA_A.US,5,20250804,214500,22.34,22.34,22.34,22.34,149,0
NSA_A.US,5,20250805,161500,22.22,22.24,22.22,22.24,1400,0
NSA_A.US,5,20250805,162000,22.175,22.24,22.175,22.24,1500,0
NSA_A.US,5,20250805,163000,22.25,22.25,22.25,22.25,100,0
NSA_A.US,5,20250805,164000,22.25,22.25,22.25,22.25,148,0
NSA_A.US,5,20250805,170500,22.2936,22.2936,22.25,22.25,1182,0
NSA_A.US,5,20250805,171000,22.5051,22.5051,22.5051,22.5051,109,0
NSA_A.US,5,20250805,193500,22.27,22.27,22.27,22.27,100,0
NSA_A.US,5,20250805,202000,22.27,22.27,22.27,22.27,744,0
NSA_A.US,5,20250805,210500,22.27,22.27,22.27,22.27,100,0
NSA_A.US,5,20250805,213500,22.28,22.28,22.28,22.28,100,0
NSA_A.US,5,20250805,215000,22.385,22.385,22.385,22.385,102,0
NSA_A.US,5,20250805,215500,22.27,22.27,22.27,22.27,200,0
NSA_A.US,5,20250806,155000,22.45,22.45,22.45,22.45,100,0
NSA_A.US,5,20250806,162500,22.2,22.2,22.2,22.2,483,0
NSA_A.US,5,20250806,180500,22.24,22.24,22.24,22.24,100,0
NSA_A.US,5,20250806,181000,22.465,22.465,22.465,22.465,100,0
NSA_A.US,5,20250806,192500,22.27,22.27,22.27,22.27,100,0
NSA_A.US,5,20250806,193000,22.27,22.28,22.27,22.28,200,0
NSA_A.US,5,20250806,215000,22.445,22.445,22.445,22.445,268,0
NSA_A.US,5,20250807,160500,22.33,22.33,22.33,22.33,100,0
NSA_A.US,5,20250807,181000,22.4908,22.4908,22.4347,22.4347,747,0
NSA_A.US,5,20250807,192500,22.4,22.4,22.4,22.4,500,0
NSA_A.US,5,20250807,205000,22.21,22.21,22.21,22.21,134,0
NSA_A.US,5,20250807,211000,22.24,22.25,22.23,22.2401,1360,0
NSA_A.US,5,20250807,214000,22.24,22.24,22.24,22.24,100,0
NSA_A.US,5,20250807,215500,22.29,22.29,22.2,22.2,407,0
NSA_A.US,5,20250808,155000,22.3134,22.3134,22.3134,22.3134,502,0
NSA_A.US,5,20250808,171000,22.3,22.6328,22.25,22.6328,420,0
NSA_A.US,5,20250808,175500,22.32,22.32,22.32,22.32,100,0
NSA_A.US,5,20250808,185500,22.24,22.24,22.21,22.21,200,0
NSA_A.US,5,20250808,201000,22.25,22.25,22.25,22.25,100,0
NSA_A.US,5,20250808,201500,22.18,22.18,22.18,22.18,239,0
NSA_A.US,5,20250808,202500,22.18,22.18,22.18,22.18,293,0
NSA_A.US,5,20250808,205500,22.18,22.18,22.18,22.18,349,0
NSA_A.US,5,20250808,210000,22.18,22.18,22.18,22.18,248,0
NSA_A.US,5,20250808,210500,22.18,22.18,22.18,22.18,284,0
NSA_A.US,5,20250808,213500,22.18,22.18,22.18,22.18,200,0
NSA_A.US,5,20250808,214000,22.18,22.18,22.18,22.18,200,0
NSA_A.US,5,20250808,215500,22.14,22.14,22.14,22.14,336,0
NSA_A.US,5,20250811,155000,22.405,22.405,22.405,22.405,242,0
NSA_A.US,5,20250811,155500,22.405,22.405,22.405,22.405,323,0
NSA_A.US,5,20250811,181500,22.22,22.22,22.22,22.22,147,0
NSA_A.US,5,20250811,193000,22.22,22.22,22.22,22.22,100,0
NSA_A.US,5,20250811,204000,22.16,22.16,22.15,22.15,700,0
NSA_A.US,5,20250811,205000,22.15,22.15,22.15,22.15,200,0
NSA_A.US,5,20250811,211000,22.15,22.15,22.15,22.15,100,0
NSA_A.US,5,20250811,212000,22.15,22.15,22.12,22.12,200,0
NSA_A.US,5,20250811,213000,22.145,22.16,22.145,22.16,249,0
NSA_A.US,5,20250811,213500,22.12,22.12,22.12,22.12,100,0
NSA_A.US,5,20250811,214000,22.11,22.11,22.11,22.11,1000,0
NSA_A.US,5,20250811,214500,22.11,22.11,22.11,22.11,887,0
NSA_A.US,5,20250811,215500,22.1,22.1,22.1,22.1,100,0
NSA_A.US,5,20250812,165000,22.06,22.06,22.06,22.06,189,0
NSA_A.US,5,20250812,170500,21.96,21.96,21.95,21.95,500,0
NSA_A.US,5,20250812,172500,22,22,22,22,100,0
NSA_A.US,5,20250812,174000,22.03,22.03,22.03,22.03,1409,0
NSA_A.US,5,20250812,191500,22.05,22.09,22.04,22.04,2820,0
NSA_A.US,5,20250812,193000,22.0574,22.0574,22.0574,22.0574,127,0
NSA_A.US,5,20250812,193500,22.107,22.107,22.107,22.107,128,0
NSA_A.US,5,20250812,215500,22.0942,22.0942,22.05,22.05,586,0
NSA_A.US,5,20250813,163500,22.42,22.7,22.1401,22.1401,1185,0
NSA_A.US,5,20250813,180500,22.43,22.43,22.43,22.43,200,0
NSA_A.US,5,20250813,181500,22.5914,22.5914,22.25,22.44,3103,0
NSA_A.US,5,20250813,182000,22.39,22.65,22.39,22.65,1200,0
NSA_A.US,5,20250813,182500,22.6599,22.6599,22.6599,22.6599,142,0
NSA_A.US,5,20250813,185000,22.4,22.4,22.4,22.4,158,0
NSA_A.US,5,20250813,190000,22.445,22.445,22.445,22.445,114,0
NSA_A.US,5,20250813,190500,22.4,22.4,22.4,22.4,200,0
NSA_A.US,5,20250813,191000,22.4,22.4,22.39,22.39,717,0
NSA_A.US,5,20250813,201500,22.41,22.41,22.4,22.4,347,0
NSA_A.US,5,20250814,164500,22.2334,22.2334,22.2334,22.2334,139,0
NSA_A.US,5,20250814,181500,22.44,22.4671,22.44,22.4671,215,0
NSA_A.US,5,20250814,201500,22.34,22.34,22.34,22.34,100,0
NSA_A.US,5,20250814,205500,22.3863,22.3863,22.3863,22.3863,114,0
NSA_A.US,5,20250815,215500,22.3,22.3,22.3,22.3,896,0
NSA_A.US,5,20250818,165500,22.5918,22.5918,22.58,22.58,246,0
NSA_A.US,5,20250818,175000,22.36,22.36,22.36,22.36,100,0
NSA_A.US,5,20250818,201500,22.31,22.31,22.31,22.31,677,0
NSA_A.US,5,20250818,214500,22.495,22.495,22.495,22.495,100,0
NSA_A.US,5,20250819,165000,22.3601,22.3601,22.3601,22.3601,558,0
NSA_A.US,5,20250819,170500,22.48,22.48,22.48,22.48,100,0
NSA_A.US,5,20250819,184000,22.605,22.605,22.605,22.605,200,0
NSA_A.US,5,20250819,192000,22.55,22.55,22.55,22.55,300,0
NSA_A.US,5,20250819,193000,22.62,22.62,22.62,22.62,100,0
NSA_A.US,5,20250819,193500,22.67,22.67,22.65,22.65,549,0
NSA_A.US,5,20250819,204500,22.5468,22.5468,22.5468,22.5468,183,0
NSA_A.US,5,20250819,210000,22.69,22.69,22.69,22.69,100,0
NSA_A.US,5,20250819,213500,22.5168,22.5168,22.5168,22.5168,234,0
NSA_A.US,5,20250820,153000,22.405,22.405,22.405,22.405,236,0
NSA_A.US,5,20250820,160500,22.5599,22.5599,22.5599,22.5599,250,0
NSA_A.US,5,20250820,170500,22.5164,22.5164,22.5164,22.5164,155,0
NSA_A.US,5,20250820,173000,22.36,22.36,22.36,22.36,100,0
NSA_A.US,5,20250820,182000,22.34,22.34,22.14,22.14,255,0
NSA_A.US,5,20250820,185500,22.52,22.54,22.52,22.54,2809,0
NSA_A.US,5,20250820,202500,22.6779,22.6779,22.6779,22.6779,203,0
NSA_A.US,5,20250821,165500,22.4485,22.4485,22.4485,22.4485,100,0
NSA_A.US,5,20250821,170500,22.25,22.25,22.25,22.25,183,0
NSA_A.US,5,20250821,183000,22.64,22.64,22.64,22.64,100,0
NSA_A.US,5,20250821,190500,22.6767,22.6767,22.6767,22.6767,162,0
NSA_A.US,5,20250821,193500,22.67,22.7,22.67,22.7,413,0
NSA_A.US,5,20250821,215500,22.72,22.72,22.72,22.72,185,0
NSA_A.US,5,20250822,154500,22.7399,22.7399,22.7399,22.7399,106,0
NSA_A.US,5,20250822,160500,22.74,22.74,22.74,22.74,100,0
NSA_A.US,5,20250822,202000,22.68,22.68,22.68,22.68,102,0
NSA_A.US,5,20250822,203000,22.74,22.74,22.74,22.74,197,0
NSA_A.US,5,20250822,205500,22.6799,22.6799,22.6799,22.6799,210,0
NSA_A.US,5,20250822,212500,22.711,22.711,22.711,22.711,103,0
NSA_A.US,5,20250825,161000,22.74,22.74,22.74,22.74,100,0
NSA_A.US,5,20250825,170500,22.75,22.75,22.72,22.72,200,0
NSA_A.US,5,20250825,172500,22.4901,22.4901,22.4901,22.4901,100,0
NSA_A.US,5,20250825,173000,22.63,22.63,22.63,22.63,201,0
NSA_A.US,5,20250825,174500,22.6025,22.6025,22.6025,22.6025,100,0
NSA_A.US,5,20250825,185000,22.69,22.69,22.69,22.69,100,0
NSA_A.US,5,20250825,192500,22.74,22.74,22.74,22.74,100,0
NSA_A.US,5,20250825,201500,22.82,22.82,22.82,22.82,100,0
NSA_A.US,5,20250825,204500,22.78,22.78,22.78,22.78,100,0
NSA_A.US,5,20250825,205500,22.73,22.73,22.6101,22.6101,1500,0
NSA_A.US,5,20250825,214000,22.8479,22.8479,22.8479,22.8479,500,0
NSA_A.US,5,20250825,215000,22.72,22.72,22.72,22.72,447,0
NSA_A.US,5,20250826,153000,22.643,22.643,22.643,22.643,100,0
NSA_A.US,5,20250826,181500,22.43,22.64,22.43,22.64,300,0
NSA_A.US,5,20250826,182500,22.75,22.75,22.75,22.75,300,0
NSA_A.US,5,20250826,195000,22.85,22.85,22.85,22.85,193,0
NSA_A.US,5,20250826,195500,22.8368,22.8368,22.78,22.78,856,0
NSA_A.US,5,20250826,203000,22.735,22.735,22.735,22.735,240,0
NSA_A.US,5,20250826,214000,22.77,22.77,22.77,22.77,400,0
NSA_A.US,5,20250827,175000,22.32,22.56,22.32,22.56,400,0
NSA_A.US,5,20250827,190000,22.35,22.35,22.35,22.35,262,0
NSA_A.US,5,20250827,201500,22.705,22.705,22.705,22.705,136,0
NSA_A.US,5,20250828,160000,22.56,22.56,22.56,22.56,100,0
NSA_A.US,5,20250828,161500,22.7977,22.7977,22.7977,22.7977,369,0
NSA_A.US,5,20250828,170500,22.565,22.565,22.565,22.565,250,0
NSA_A.US,5,20250828,171000,22.565,22.565,22.565,22.565,100,0
NSA_A.US,5,20250828,172000,22.565,22.565,22.565,22.565,300,0
NSA_A.US,5,20250828,195000,22.3577,22.3577,22.3577,22.3577,100,0
NSA_A.US,5,20250828,212000,22.3965,22.3965,22.3965,22.3965,149,0
NSA_A.US,5,20250829,154000,22.56,22.56,22.29,22.4817,1700,0
NSA_A.US,5,20250829,155500,22.8,22.8,22.8,22.8,100,0
NSA_A.US,5,20250829,160000,22.595,22.595,22.595,22.595,300,0
NSA_A.US,5,20250829,172500,22.59,22.59,22.59,22.59,1450,0
NSA_A.US,5,20250829,180000,22.7,22.71,22.69,22.7,1000,0
NSA_A.US,5,20250829,182500,22.7,22.78,22.7,22.78,400,0
NSA_A.US,5,20250829,193000,22.82,22.85,22.7175,22.815,2300,0
NSA_A.US,5,20250829,210000,22.6673,22.7,22.6673,22.7,420,0
NSA_A.US,5,20250829,211500,22.68,22.68,22.68,22.68,100,0
NSA_A.US,5,20250829,215000,22.59,22.59,22.42,22.59,1796,0
NSA_A.US,5,20250829,215500,22.59,22.59,22.35,22.35,11901,0
NSA_A.US,5,20250902,154000,22.59,22.59,22.59,22.59,361,0
NSA_A.US,5,20250902,155500,22.505,22.505,22.505,22.505,1321,0
NSA_A.US,5,20250902,160500,22.605,22.605,22.605,22.605,126,0
NSA_A.US,5,20250902,171500,22.486,22.486,22.486,22.486,248,0
NSA_A.US,5,20250902,173000,22.6349,22.6349,22.5498,22.5498,917,0
NSA_A.US,5,20250902,185500,22.54,22.54,22.54,22.54,100,0
NSA_A.US,5,20250902,205500,22.55,22.55,22.52,22.55,400,0
NSA_A.US,5,20250902,210000,22.57,22.57,22.57,22.57,192,0
NSA_A.US,5,20250902,215500,22.53,22.53,22.51,22.53,910,0
NSA_A.US,5,20250903,165000,22.7,22.85,22.7,22.8,1900,0
NSA_A.US,5,20250903,175000,22.7607,22.7607,22.7607,22.7607,185,0
NSA_A.US,5,20250903,195500,22.97,22.97,22.96,22.96,271,0
NSA_A.US,5,20250903,202500,22.845,22.845,22.845,22.845,100,0
NSA_A.US,5,20250903,213500,22.9699,22.9699,22.9699,22.9699,104,0
NSA_A.US,5,20250903,214500,22.87,22.96,22.87,22.87,986,0
NSA_A.US,5,20250904,154000,22.3101,22.3101,22.3101,22.3101,119,0
NSA_A.US,5,20250904,171500,22.9499,22.9499,22.88,22.88,371,0
NSA_A.US,5,20250904,211500,22.96,22.96,22.96,22.96,1855,0
NSA_A.US,5,20250904,213000,22.97,22.97,22.97,22.97,100,0
NSA_A.US,5,20250904,215500,23,23,23,23,146,0
NSA_A.US,5,20250905,170500,22.7856,22.7856,22.7856,22.7856,406,0
NSA_A.US,5,20250905,172000,22.86,23,22.86,23,3690,0
NSA_A.US,5,20250905,215000,23.1,23.1,23.1,23.1,200,0
NSA_A.US,5,20250908,161500,23.16,23.16,23.16,23.16,197,0
NSA_A.US,5,20250908,165500,23.295,23.295,23.295,23.295,329,0
