<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ORA.US,5,20250728,153000,89.27,89.29,88.88,88.88,3240,0
ORA.US,5,20250728,153500,88.85,89.085,88.85,88.95,1377,0
ORA.US,5,20250728,154000,89.08,89.08,89.08,89.08,100,0
ORA.US,5,20250728,154500,89.1,89.19,89.01,89.01,1729,0
ORA.US,5,20250728,155000,88.965,89.05,88.965,89.05,600,0
ORA.US,5,20250728,155500,89.06,89.07,89.03,89.03,693,0
ORA.US,5,20250728,160000,89.06,89.15,88.97,89.15,1119,0
ORA.US,5,20250728,160500,89.21,89.22,89.1956,89.215,1226,0
ORA.US,5,20250728,161000,89.12,89.35,89.12,89.35,1578,0
ORA.US,5,20250728,162000,89.24,89.24,89.17,89.205,1102,0
ORA.US,5,20250728,162500,89.2,89.205,89.2,89.205,1060,0
ORA.US,5,20250728,163000,89.27,89.27,89.2,89.2,200,0
ORA.US,5,20250728,163500,89.2,89.21,89.05,89.05,1767,0
ORA.US,5,20250728,164000,89.11,89.195,89.08,89.195,1989,0
ORA.US,5,20250728,164500,89.235,89.235,89.235,89.235,200,0
ORA.US,5,20250728,165500,89.265,89.265,89.15,89.15,3005,0
ORA.US,5,20250728,170000,89.265,89.3275,89.265,89.265,400,0
ORA.US,5,20250728,170500,89.15,89.15,88.99,89,2711,0
ORA.US,5,20250728,171000,88.97,88.98,88.97,88.98,334,0
ORA.US,5,20250728,172500,88.99,88.99,88.98,88.98,635,0
ORA.US,5,20250728,173000,88.98,89.125,88.98,89.125,567,0
ORA.US,5,20250728,173500,89.16,89.16,89.03,89.04,1065,0
ORA.US,5,20250728,174000,88.94,88.975,88.935,88.975,500,0
ORA.US,5,20250728,175500,89.0279,89.09,88.95,88.95,1702,0
ORA.US,5,20250728,180500,88.91,88.91,88.87,88.87,416,0
ORA.US,5,20250728,181500,88.875,88.88,88.81,88.84,1412,0
ORA.US,5,20250728,182000,88.94,88.95,88.895,88.895,1729,0
ORA.US,5,20250728,182500,88.84,88.8789,88.79,88.79,722,0
ORA.US,5,20250728,183000,88.82,88.82,88.7816,88.7816,560,0
ORA.US,5,20250728,183500,88.79,88.85,88.715,88.735,3597,0
ORA.US,5,20250728,184500,88.8038,88.8038,88.66,88.66,844,0
ORA.US,5,20250728,185000,88.71,88.8,88.7,88.8,701,0
ORA.US,5,20250728,185500,88.79,88.79,88.79,88.79,100,0
ORA.US,5,20250728,190000,88.82,88.86,88.82,88.86,200,0
ORA.US,5,20250728,190500,88.86,88.9011,88.86,88.9011,219,0
ORA.US,5,20250728,191000,88.78,88.865,88.78,88.865,200,0
ORA.US,5,20250728,191500,88.7975,88.8,88.58,88.58,4185,0
ORA.US,5,20250728,192000,88.605,88.605,88.57,88.57,699,0
ORA.US,5,20250728,192500,88.6506,88.78,88.6,88.78,1557,0
ORA.US,5,20250728,193000,88.78,88.78,88.78,88.78,100,0
ORA.US,5,20250728,193500,88.84,88.84,88.84,88.84,100,0
ORA.US,5,20250728,194000,88.72,88.85,88.72,88.85,200,0
ORA.US,5,20250728,194500,88.82,88.82,88.785,88.785,300,0
ORA.US,5,20250728,195000,88.785,88.805,88.72,88.72,1539,0
ORA.US,5,20250728,195500,88.75,88.77,88.645,88.68,2634,0
ORA.US,5,20250728,200000,88.67,88.68,88.6,88.6,570,0
ORA.US,5,20250728,200500,88.51,88.51,88.42,88.445,1300,0
ORA.US,5,20250728,201000,88.52,88.52,88.52,88.52,103,0
ORA.US,5,20250728,201500,88.56,88.59,88.51,88.51,1117,0
ORA.US,5,20250728,202000,88.585,88.585,88.585,88.585,100,0
ORA.US,5,20250728,202500,88.585,88.67,88.585,88.67,556,0
ORA.US,5,20250728,203000,88.69,88.7,88.65,88.65,1464,0
ORA.US,5,20250728,203500,88.64,88.64,88.64,88.64,155,0
ORA.US,5,20250728,204000,88.675,88.68,88.61,88.61,1225,0
ORA.US,5,20250728,204500,88.56,88.61,88.56,88.61,400,0
ORA.US,5,20250728,205000,88.59,88.59,88.59,88.59,300,0
ORA.US,5,20250728,205500,88.62,88.62,88.62,88.62,200,0
ORA.US,5,20250728,210000,88.62,88.67,88.61,88.62,2119,0
ORA.US,5,20250728,210500,88.56,88.585,88.54,88.54,801,0
ORA.US,5,20250728,211000,88.555,88.56,88.555,88.56,830,0
ORA.US,5,20250728,211500,88.58,88.665,88.565,88.665,1563,0
ORA.US,5,20250728,212000,88.6,88.605,88.55,88.55,1343,0
ORA.US,5,20250728,212500,88.55,88.555,88.47,88.48,3395,0
ORA.US,5,20250728,213000,88.5,88.6,88.43,88.53,3579,0
ORA.US,5,20250728,213500,88.515,88.565,88.43,88.44,5397,0
ORA.US,5,20250728,214000,88.45,88.55,88.45,88.5,2537,0
ORA.US,5,20250728,214500,88.5325,88.68,88.51,88.67,6155,0
ORA.US,5,20250728,215000,88.66,88.715,88.49,88.52,10144,0
ORA.US,5,20250728,215500,88.5275,88.56,88.39,88.39,88754,0
ORA.US,5,20250729,153000,88.36,88.515,88.26,88.27,1523,0
ORA.US,5,20250729,153500,88.305,88.51,88.305,88.51,505,0
ORA.US,5,20250729,154000,88.52,88.68,88.465,88.465,3249,0
ORA.US,5,20250729,154500,88.465,88.505,88.405,88.505,2216,0
ORA.US,5,20250729,155000,88.54,88.63,88.35,88.35,1458,0
ORA.US,5,20250729,155500,88.31,88.31,88.2,88.2,2838,0
ORA.US,5,20250729,160000,88.27,88.42,88.25,88.31,2721,0
ORA.US,5,20250729,160500,88.28,88.29,88.08,88.08,563,0
ORA.US,5,20250729,161000,88.1,88.13,88,88,1699,0
ORA.US,5,20250729,161500,88.04,88.345,88.0376,88.345,1403,0
ORA.US,5,20250729,162000,88.25,88.29,88.08,88.08,2556,0
ORA.US,5,20250729,162500,88.16,88.27,88.14,88.27,1465,0
ORA.US,5,20250729,163000,88.44,88.44,88.44,88.44,200,0
ORA.US,5,20250729,163500,88.28,88.28,88.14,88.14,1044,0
ORA.US,5,20250729,164000,88.06,88.11,88.04,88.11,400,0
ORA.US,5,20250729,164500,88.145,88.25,88.07,88.21,2706,0
ORA.US,5,20250729,165000,88.23,88.23,88.14,88.19,700,0
ORA.US,5,20250729,165500,88.175,88.175,88.09,88.09,400,0
ORA.US,5,20250729,170000,88.09,88.33,88.09,88.33,3621,0
ORA.US,5,20250729,170500,88.36,88.4,88.36,88.395,600,0
ORA.US,5,20250729,171000,88.3925,88.5325,88.35,88.46,8284,0
ORA.US,5,20250729,171500,88.49,88.49,88.49,88.49,100,0
ORA.US,5,20250729,172000,88.42,88.42,88.34,88.3442,2048,0
ORA.US,5,20250729,172500,88.37,88.4,88.37,88.4,200,0
ORA.US,5,20250729,173000,88.46,88.46,88.26,88.26,1315,0
ORA.US,5,20250729,173500,88.22,88.32,88.22,88.255,2647,0
ORA.US,5,20250729,174000,88.255,88.35,88.255,88.35,1606,0
ORA.US,5,20250729,174500,88.35,88.35,88.23,88.24,1155,0
ORA.US,5,20250729,175000,88.3351,88.34,88.25,88.335,1766,0
ORA.US,5,20250729,175500,88.36,88.47,88.36,88.46,1370,0
ORA.US,5,20250729,180000,88.455,88.455,88.265,88.265,1452,0
ORA.US,5,20250729,180500,88.325,88.42,88.325,88.42,1162,0
ORA.US,5,20250729,181000,88.43,88.43,88.36,88.375,899,0
ORA.US,5,20250729,181500,88.34,88.39,88.29,88.29,902,0
ORA.US,5,20250729,182000,88.26,88.31,88.205,88.28,1860,0
ORA.US,5,20250729,182500,88.23,88.35,88.23,88.35,4061,0
ORA.US,5,20250729,183000,88.315,88.315,88.19,88.19,1283,0
ORA.US,5,20250729,183500,88.195,88.195,88.195,88.195,135,0
ORA.US,5,20250729,184000,88.195,88.245,88.195,88.23,2264,0
ORA.US,5,20250729,184500,88.21,88.21,88.07,88.07,1411,0
ORA.US,5,20250729,185000,88.07,88.11,88.02,88.02,800,0
ORA.US,5,20250729,185500,88.01,88.03,87.98,87.98,1276,0
ORA.US,5,20250729,190000,87.97,88.01,87.97,88,700,0
ORA.US,5,20250729,190500,88.065,88.1,87.98,88.08,932,0
ORA.US,5,20250729,191000,88.065,88.065,87.99,88.025,2607,0
ORA.US,5,20250729,191500,88.01,88.09,87.96,87.96,4257,0
ORA.US,5,20250729,192000,87.995,87.995,87.91,87.91,200,0
ORA.US,5,20250729,192500,87.995,87.995,87.92,87.995,478,0
ORA.US,5,20250729,193000,87.995,88,87.995,88,1195,0
ORA.US,5,20250729,193500,88,88,87.87,87.87,1354,0
ORA.US,5,20250729,194000,87.855,87.855,87.77,87.85,3191,0
ORA.US,5,20250729,195000,87.8,87.8,87.78,87.78,504,0
ORA.US,5,20250729,195500,87.77,87.785,87.75,87.75,535,0
ORA.US,5,20250729,200000,87.75,87.795,87.615,87.68,2428,0
ORA.US,5,20250729,200500,87.695,87.805,87.695,87.805,863,0
ORA.US,5,20250729,201000,87.76,87.76,87.68,87.7,1003,0
ORA.US,5,20250729,201500,87.7,87.8,87.7,87.8,1467,0
ORA.US,5,20250729,202000,87.78,87.855,87.78,87.82,2806,0
ORA.US,5,20250729,202500,87.835,87.835,87.8,87.8,2681,0
ORA.US,5,20250729,203000,87.79,87.805,87.77,87.77,667,0
ORA.US,5,20250729,203500,87.76,87.76,87.66,87.66,912,0
