<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ORN.US,5,20250728,153000,9.345,9.37,9.21,9.3,2525,0
ORN.US,5,20250728,153500,9.33,9.33,9.255,9.255,1322,0
ORN.US,5,20250728,154000,9.2999,9.3,9.28,9.3,2531,0
ORN.US,5,20250728,154500,9.29,9.295,9.28,9.28,1629,0
ORN.US,5,20250728,155000,9.26,9.26,9.255,9.255,510,0
ORN.US,5,20250728,155500,9.255,9.255,9.24,9.25,4079,0
ORN.US,5,20250728,160000,9.25,9.265,9.2,9.235,3950,0
ORN.US,5,20250728,160500,9.235,9.285,9.235,9.2393,3737,0
ORN.US,5,20250728,161000,9.29,9.29,9.265,9.29,1258,0
ORN.US,5,20250728,161500,9.28,9.28,9.25,9.25,1908,0
ORN.US,5,20250728,162000,9.22,9.22,9.15,9.19,3094,0
ORN.US,5,20250728,162500,9.18,9.19,9.17,9.19,700,0
ORN.US,5,20250728,163000,9.175,9.19,9.175,9.18,812,0
ORN.US,5,20250728,163500,9.17,9.19,9.14,9.185,9414,0
ORN.US,5,20250728,164000,9.1655,9.1655,9.1655,9.1655,1018,0
ORN.US,5,20250728,164500,9.21,9.21,9.19,9.19,200,0
ORN.US,5,20250728,165000,9.195,9.25,9.195,9.24,4815,0
ORN.US,5,20250728,165500,9.23,9.23,9.16,9.16,1401,0
ORN.US,5,20250728,170000,9.16,9.18,9.16,9.18,5300,0
ORN.US,5,20250728,170500,9.185,9.185,9.18,9.18,1100,0
ORN.US,5,20250728,171000,9.185,9.2,9.185,9.195,2100,0
ORN.US,5,20250728,171500,9.21,9.23,9.21,9.23,339,0
ORN.US,5,20250728,172000,9.24,9.2412,9.24,9.2412,447,0
ORN.US,5,20250728,172500,9.24,9.24,9.24,9.24,200,0
ORN.US,5,20250728,173000,9.25,9.27,9.247,9.27,1627,0
ORN.US,5,20250728,173500,9.265,9.28,9.265,9.28,2248,0
ORN.US,5,20250728,174000,9.28,9.29,9.26,9.27,3257,0
ORN.US,5,20250728,174500,9.28,9.29,9.27,9.29,1712,0
ORN.US,5,20250728,175000,9.29,9.29,9.2817,9.29,2135,0
ORN.US,5,20250728,175500,9.3,9.3292,9.3,9.32,1555,0
ORN.US,5,20250728,180000,9.3246,9.33,9.3246,9.33,400,0
ORN.US,5,20250728,180500,9.32,9.32,9.32,9.32,300,0
ORN.US,5,20250728,181000,9.34,9.355,9.34,9.355,3504,0
ORN.US,5,20250728,181500,9.35,9.3757,9.34,9.374,1953,0
ORN.US,5,20250728,182000,9.38,9.38,9.38,9.38,901,0
ORN.US,5,20250728,182500,9.38,9.38,9.38,9.38,1000,0
ORN.US,5,20250728,183000,9.38,9.39,9.36,9.36,1902,0
ORN.US,5,20250728,183500,9.3663,9.3663,9.33,9.335,1492,0
ORN.US,5,20250728,184000,9.35,9.37,9.35,9.36,1723,0
ORN.US,5,20250728,184500,9.35,9.36,9.35,9.36,3098,0
ORN.US,5,20250728,185000,9.37,9.38,9.37,9.38,839,0
ORN.US,5,20250728,185500,9.38,9.39,9.37,9.39,439,0
ORN.US,5,20250728,190000,9.38,9.38,9.36,9.37,694,0
ORN.US,5,20250728,190500,9.37,9.38,9.37,9.38,200,0
ORN.US,5,20250728,191000,9.38,9.4,9.38,9.39,2360,0
ORN.US,5,20250728,191500,9.38,9.38,9.36,9.37,1669,0
ORN.US,5,20250728,192000,9.37,9.39,9.36,9.39,2628,0
ORN.US,5,20250728,192500,9.38,9.3864,9.38,9.3864,302,0
ORN.US,5,20250728,193000,9.39,9.405,9.37,9.39,6173,0
ORN.US,5,20250728,193500,9.39,9.39,9.38,9.39,1172,0
ORN.US,5,20250728,194000,9.3826,9.39,9.3826,9.39,777,0
ORN.US,5,20250728,194500,9.4,9.41,9.39,9.39,1516,0
ORN.US,5,20250728,195500,9.4,9.4,9.38,9.39,1525,0
ORN.US,5,20250728,200500,9.38,9.42,9.38,9.42,3711,0
ORN.US,5,20250728,201000,9.4,9.44,9.4,9.44,2689,0
ORN.US,5,20250728,201500,9.44,9.44,9.41,9.425,2513,0
ORN.US,5,20250728,202000,9.425,9.425,9.425,9.425,100,0
ORN.US,5,20250728,202500,9.425,9.43,9.42,9.425,815,0
ORN.US,5,20250728,203000,9.41,9.41,9.41,9.41,1103,0
ORN.US,5,20250728,203500,9.41,9.42,9.41,9.42,728,0
ORN.US,5,20250728,204000,9.425,9.44,9.425,9.44,6595,0
ORN.US,5,20250728,204500,9.435,9.44,9.43,9.43,1120,0
ORN.US,5,20250728,205000,9.43,9.47,9.43,9.47,3502,0
ORN.US,5,20250728,205500,9.46,9.5,9.45,9.48,17054,0
ORN.US,5,20250728,210000,9.47,9.47,9.47,9.47,800,0
ORN.US,5,20250728,210500,9.475,9.56,9.475,9.525,8313,0
ORN.US,5,20250728,211000,9.525,9.53,9.51,9.515,4154,0
ORN.US,5,20250728,211500,9.528,9.54,9.528,9.54,3453,0
ORN.US,5,20250728,212000,9.54,9.54,9.53,9.54,2405,0
ORN.US,5,20250728,212500,9.53,9.56,9.515,9.55,4931,0
ORN.US,5,20250728,213000,9.56,9.56,9.535,9.5584,6863,0
ORN.US,5,20250728,213500,9.56,9.6,9.55,9.56,12412,0
ORN.US,5,20250728,214000,9.5556,9.57,9.555,9.56,1700,0
ORN.US,5,20250728,214500,9.56,9.6,9.56,9.57,3748,0
ORN.US,5,20250728,215000,9.56,9.57,9.5,9.51,8418,0
ORN.US,5,20250728,215500,9.52,9.59,9.52,9.53,87964,0
ORN.US,5,20250729,153000,9.61,9.74,9.61,9.69,19440,0
ORN.US,5,20250729,153500,9.7283,9.7283,9.6409,9.655,5780,0
ORN.US,5,20250729,154000,9.665,9.75,9.64,9.75,25083,0
ORN.US,5,20250729,154500,9.82,9.83,9.76,9.82,5842,0
ORN.US,5,20250729,155000,9.835,9.94,9.835,9.8407,4638,0
ORN.US,5,20250729,155500,9.88,9.89,9.84,9.84,7610,0
ORN.US,5,20250729,160000,9.82,9.82,9.73,9.74,23554,0
ORN.US,5,20250729,160500,9.77,9.8,9.745,9.755,17616,0
ORN.US,5,20250729,161000,9.755,9.78,9.69,9.7,14467,0
ORN.US,5,20250729,161500,9.7,9.705,9.68,9.69,1800,0
ORN.US,5,20250729,162000,9.7,9.72,9.67,9.68,5620,0
ORN.US,5,20250729,162500,9.68,9.71,9.68,9.71,20844,0
ORN.US,5,20250729,163000,9.695,9.695,9.66,9.66,1571,0
ORN.US,5,20250729,163500,9.66,9.66,9.59,9.59,3920,0
ORN.US,5,20250729,164000,9.6,9.775,9.6,9.77,9856,0
ORN.US,5,20250729,164500,9.73,9.745,9.725,9.725,1300,0
ORN.US,5,20250729,165000,9.735,9.735,9.67,9.67,1984,0
ORN.US,5,20250729,165500,9.67,9.67,9.6504,9.6504,350,0
ORN.US,5,20250729,170000,9.69,9.705,9.69,9.7,1306,0
ORN.US,5,20250729,170500,9.685,9.685,9.62,9.62,6845,0
