<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OSG.US,5,20250728,153000,8.725,8.87,8.68,8.68,2175,0
OSG.US,5,20250728,153500,8.69,8.71,8.67,8.685,1720,0
OSG.US,5,20250728,154000,8.66,8.7,8.65,8.7,3323,0
OSG.US,5,20250728,154500,8.71,8.755,8.705,8.72,18900,0
OSG.US,5,20250728,155000,8.715,8.74,8.715,8.73,1300,0
OSG.US,5,20250728,155500,8.73,8.73,8.69,8.69,1600,0
OSG.US,5,20250728,160000,8.685,8.69,8.685,8.69,2000,0
OSG.US,5,20250728,160500,8.69,8.71,8.67,8.67,4251,0
OSG.US,5,20250728,161000,8.67,8.69,8.66,8.66,5197,0
OSG.US,5,20250728,161500,8.66,8.66,8.64,8.65,2013,0
OSG.US,5,20250728,162000,8.64,8.65,8.61,8.61,3400,0
OSG.US,5,20250728,162500,8.615,8.64,8.615,8.63,3332,0
OSG.US,5,20250728,163000,8.635,8.645,8.635,8.64,1600,0
OSG.US,5,20250728,163500,8.645,8.69,8.64,8.67,4425,0
OSG.US,5,20250728,164000,8.67,8.68,8.66,8.66,2600,0
OSG.US,5,20250728,164500,8.665,8.69,8.665,8.69,2381,0
OSG.US,5,20250728,165000,8.685,8.71,8.68,8.685,2983,0
OSG.US,5,20250728,165500,8.685,8.7,8.685,8.7,2308,0
OSG.US,5,20250728,170000,8.695,8.695,8.68,8.69,2300,0
OSG.US,5,20250728,170500,8.665,8.665,8.65,8.65,1133,0
OSG.US,5,20250728,171000,8.65,8.68,8.65,8.677,2795,0
OSG.US,5,20250728,171500,8.67,8.68,8.66,8.66,792,0
OSG.US,5,20250728,172500,8.655,8.68,8.64,8.68,1969,0
OSG.US,5,20250728,173000,8.67,8.69,8.67,8.69,3052,0
OSG.US,5,20250728,173500,8.7,8.705,8.7,8.705,716,0
OSG.US,5,20250728,174000,8.7,8.7,8.69,8.69,705,0
OSG.US,5,20250728,174500,8.68,8.69,8.68,8.68,816,0
OSG.US,5,20250728,175000,8.69,8.69,8.685,8.685,650,0
OSG.US,5,20250728,175500,8.69,8.71,8.685,8.685,4266,0
OSG.US,5,20250728,180000,8.685,8.695,8.685,8.69,5280,0
OSG.US,5,20250728,180500,8.685,8.71,8.685,8.71,6714,0
OSG.US,5,20250728,181000,8.7,8.7,8.68,8.68,522,0
