<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PLGI.US,5,20251211,182500,25.325,25.325,25.3099,25.3099,1700,0
PLGI.US,5,20251211,185000,25.3199,25.435,25.3199,25.435,1900,0
PLGI.US,5,20251211,190500,25.32,25.32,25.32,25.32,8300,0
PLGI.US,5,20251212,211000,25.16,25.17,25.16,25.17,1600,0
PLGI.US,5,20251212,212500,25.16,25.16,25.16,25.16,8500,0
PLGI.US,5,20251215,173500,25.04,25.04,25.0196,25.0196,1072,0
PLGI.US,5,20251215,174000,25.05,25.07,25.05,25.07,20780,0
PLGI.US,5,20251215,203000,25.05,25.05,25.05,25.05,841,0
PLGI.US,5,20251216,153500,25.129,25.129,25.129,25.129,100,0
PLGI.US,5,20251216,160000,25.0726,25.0726,25.0726,25.0726,2000,0
PLGI.US,5,20251216,161500,24.98,24.98,24.98,24.98,424,0
PLGI.US,5,20251216,172000,25.0712,25.0712,25.0712,25.0712,300,0
PLGI.US,5,20251216,195000,25.037,25.037,25.037,25.037,400,0
PLGI.US,5,20251216,203500,25.01,25.01,25.01,25.01,100,0
PLGI.US,5,20251216,204500,25.03,25.03,25.03,25.03,100,0
PLGI.US,5,20251216,205500,25.02,25.02,25.02,25.02,100,0
PLGI.US,5,20251217,153000,25.18,25.18,25.18,25.18,100,0
PLGI.US,5,20251217,174000,24.99,25.205,24.96,25.01,48370,0
PLGI.US,5,20251217,181000,24.99,24.99,24.99,24.99,100,0
PLGI.US,5,20251217,192500,24.96,24.96,24.96,24.96,100,0
PLGI.US,5,20251217,194000,24.95,24.95,24.93,24.93,200,0
PLGI.US,5,20251217,203500,24.93,24.93,24.93,24.93,400,0
PLGI.US,5,20251217,212500,24.91,24.91,24.91,24.91,100,0
PLGI.US,5,20251217,215500,24.87,24.88,24.87,24.88,2614,0
PLGI.US,5,20251218,154000,25.02,25.02,25.02,25.02,104004,0
PLGI.US,5,20251218,161500,24.97,24.97,24.97,24.97,200,0
PLGI.US,5,20251218,174000,25.04,25.04,25.04,25.04,343180,0
PLGI.US,5,20251218,191000,24.95,24.95,24.95,24.95,100,0
PLGI.US,5,20251218,192500,24.96,24.96,24.96,24.96,249170,0
PLGI.US,5,20251218,200000,24.91,24.91,24.91,24.91,200,0
PLGI.US,5,20251219,153500,25.1,25.1,25.1,25.1,298027,0
PLGI.US,5,20251219,161500,25.11,25.11,25.11,25.11,200,0
PLGI.US,5,20251219,162500,25.145,25.145,25.145,25.145,200,0
PLGI.US,5,20251219,163500,25.11,25.11,25.1,25.1,1000,0
PLGI.US,5,20251219,164000,25.1,25.1,25.09,25.09,1100,0
PLGI.US,5,20251219,164500,25.08,25.08,25.08,25.08,900,0
PLGI.US,5,20251219,165000,25.1,25.1,25.1,25.1,785,0
PLGI.US,5,20251219,172500,25.17,25.19,25.17,25.17,18800,0
PLGI.US,5,20251219,181500,25.17,25.17,25.17,25.17,100,0
PLGI.US,5,20251219,190000,25.16,25.16,25.16,25.16,100,0
PLGI.US,5,20251219,194000,25.16,25.16,25.16,25.16,100,0
PLGI.US,5,20251219,201500,25.14,25.14,25.14,25.14,213,0
PLGI.US,5,20251219,210500,25.16,25.16,25.16,25.16,4520,0
PLGI.US,5,20251219,211000,25.1,25.2199,25.1,25.16,8315,0
PLGI.US,5,20251222,154000,25.1704,25.1704,25.1704,25.1704,238,0
PLGI.US,5,20251222,154500,25.21,25.21,25.21,25.21,224203,0
PLGI.US,5,20251222,161000,25.17,25.17,25.15,25.15,3869,0
PLGI.US,5,20251222,172500,25.26,25.26,25.26,25.26,41751,0
PLGI.US,5,20251222,190000,25.2,25.2,25.2,25.2,100,0
PLGI.US,5,20251222,190500,25.19,25.19,25.19,25.19,100,0
PLGI.US,5,20251222,191500,25.195,25.195,25.195,25.195,131,0
PLGI.US,5,20251222,192500,25.235,25.2999,25.19,25.25,64089,0
PLGI.US,5,20251222,193000,25.25,25.25,25.24,25.24,5011,0
PLGI.US,5,20251222,194500,25.21,25.21,25.21,25.21,365,0
PLGI.US,5,20251222,210000,25.17,25.17,25.16,25.17,2631,0
PLGI.US,5,20251222,211000,25.13,25.13,25.13,25.13,669,0
