<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PSA_F.US,5,20250728,153000,20.721,20.721,20.721,20.721,300,0
PSA_F.US,5,20250728,154500,20.8048,20.8048,20.74,20.74,500,0
PSA_F.US,5,20250728,155000,20.74,20.74,20.74,20.74,700,0
PSA_F.US,5,20250728,160500,20.78,20.78,20.78,20.78,100,0
PSA_F.US,5,20250728,161500,20.75,20.7507,20.72,20.72,1710,0
PSA_F.US,5,20250728,162000,20.72,20.738,20.7008,20.7008,1218,0
PSA_F.US,5,20250728,163000,20.75,20.75,20.74,20.74,2417,0
PSA_F.US,5,20250728,165000,20.7774,20.7774,20.7774,20.7774,600,0
PSA_F.US,5,20250728,165500,20.74,20.74,20.74,20.74,100,0
PSA_F.US,5,20250728,170500,20.73,20.7301,20.71,20.71,1500,0
PSA_F.US,5,20250728,171500,20.73,20.73,20.73,20.73,300,0
PSA_F.US,5,20250728,172500,20.74,20.74,20.74,20.74,100,0
PSA_F.US,5,20250728,173500,20.743,20.7624,20.743,20.7624,200,0
PSA_F.US,5,20250728,175500,20.81,20.81,20.81,20.81,100,0
PSA_F.US,5,20250728,180000,20.79,20.79,20.79,20.79,200,0
PSA_F.US,5,20250728,182000,20.81,20.81,20.81,20.81,100,0
PSA_F.US,5,20250728,182500,20.8019,20.8019,20.8019,20.8019,350,0
PSA_F.US,5,20250728,183500,20.7928,20.7928,20.7928,20.7928,200,0
PSA_F.US,5,20250728,184500,20.815,20.815,20.81,20.81,295,0
PSA_F.US,5,20250728,190000,20.8022,20.8022,20.793556,20.793556,681,0
PSA_F.US,5,20250728,190500,20.8084,20.8084,20.8084,20.8084,672,0
PSA_F.US,5,20250728,191000,20.82,20.82,20.82,20.82,100,0
PSA_F.US,5,20250728,192000,20.81,20.81,20.81,20.81,100,0
PSA_F.US,5,20250728,192500,20.8163,20.8163,20.8163,20.8163,400,0
PSA_F.US,5,20250728,193000,20.81,20.81,20.81,20.81,195,0
PSA_F.US,5,20250728,193500,20.81,20.81,20.81,20.81,100,0
PSA_F.US,5,20250728,195000,20.82,20.82,20.82,20.82,100,0
PSA_F.US,5,20250728,195500,20.82,20.82,20.82,20.82,155,0
PSA_F.US,5,20250728,200000,20.81,20.81,20.81,20.81,100,0
PSA_F.US,5,20250728,201000,20.82,20.82,20.82,20.82,100,0
PSA_F.US,5,20250728,202000,20.82,20.82,20.82,20.82,260,0
PSA_F.US,5,20250728,203000,20.82,20.82,20.82,20.82,200,0
PSA_F.US,5,20250728,205000,20.82,20.82,20.82,20.82,223,0
PSA_F.US,5,20250728,205500,20.82,20.82,20.82,20.82,100,0
PSA_F.US,5,20250728,210000,20.8,20.8001,20.8,20.8001,400,0
PSA_F.US,5,20250728,211000,20.81,20.81,20.81,20.81,100,0
PSA_F.US,5,20250728,211500,20.82,20.82,20.82,20.82,300,0
PSA_F.US,5,20250728,212000,20.82,20.82,20.82,20.82,100,0
PSA_F.US,5,20250728,213000,20.82,20.82,20.82,20.82,200,0
PSA_F.US,5,20250728,214000,20.82,20.82,20.82,20.82,127,0
PSA_F.US,5,20250728,214500,20.82,20.82,20.82,20.82,200,0
PSA_F.US,5,20250728,215500,20.82,20.89,20.82,20.89,205,0
PSA_F.US,5,20250729,155000,20.9,20.91,20.9,20.91,1100,0
PSA_F.US,5,20250729,155500,20.868,20.868,20.868,20.868,500,0
PSA_F.US,5,20250729,161500,20.8816,20.8816,20.8661,20.8661,493,0
PSA_F.US,5,20250729,162500,20.91,20.92,20.91,20.92,275,0
PSA_F.US,5,20250729,165500,20.9,20.924,20.9,20.924,1100,0
PSA_F.US,5,20250729,171500,20.925,20.9267,20.925,20.9267,524,0
PSA_F.US,5,20250729,172500,20.95,20.95,20.93,20.93,551,0
PSA_F.US,5,20250729,180500,20.94,20.94,20.94,20.94,123,0
PSA_F.US,5,20250729,185000,20.95,20.95,20.95,20.95,230,0
PSA_F.US,5,20250729,191000,20.95,20.95,20.95,20.95,1014,0
PSA_F.US,5,20250729,201000,20.928321,20.928321,20.9,20.9001,1992,0
PSA_F.US,5,20250729,203000,20.95,20.95,20.95,20.95,100,0
PSA_F.US,5,20250729,203500,20.9424,20.947,20.9424,20.947,400,0
PSA_F.US,5,20250729,205500,20.985,20.985,20.985,20.985,263,0
PSA_F.US,5,20250729,212500,20.9928,20.9928,20.9928,20.9928,1618,0
PSA_F.US,5,20250729,213500,21,21.01,21,21.0099,2823,0
PSA_F.US,5,20250730,160500,20.99,20.99,20.99,20.99,959,0
PSA_F.US,5,20250730,170000,21.03,21.03,21.03,21.03,107,0
PSA_F.US,5,20250730,171000,21.05,21.05,21.05,21.05,1000,0
PSA_F.US,5,20250730,173000,21.035,21.04,21.035,21.04,900,0
PSA_F.US,5,20250730,174500,21.03,21.03,21.0257,21.0257,470,0
PSA_F.US,5,20250730,175000,21.05,21.06,21.05,21.06,1300,0
PSA_F.US,5,20250730,180000,21.06,21.06,21.06,21.06,200,0
PSA_F.US,5,20250730,181500,21.05,21.05,21.05,21.05,374,0
PSA_F.US,5,20250730,184500,21.09,21.09,21.09,21.09,300,0
PSA_F.US,5,20250730,185500,21.1037,21.1037,21.1037,21.1037,1300,0
PSA_F.US,5,20250730,191000,21.12,21.12,21.12,21.12,100,0
PSA_F.US,5,20250730,193000,21.1069,21.1233,21.1069,21.1233,644,0
PSA_F.US,5,20250730,194500,21.0928,21.12,21.0928,21.12,290,0
PSA_F.US,5,20250730,204000,21.1187,21.1711,21.11,21.11,625,0
PSA_F.US,5,20250730,205000,21.1367,21.1367,21.09,21.09,766,0
PSA_F.US,5,20250730,205500,21.09,21.09,21.09,21.09,242,0
PSA_F.US,5,20250730,210000,21.05,21.05,21.05,21.05,257,0
PSA_F.US,5,20250730,210500,21.05,21.05,21.05,21.05,773,0
PSA_F.US,5,20250730,211000,20.9904,20.9904,20.9904,20.9904,220,0
PSA_F.US,5,20250730,214000,20.95,20.99,20.91,20.91,525,0
PSA_F.US,5,20250730,215500,20.8307,20.8307,20.8307,20.8307,200,0
PSA_F.US,5,20250731,153000,21.05,21.05,21.05,21.05,100,0
PSA_F.US,5,20250731,160000,21.05,21.05,21.05,21.05,175,0
PSA_F.US,5,20250731,161000,21.1,21.15,21.1,21.15,2298,0
PSA_F.US,5,20250731,162000,21.12,21.12,21.12,21.12,100,0
PSA_F.US,5,20250731,162500,21.105,21.105,21.105,21.105,225,0
PSA_F.US,5,20250731,163000,21.1465,21.1465,21.105,21.105,1600,0
PSA_F.US,5,20250731,163500,21.1136,21.1136,21.1136,21.1136,200,0
PSA_F.US,5,20250731,164500,21.06,21.06,21.06,21.06,400,0
PSA_F.US,5,20250731,170000,21.0898,21.0898,21.0898,21.0898,900,0
PSA_F.US,5,20250731,170500,21.08,21.08,21.08,21.08,100,0
PSA_F.US,5,20250731,172000,21.06,21.07,20.9,20.9,1587,0
PSA_F.US,5,20250731,173500,21.0699,21.0699,21.0699,21.0699,284,0
PSA_F.US,5,20250731,174000,20.995,20.995,20.9936,20.9936,400,0
PSA_F.US,5,20250731,174500,20.9559,20.993,20.9559,20.9559,1500,0
PSA_F.US,5,20250731,175000,20.9522,21.0024,20.9522,21.0024,2000,0
PSA_F.US,5,20250731,181000,21.07,21.07,21.07,21.07,100,0
PSA_F.US,5,20250731,182000,21.12,21.12,21.12,21.12,100,0
PSA_F.US,5,20250731,184500,21.096,21.096,21.096,21.096,154,0
PSA_F.US,5,20250731,185500,21.13,21.13,21.13,21.13,100,0
PSA_F.US,5,20250731,192000,21.15,21.15,21.15,21.15,100,0
PSA_F.US,5,20250731,193000,21.14,21.14,21.14,21.14,200,0
PSA_F.US,5,20250731,194500,21.14,21.18,21.14,21.14,689,0
PSA_F.US,5,20250731,200000,21.18,21.18,21.18,21.18,217,0
PSA_F.US,5,20250731,200500,21.18,21.18,21.18,21.18,100,0
PSA_F.US,5,20250731,201000,21.17,21.17,21.17,21.17,100,0
PSA_F.US,5,20250731,201500,21.17,21.26,21.17,21.17,2213,0
PSA_F.US,5,20250731,202500,21.23,21.23,21.23,21.23,100,0
PSA_F.US,5,20250731,204000,21.23,21.23,21.203,21.203,2420,0
PSA_F.US,5,20250731,204500,21.24,21.24,21.15,21.15,829,0
PSA_F.US,5,20250731,205000,21.07,21.07,21.07,21.07,400,0
PSA_F.US,5,20250731,210000,21.22,21.2399,21.22,21.2399,1400,0
PSA_F.US,5,20250731,210500,21.21,21.21,21.21,21.21,100,0
