<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PSQO.US,5,20250728,171500,20.5728,20.5728,20.5728,20.5728,105,0
PSQO.US,5,20250728,173000,20.5524,20.5524,20.5524,20.5524,172,0
PSQO.US,5,20250728,180500,20.58,20.58,20.58,20.58,350,0
PSQO.US,5,20250728,211000,20.55,20.55,20.55,20.55,176,0
PSQO.US,5,20250729,153000,20.56,20.59,20.56,20.56,2845,0
PSQO.US,5,20250729,155500,20.575,20.575,20.575,20.575,323,0
PSQO.US,5,20250729,162500,20.5602,20.5602,20.56,20.56,200,0
PSQO.US,5,20250729,180500,20.59,20.59,20.59,20.59,397,0
PSQO.US,5,20250729,181500,20.5899,20.5899,20.5899,20.5899,133,0
PSQO.US,5,20250729,185000,20.5899,20.5899,20.5899,20.5899,250,0
PSQO.US,5,20250729,210500,20.5705,20.5705,20.5705,20.5705,658,0
PSQO.US,5,20250729,213000,20.58,20.58,20.58,20.58,1348,0
PSQO.US,5,20250729,215500,20.59,20.59,20.59,20.59,100,0
PSQO.US,5,20250730,160000,20.58,20.58,20.58,20.58,100,0
PSQO.US,5,20250730,212000,20.58,20.58,20.58,20.58,654,0
PSQO.US,5,20250731,161000,20.6,20.6,20.6,20.6,100,0
PSQO.US,5,20250731,192000,20.585,20.6,20.57,20.57,1700,0
PSQO.US,5,20250731,195500,20.5999,20.5999,20.5999,20.5999,2427,0
PSQO.US,5,20250731,200000,20.585,20.6,20.57,20.57,4700,0
PSQO.US,5,20250731,202500,20.585,20.585,20.585,20.585,182,0
PSQO.US,5,20250731,204000,20.59,20.6,20.59,20.6,800,0
PSQO.US,5,20250731,210000,20.6,20.6,20.5999,20.5999,600,0
PSQO.US,5,20250731,215000,20.59,20.59,20.59,20.59,2800,0
PSQO.US,5,20250801,153000,20.57,20.57,20.57,20.57,769,0
PSQO.US,5,20250801,163500,20.6,20.6,20.6,20.6,100,0
PSQO.US,5,20250801,165500,20.5999,20.5999,20.5999,20.5999,336,0
PSQO.US,5,20250801,172000,20.6,20.6,20.583,20.583,9718,0
PSQO.US,5,20250801,182500,20.6,20.6,20.6,20.6,4325,0
PSQO.US,5,20250801,193000,20.58,20.58,20.58,20.58,3500,0
PSQO.US,5,20250801,210000,20.56,20.6,20.56,20.6,750,0
PSQO.US,5,20250804,155500,20.61,20.61,20.61,20.61,100,0
PSQO.US,5,20250804,162500,20.6065,20.62,20.6,20.62,19739,0
PSQO.US,5,20250804,171500,20.6064,20.6064,20.6064,20.6064,300,0
