<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RA.US,5,20250728,153500,13.25,13.25,13.25,13.25,116,0
RA.US,5,20250728,154000,13.22,13.2303,13.22,13.2303,670,0
RA.US,5,20250728,154500,13.23,13.2336,13.22,13.23,6500,0
RA.US,5,20250728,155000,13.22,13.22,13.22,13.22,200,0
RA.US,5,20250728,155500,13.22,13.23,13.22,13.23,2350,0
RA.US,5,20250728,160000,13.23,13.23,13.23,13.23,400,0
RA.US,5,20250728,160500,13.23,13.23,13.23,13.23,600,0
RA.US,5,20250728,161000,13.23,13.23,13.22,13.22,300,0
RA.US,5,20250728,161500,13.22,13.22,13.21,13.22,600,0
RA.US,5,20250728,162000,13.22,13.2344,13.22,13.22,640,0
RA.US,5,20250728,162500,13.207,13.22,13.207,13.22,657,0
RA.US,5,20250728,163000,13.22,13.2348,13.2079,13.22,3180,0
RA.US,5,20250728,163500,13.22,13.22,13.2,13.22,1125,0
RA.US,5,20250728,164000,13.21,13.215,13.21,13.215,600,0
RA.US,5,20250728,164500,13.2273,13.2273,13.2273,13.2273,897,0
RA.US,5,20250728,165000,13.2,13.23,13.2,13.22,1083,0
RA.US,5,20250728,165500,13.2105,13.215,13.2105,13.215,700,0
RA.US,5,20250728,170000,13.2166,13.2252,13.2166,13.22,7704,0
RA.US,5,20250728,170500,13.22,13.22,13.22,13.22,200,0
RA.US,5,20250728,171000,13.22,13.225,13.22,13.225,4452,0
RA.US,5,20250728,171500,13.22,13.2216,13.2,13.21,10522,0
RA.US,5,20250728,172000,13.21,13.2199,13.2,13.21,1860,0
RA.US,5,20250728,172500,13.21,13.2134,13.2,13.2,2335,0
RA.US,5,20250728,173000,13.21,13.215,13.2,13.215,2836,0
RA.US,5,20250728,173500,13.215,13.215,13.205,13.205,3953,0
RA.US,5,20250728,174000,13.21,13.21,13.2093,13.21,2894,0
RA.US,5,20250728,174500,13.21,13.21,13.21,13.21,1400,0
RA.US,5,20250728,175000,13.21,13.215,13.21,13.215,3190,0
RA.US,5,20250728,175500,13.215,13.2178,13.21,13.21,2905,0
RA.US,5,20250728,180000,13.21,13.21,13.21,13.21,1040,0
RA.US,5,20250728,180500,13.21,13.21,13.2,13.21,710,0
RA.US,5,20250728,181000,13.21,13.21,13.21,13.21,500,0
RA.US,5,20250728,181500,13.21,13.22,13.21,13.22,710,0
RA.US,5,20250728,182000,13.21,13.2134,13.2,13.21,9164,0
RA.US,5,20250728,182500,13.2023,13.21,13.2023,13.21,469,0
RA.US,5,20250728,183000,13.21,13.225,13.21,13.2201,5960,0
RA.US,5,20250728,183500,13.22,13.22,13.22,13.22,2061,0
RA.US,5,20250728,184000,13.215,13.2153,13.215,13.215,1175,0
RA.US,5,20250728,184500,13.215,13.215,13.205,13.2099,1626,0
RA.US,5,20250728,185000,13.205,13.205,13.2,13.2012,1211,0
RA.US,5,20250728,185500,13.201,13.205,13.201,13.205,641,0
RA.US,5,20250728,190000,13.209,13.209,13.205,13.205,300,0
RA.US,5,20250728,190500,13.21,13.21,13.21,13.21,300,0
RA.US,5,20250728,191000,13.201,13.205,13.201,13.201,1445,0
RA.US,5,20250728,191500,13.204225,13.21,13.204225,13.2099,2470,0
RA.US,5,20250728,192000,13.205,13.21,13.205,13.205,1308,0
RA.US,5,20250728,192500,13.205,13.21,13.205,13.21,700,0
RA.US,5,20250728,193000,13.21,13.21,13.2017,13.205,2693,0
RA.US,5,20250728,193500,13.21,13.22,13.21,13.22,602,0
RA.US,5,20250728,194000,13.22,13.2352,13.22,13.235,8075,0
RA.US,5,20250728,195000,13.235,13.239,13.235,13.235,400,0
RA.US,5,20250728,200000,13.239,13.239,13.239,13.239,300,0
RA.US,5,20250728,200500,13.2311,13.2311,13.2311,13.2311,100,0
RA.US,5,20250728,201000,13.237,13.237,13.23,13.235,8000,0
RA.US,5,20250728,201500,13.239,13.239,13.239,13.239,300,0
RA.US,5,20250728,202000,13.2399,13.2399,13.2399,13.2399,188,0
RA.US,5,20250728,202500,13.23,13.2394,13.23,13.2394,1908,0
RA.US,5,20250728,203500,13.235,13.239,13.235,13.239,329,0
RA.US,5,20250728,204000,13.24,13.24,13.24,13.24,300,0
RA.US,5,20250728,205000,13.238,13.238,13.238,13.238,200,0
RA.US,5,20250728,210000,13.239,13.24,13.2352,13.24,1080,0
RA.US,5,20250728,210500,13.2359,13.2359,13.2359,13.2359,131,0
RA.US,5,20250728,211000,13.238,13.24,13.2347,13.235,1652,0
RA.US,5,20250728,211500,13.239,13.24,13.239,13.24,1516,0
RA.US,5,20250728,212000,13.24,13.24,13.2302,13.2302,720,0
RA.US,5,20250728,212500,13.24,13.24,13.24,13.24,360,0
RA.US,5,20250728,213000,13.2465,13.25,13.2408,13.25,5303,0
RA.US,5,20250728,213500,13.25,13.25,13.249,13.25,1235,0
RA.US,5,20250728,214000,13.25,13.25,13.245,13.245,800,0
RA.US,5,20250728,214500,13.245,13.25,13.24,13.24,2656,0
RA.US,5,20250728,215000,13.2564,13.2564,13.24,13.245,3099,0
RA.US,5,20250728,215500,13.245,13.26,13.24,13.24,6064,0
RA.US,5,20250729,153000,13.235,13.25,13.22,13.22,2700,0
RA.US,5,20250729,153500,13.2365,13.2365,13.21,13.21,2767,0
RA.US,5,20250729,154000,13.2132,13.2132,13.21,13.21,1200,0
