<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RGR.US,5,20250728,153000,35.1276,35.1276,35.1276,35.1276,100.46229413,0
RGR.US,5,20250728,153500,35.1463,35.1463,35.0281,35.0281,784.6105171553,0
RGR.US,5,20250728,154500,34.8987,34.9881,34.8389,34.8389,731.3655012664001,0
RGR.US,5,20250728,155000,34.829,34.829,34.829,34.829,205.9477029665,0
RGR.US,5,20250728,155500,34.819,34.8887,34.819,34.8887,200.92458826,0
RGR.US,5,20250728,160000,34.9086,34.9086,34.9086,34.9086,200.92458826,0
RGR.US,5,20250728,160500,34.9484,34.9484,34.9373,34.9373,306.40999709650004,0
RGR.US,5,20250728,161500,34.8788,34.8887,34.8788,34.8887,412.9000288743,0
RGR.US,5,20250728,162000,34.9285,34.9385,34.8688,34.8688,401.84917652,0
RGR.US,5,20250728,162500,34.8887,34.8887,34.8887,34.8887,100.46229413,0
RGR.US,5,20250728,163000,34.9683,34.9683,34.9683,34.9683,133.6148511929,0
RGR.US,5,20250728,164000,34.9036,34.9186,34.9036,34.9186,340.5671771007,0
RGR.US,5,20250728,164500,34.9484,34.9484,34.9484,34.9484,111.51314648430001,0
RGR.US,5,20250728,165000,34.9484,34.9484,34.9385,34.9385,466.1450447632,0
RGR.US,5,20250728,170000,34.9584,35.0181,34.9584,35.0181,371.71048828100004,0
RGR.US,5,20250728,171000,34.9982,35.0082,34.9883,34.9883,1930.8852931786003,0
RGR.US,5,20250728,172000,34.9833,34.9833,34.9733,34.9733,200.92458826,0
RGR.US,5,20250728,172500,34.9484,34.9883,34.9484,34.9883,602.7737647800001,0
RGR.US,5,20250728,173000,34.9783,34.9783,34.9783,34.9783,100.46229413,0
RGR.US,5,20250728,173500,34.9534,34.9534,34.9534,34.9534,169.7812770797,0
RGR.US,5,20250728,174000,34.9783,35.0082,34.9783,35.0082,210.97081767300003,0
RGR.US,5,20250728,180500,35.038,35.038,35.0281,35.0311,417.9231435808,0
RGR.US,5,20250728,181000,35.0397,35.0397,35.038,35.038,372.71511122230004,0
RGR.US,5,20250728,182500,34.9982,34.9982,34.9584,34.9584,200.92458826,0
RGR.US,5,20250728,183000,34.9484,34.9484,34.9484,34.9484,100.46229413,0
RGR.US,5,20250728,183500,34.9285,34.9285,34.9285,34.9285,412.9000288743,0
RGR.US,5,20250728,184000,34.9086,34.9086,34.9086,34.9086,285.3129153292,0
RGR.US,5,20250728,184500,34.8887,34.8887,34.8887,34.8887,100.46229413,0
RGR.US,5,20250728,185500,34.8389,34.8489,34.8389,34.8489,401.84917652,0
RGR.US,5,20250728,190000,34.8688,34.8788,34.8389,34.8389,543.5010112433,0
RGR.US,5,20250728,191000,34.829,34.8389,34.8141,34.829,911.1930077591,0
RGR.US,5,20250728,192000,34.8389,34.8389,34.8389,34.8389,100.46229413,0
RGR.US,5,20250728,192500,34.8588,34.8778,34.8389,34.8439,1571.2302801932,0
RGR.US,5,20250728,193000,34.829,34.8389,34.819,34.824,1483.8280843001,0
RGR.US,5,20250728,193500,34.8389,34.8389,34.8389,34.8389,200.92458826,0
