<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RHP.US,5,20250728,153000,99.435,100.08,99.0838,99.95,4167,0
RHP.US,5,20250728,153500,99.96,99.96,99.555,99.82,600,0
RHP.US,5,20250728,154000,99.55,99.94,99.46,99.57,3991,0
RHP.US,5,20250728,154500,99.57,99.57,99.0397,99.31,1604,0
RHP.US,5,20250728,155000,99.19,99.475,99.185,99.475,4742,0
RHP.US,5,20250728,155500,99.475,99.65,99.07,99.56,3665,0
RHP.US,5,20250728,160000,99.65,99.73,99.61,99.73,1100,0
RHP.US,5,20250728,160500,99.76,99.945,99.74,99.775,4400,0
RHP.US,5,20250728,161000,99.88,99.965,99.77,99.965,2800,0
RHP.US,5,20250728,161500,99.94,100.06,99.83,100.06,1469,0
RHP.US,5,20250728,162000,100.06,100.08,99.505,99.505,2115,0
RHP.US,5,20250728,162500,99.425,99.59,99.425,99.59,1500,0
RHP.US,5,20250728,163000,99.71,99.71,99.645,99.645,2000,0
RHP.US,5,20250728,163500,99.645,99.76,99.64,99.76,1100,0
RHP.US,5,20250728,164000,99.5457,99.79,99.5457,99.72,1000,0
RHP.US,5,20250728,164500,99.64,99.64,99.625,99.625,1700,0
RHP.US,5,20250728,165000,99.74,99.74,99.58,99.65,1387,0
RHP.US,5,20250728,165500,99.65,99.65,99.445,99.62,1723,0
RHP.US,5,20250728,170000,99.55,99.55,99.44,99.44,1408,0
RHP.US,5,20250728,170500,99.51,99.66,99.51,99.645,500,0
RHP.US,5,20250728,171000,99.645,99.645,99.555,99.555,1047,0
RHP.US,5,20250728,171500,99.63,99.73,99.45,99.45,2100,0
RHP.US,5,20250728,172000,99.555,99.82,99.5,99.82,1715,0
RHP.US,5,20250728,172500,99.695,99.695,99.47,99.54,1110,0
RHP.US,5,20250728,173000,99.545,99.555,99.545,99.555,200,0
RHP.US,5,20250728,173500,99.72,99.8,99.65,99.67,900,0
RHP.US,5,20250728,174000,99.67,99.79,99.67,99.79,1127,0
RHP.US,5,20250728,174500,99.82,99.87,99.82,99.87,200,0
RHP.US,5,20250728,175000,99.89,99.89,99.748,99.805,8039,0
RHP.US,5,20250728,175500,99.88,100.045,99.85,100.045,3441,0
RHP.US,5,20250728,180000,100.025,100.16,100.015,100.16,400,0
RHP.US,5,20250728,180500,100.055,100.19,100.055,100.14,900,0
RHP.US,5,20250728,181000,100.13,100.17,100.1,100.16,1300,0
RHP.US,5,20250728,181500,100.11,100.2,100.11,100.125,1500,0
RHP.US,5,20250728,182000,100.17,100.2,99.995,99.995,2160,0
RHP.US,5,20250728,182500,99.995,100,99.96,99.97,700,0
RHP.US,5,20250728,183000,100.015,100.02,99.96,99.985,1600,0
RHP.US,5,20250728,183500,99.95,99.96,99.83,99.83,1577,0
RHP.US,5,20250728,184000,99.83,99.88,99.83,99.85,1235,0
RHP.US,5,20250728,184500,99.84,99.88,99.79,99.84,1264,0
RHP.US,5,20250728,185000,99.96,99.96,99.76,99.83,2100,0
RHP.US,5,20250728,185500,99.78,99.78,99.63,99.665,1600,0
RHP.US,5,20250728,190000,99.665,99.69,99.66,99.69,1400,0
RHP.US,5,20250728,190500,99.65,99.655,99.57,99.59,2421,0
RHP.US,5,20250728,191000,99.58,99.58,99.51,99.51,1316,0
RHP.US,5,20250728,191500,99.52,99.52,99.44,99.44,1300,0
RHP.US,5,20250728,192000,99.4,99.4,99.31,99.315,1922,0
RHP.US,5,20250728,192500,99.31,99.34,99.28,99.34,913,0
RHP.US,5,20250728,193000,99.34,99.42,99.32,99.32,1450,0
RHP.US,5,20250728,193500,99.36,99.38,99.34,99.34,556,0
RHP.US,5,20250728,194000,99.44,99.44,99.39,99.41,850,0
RHP.US,5,20250728,194500,99.46,99.46,99.27,99.275,3015,0
RHP.US,5,20250728,195000,99.275,99.32,99.27,99.31,1200,0
RHP.US,5,20250728,195500,99.285,99.285,99.12,99.12,1203,0
RHP.US,5,20250728,200000,99.08,99.125,98.88,98.88,1000,0
RHP.US,5,20250728,200500,98.88,98.94,98.805,98.94,1369,0
RHP.US,5,20250728,201000,99.02,99.14,98.955,99.09,1300,0
RHP.US,5,20250728,201500,99.09,99.15,99.04,99.095,2910,0
RHP.US,5,20250728,202000,99.04,99.06,99.02,99.045,1400,0
RHP.US,5,20250728,202500,99.045,99.13,99.01,99.095,2160,0
RHP.US,5,20250728,203000,99.15,99.17,99.07,99.13,4268,0
RHP.US,5,20250728,203500,99.12,99.16,99.0787,99.12,1123,0
