<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RMCA.US,5,20250728,161500,23.39,23.39,23.39,23.39,100,0
RMCA.US,5,20250728,215500,23.37,23.42,23.37,23.42,300,0
RMCA.US,5,20250729,201000,23.46,23.46,23.46,23.46,3743,0
RMCA.US,5,20250811,210000,23.49,23.49,23.49,23.49,321,0
RMCA.US,5,20250813,170500,23.52,23.52,23.52,23.52,20589,0
RMCA.US,5,20250814,215000,23.43,23.4599,23.43,23.4599,200,0
RMCA.US,5,20250815,210000,23.4594,23.4594,23.4594,23.4594,143,0
RMCA.US,5,20250820,175500,23.45,23.45,23.44,23.44,625,0
RMCA.US,5,20250829,155000,23.46,23.46,23.46,23.46,100,0
RMCA.US,5,20250829,184000,23.46,23.46,23.46,23.46,500,0
RMCA.US,5,20250829,211500,23.445,23.46,23.445,23.46,630,0
RMCA.US,5,20250902,210500,23.37,23.37,23.37,23.37,100,0
RMCA.US,5,20250902,211000,23.38,23.39,23.37,23.37,1787,0
RMCA.US,5,20250903,211000,23.49,23.49,23.49,23.49,725,0
RMCA.US,5,20250904,200000,23.52,23.6,23.52,23.6,300,0
RMCA.US,5,20250905,163500,23.7699,23.7699,23.7699,23.7699,246,0
RMCA.US,5,20250905,181000,23.78,23.84,23.78,23.84,300,0
RMCA.US,5,20250908,210500,23.9599,23.9599,23.945,23.945,200,0
RMCA.US,5,20250911,210500,24.17,24.17,24.17,24.17,136,0
RMCA.US,5,20250911,214500,24.21,24.21,24.21,24.21,210,0
RMCA.US,5,20250911,215500,24.19,24.19,24.19,24.19,128,0
RMCA.US,5,20250915,210000,24.2499,24.25,24.24,24.24,837,0
RMCA.US,5,20250915,214500,24.24,24.24,24.19,24.19,572,0
RMCA.US,5,20250916,201000,24.28,24.28,24.28,24.28,200,0
RMCA.US,5,20250917,205500,24.25,24.25,24.25,24.25,100,0
RMCA.US,5,20250922,153000,24.27,24.27,24.27,24.27,1080,0
RMCA.US,5,20250922,215500,24.28,24.28,24.28,24.28,165,0
RMCA.US,5,20250929,194000,24.1941,24.1941,24.1941,24.1941,121,0
RMCA.US,5,20250930,160500,24.24,24.24,24.24,24.24,100,0
RMCA.US,5,20250930,163000,24.23,24.23,24.23,24.23,100,0
RMCA.US,5,20250930,170000,24.24,24.24,24.24,24.24,100,0
RMCA.US,5,20250930,173000,24.19,24.19,24.19,24.19,100,0
RMCA.US,5,20250930,181500,24.2,24.2,24.2,24.2,100,0
RMCA.US,5,20250930,185500,24.22,24.22,24.22,24.22,100,0
RMCA.US,5,20250930,193500,24.21,24.21,24.21,24.21,100,0
RMCA.US,5,20250930,200000,24.23,24.23,24.23,24.23,100,0
RMCA.US,5,20250930,202500,24.22,24.22,24.22,24.22,100,0
RMCA.US,5,20250930,205000,24.22,24.22,24.22,24.22,100,0
RMCA.US,5,20250930,212500,24.24,24.24,24.24,24.24,100,0
RMCA.US,5,20251001,203000,24.23,24.23,24.22,24.22,395,0
RMCA.US,5,20251001,214500,24.23,24.23,24.23,24.23,1147,0
RMCA.US,5,20251003,172500,24.28,24.28,24.28,24.28,100,0
RMCA.US,5,20251003,192500,24.26,24.26,24.26,24.26,200,0
RMCA.US,5,20251006,190500,24.237,24.237,24.237,24.237,200,0
RMCA.US,5,20251006,200000,24.25,24.29,24.25,24.29,350,0
RMCA.US,5,20251006,210500,24.23,24.23,24.23,24.23,4135,0
RMCA.US,5,20251006,215500,24.26,24.26,24.26,24.26,288,0
RMCA.US,5,20251009,164500,24.2403,24.2403,24.2403,24.2403,138,0
RMCA.US,5,20251009,211500,24.28,24.28,24.28,24.28,9500,0
RMCA.US,5,20251014,162000,24.45,24.45,24.45,24.45,100,0
RMCA.US,5,20251014,164500,24.45,24.45,24.45,24.45,2234,0
RMCA.US,5,20251014,215500,24.44,24.45,24.439,24.45,300,0
RMCA.US,5,20251015,162000,24.4698,24.4698,24.4605,24.4605,430,0
RMCA.US,5,20251015,165000,24.4699,24.4699,24.4699,24.4699,200,0
RMCA.US,5,20251015,165500,24.4799,24.48,24.469,24.469,519,0
RMCA.US,5,20251015,170000,24.4698,24.4698,24.45,24.45,460,0
RMCA.US,5,20251015,175000,24.4492,24.4492,24.4492,24.4492,320,0
RMCA.US,5,20251015,210000,24.43,24.43,24.43,24.43,616,0
RMCA.US,5,20251017,153000,24.51,24.51,24.51,24.51,100,0
RMCA.US,5,20251017,195000,24.51,24.51,24.51,24.51,2040,0
RMCA.US,5,20251022,214500,24.53,24.545,24.52,24.53,1084,0
RMCA.US,5,20251024,215500,24.54,24.5401,24.54,24.5401,552,0
RMCA.US,5,20251027,182000,24.57,24.57,24.5699,24.5699,1058,0
RMCA.US,5,20251028,202500,24.5305,24.5305,24.5305,24.5305,245,0
RMCA.US,5,20251028,205500,24.54,24.54,24.54,24.54,122,0
RMCA.US,5,20251029,154500,24.53,24.53,24.53,24.53,145,0
RMCA.US,5,20251029,191500,24.499,24.499,24.49,24.49,200,0
RMCA.US,5,20251029,192500,24.495,24.495,24.495,24.495,161,0
RMCA.US,5,20251103,153500,24.32,24.32,24.32,24.32,1065,0
RMCA.US,5,20251103,154000,24.33,24.33,24.33,24.33,100,0
RMCA.US,5,20251105,160000,24.33,24.33,24.33,24.33,600,0
RMCA.US,5,20251106,181000,24.3794,24.3794,24.3794,24.3794,1000,0
RMCA.US,5,20251110,204500,24.402,24.402,24.402,24.402,288,0
RMCA.US,5,20251111,192000,24.45,24.45,24.45,24.45,300,0
RMCA.US,5,20251111,210000,24.45,24.45,24.45,24.45,1004,0
RMCA.US,5,20251111,211000,24.45,24.45,24.45,24.45,300,0
RMCA.US,5,20251112,210000,24.44,24.5,24.4397,24.4397,1800,0
RMCA.US,5,20251114,202500,24.36,24.36,24.36,24.36,100,0
RMCA.US,5,20251114,203500,24.36,24.36,24.36,24.36,100,0
RMCA.US,5,20251114,204000,24.36,24.36,24.36,24.36,100,0
RMCA.US,5,20251114,205500,24.36,24.36,24.36,24.36,200,0
RMCA.US,5,20251114,210000,24.36,24.36,24.36,24.36,400,0
RMCA.US,5,20251118,173000,24.41,24.41,24.41,24.41,100,0
RMCA.US,5,20251119,155000,24.42,24.42,24.42,24.42,100,0
RMCA.US,5,20251120,153000,24.42,24.42,24.42,24.42,800,0
RMCA.US,5,20251121,153000,24.44,24.44,24.42,24.42,700,0
RMCA.US,5,20251121,192500,24.4301,24.4301,24.4301,24.4301,100,0
RMCA.US,5,20251121,202000,24.43,24.43,24.43,24.43,400,0
RMCA.US,5,20251124,153500,24.43,24.43,24.43,24.43,200,0
RMCA.US,5,20251124,155000,24.44,24.44,24.44,24.44,400,0
RMCA.US,5,20251124,170000,24.42,24.42,24.42,24.42,100,0
RMCA.US,5,20251124,175000,24.4107,24.4107,24.4107,24.4107,782,0
RMCA.US,5,20251124,194500,24.42,24.42,24.42,24.42,100,0
RMCA.US,5,20251124,215500,24.43,24.43,24.43,24.43,200,0
RMCA.US,5,20251125,153000,24.43,24.43,24.43,24.43,300,0
RMCA.US,5,20251125,153500,24.43,24.43,24.43,24.43,300,0
RMCA.US,5,20251125,154000,24.43,24.43,24.43,24.43,100,0
RMCA.US,5,20251125,154500,24.43,24.43,24.43,24.43,200,0
RMCA.US,5,20251125,163000,24.42,24.42,24.42,24.42,100,0
RMCA.US,5,20251126,165500,24.37,24.37,24.37,24.37,200,0
RMCA.US,5,20251126,170000,24.37,24.37,24.37,24.37,300,0
RMCA.US,5,20251126,173000,24.37,24.37,24.37,24.37,100,0
RMCA.US,5,20251126,173500,24.37,24.37,24.37,24.37,300,0
