<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RRX.US,5,20250728,153000,157.73,157.815,155.09,156.52,4110,0
RRX.US,5,20250728,153500,156.38,157.24,156.38,157.24,1700,0
RRX.US,5,20250728,154000,157.215,157.22,156.48,157.22,394,0
RRX.US,5,20250728,154500,157.22,157.33,157,157.045,4060,0
RRX.US,5,20250728,155000,156.975,156.995,156.41,156.995,6390,0
RRX.US,5,20250728,155500,157,157.8965,156.99,157.645,6219,0
RRX.US,5,20250728,160000,157.24,157.27,156.9723,156.9723,615,0
RRX.US,5,20250728,160500,157.58,157.64,157.475,157.5,2934,0
RRX.US,5,20250728,161000,157.41,157.495,157.23,157.355,1111,0
RRX.US,5,20250728,161500,157.54,157.85,157.54,157.77,5266,0
RRX.US,5,20250728,162000,157.85,157.88,157.735,157.85,4000,0
RRX.US,5,20250728,162500,157.85,157.865,157.51,157.85,6805,0
RRX.US,5,20250728,163000,157.85,157.85,157.66,157.85,500,0
RRX.US,5,20250728,163500,157.91,157.93,157.44,157.85,72826,0
RRX.US,5,20250728,164000,157.85,158.06,157.74,158,7017,0
RRX.US,5,20250728,164500,158,158.06,157.995,158,600,0
RRX.US,5,20250728,165000,158,158,157.79,157.85,1451,0
RRX.US,5,20250728,165500,157.83,157.89,157.48,157.89,10503,0
RRX.US,5,20250728,170000,157.89,158.05,157.66,157.96,7467,0
RRX.US,5,20250728,170500,158.04,158.2,157.95,158.15,2753,0
RRX.US,5,20250728,171000,158.15,158.275,157.94,158.255,88010,0
RRX.US,5,20250728,171500,158.26,158.31,157.955,158.28,37702,0
RRX.US,5,20250728,172000,158.21,158.55,158.21,158.41,1689,0
RRX.US,5,20250728,172500,158.37,158.37,158.1,158.13,2828,0
RRX.US,5,20250728,173000,158.28,158.29,158.093,158.29,6077,0
RRX.US,5,20250728,173500,158.32,158.37,158.32,158.325,300,0
RRX.US,5,20250728,174000,158.34,158.34,158.34,158.34,200,0
RRX.US,5,20250728,174500,158.49,158.52,158.345,158.345,27301,0
RRX.US,5,20250728,175000,158.3775,158.74,158.3775,158.61,1492,0
RRX.US,5,20250728,175500,158.63,158.735,158.62,158.63,725,0
RRX.US,5,20250728,180000,158.75,158.9,158.74,158.845,2201,0
RRX.US,5,20250728,180500,158.97,159.14,158.85,159.07,8239,0
RRX.US,5,20250728,181000,159.14,159.24,158.97,159.1,25329,0
RRX.US,5,20250728,181500,159.19,159.625,159.19,159.51,2645,0
RRX.US,5,20250728,182000,159.51,159.62,159.48,159.48,5600,0
RRX.US,5,20250728,182500,159.37,159.37,159.3445,159.3445,538,0
RRX.US,5,20250728,183000,159.56,159.56,159.47,159.47,552,0
RRX.US,5,20250728,183500,159.37,159.37,159.09,159.17,1508,0
RRX.US,5,20250728,184000,159.165,159.165,159.09,159.09,426,0
RRX.US,5,20250728,184500,159.14,159.33,158.92,159.14,42862,0
RRX.US,5,20250728,185000,159.19,159.23,159.08,159.19,2619,0
RRX.US,5,20250728,185500,159.14,159.21,158.96,159.19,40022,0
RRX.US,5,20250728,190000,159.28,159.28,159.19,159.19,2583,0
RRX.US,5,20250728,190500,159.35,159.51,159.325,159.4,1955,0
RRX.US,5,20250728,191000,159.54,159.55,159.42,159.42,723,0
RRX.US,5,20250728,191500,159.54,159.56,159.29,159.41,1302,0
RRX.US,5,20250728,192000,159.33,159.33,158.96,159.1,10761,0
RRX.US,5,20250728,192500,159.16,159.21,158.995,159.19,7364,0
RRX.US,5,20250728,193000,159.22,159.22,159.21,159.21,300,0
RRX.US,5,20250728,193500,159.205,159.21,159.2,159.2,900,0
RRX.US,5,20250728,194000,159.3,159.3,159.2105,159.225,2834,0
RRX.US,5,20250728,194500,159.29,159.35,159.225,159.31,1058,0
RRX.US,5,20250728,195000,159.235,159.235,159.235,159.235,1020,0
RRX.US,5,20250728,195500,159.34,159.34,158.73,158.73,7920,0
RRX.US,5,20250728,200000,158.82,159,158.22,158.37,30115,0
RRX.US,5,20250728,200500,158.65,158.77,158.325,158.73,1200,0
RRX.US,5,20250728,201000,158.75,159.08,158.75,159.08,1970,0
RRX.US,5,20250728,201500,158.9092,159.29,158.9092,159.29,2408,0
