<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RTO.US,5,20250728,153000,24.58,24.58,24.52,24.54,10702,0
RTO.US,5,20250728,153500,24.52,24.52,24.449,24.47,6328,0
RTO.US,5,20250728,154000,24.47,24.47,24.43,24.46,5322,0
RTO.US,5,20250728,154500,24.46,24.47,24.45,24.47,1900,0
RTO.US,5,20250728,155000,24.49,24.49,24.47,24.47,800,0
RTO.US,5,20250728,155500,24.48,24.49,24.42,24.42,3763,0
RTO.US,5,20250728,160000,24.42,24.44,24.4,24.4,5629,0
RTO.US,5,20250728,160500,24.4,24.42,24.39,24.39,1988,0
RTO.US,5,20250728,161000,24.39,24.39,24.35,24.39,6029,0
RTO.US,5,20250728,161500,24.38,24.39,24.35,24.38,3577,0
RTO.US,5,20250728,162000,24.38,24.38,24.35,24.35,2200,0
RTO.US,5,20250728,162500,24.35,24.37,24.35,24.37,3999,0
RTO.US,5,20250728,163000,24.37,24.41,24.37,24.4,7958,0
RTO.US,5,20250728,163500,24.39,24.41,24.37,24.39,14312,0
RTO.US,5,20250728,164000,24.39,24.4,24.38,24.39,5021,0
RTO.US,5,20250728,164500,24.37,24.38,24.35,24.35,4826,0
RTO.US,5,20250728,165000,24.36,24.38,24.36,24.36,9308,0
RTO.US,5,20250728,165500,24.36,24.38,24.35,24.35,9134,0
RTO.US,5,20250728,170000,24.33,24.35,24.33,24.35,1353,0
RTO.US,5,20250728,170500,24.347,24.35,24.32,24.33,4010,0
RTO.US,5,20250728,171000,24.32,24.32,24.28,24.28,3184,0
RTO.US,5,20250728,171500,24.28,24.31,24.25,24.25,5432,0
RTO.US,5,20250728,172000,24.24,24.24,24.22,24.24,4268,0
RTO.US,5,20250728,172500,24.23,24.25,24.22,24.23,6587,0
RTO.US,5,20250728,173000,24.23,24.28,24.205,24.22,74531,0
RTO.US,5,20250728,173500,24.23,24.23,24.02,24.03,58317,0
RTO.US,5,20250728,174000,24.01,24.055,23.98,24.04,65152,0
RTO.US,5,20250728,174500,24.03,24.1,24.03,24.1,13322,0
RTO.US,5,20250728,175000,24.1,24.14,24.08,24.095,9863,0
RTO.US,5,20250728,175500,24.095,24.11,24.065,24.09,6228,0
RTO.US,5,20250728,180000,24.11,24.16,24.11,24.15,5312,0
RTO.US,5,20250728,180500,24.14,24.16,24.12,24.15,3465,0
RTO.US,5,20250728,181000,24.13,24.14,24.12,24.12,4439,0
RTO.US,5,20250728,181500,24.12,24.13,24.11,24.12,2907,0
RTO.US,5,20250728,182000,24.12,24.12,24.08,24.09,7447,0
RTO.US,5,20250728,182500,24.08,24.135,24.08,24.135,2420,0
RTO.US,5,20250728,183000,24.135,24.15,24.13,24.13,3701,0
RTO.US,5,20250728,183500,24.14,24.145,24.12,24.12,6482,0
RTO.US,5,20250728,184000,24.11,24.115,24.11,24.115,900,0
RTO.US,5,20250728,184500,24.11,24.115,24.1,24.1,900,0
RTO.US,5,20250728,185000,24.09,24.1,24.05,24.05,2999,0
RTO.US,5,20250728,185500,24.06,24.08,24.06,24.06,1360,0
RTO.US,5,20250728,190000,24.0678,24.14,24.0678,24.105,13096,0
RTO.US,5,20250728,190500,24.1,24.1,24.08,24.09,2136,0
RTO.US,5,20250728,191000,24.08,24.095,24.08,24.09,1867,0
RTO.US,5,20250728,191500,24.09,24.11,24.075,24.08,3722,0
RTO.US,5,20250728,192000,24.08,24.095,24.04,24.06,9444,0
RTO.US,5,20250728,192500,24.06,24.0762,24.06,24.07,1613,0
RTO.US,5,20250728,193000,24.07,24.11,24.07,24.08,9234,0
RTO.US,5,20250728,193500,24.07,24.09,24.07,24.09,4214,0
RTO.US,5,20250728,194000,24.085,24.11,24.08,24.0896,1784,0
RTO.US,5,20250728,194500,24.09,24.09,24.05,24.05,1929,0
RTO.US,5,20250728,195000,24.05,24.07,24.05,24.065,1329,0
RTO.US,5,20250728,195500,24.07,24.07,24.05,24.05,2205,0
RTO.US,5,20250728,200000,24.05,24.065,24.05,24.05,2070,0
RTO.US,5,20250728,200500,24.03,24.03,24.01,24.01,1888,0
RTO.US,5,20250728,201000,24.01,24.04,24.01,24.04,5624,0
RTO.US,5,20250728,201500,24.05,24.05,24.025,24.025,5434,0
RTO.US,5,20250728,202000,24.02,24.025,24.01,24.01,2700,0
RTO.US,5,20250728,202500,24.01,24.06,24.01,24.06,6125,0
RTO.US,5,20250728,203000,24.055,24.065,24.05,24.05,2924,0
RTO.US,5,20250728,203500,24.06,24.08,24.055,24.08,1889,0
RTO.US,5,20250728,204000,24.07,24.07,24.04,24.05,2686,0
RTO.US,5,20250728,204500,24.0493,24.05,24.04,24.04,3977,0
RTO.US,5,20250728,205000,24.035,24.05,24.035,24.035,11778,0
RTO.US,5,20250728,205500,24.035,24.035,24,24.005,5796,0
RTO.US,5,20250728,210000,24.005,24.03,24,24.03,6553,0
RTO.US,5,20250728,210500,24.025,24.025,24,24.02,7501,0
RTO.US,5,20250728,211000,24.02,24.0318,24.007565,24.03,9218,0
RTO.US,5,20250728,211500,24.04,24.04,24.01,24.01,8608,0
RTO.US,5,20250728,212000,24,24.025,24,24.02,10837,0
RTO.US,5,20250728,212500,24.02,24.02,24.015,24.015,1185,0
RTO.US,5,20250728,213000,24.015,24.03,24.01,24.015,7265,0
RTO.US,5,20250728,213500,24.015,24.04,24.015,24.02,7181,0
RTO.US,5,20250728,214000,24.025,24.03,24.02,24.025,9604,0
RTO.US,5,20250728,214500,24.025,24.025,24.01,24.015,12836,0
RTO.US,5,20250728,215000,24.01,24.035,24,24.03,20660,0
RTO.US,5,20250728,215500,24.03,24.07,24.02,24.05,112381,0
RTO.US,5,20250729,153000,23.56,23.57,23.43,23.5,21990,0
RTO.US,5,20250729,153500,23.5,23.55,23.47,23.535,20180,0
RTO.US,5,20250729,154000,23.55,23.56,23.48,23.56,16953,0
RTO.US,5,20250729,154500,23.555,23.56,23.49,23.5,26424,0
RTO.US,5,20250729,155000,23.5,23.51,23.455,23.455,18073,0
RTO.US,5,20250729,155500,23.455,23.455,23.4,23.43,9422,0
RTO.US,5,20250729,160000,23.445,23.47,23.42,23.45,9739,0
RTO.US,5,20250729,160500,23.45,23.49,23.41,23.43,6700,0
RTO.US,5,20250729,161000,23.42,23.445,23.41,23.435,3233,0
RTO.US,5,20250729,161500,23.43,23.43,23.335,23.335,3813,0
RTO.US,5,20250729,162000,23.33,23.41,23.33,23.39,4963,0
RTO.US,5,20250729,162500,23.38,23.385,23.27,23.28,55680,0
RTO.US,5,20250729,163000,23.27,23.3,23.25,23.27,6702,0
RTO.US,5,20250729,163500,23.26,23.27,23.25,23.265,5150,0
RTO.US,5,20250729,164000,23.26,23.3,23.24,23.26,6926,0
RTO.US,5,20250729,164500,23.25,23.29,23.23,23.29,5364,0
RTO.US,5,20250729,165000,23.29,23.35,23.27,23.28,21574,0
RTO.US,5,20250729,165500,23.28,23.31,23.27,23.29,10197,0
RTO.US,5,20250729,170000,23.29,23.32,23.285,23.29,12561,0
RTO.US,5,20250729,170500,23.29,23.3,23.28,23.3,3235,0
RTO.US,5,20250729,171000,23.29,23.29,23.22,23.23,4908,0
RTO.US,5,20250729,171500,23.235,23.24,23.215,23.22,2962,0
RTO.US,5,20250729,172000,23.24,23.25,23.19,23.22,17409,0
RTO.US,5,20250729,172500,23.2,23.215,23.16,23.16,15567,0
RTO.US,5,20250729,173000,23.16,23.2,23.13,23.13,57525,0
RTO.US,5,20250729,173500,23.14,23.175,23.07,23.09,30318,0
RTO.US,5,20250729,174000,23.085,23.105,23.08,23.1,7993,0
RTO.US,5,20250729,174500,23.095,23.1,23.085,23.09,4914,0
RTO.US,5,20250729,175000,23.1,23.13,23.1,23.11,3948,0
RTO.US,5,20250729,175500,23.11,23.115,23.09,23.095,3308,0
RTO.US,5,20250729,180000,23.095,23.15,23.09,23.15,14194,0
RTO.US,5,20250729,180500,23.135,23.1467,23.13,23.14,8580,0
RTO.US,5,20250729,181000,23.14,23.175,23.14,23.17,5877,0
RTO.US,5,20250729,181500,23.175,23.205,23.17,23.2,3250,0
RTO.US,5,20250729,182000,23.2,23.22,23.1832,23.22,2650,0
RTO.US,5,20250729,182500,23.22,23.22,23.2,23.2,2624,0
RTO.US,5,20250729,183000,23.21,23.21,23.16,23.16,5330,0
RTO.US,5,20250729,183500,23.17,23.17,23.16,23.165,2300,0
RTO.US,5,20250729,184000,23.165,23.175,23.16,23.17,3631,0
RTO.US,5,20250729,184500,23.175,23.1756,23.16,23.16,1789,0
RTO.US,5,20250729,185000,23.165,23.175,23.16,23.16,4344,0
RTO.US,5,20250729,185500,23.17,23.19,23.16,23.19,10324,0
RTO.US,5,20250729,190000,23.185,23.2,23.18,23.2,2189,0
RTO.US,5,20250729,190500,23.19,23.2099,23.19,23.19,10003,0
