<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SGI.US,5,20250728,153000,74.71,74.71,74.14,74.14,3632,0
SGI.US,5,20250728,153500,74.17,74.39,74.145,74.35,7154,0
SGI.US,5,20250728,154000,74.34,74.515,74.04,74.515,7444,0
SGI.US,5,20250728,154500,74.63,74.63,74.27,74.27,6602,0
SGI.US,5,20250728,155000,74.26,74.32,74.11,74.25,9360,0
SGI.US,5,20250728,155500,74.235,74.48,74.205,74.47,31960,0
SGI.US,5,20250728,160000,74.47,74.51,74.35,74.49,31548,0
SGI.US,5,20250728,160500,74.5,74.71,74.49,74.515,9730,0
SGI.US,5,20250728,161000,74.53,74.65,74.49,74.63,8334,0
SGI.US,5,20250728,161500,74.63,74.685,74.59,74.685,6339,0
SGI.US,5,20250728,162000,74.69,74.72,74.56,74.56,9481,0
SGI.US,5,20250728,162500,74.52,74.65,74.52,74.6251,8999,0
SGI.US,5,20250728,163000,74.64,74.85,74.635,74.72,8074,0
SGI.US,5,20250728,163500,74.69,74.73,74.67,74.7,3671,0
SGI.US,5,20250728,164000,74.705,74.85,74.705,74.83,11226,0
SGI.US,5,20250728,164500,74.85,74.85,74.74,74.8,7081,0
SGI.US,5,20250728,165000,74.8,74.91,74.8,74.83,7448,0
SGI.US,5,20250728,165500,74.8,74.87,74.76,74.845,5249,0
SGI.US,5,20250728,170000,74.845,74.87,74.74,74.855,18565,0
SGI.US,5,20250728,170500,74.83,74.86,74.74,74.8075,23680,0
SGI.US,5,20250728,171000,74.79,74.79,74.7,74.77,15420,0
SGI.US,5,20250728,171500,74.765,74.77,74.63,74.7,11262,0
SGI.US,5,20250728,172000,74.68,74.7,74.63,74.65,8825,0
SGI.US,5,20250728,172500,74.63,74.63,74.51,74.57,10293,0
SGI.US,5,20250728,173000,74.57,74.68,74.56,74.65,8045,0
SGI.US,5,20250728,173500,74.65,74.78,74.65,74.72,13480,0
SGI.US,5,20250728,174000,74.725,74.829,74.72,74.829,5858,0
SGI.US,5,20250728,174500,74.81,74.82,74.79,74.805,4220,0
SGI.US,5,20250728,175000,74.83,74.87,74.83,74.85,7721,0
SGI.US,5,20250728,175500,74.87,74.92,74.855,74.92,5110,0
SGI.US,5,20250728,180000,74.905,74.94,74.86,74.94,4511,0
SGI.US,5,20250728,180500,74.99,75.1,74.97,75.1,22739,0
SGI.US,5,20250728,181000,75.0523,75.065,75.0175,75.04,8661,0
SGI.US,5,20250728,181500,75.04,75.055,75.02,75.035,3147,0
SGI.US,5,20250728,182000,75.02,75.13,75.015,75.13,35268,0
SGI.US,5,20250728,182500,75.1,75.115,75.02,75.02,30488,0
SGI.US,5,20250728,183000,75.01,75.08,74.99,75,9808,0
SGI.US,5,20250728,183500,75.015,75.04,74.98,74.98,10166,0
SGI.US,5,20250728,184000,74.97,75.01,74.95,74.99,5530,0
SGI.US,5,20250728,184500,74.97,74.97,74.84,74.865,5116,0
SGI.US,5,20250728,185000,74.85,74.885,74.81,74.885,5893,0
SGI.US,5,20250728,185500,74.9,74.905,74.84,74.84,4342,0
SGI.US,5,20250728,190000,74.855,74.93,74.855,74.88,12967,0
SGI.US,5,20250728,190500,74.88,74.9,74.82,74.85,4906,0
SGI.US,5,20250728,191000,74.84,74.84,74.78,74.8,6182,0
SGI.US,5,20250728,191500,74.8,74.8,74.675,74.68,8704,0
SGI.US,5,20250728,192000,74.66,74.66,74.53,74.53,8669,0
SGI.US,5,20250728,192500,74.54,74.55,74.52,74.53,4532,0
SGI.US,5,20250728,193000,74.535,74.65,74.535,74.61,5851,0
SGI.US,5,20250728,193500,74.62,74.65,74.61,74.64,3900,0
SGI.US,5,20250728,194000,74.64,74.655,74.6,74.655,9453,0
SGI.US,5,20250728,194500,74.64,74.68,74.56,74.565,10053,0
SGI.US,5,20250728,195000,74.57,74.62,74.565,74.62,6544,0
SGI.US,5,20250728,195500,74.62,74.62,74.51,74.52,10880,0
SGI.US,5,20250728,200000,74.51,74.56,74.47,74.47,9202,0
SGI.US,5,20250728,200500,74.46,74.47,74.39,74.46,20717,0
SGI.US,5,20250728,201000,74.44,74.5,74.4,74.47,11920,0
SGI.US,5,20250728,201500,74.48,74.49,74.44,74.47,11064,0
SGI.US,5,20250728,202000,74.46,74.48,74.44,74.465,4723,0
SGI.US,5,20250728,202500,74.45,74.46,74.41,74.41,7710,0
SGI.US,5,20250728,203000,74.41,74.49,74.4,74.48,6092,0
SGI.US,5,20250728,203500,74.48,74.48,74.43,74.44,12169,0
SGI.US,5,20250728,204000,74.44,74.52,74.44,74.48,15996,0
SGI.US,5,20250728,204500,74.47,74.47,74.42,74.42,6014,0
SGI.US,5,20250728,205000,74.43,74.48,74.43,74.44,8639,0
SGI.US,5,20250728,205500,74.44,74.45,74.42,74.425,8978,0
SGI.US,5,20250728,210000,74.42,74.48,74.41,74.45,9025,0
SGI.US,5,20250728,210500,74.45,74.45,74.34,74.39,12403,0
SGI.US,5,20250728,211000,74.38,74.4,74.3449,74.39,9149,0
SGI.US,5,20250728,211500,74.38,74.4,74.35,74.369,7014,0
SGI.US,5,20250728,212000,74.365,74.418,74.36,74.4,17452,0
SGI.US,5,20250728,212500,74.4,74.42,74.345,74.41,15275,0
SGI.US,5,20250728,213000,74.42,74.438,74.33,74.355,34401,0
SGI.US,5,20250728,213500,74.35,74.41,74.34,74.4,16267,0
SGI.US,5,20250728,214000,74.39,74.428,74.37,74.415,28245,0
SGI.US,5,20250728,214500,74.41,74.565,74.41,74.535,32022,0
SGI.US,5,20250728,215000,74.52,74.735,74.52,74.66,38801,0
SGI.US,5,20250728,215500,74.665,74.8,74.63,74.78,583943,0
SGI.US,5,20250729,153000,75.265,75.35,75.2,75.35,324,0
SGI.US,5,20250729,153500,75.01,75.125,74.89,75.005,2226,0
SGI.US,5,20250729,154000,75.23,75.23,74.8,74.905,17237,0
SGI.US,5,20250729,154500,74.895,75.045,74.69,74.69,13820,0
SGI.US,5,20250729,155000,74.74,74.78,74.62,74.74,2400,0
SGI.US,5,20250729,155500,74.74,74.8,74.66,74.745,4000,0
SGI.US,5,20250729,160000,74.745,74.84,74.72,74.83,13156,0
SGI.US,5,20250729,160500,74.85,74.99,74.85,74.92,4185,0
SGI.US,5,20250729,161000,74.92,75.11,74.92,75.055,8882,0
SGI.US,5,20250729,161500,75.03,75.055,74.95,75.035,6418,0
SGI.US,5,20250729,162000,75.01,75.01,74.89,74.945,5644,0
SGI.US,5,20250729,162500,74.95,75.065,74.945,74.96,13038,0
SGI.US,5,20250729,163000,74.96,75.01,74.89,74.99,5280,0
SGI.US,5,20250729,163500,74.96,74.98,74.87,74.92,3448,0
SGI.US,5,20250729,164000,74.88,74.89,74.79,74.8,3242,0
SGI.US,5,20250729,164500,74.795,74.795,74.6,74.795,5794,0
SGI.US,5,20250729,165000,74.8,74.84,74.72,74.72,4662,0
SGI.US,5,20250729,165500,74.72,74.7775,74.68,74.68,13267,0
SGI.US,5,20250729,170000,74.68,74.71,74.63,74.69,34183,0
SGI.US,5,20250729,170500,74.69,74.69,74.56,74.6,25639,0
SGI.US,5,20250729,171000,74.605,74.77,74.59,74.67,27938,0
SGI.US,5,20250729,171500,74.675,74.715,74.645,74.67,24963,0
SGI.US,5,20250729,172000,74.66,74.665,74.58,74.63,17099,0
SGI.US,5,20250729,172500,74.59,74.59,74.395,74.4,5087,0
SGI.US,5,20250729,173000,74.41,74.48,74.39,74.48,13348,0
SGI.US,5,20250729,173500,74.44,74.51,74.44,74.48,2773,0
SGI.US,5,20250729,174000,74.44,74.45,74.28,74.33,11026,0
SGI.US,5,20250729,174500,74.34,74.35,74.21,74.255,16731,0
SGI.US,5,20250729,175000,74.29,74.415,74.26,74.36,21116,0
SGI.US,5,20250729,175500,74.365,74.375,74.2075,74.21,18987,0
SGI.US,5,20250729,180000,74.19,74.2,73.88,73.98,51919,0
SGI.US,5,20250729,180500,74.04,74.04,73.86,73.995,8393,0
SGI.US,5,20250729,181000,73.99,74,73.95,73.97,2430,0
SGI.US,5,20250729,181500,73.96,73.96,73.9,73.9,4001,0
SGI.US,5,20250729,182000,73.915,73.95,73.86,73.935,6075,0
SGI.US,5,20250729,182500,73.935,74.01,73.9,73.97,8993,0
SGI.US,5,20250729,183000,73.98,74.045,73.905,73.91,13999,0
SGI.US,5,20250729,183500,73.915,73.94,73.91,73.91,5131,0
SGI.US,5,20250729,184000,73.91,73.97,73.85,73.97,18692,0
SGI.US,5,20250729,184500,73.99,74.01,73.945,73.95,11367,0
SGI.US,5,20250729,185000,73.95,74.035,73.95,74.035,4163,0
SGI.US,5,20250729,185500,74.035,74.065,73.99,74.03,6000,0
SGI.US,5,20250729,190000,74.04,74.12,74,74.12,22772,0
SGI.US,5,20250729,190500,74.11,74.14,74.055,74.07,9372,0
SGI.US,5,20250729,191000,74.07,74.11,74.05,74.11,4711,0
SGI.US,5,20250729,191500,74.105,74.165,74.08,74.085,11505,0
SGI.US,5,20250729,192000,74.09,74.1,74.08,74.09,4392,0
SGI.US,5,20250729,192500,74.09,74.09,73.9175,74.02,17838,0
SGI.US,5,20250729,193000,74.02,74.02,73.94,73.955,31718,0
SGI.US,5,20250729,193500,73.96,73.98,73.77,73.84,13745,0
SGI.US,5,20250729,194000,73.813,73.82,73.65,73.675,9896,0
SGI.US,5,20250729,194500,73.675,73.74,73.66,73.74,10209,0
SGI.US,5,20250729,195000,73.74,73.75,73.6,73.66,14090,0
SGI.US,5,20250729,195500,73.66,73.72,73.58,73.605,9887,0
SGI.US,5,20250729,200000,73.605,73.75,73.55,73.685,34037,0
SGI.US,5,20250729,200500,73.685,73.74,73.615,73.615,27209,0
SGI.US,5,20250729,201000,73.6,73.61,73.49,73.545,23362,0
SGI.US,5,20250729,201500,73.56,73.65,73.55,73.6,7911,0
SGI.US,5,20250729,202000,73.605,73.62,73.41,73.43,17149,0
SGI.US,5,20250729,202500,73.41,73.41,73.3,73.39,28999,0
SGI.US,5,20250729,203000,73.4,73.49,73.395,73.44,22888,0
SGI.US,5,20250729,203500,73.43,73.54,73.43,73.51,9006,0
SGI.US,5,20250729,204000,73.5114,73.62,73.48,73.62,15150,0
SGI.US,5,20250729,204500,73.635,73.66,73.57,73.61,20549,0
SGI.US,5,20250729,205000,73.61,73.65,73.555,73.575,18215,0
SGI.US,5,20250729,205500,73.58,73.62,73.53,73.58,12787,0
SGI.US,5,20250729,210000,73.58,73.585,73.48,73.505,81094,0
SGI.US,5,20250729,210500,73.505,73.54,73.4,73.4,43927,0
SGI.US,5,20250729,211000,73.4,73.495,73.38,73.47,32721,0
SGI.US,5,20250729,211500,73.46,73.46,73.34,73.35,16652,0
SGI.US,5,20250729,212000,73.35,73.415,73.325,73.34,20774,0
SGI.US,5,20250729,212500,73.34,73.41,73.34,73.405,30548,0
SGI.US,5,20250729,213000,73.395,73.405,73.29,73.295,20396,0
SGI.US,5,20250729,213500,73.28,73.295,73.2,73.2,31117,0
SGI.US,5,20250729,214000,73.2,73.245,73.14,73.21,42540,0
SGI.US,5,20250729,214500,73.22,73.35,73.18,73.31,71401,0
SGI.US,5,20250729,215000,73.28,73.37,73.22,73.27,116971,0
SGI.US,5,20250729,215500,73.27,73.33,73.18,73.3,718476,0
SGI.US,5,20250730,153000,73.515,73.515,73.2,73.48,6973,0
SGI.US,5,20250730,153500,73.67,73.69,73.43,73.505,7960,0
SGI.US,5,20250730,154000,73.505,73.505,73.12,73.29,7632,0
SGI.US,5,20250730,154500,73.315,73.4,73.24,73.28,7210,0
SGI.US,5,20250730,155000,73.25,73.33,73.06,73.1275,6687,0
SGI.US,5,20250730,155500,73.125,73.13,72.9,72.93,14121,0
SGI.US,5,20250730,160000,72.97,73.05,72.91,72.98,16702,0
SGI.US,5,20250730,160500,73,73.255,73,73.155,16485,0
SGI.US,5,20250730,161000,73.155,73.29,73.155,73.245,4609,0
SGI.US,5,20250730,161500,73.265,73.36,73.22,73.355,16216,0
SGI.US,5,20250730,162000,73.35,73.35,73.29,73.31,4832,0
SGI.US,5,20250730,162500,73.28,73.37,73.24,73.36,7430,0
SGI.US,5,20250730,163000,73.36,73.44,73.29,73.29,8750,0
SGI.US,5,20250730,163500,73.32,73.39,73.275,73.28,6396,0
SGI.US,5,20250730,164000,73.28,73.3,73.2,73.292,9766,0
SGI.US,5,20250730,164500,73.28,73.355,73.26,73.31,6526,0
SGI.US,5,20250730,165000,73.32,73.35,73.285,73.285,6333,0
SGI.US,5,20250730,165500,73.29,73.34,73.27,73.2925,10182,0
SGI.US,5,20250730,170000,73.34,73.5,73.33,73.38,13142,0
SGI.US,5,20250730,170500,73.39,73.41,73.31,73.31,7227,0
SGI.US,5,20250730,171000,73.3,73.315,73.18,73.2,12779,0
SGI.US,5,20250730,171500,73.19,73.34,73.1875,73.22,12718,0
SGI.US,5,20250730,172000,73.21,73.21,73.17,73.17,3999,0
SGI.US,5,20250730,172500,73.19,73.23,73.14,73.15,12027,0
SGI.US,5,20250730,173000,73.15,73.29,73.14,73.28,11555,0
SGI.US,5,20250730,173500,73.285,73.34,73.25,73.25,10380,0
SGI.US,5,20250730,174000,73.25,73.285,73.19,73.28,7100,0
SGI.US,5,20250730,174500,73.28,73.28,73.173,73.23,8359,0
SGI.US,5,20250730,175000,73.28,73.34,73.24,73.25,6834,0
SGI.US,5,20250730,175500,73.23,73.24,73.21,73.23,3848,0
SGI.US,5,20250730,180000,73.23,73.26,73.18,73.18,5276,0
SGI.US,5,20250730,180500,73.185,73.26,73.18,73.25,2958,0
SGI.US,5,20250730,181000,73.28,73.33,73.28,73.33,2423,0
SGI.US,5,20250730,181500,73.33,73.405,73.33,73.35,8187,0
SGI.US,5,20250730,182000,73.36,73.36,73.3,73.35,3588,0
SGI.US,5,20250730,182500,73.33,73.375,73.33,73.375,3001,0
SGI.US,5,20250730,183000,73.4,73.4,73.32,73.365,4745,0
SGI.US,5,20250730,183500,73.38,73.415,73.38,73.415,4187,0
SGI.US,5,20250730,184000,73.415,73.46,73.38,73.46,5293,0
SGI.US,5,20250730,184500,73.45,73.48,73.45,73.45,5631,0
SGI.US,5,20250730,185000,73.44,73.48,73.435,73.465,5999,0
SGI.US,5,20250730,185500,73.475,73.49,73.45,73.47,6578,0
SGI.US,5,20250730,190000,73.48,73.565,73.48,73.52,3744,0
SGI.US,5,20250730,190500,73.54,73.54,73.41,73.41,4858,0
SGI.US,5,20250730,191000,73.41,73.54,73.41,73.485,6875,0
SGI.US,5,20250730,191500,73.52,73.52,73.46,73.475,1818,0
SGI.US,5,20250730,192000,73.4835,73.52,73.47,73.5,2968,0
SGI.US,5,20250730,192500,73.52,73.59,73.52,73.55,14816,0
SGI.US,5,20250730,193000,73.55,73.64,73.53,73.64,4889,0
