<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SPE.US,5,20250728,154500,15.5244,15.5244,15.5244,15.5244,400,0
SPE.US,5,20250728,155000,15.51,15.51,15.34,15.4,3091,0
SPE.US,5,20250728,160000,15.4233,15.4233,15.4233,15.4233,731,0
SPE.US,5,20250728,160500,15.455,15.455,15.455,15.455,100,0
SPE.US,5,20250728,161000,15.475,15.5,15.475,15.5,430,0
SPE.US,5,20250728,162000,15.42,15.5191,15.42,15.5191,202,0
SPE.US,5,20250728,162500,15.5209,15.53,15.5209,15.53,700,0
SPE.US,5,20250728,164000,15.41,15.41,15.37,15.37,2713,0
SPE.US,5,20250728,164500,15.43,15.4945,15.42,15.4945,660,0
SPE.US,5,20250728,171000,15.44,15.49,15.4311,15.49,2750,0
SPE.US,5,20250728,171500,15.4504,15.54,15.4504,15.54,1177,0
SPE.US,5,20250728,173500,15.44,15.44,15.44,15.44,100,0
SPE.US,5,20250728,174000,15.4627,15.4674,15.4627,15.4674,1353,0
SPE.US,5,20250728,175000,15.44,15.455,15.44,15.44,600,0
SPE.US,5,20250728,180500,15.44,15.45,15.44,15.45,4317,0
SPE.US,5,20250728,181000,15.4583,15.4583,15.45,15.45,433,0
SPE.US,5,20250728,181500,15.46,15.46,15.4527,15.4527,1930,0
SPE.US,5,20250728,182500,15.4943,15.4943,15.4943,15.4943,100,0
SPE.US,5,20250728,185000,15.46,15.46,15.46,15.46,847,0
SPE.US,5,20250728,191000,15.46,15.46,15.46,15.46,300,0
SPE.US,5,20250728,192500,15.46,15.46,15.46,15.46,109,0
SPE.US,5,20250728,193500,15.43,15.44,15.41,15.44,6327,0
SPE.US,5,20250728,195500,15.44,15.44,15.44,15.44,181,0
SPE.US,5,20250728,201000,15.4,15.4,15.4,15.4,205,0
SPE.US,5,20250728,203500,15.4599,15.4599,15.45,15.45,200,0
SPE.US,5,20250728,211500,15.435,15.435,15.435,15.435,100,0
SPE.US,5,20250728,213000,15.436,15.436,15.436,15.436,100,0
SPE.US,5,20250728,213500,15.451,15.451,15.451,15.451,100,0
SPE.US,5,20250728,214000,15.424,15.424,15.424,15.424,100,0
SPE.US,5,20250728,214500,15.4205,15.4256,15.4205,15.4256,520,0
SPE.US,5,20250728,215000,15.42,15.42,15.42,15.42,100,0
SPE.US,5,20250728,215500,15.413,15.413,15.41,15.413,1280,0
SPE.US,5,20250729,153000,15.41,15.41,15.4,15.4,1600,0
SPE.US,5,20250729,153500,15.4,15.4,15.4,15.4,500,0
SPE.US,5,20250729,161000,15.42,15.42,15.42,15.42,601,0
SPE.US,5,20250729,161500,15.46,15.46,15.46,15.46,200,0
SPE.US,5,20250729,164500,15.41,15.41,15.41,15.41,950,0
SPE.US,5,20250729,171500,15.4496,15.4496,15.4496,15.4496,1000,0
SPE.US,5,20250729,172500,15.41,15.41,15.41,15.41,300,0
SPE.US,5,20250729,174000,15.4299,15.4299,15.4299,15.4299,1000,0
SPE.US,5,20250729,182000,15.43,15.43,15.42,15.42,600,0
SPE.US,5,20250729,183500,15.4101,15.4101,15.4101,15.4101,2000,0
SPE.US,5,20250729,184000,15.4107,15.4107,15.4107,15.4107,700,0
