<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SRG_A.US,5,20250728,203000,22.39,22.5,22.39,22.5,842,0
SRG_A.US,5,20250728,203500,22.45,22.45,22.42,22.42,259,0
SRG_A.US,5,20250728,204000,22.45,22.45,22.45,22.45,800,0
SRG_A.US,5,20250728,210000,22.5,22.5,22.44,22.5,1467,0
SRG_A.US,5,20250728,211000,22.4,22.4499,22.4,22.4498,1397,0
SRG_A.US,5,20250728,211500,22.5,22.5,22.5,22.5,300,0
SRG_A.US,5,20250728,212000,22.5,22.5,22.4999,22.5,1298,0
SRG_A.US,5,20250729,160500,22.55,22.55,22.5,22.5,999,0
SRG_A.US,5,20250729,164000,22.62,22.62,22.62,22.62,100,0
SRG_A.US,5,20250729,172000,22.5501,22.5501,22.5501,22.5501,100,0
SRG_A.US,5,20250729,172500,22.602,22.602,22.602,22.602,100,0
SRG_A.US,5,20250729,184000,22.55,22.55,22.55,22.55,200,0
SRG_A.US,5,20250729,184500,22.52,22.55,22.5,22.5,878,0
SRG_A.US,5,20250730,162500,22.5534,22.5534,22.5,22.5032,1270,0
SRG_A.US,5,20250730,181500,22.5809,22.5809,22.5809,22.5809,1500,0
SRG_A.US,5,20250730,183500,22.66,22.66,22.66,22.66,800,0
SRG_A.US,5,20250731,200000,22.72,22.76,22.681,22.76,1612,0
SRG_A.US,5,20250731,200500,22.72,22.72,22.68,22.7092,3453,0
SRG_A.US,5,20250731,201000,22.7184,22.72,22.62,22.62,3101,0
SRG_A.US,5,20250731,204000,22.6,22.6,22.6,22.6,100,0
SRG_A.US,5,20250731,212000,22.6641,22.6641,22.6641,22.6641,100,0
SRG_A.US,5,20250731,212500,22.65,22.65,22.65,22.65,100,0
SRG_A.US,5,20250801,161500,22.5,22.5,22.5,22.5,100,0
SRG_A.US,5,20250801,165500,22.613,22.613,22.613,22.613,250,0
SRG_A.US,5,20250801,211500,22.5,22.5,22.5,22.5,100,0
SRG_A.US,5,20250805,161000,22.6312,22.6312,22.5793,22.5793,1900,0
SRG_A.US,5,20250805,162500,22.6302,22.6302,22.6302,22.6302,550,0
SRG_A.US,5,20250805,164000,22.6128,22.6128,22.6128,22.6128,300,0
SRG_A.US,5,20250805,165500,22.589,22.589,22.589,22.589,110,0
SRG_A.US,5,20250806,153500,22.3375,22.5,22.3375,22.3375,14010,0
SRG_A.US,5,20250806,175000,22.5,22.5,22.5,22.5,1739,0
SRG_A.US,5,20250806,195000,22.5001,22.5001,22.5001,22.5001,1000,0
SRG_A.US,5,20250806,195500,22.65,22.65,22.5,22.53,1500,0
SRG_A.US,5,20250807,160500,22.3356,22.3356,22.3356,22.3356,994,0
SRG_A.US,5,20250807,162500,22.5554,22.5554,22.5554,22.5554,1500,0
SRG_A.US,5,20250807,165500,22.31,22.31,22.31,22.31,100,0
SRG_A.US,5,20250807,171000,22.26,22.26,22.26,22.26,100,0
SRG_A.US,5,20250807,173500,22.29,22.29,22.29,22.29,104,0
SRG_A.US,5,20250807,174500,22.25,22.25,22.25,22.25,100,0
SRG_A.US,5,20250807,181500,22.25,22.25,22.25,22.25,100,0
SRG_A.US,5,20250807,182500,22.25,22.25,22.25,22.25,105,0
SRG_A.US,5,20250807,184500,22.25,22.25,22.25,22.25,100,0
SRG_A.US,5,20250807,185500,22.25,22.25,22.25,22.25,100,0
SRG_A.US,5,20250807,191500,22.25,22.25,22.25,22.25,100,0
SRG_A.US,5,20250807,192500,22.25,22.25,22.25,22.25,100,0
SRG_A.US,5,20250807,193500,22.25,22.35,22.25,22.35,205,0
SRG_A.US,5,20250807,194500,22.25,22.25,22.25,22.25,108,0
