<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SUZ.US,5,20250728,153000,9.37,9.375,9.335,9.335,34768,0
SUZ.US,5,20250728,153500,9.33,9.34,9.32,9.335,9251,0
SUZ.US,5,20250728,154000,9.33,9.35,9.325,9.35,10973,0
SUZ.US,5,20250728,154500,9.355,9.355,9.33,9.34,4148,0
SUZ.US,5,20250728,155000,9.345,9.365,9.345,9.35,74291,0
SUZ.US,5,20250728,155500,9.34,9.375,9.34,9.375,9462,0
SUZ.US,5,20250728,160000,9.38,9.385,9.355,9.355,20022,0
SUZ.US,5,20250728,160500,9.36,9.375,9.36,9.375,22999,0
SUZ.US,5,20250728,161000,9.375,9.385,9.37,9.385,3939,0
SUZ.US,5,20250728,161500,9.385,9.39,9.38,9.385,3509,0
SUZ.US,5,20250728,162000,9.385,9.395,9.385,9.385,8929,0
SUZ.US,5,20250728,162500,9.38,9.395,9.38,9.395,12951,0
SUZ.US,5,20250728,163000,9.395,9.395,9.39,9.39,6822,0
SUZ.US,5,20250728,163500,9.39,9.39,9.37,9.37,14654,0
SUZ.US,5,20250728,164000,9.37,9.3752,9.365,9.375,15639,0
SUZ.US,5,20250728,164500,9.375,9.385,9.37,9.385,5026,0
SUZ.US,5,20250728,165000,9.385,9.385,9.38,9.385,3249,0
SUZ.US,5,20250728,165500,9.38,9.385,9.38,9.385,5320,0
SUZ.US,5,20250728,170000,9.385,9.39,9.37,9.39,17256,0
SUZ.US,5,20250728,170500,9.385,9.385,9.38,9.38,4450,0
SUZ.US,5,20250728,171000,9.385,9.39,9.385,9.385,4153,0
SUZ.US,5,20250728,171500,9.39,9.4,9.39,9.395,15803,0
SUZ.US,5,20250728,172000,9.3953,9.3953,9.39,9.39,17568,0
SUZ.US,5,20250728,172500,9.39,9.395,9.39,9.39,2950,0
SUZ.US,5,20250728,173000,9.3955,9.415,9.395,9.415,11963,0
SUZ.US,5,20250728,173500,9.415,9.415,9.395,9.4,21743,0
SUZ.US,5,20250728,174000,9.4,9.405,9.39,9.39,9674,0
SUZ.US,5,20250728,174500,9.395,9.395,9.39,9.39,793,0
SUZ.US,5,20250728,175000,9.39,9.39,9.37,9.37,11066,0
SUZ.US,5,20250728,175500,9.37,9.375,9.37,9.375,1643,0
SUZ.US,5,20250728,180000,9.38,9.385,9.38,9.38,17400,0
SUZ.US,5,20250728,180500,9.38,9.385,9.38,9.385,2900,0
SUZ.US,5,20250728,181000,9.39,9.39,9.38,9.38,896,0
SUZ.US,5,20250728,181500,9.38,9.385,9.37,9.38,20259,0
SUZ.US,5,20250728,182000,9.375,9.375,9.37,9.37,3847,0
SUZ.US,5,20250728,182500,9.37,9.375,9.37,9.375,1100,0
SUZ.US,5,20250728,183000,9.375,9.38,9.375,9.375,1799,0
SUZ.US,5,20250728,183500,9.375,9.375,9.37,9.37,3280,0
SUZ.US,5,20250728,184000,9.37,9.375,9.365,9.375,9884,0
SUZ.US,5,20250728,184500,9.375,9.375,9.36,9.365,4757,0
SUZ.US,5,20250728,185000,9.36,9.365,9.355,9.355,7665,0
SUZ.US,5,20250728,185500,9.3548,9.355,9.3548,9.355,2397,0
SUZ.US,5,20250728,190000,9.355,9.36,9.35,9.355,9653,0
SUZ.US,5,20250728,190500,9.355,9.355,9.34,9.34,10156,0
SUZ.US,5,20250728,191000,9.3465,9.37,9.34,9.36,12806,0
SUZ.US,5,20250728,191500,9.36,9.37,9.35,9.36,26057,0
SUZ.US,5,20250728,192000,9.365,9.37,9.355,9.365,23985,0
SUZ.US,5,20250728,192500,9.365,9.375,9.36,9.36,12493,0
SUZ.US,5,20250728,193000,9.36,9.365,9.345,9.345,28357,0
SUZ.US,5,20250728,193500,9.345,9.35,9.34,9.34,15386,0
SUZ.US,5,20250728,194000,9.335,9.335,9.315,9.325,9978,0
SUZ.US,5,20250728,194500,9.325,9.325,9.31,9.315,2986,0
SUZ.US,5,20250728,195000,9.315,9.315,9.31,9.315,8238,0
SUZ.US,5,20250728,195500,9.315,9.315,9.31,9.315,4565,0
