<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TEN_E.US,5,20250728,163000,26.67,26.67,26.67,26.67,380,0
TEN_E.US,5,20250728,164500,26.7,26.7,26.7,26.7,118,0
TEN_E.US,5,20250728,175000,26.616,26.616,26.6,26.6,1307,0
TEN_E.US,5,20250728,184000,26.69,26.69,26.69,26.69,200,0
TEN_E.US,5,20250728,185000,26.6,26.6,26.6,26.6,300,0
TEN_E.US,5,20250728,212000,26.54,26.595,26.44,26.47,2290,0
TEN_E.US,5,20250729,163000,26.65,26.65,26.65,26.65,450,0
TEN_E.US,5,20250729,172000,26.5162,26.5162,26.5162,26.5162,200,0
TEN_E.US,5,20250729,181500,26.5266,26.5266,26.5266,26.5266,240,0
TEN_E.US,5,20250729,185500,26.47,26.47,26.45,26.45,1000,0
TEN_E.US,5,20250729,191000,26.44,26.44,26.44,26.44,298,0
TEN_E.US,5,20250729,193000,26.41,26.41,26.41,26.41,198,0
TEN_E.US,5,20250729,194000,26.32,26.32,26.25,26.25,1185,0
TEN_E.US,5,20250729,195000,26.2,26.2,26.2,26.2,100,0
TEN_E.US,5,20250729,200000,26.31,26.33,26.25,26.25,800,0
TEN_E.US,5,20250729,200500,26.31,26.31,26.31,26.31,100,0
TEN_E.US,5,20250729,201000,26.3,26.3,26.3,26.3,400,0
TEN_E.US,5,20250729,202000,26.21,26.21,26.21,26.21,100,0
TEN_E.US,5,20250729,202500,26.25,26.34,26.25,26.32,1400,0
TEN_E.US,5,20250729,203000,26.31,26.34,26.31,26.34,300,0
TEN_E.US,5,20250729,205000,26.34,26.34,26.34,26.34,200,0
TEN_E.US,5,20250729,210500,26.32,26.32,26.24,26.24,400,0
TEN_E.US,5,20250729,211000,26.26,26.34,26.26,26.34,200,0
TEN_E.US,5,20250729,212500,26.3,26.33,26.3,26.3299,310,0
TEN_E.US,5,20250729,214000,26.27,26.27,26.27,26.27,200,0
TEN_E.US,5,20250729,215000,26.24,26.24,26.24,26.24,100,0
TEN_E.US,5,20250729,215500,26.28,26.44,26.28,26.44,400,0
TEN_E.US,5,20250730,154000,26.28,26.28,26.28,26.28,100,0
TEN_E.US,5,20250730,154500,26.3392,26.3392,26.3392,26.3392,227,0
TEN_E.US,5,20250730,161500,26.329,26.329,26.329,26.329,136,0
TEN_E.US,5,20250730,165000,26.32,26.37,26.32,26.37,600,0
TEN_E.US,5,20250730,165500,26.37,26.37,26.37,26.37,200,0
TEN_E.US,5,20250730,170000,26.37,26.37,26.37,26.37,200,0
TEN_E.US,5,20250730,172500,26.4,26.43,26.4,26.425,700,0
TEN_E.US,5,20250730,183000,26.4121,26.4121,26.4,26.4,1100,0
TEN_E.US,5,20250730,183500,26.35,26.49,26.33,26.49,1000,0
TEN_E.US,5,20250730,185000,26.35,26.48,26.35,26.47,800,0
TEN_E.US,5,20250730,185500,26.38,26.38,26.35,26.36,800,0
TEN_E.US,5,20250730,190000,26.36,26.43,26.36,26.43,400,0
TEN_E.US,5,20250730,191000,26.35,26.35,26.35,26.35,100,0
TEN_E.US,5,20250730,193500,26.35,26.35,26.35,26.35,200,0
TEN_E.US,5,20250730,195000,26.35,26.35,26.35,26.35,200,0
TEN_E.US,5,20250730,205500,26.37,26.4,26.37,26.37,1940,0
TEN_E.US,5,20250730,211000,26.4,26.44,26.4,26.44,600,0
TEN_E.US,5,20250730,211500,26.43,26.43,26.43,26.43,500,0
TEN_E.US,5,20250730,214000,26.4192,26.42,26.41,26.42,564,0
TEN_E.US,5,20250730,215500,26.34,26.34,26.34,26.34,100,0
TEN_E.US,5,20250731,162000,26.31,26.4,26.31,26.4,599,0
TEN_E.US,5,20250731,162500,26.47,26.48,26.42,26.48,700,0
TEN_E.US,5,20250731,163000,26.565,26.565,26.565,26.565,150,0
TEN_E.US,5,20250731,164000,26.5,26.5,26.5,26.5,400,0
TEN_E.US,5,20250731,164500,26.47,26.47,26.47,26.47,200,0
TEN_E.US,5,20250731,173000,26.49,26.49,26.49,26.49,200,0
TEN_E.US,5,20250731,184000,26.45,26.45,26.45,26.45,300,0
TEN_E.US,5,20250731,184500,26.49,26.49,26.49,26.49,200,0
TEN_E.US,5,20250731,192000,26.41,26.48,26.41,26.48,400,0
TEN_E.US,5,20250731,192500,26.41,26.475,26.41,26.44,608,0
TEN_E.US,5,20250731,193500,26.45,26.45,26.45,26.45,200,0
TEN_E.US,5,20250731,202500,26.41,26.5,26.41,26.4586,800,0
TEN_E.US,5,20250731,211000,26.47,26.56,26.47,26.56,1255,0
TEN_E.US,5,20250731,212000,26.55,26.55,26.39,26.45,2445,0
TEN_E.US,5,20250731,212500,26.49,26.49,26.49,26.49,400,0
