<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TESL.US,5,20250728,153000,23,23.36,23,23.12,1408,0
TESL.US,5,20250728,153500,23.3,23.3,23.1546,23.1546,2877,0
TESL.US,5,20250728,155500,23.5282,23.5282,23.5282,23.5282,100,0
TESL.US,5,20250728,160000,23.45,23.45,23.45,23.45,250,0
TESL.US,5,20250728,161000,23.59,23.59,23.59,23.59,1000,0
TESL.US,5,20250728,165000,23.6358,23.6358,23.5411,23.5411,211,0
TESL.US,5,20250728,171000,24,24.0399,24,24.0399,1272,0
TESL.US,5,20250728,171500,23.9921,23.9921,23.9921,23.9921,335,0
TESL.US,5,20250728,172000,23.8899,23.8899,23.71,23.87,8900,0
TESL.US,5,20250728,173000,23.83,23.8301,23.8107,23.8107,700,0
TESL.US,5,20250728,174000,23.797,23.8,23.797,23.8,440,0
TESL.US,5,20250728,180000,23.9103,24.01,23.82,24.01,3672,0
TESL.US,5,20250728,180500,23.98,23.98,23.8,23.8,2700,0
TESL.US,5,20250728,182500,24.06,24.06,23.97,23.97,1764,0
TESL.US,5,20250728,183000,23.9506,23.9506,23.9506,23.9506,5800,0
TESL.US,5,20250728,190000,23.91,23.93,23.8843,23.8843,1500,0
TESL.US,5,20250728,190500,23.805,23.8306,23.805,23.8306,1142,0
TESL.US,5,20250728,191000,23.89,23.89,23.89,23.89,292,0
TESL.US,5,20250728,191500,23.9,23.9,23.9,23.9,100,0
TESL.US,5,20250728,192000,23.7281,23.7281,23.7281,23.7281,150,0
TESL.US,5,20250728,192500,23.8535,23.8535,23.8094,23.8094,217,0
TESL.US,5,20250728,193000,23.895,23.895,23.895,23.895,200,0
TESL.US,5,20250728,194500,23.98,23.98,23.98,23.98,100,0
TESL.US,5,20250728,203000,23.88,23.88,23.88,23.88,100,0
TESL.US,5,20250728,210000,23.87,23.87,23.87,23.87,100,0
TESL.US,5,20250728,213500,23.73,23.73,23.73,23.73,100,0
TESL.US,5,20250728,214000,23.665,23.665,23.665,23.665,888,0
TESL.US,5,20250728,215500,23.76,23.76,23.76,23.76,245,0
TESL.US,5,20250729,153000,23.66,23.66,23.66,23.66,100,0
TESL.US,5,20250729,154000,23.4162,23.4162,23.29,23.29,1413,0
TESL.US,5,20250729,155000,23.36,23.36,23.36,23.36,100,0
TESL.US,5,20250729,155500,23.3699,23.3699,23.3699,23.3699,100,0
TESL.US,5,20250729,161000,23.3386,23.3386,23.2407,23.2407,1050,0
TESL.US,5,20250729,162000,23.41,23.41,23.41,23.41,100,0
TESL.US,5,20250729,163000,23.21,23.21,23.21,23.21,400,0
TESL.US,5,20250729,165000,23.385,23.385,23.3726,23.3726,260,0
TESL.US,5,20250729,165500,23.37,23.37,23.37,23.37,2200,0
TESL.US,5,20250729,170500,23.3207,23.3207,23.3207,23.3207,888,0
TESL.US,5,20250729,174000,23.1536,23.1536,23.1536,23.1536,100,0
TESL.US,5,20250729,175000,23.2536,23.2536,23.2536,23.2536,337,0
TESL.US,5,20250729,181000,23.3,23.3,23.3,23.3,349,0
TESL.US,5,20250729,182000,23.31,23.31,23.31,23.31,100,0
TESL.US,5,20250729,184500,23.23,23.23,23.23,23.23,214,0
TESL.US,5,20250729,185500,23.3191,23.3191,23.3191,23.3191,2145,0
TESL.US,5,20250729,205500,23.49,23.49,23.3482,23.3482,716,0
TESL.US,5,20250729,215500,23.2651,23.2651,23.25,23.25,415,0
TESL.US,5,20250730,153000,23.25,23.25,23.25,23.25,130,0
TESL.US,5,20250730,153500,23.7646,24.4799,23.295,23.295,2584,0
TESL.US,5,20250730,154000,23.44,23.44,23.44,23.44,100,0
TESL.US,5,20250730,154500,23.36,23.36,23.36,23.36,100,0
TESL.US,5,20250730,155000,23.36,23.36,23.3599,23.3599,1100,0
TESL.US,5,20250730,160000,23.36,23.36,23.36,23.36,440,0
TESL.US,5,20250730,160500,23.37,23.37,23.36,23.36,600,0
TESL.US,5,20250730,161500,23.37,23.37,23.37,23.37,220,0
TESL.US,5,20250730,162000,23.37,23.37,23.37,23.37,1000,0
TESL.US,5,20250730,164500,23.32,23.32,23.32,23.32,100,0
TESL.US,5,20250730,174000,23.15,23.15,23.15,23.15,119,0
TESL.US,5,20250730,175500,23.12,23.12,23.12,23.12,100,0
TESL.US,5,20250730,181000,23.2,23.2,23.2,23.2,200,0
TESL.US,5,20250730,182500,23.1218,23.1218,23.1218,23.1218,101,0
TESL.US,5,20250730,190500,23.2023,23.2023,23.2023,23.2023,250,0
TESL.US,5,20250730,191500,23.1254,23.1254,23.1254,23.1254,450,0
TESL.US,5,20250730,192000,23.1951,23.1951,23.1951,23.1951,105,0
TESL.US,5,20250730,200000,23.2,23.21,23.2,23.21,317,0
TESL.US,5,20250730,202000,23.12,23.12,23.12,23.12,234,0
TESL.US,5,20250730,205000,23.01,23.0446,23.01,23.0446,1900,0
TESL.US,5,20250730,205500,23.0491,23.0606,23,23.05,1815,0
TESL.US,5,20250730,210000,23.01,23.0485,23,23,2340,0
TESL.US,5,20250730,210500,23,23.036,22.99,22.99,670,0
TESL.US,5,20250730,211000,22.95,22.95,22.95,22.95,216,0
TESL.US,5,20250730,213500,23,23,23,23,100,0
TESL.US,5,20250730,214000,22.9543,22.9543,22.9543,22.9543,434,0
TESL.US,5,20250730,215500,22.99,22.99,22.97,22.97,200,0
TESL.US,5,20250731,153000,23.28,23.28,23.25,23.25,200,0
TESL.US,5,20250731,154000,23,23,23,23,220,0
TESL.US,5,20250731,163000,22.97,23.03,22.94,22.94,1417,0
TESL.US,5,20250731,165000,22.79,22.85,22.79,22.84,597,0
TESL.US,5,20250731,170000,22.7701,22.7701,22.7701,22.7701,500,0
TESL.US,5,20250731,172000,22.77,22.77,22.77,22.77,124,0
TESL.US,5,20250731,174500,22.73,22.73,22.73,22.73,100,0
TESL.US,5,20250731,175500,22.72,22.82,22.71,22.8,6400,0
TESL.US,5,20250731,180500,22.72,22.7999,22.72,22.7999,1200,0
TESL.US,5,20250731,182000,22.74,22.9,22.74,22.7401,3800,0
TESL.US,5,20250731,182500,22.7333,22.7333,22.7333,22.7333,3000,0
TESL.US,5,20250731,183000,22.74,22.83,22.72,22.72,9574,0
TESL.US,5,20250731,183500,22.75,22.91,22.72,22.8,7952,0
TESL.US,5,20250731,203500,22.76,22.8397,22.76,22.8397,200,0
TESL.US,5,20250731,204000,22.75,22.8262,22.75,22.76,400,0
TESL.US,5,20250731,205500,22.6808,22.6808,22.6808,22.6808,204,0
TESL.US,5,20250731,215500,22.61,22.81,22.61,22.81,462,0
TESL.US,5,20250801,153000,21.91,22.05,21.76,21.88,15700,0
TESL.US,5,20250801,153500,21.96,21.96,21.96,21.96,100,0
TESL.US,5,20250801,154000,21.9338,21.9338,21.9338,21.9338,1000,0
TESL.US,5,20250801,155500,21.75,21.75,21.75,21.75,400,0
TESL.US,5,20250801,160000,21.76,21.76,21.76,21.76,100,0
TESL.US,5,20250801,160500,21.805,21.85,21.63,21.6301,4499,0
TESL.US,5,20250801,161000,21.785,21.79,21.785,21.79,1600,0
TESL.US,5,20250801,161500,21.685,21.82,21.685,21.7224,4792,0
TESL.US,5,20250801,162000,21.8,21.81,21.79,21.79,300,0
TESL.US,5,20250801,162500,21.83,21.83,21.83,21.83,300,0
TESL.US,5,20250801,163000,21.84,21.87,21.818,21.818,800,0
TESL.US,5,20250801,163500,21.88,21.88,21.88,21.88,100,0
TESL.US,5,20250801,164500,21.94,21.94,21.94,21.94,100,0
TESL.US,5,20250801,165000,21.91,21.93,21.91,21.93,1106,0
TESL.US,5,20250801,170000,21.855,21.855,21.855,21.855,4935,0
TESL.US,5,20250801,171000,21.86,21.8745,21.8549,21.8549,400,0
TESL.US,5,20250801,171500,21.87,21.87,21.87,21.87,104,0
TESL.US,5,20250801,173500,21.99,21.99,21.99,21.99,200,0
TESL.US,5,20250801,174000,21.95,22.03,21.95,21.99,648,0
TESL.US,5,20250801,180500,22.09,22.09,22.09,22.09,100,0
TESL.US,5,20250801,184500,21.85,21.85,21.85,21.85,100,0
TESL.US,5,20250801,190000,21.8522,21.8522,21.8522,21.8522,100,0
TESL.US,5,20250801,192000,21.84,21.84,21.84,21.84,290,0
TESL.US,5,20250801,192500,21.8151,21.8151,21.8151,21.8151,100,0
TESL.US,5,20250801,201000,21.74,21.74,21.74,21.74,909,0
TESL.US,5,20250801,202000,21.86,21.86,21.74,21.74,6187,0
TESL.US,5,20250801,203000,21.87,21.87,21.87,21.87,200,0
TESL.US,5,20250801,203500,21.76,21.87,21.75,21.77,2453,0
TESL.US,5,20250801,204500,21.75,21.75,21.75,21.75,100,0
TESL.US,5,20250801,210000,21.75,21.75,21.75,21.75,539,0
TESL.US,5,20250801,211000,21.76,21.76,21.76,21.76,100,0
TESL.US,5,20250801,211500,21.79,21.8,21.75,21.75,801,0
TESL.US,5,20250801,212000,21.73,21.73,21.68,21.68,200,0
