<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TFC_R.US,5,20250728,154000,19.11,19.125,19.1,19.125,1847,0
TFC_R.US,5,20250728,154500,19.125,19.125,19.1,19.1,801,0
TFC_R.US,5,20250728,155500,19.08,19.0838,19.08,19.0838,823,0
TFC_R.US,5,20250728,160000,19.095,19.11,19.07,19.07,6163,0
TFC_R.US,5,20250728,160500,19.06,19.07,19.06,19.07,1014,0
TFC_R.US,5,20250728,162000,19.1257,19.1257,19.1257,19.1257,500,0
TFC_R.US,5,20250728,162500,19.0858,19.0858,19.0858,19.0858,663,0
TFC_R.US,5,20250728,163000,19.0611,19.0611,19.0611,19.0611,255,0
TFC_R.US,5,20250728,163500,19.08,19.08,19.08,19.08,200,0
TFC_R.US,5,20250728,164500,19.0966,19.0966,19.0902,19.0902,500,0
TFC_R.US,5,20250728,165000,19.0965,19.0965,19.05,19.05,318,0
TFC_R.US,5,20250728,165500,19.0835,19.0835,19.05,19.05,1750,0
TFC_R.US,5,20250728,170000,19.08,19.08,19.04,19.04,6432,0
TFC_R.US,5,20250728,170500,19.06,19.06,19.06,19.06,400,0
TFC_R.US,5,20250728,171000,19.06,19.06,19.06,19.06,100,0
TFC_R.US,5,20250728,172000,19.05,19.05,19.04,19.04,643,0
TFC_R.US,5,20250728,173000,19.0393,19.04,19.0393,19.04,1000,0
TFC_R.US,5,20250728,173500,19.04,19.04,19.04,19.04,283,0
TFC_R.US,5,20250728,174000,19.05,19.05,19.03,19.05,1116,0
TFC_R.US,5,20250728,174500,19.04,19.04,19.04,19.04,326,0
TFC_R.US,5,20250728,175000,19.04,19.04,19.04,19.04,603,0
TFC_R.US,5,20250728,175500,19.05,19.05,19.04,19.04,418,0
TFC_R.US,5,20250728,180000,19.03,19.04,18.98,18.98,5681,0
TFC_R.US,5,20250728,180500,19,19,18.98,18.98,1000,0
TFC_R.US,5,20250728,181000,19.0196,19.0196,18.99,18.99,393,0
TFC_R.US,5,20250728,181500,19,19,18.99,19,700,0
TFC_R.US,5,20250728,182000,18.995,18.995,18.9701,18.9701,350,0
TFC_R.US,5,20250728,182500,18.9856,19,18.9856,19,1388,0
TFC_R.US,5,20250728,183000,19,19,19,19,100,0
TFC_R.US,5,20250728,184000,19.0038,19.0038,19.0038,19.0038,500,0
TFC_R.US,5,20250728,184500,19.01,19.01,19.01,19.01,100,0
TFC_R.US,5,20250728,185500,19.02,19.02,19.02,19.02,200,0
TFC_R.US,5,20250728,190000,19.02,19.04,19.02,19.04,300,0
TFC_R.US,5,20250728,190500,19.0214,19.0214,19.0214,19.0214,844,0
TFC_R.US,5,20250728,191000,19.0367,19.0367,19.0367,19.0367,4000,0
TFC_R.US,5,20250728,191500,19,19.0353,19,19.0353,586,0
TFC_R.US,5,20250728,192000,19.02,19.02,19.02,19.02,104,0
TFC_R.US,5,20250728,192500,19.02,19.03,19.02,19.03,401,0
TFC_R.US,5,20250728,193500,19.02,19.02,19.02,19.02,100,0
TFC_R.US,5,20250728,194000,19.0444,19.0444,19.0444,19.0444,100,0
TFC_R.US,5,20250728,194500,19.03,19.03,19.03,19.03,100,0
TFC_R.US,5,20250728,195000,19.035,19.035,19.035,19.035,100,0
TFC_R.US,5,20250728,200500,19.035,19.035,19.035,19.035,100,0
TFC_R.US,5,20250728,201000,19.032489,19.0401,19.032489,19.0401,420,0
TFC_R.US,5,20250728,201500,19.0297,19.0297,19.0297,19.0297,135,0
TFC_R.US,5,20250728,202000,19.0401,19.0401,19.0401,19.0401,300,0
TFC_R.US,5,20250728,203000,19,19.0007,19,19.0007,362,0
TFC_R.US,5,20250728,205500,19.02,19.02,19.02,19.02,100,0
TFC_R.US,5,20250728,210500,19.02,19.02,19.02,19.02,100,0
TFC_R.US,5,20250728,211000,19.02,19.02,19.01,19.0101,495,0
TFC_R.US,5,20250728,212000,19.01,19.02,19.01,19.02,437,0
TFC_R.US,5,20250728,212500,19.02,19.02,19.02,19.02,191,0
TFC_R.US,5,20250728,214000,19.03,19.0399,19.02,19.0202,2619,0
TFC_R.US,5,20250728,214500,19.0299,19.0299,19.02,19.02,1000,0
TFC_R.US,5,20250728,215000,19.025,19.03,19.01,19.03,1186,0
TFC_R.US,5,20250728,215500,19.02,19.03,19.02,19.03,1286,0
TFC_R.US,5,20250729,153500,19.11,19.11,19.11,19.11,400,0
TFC_R.US,5,20250729,154000,19.0617,19.09,19.0617,19.09,262,0
TFC_R.US,5,20250729,154500,19.09,19.11,19.09,19.11,406,0
TFC_R.US,5,20250729,155500,19.12,19.12,19.12,19.12,100,0
TFC_R.US,5,20250729,160000,19.095,19.111,19.07,19.07,3066,0
TFC_R.US,5,20250729,160500,19.095,19.1167,19.07,19.07,2847,0
TFC_R.US,5,20250729,161000,19.095,19.095,19.07,19.07,1453,0
TFC_R.US,5,20250729,161500,19.12,19.12,19.08,19.08,740,0
TFC_R.US,5,20250729,162500,19.0701,19.0701,19.0701,19.0701,102,0
TFC_R.US,5,20250729,164000,19.12,19.12,19.1,19.12,300,0
TFC_R.US,5,20250729,164500,19.1,19.1,19.07,19.07,600,0
TFC_R.US,5,20250729,165500,19.1,19.1,19.1,19.1,200,0
TFC_R.US,5,20250729,170000,19.1067,19.1067,19.07,19.07,7884,0
TFC_R.US,5,20250729,170500,19.085,19.0967,19.07,19.07,6922,0
TFC_R.US,5,20250729,171000,19.0856,19.12,19.0856,19.12,4216,0
TFC_R.US,5,20250729,172000,19.14,19.14,19.14,19.14,200,0
TFC_R.US,5,20250729,172500,19.1308,19.1351,19.1303,19.1303,763,0
TFC_R.US,5,20250729,173000,19.14,19.14,19.14,19.14,100,0
TFC_R.US,5,20250729,173500,19.13,19.13,19.11,19.11,4798,0
