<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
THG.US,5,20250728,153000,166.13,166.13,166.13,166.13,100,0
THG.US,5,20250728,153500,165.97,165.97,165.97,165.97,100,0
THG.US,5,20250728,155000,165.97,165.97,165.97,165.97,100,0
THG.US,5,20250728,155500,165.9,165.9,165.9,165.9,100,0
THG.US,5,20250728,160000,165.575,166.05,165.575,166.05,400,0
THG.US,5,20250728,160500,165.85,165.85,164.6801,165.81,3023,0
THG.US,5,20250728,162500,165.72,165.72,165.72,165.72,100,0
THG.US,5,20250728,163000,165.91,165.91,165.535,165.535,700,0
THG.US,5,20250728,163500,165.53,165.84,165.385,165.84,743,0
THG.US,5,20250728,164000,165.8,165.8,165.8,165.8,100,0
THG.US,5,20250728,165000,165.52,165.52,165.29,165.3,600,0
THG.US,5,20250728,170500,165.3,165.43,164.98,165.145,1538,0
THG.US,5,20250728,171000,165.33,165.33,165.33,165.33,343,0
THG.US,5,20250728,172500,164.88,165.005,164.855,165.005,600,0
THG.US,5,20250728,173000,164.74,164.99,164.74,164.99,310,0
THG.US,5,20250728,173500,165,165.22,165,165.22,565,0
THG.US,5,20250728,174000,165.22,165.22,165.22,165.22,100,0
THG.US,5,20250728,174500,165.03,165.03,165.02,165.02,300,0
THG.US,5,20250728,175000,165.1,165.1,165.1,165.1,100,0
THG.US,5,20250728,180000,165.42,165.42,165.42,165.42,400,0
THG.US,5,20250728,180500,165.42,165.42,165.36,165.36,200,0
THG.US,5,20250728,181000,165.36,165.435,165.36,165.435,214,0
THG.US,5,20250728,181500,165.29,165.29,165.14,165.19,662,0
THG.US,5,20250728,182000,165.19,165.19,165.13,165.13,200,0
THG.US,5,20250728,183000,165.12,165.2225,165.12,165.2225,200,0
THG.US,5,20250728,183500,165.22,165.22,165.11,165.11,403,0
THG.US,5,20250728,184000,165.13,165.13,164.94,164.94,292,0
THG.US,5,20250728,184500,164.92,165.02,164.78,165.02,1853,0
THG.US,5,20250728,185000,164.925,164.925,164.82,164.845,3074,0
THG.US,5,20250728,185500,164.88,165.05,164.775,165.05,622,0
THG.US,5,20250728,190000,165.32,165.37,165.085,165.145,10595,0
THG.US,5,20250728,190500,165.11,165.27,165.105,165.27,5427,0
THG.US,5,20250728,191000,165.085,165.085,165.085,165.085,2148,0
THG.US,5,20250728,191500,165.21,165.21,165.075,165.075,286,0
THG.US,5,20250728,192000,165.06,165.06,165.06,165.06,300,0
THG.US,5,20250728,192500,164.85,164.85,164.76,164.76,461,0
THG.US,5,20250728,193000,164.82,164.82,164.2301,164.6625,2233,0
THG.US,5,20250728,193500,164.695,164.695,164.695,164.695,300,0
THG.US,5,20250728,194000,164.695,164.695,164.565,164.67,1000,0
THG.US,5,20250728,194500,164.87,164.87,164.86,164.86,400,0
THG.US,5,20250728,195000,164.83,164.83,164.42,164.52,4144,0
THG.US,5,20250728,195500,164.48,164.48,164.42,164.445,3100,0
THG.US,5,20250728,200000,164.445,164.47,164.44,164.44,700,0
THG.US,5,20250728,200500,164.575,164.78,164.575,164.78,1642,0
THG.US,5,20250728,201000,164.71,164.895,164.665,164.77,3040,0
THG.US,5,20250728,201500,164.635,164.775,164.635,164.77,300,0
THG.US,5,20250728,202000,164.92,165.03,164.92,165.03,2332,0
THG.US,5,20250728,202500,164.85,165.05,164.85,165.05,1200,0
THG.US,5,20250728,203000,165.05,165.1,165.035,165.035,570,0
THG.US,5,20250728,203500,165.035,165.17,164.99,165.03,1100,0
THG.US,5,20250728,204000,164.77,164.77,164.77,164.77,300,0
THG.US,5,20250728,204500,164.615,164.615,164.56,164.56,200,0
THG.US,5,20250728,205000,164.545,164.79,164.545,164.77,1613,0
THG.US,5,20250728,205500,165.02,165.04,164.98,164.99,1200,0
THG.US,5,20250728,210000,164.92,165.05,164.92,165.01,1142,0
THG.US,5,20250728,210500,164.91,164.91,164.9028,164.9028,284,0
THG.US,5,20250728,211000,165.06,165.12,164.9838,165.08,1099,0
THG.US,5,20250728,211500,165.075,165.11,165.07,165.0825,1499,0
THG.US,5,20250728,212000,165.095,165.15,165.08,165.15,1911,0
THG.US,5,20250728,212500,165.095,165.25,165.085,165.25,1466,0
THG.US,5,20250728,213000,165.18,165.31,165.18,165.205,2487,0
