<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
THIR.US,5,20250728,153000,30.01,30.01,30.01,30.01,636,0
THIR.US,5,20250728,162500,30.04,30.04,30.04,30.04,300,0
THIR.US,5,20250728,165500,30.0033,30.0033,30.0033,30.0033,4900,0
THIR.US,5,20250728,185000,29.98,29.99,29.98,29.99,2068,0
THIR.US,5,20250728,190500,30,30,29.9999,29.9999,600,0
THIR.US,5,20250728,193000,29.97,29.97,29.96,29.96,11575,0
THIR.US,5,20250728,195000,29.97,29.97,29.97,29.97,100,0
THIR.US,5,20250728,200000,29.9593,29.9593,29.9593,29.9593,867,0
THIR.US,5,20250728,202500,29.95,29.95,29.95,29.95,200,0
THIR.US,5,20250728,203500,29.96,29.96,29.96,29.96,100,0
THIR.US,5,20250728,204000,29.96,29.96,29.96,29.96,100,0
THIR.US,5,20250728,204500,29.97,29.97,29.97,29.97,100,0
THIR.US,5,20250728,205500,29.97,29.97,29.97,29.97,100,0
THIR.US,5,20250728,210000,29.96,29.96,29.9534,29.9534,19293,0
THIR.US,5,20250728,212500,29.9504,29.9504,29.9504,29.9504,100,0
THIR.US,5,20250728,215500,29.98,29.99,29.98,29.98,2945,0
THIR.US,5,20250729,153500,30.07,30.07,30.07,30.07,1700,0
THIR.US,5,20250729,174000,29.9,29.9,29.9,29.9,100,0
THIR.US,5,20250729,193000,29.97,29.97,29.97,29.97,200,0
THIR.US,5,20250729,204500,29.91,29.91,29.91,29.91,1938,0
THIR.US,5,20250729,210500,29.9102,29.92,29.9102,29.92,1273,0
THIR.US,5,20250729,215500,29.895,29.9,29.88,29.9,1911,0
THIR.US,5,20250730,154500,29.91,29.91,29.91,29.91,437,0
THIR.US,5,20250730,194500,29.975,29.975,29.975,29.975,300,0
THIR.US,5,20250730,202000,29.97,29.97,29.97,29.97,3951,0
THIR.US,5,20250730,205000,29.9,29.9,29.9,29.9,100,0
THIR.US,5,20250730,210500,29.7501,29.7501,29.7501,29.7501,149,0
THIR.US,5,20250730,212000,29.8,29.8,29.76,29.76,940,0
THIR.US,5,20250730,214500,29.78,29.78,29.78,29.78,100,0
THIR.US,5,20250730,215500,29.83,29.87,29.83,29.84,3355,0
THIR.US,5,20250731,154000,30.0115,30.0115,30.0115,30.0115,100,0
THIR.US,5,20250731,154500,30.01,30.02,30.01,30.02,278,0
THIR.US,5,20250731,173500,29.94,29.94,29.94,29.94,288,0
THIR.US,5,20250731,185500,29.97,29.97,29.97,29.97,5470,0
THIR.US,5,20250731,190500,29.95,29.95,29.95,29.95,219,0
THIR.US,5,20250731,203000,29.83,29.83,29.83,29.83,1774,0
THIR.US,5,20250731,210500,29.82,29.82,29.82,29.82,500,0
THIR.US,5,20250731,212000,29.77,29.77,29.77,29.77,10798,0
THIR.US,5,20250731,212500,29.76,29.76,29.76,29.76,2300,0
THIR.US,5,20250731,213500,29.75,29.76,29.75,29.75,1104,0
THIR.US,5,20250731,215500,29.7,29.72,29.68,29.68,1753,0
THIR.US,5,20250801,155000,29.2,29.2,29.2,29.2,526,0
THIR.US,5,20250801,160000,29.2,29.2,29.15,29.2,442,0
THIR.US,5,20250801,161000,29.23,29.23,29.23,29.23,100,0
THIR.US,5,20250801,180000,29.36,29.36,29.36,29.36,100,0
THIR.US,5,20250801,201500,29.17,29.17,29.17,29.17,100,0
THIR.US,5,20250801,203000,29.26,29.28,29.26,29.28,200,0
THIR.US,5,20250801,203500,29.26,29.29,29.26,29.275,529,0
THIR.US,5,20250801,204000,29.29,29.31,29.28,29.31,400,0
THIR.US,5,20250801,204500,29.29,29.29,29.29,29.29,400,0
THIR.US,5,20250801,205000,29.24,29.25,29.23,29.23,400,0
THIR.US,5,20250801,205500,29.24,29.25,29.22,29.25,500,0
THIR.US,5,20250801,210000,29.23,29.23,29.23,29.23,100,0
THIR.US,5,20250801,213000,29.23,29.23,29.21,29.22,800,0
THIR.US,5,20250801,214000,29.23,29.24,29.23,29.24,2222,0
THIR.US,5,20250801,214500,29.24,29.29,29.24,29.29,1117,0
THIR.US,5,20250801,215000,29.28,29.28,29.28,29.28,200,0
THIR.US,5,20250801,215500,29.26,29.27,29.24,29.24,7277,0
THIR.US,5,20250804,153000,29.48,29.48,29.48,29.48,100,0
THIR.US,5,20250804,154000,29.5,29.5,29.5,29.5,397,0
THIR.US,5,20250804,161000,29.58,29.58,29.58,29.58,200,0
THIR.US,5,20250804,173000,29.61,29.61,29.61,29.61,339,0
