<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TMO.US,5,20250728,153000,478,480,476.355,476.515,39530,0
TMO.US,5,20250728,153500,476.4345,479.61,476.4345,478.76,21109,0
TMO.US,5,20250728,154000,478.8,478.8,476.17,476.82,18205,0
TMO.US,5,20250728,154500,476.63,477.88,475.49,475.81,42358,0
TMO.US,5,20250728,155000,475.0001,476.2,474.87,475.9,35669,0
TMO.US,5,20250728,155500,475.98,477.33,475.93,476.755,44760,0
TMO.US,5,20250728,160000,476.13,478.18,475.73,477.89,40641,0
TMO.US,5,20250728,160500,477.64,479.7899,477.59,479.005,29447,0
TMO.US,5,20250728,161000,479,480.57,478.7,480.23,14529,0
TMO.US,5,20250728,161500,480.28,480.42,478.3,478.66,22909,0
TMO.US,5,20250728,162000,478.25,479.285,478.24,478.25,27265,0
TMO.US,5,20250728,162500,478.2,478.79,478.12,478.49,26071,0
TMO.US,5,20250728,163000,478.74,479.34,478.55,479.22,24999,0
TMO.US,5,20250728,163500,479.35,481,479.145,480.23,7968,0
TMO.US,5,20250728,164000,480.23,480.78,479.42,480.78,10567,0
TMO.US,5,20250728,164500,481,481.065,480.24,481.01,17905,0
TMO.US,5,20250728,165000,481.19,481.97,480.64,480.94,16777,0
TMO.US,5,20250728,165500,480.57,481.85,480.57,481.66,23804,0
TMO.US,5,20250728,170000,481.64,482.49,481.1,482.34,16817,0
TMO.US,5,20250728,170500,482.16,482.41,481.71,481.98,10608,0
TMO.US,5,20250728,171000,482.05,484.46,482.05,484.3,16716,0
TMO.US,5,20250728,171500,484.42,484.81,483.5,483.8,44980,0
TMO.US,5,20250728,172000,483.55,485,483.12,485,26307,0
TMO.US,5,20250728,172500,484.9,485.5,484.02,484.91,28458,0
TMO.US,5,20250728,173000,484.835,485.39,484.14,484.87,57497,0
TMO.US,5,20250728,173500,484.9,485.35,484,484.835,24294,0
TMO.US,5,20250728,174000,484.97,485.82,484.46,484.89,15090,0
TMO.US,5,20250728,174500,484.89,484.99,484.55,484.99,8244,0
TMO.US,5,20250728,175000,484.99,485.33,484.7001,485.13,13167,0
TMO.US,5,20250728,175500,485.42,485.42,484.33,484.345,13874,0
TMO.US,5,20250728,180000,484.345,484.385,483.62,483.62,13835,0
TMO.US,5,20250728,180500,483.6,484.925,482.9701,484.73,34746,0
TMO.US,5,20250728,181000,484.74,485.19,484.535,484.75,10723,0
TMO.US,5,20250728,181500,484.82,485.135,484.595,485.13,5504,0
TMO.US,5,20250728,182000,485.18,485.78,485.165,485.3113,9754,0
TMO.US,5,20250728,182500,485.24,485.41,484.71,484.97,14513,0
TMO.US,5,20250728,183000,484.835,485.3,484.45,485,8830,0
TMO.US,5,20250728,183500,485.09,485.405,484.53,485.025,8520,0
TMO.US,5,20250728,184000,484.8,485.34,484.73,484.9606,6047,0
TMO.US,5,20250728,184500,484.9,485.045,484.6,484.6,23128,0
TMO.US,5,20250728,185000,484.615,485.04,484.54,485.03,2088,0
TMO.US,5,20250728,185500,484.97,484.97,484.17,484.26,8148,0
TMO.US,5,20250728,190000,484.265,485.83,484.265,485.83,20774,0
TMO.US,5,20250728,190500,485.95,486.64,485.75,486.02,21107,0
TMO.US,5,20250728,191000,486.065,486.5,485.97,486.305,8601,0
TMO.US,5,20250728,191500,486.285,486.59,485.9,486.14,11387,0
TMO.US,5,20250728,192000,485.92,485.92,485.6,485.6764,6517,0
TMO.US,5,20250728,192500,485.93,486.0099,485.71,485.71,6962,0
TMO.US,5,20250728,193000,485.609,486.42,485.55,486.34,22651,0
