<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TRSY.US,5,20250728,161500,30.15,30.15,30.15,30.15,100,0
TRSY.US,5,20250728,162000,30.145,30.145,30.14,30.14,1500,0
TRSY.US,5,20250728,165500,30.14,30.14,30.14,30.14,213,0
TRSY.US,5,20250728,194000,30.14,30.14,30.14,30.14,100,0
TRSY.US,5,20250728,203000,30.13,30.13,30.13,30.13,262,0
TRSY.US,5,20250728,210500,30.14,30.14,30.14,30.14,100,0
TRSY.US,5,20250729,161500,30.15,30.15,30.15,30.15,497,0
TRSY.US,5,20250729,162000,30.1414,30.1414,30.14,30.14,2904,0
TRSY.US,5,20250729,174000,30.16,30.16,30.1527,30.1527,2400,0
TRSY.US,5,20250729,175500,30.16,30.16,30.1527,30.1527,2250,0
TRSY.US,5,20250729,180500,30.1584,30.1584,30.1584,30.1584,358,0
TRSY.US,5,20250729,183000,30.14,30.14,30.14,30.14,100,0
TRSY.US,5,20250729,185000,30.15,30.15,30.15,30.15,100,0
TRSY.US,5,20250729,195000,30.15,30.16,30.15,30.16,331,0
TRSY.US,5,20250730,185500,30.1534,30.1534,30.1534,30.1534,165,0
TRSY.US,5,20250730,194000,30.1596,30.1596,30.1586,30.1594,1000,0
TRSY.US,5,20250730,203500,30.1596,30.1596,30.1596,30.1596,865,0
TRSY.US,5,20250731,212000,30.155,30.155,30.14,30.155,1491,0
TRSY.US,5,20250731,214000,30.14,30.14,30.14,30.14,100,0
TRSY.US,5,20250731,215500,30.14,30.14,30.14,30.14,317,0
TRSY.US,5,20250801,170500,30.07,30.07,30.07,30.07,350,0
TRSY.US,5,20250801,212500,30.07,30.07,30.07,30.07,166,0
TRSY.US,5,20250804,194500,30.0794,30.08,30.0794,30.08,3720,0
TRSY.US,5,20250804,203500,30.08,30.08,30.0666,30.0666,215,0
TRSY.US,5,20250804,204000,30.08,30.08,30.08,30.08,100,0
TRSY.US,5,20250804,204500,30.08,30.08,30.08,30.08,100,0
TRSY.US,5,20250804,205500,30.08,30.08,30.08,30.08,100,0
TRSY.US,5,20250805,193500,30.07,30.07,30.07,30.07,566,0
TRSY.US,5,20250805,194000,30.07,30.07,30.07,30.07,530,0
TRSY.US,5,20250805,195500,30.075,30.075,30.07,30.07,800,0
TRSY.US,5,20250807,175000,30.0843,30.0883,30.0843,30.0883,416,0
TRSY.US,5,20250807,175500,30.07,30.07,30.07,30.07,100,0
TRSY.US,5,20250807,192500,30.0718,30.0718,30.0718,30.0718,733,0
TRSY.US,5,20250808,160500,30.1,30.1,30.1,30.1,2393,0
TRSY.US,5,20250808,210500,30.09,30.09,30.09,30.09,100,0
TRSY.US,5,20250811,161000,30.1,30.1,30.1,30.1,100,0
TRSY.US,5,20250811,173000,30.095,30.095,30.095,30.095,550,0
TRSY.US,5,20250811,174000,30.0949,30.0949,30.0949,30.0949,134,0
TRSY.US,5,20250811,201500,30.0949,30.0949,30.0949,30.0949,180,0
TRSY.US,5,20250812,162000,30.0916,30.11,30.0916,30.11,25852,0
TRSY.US,5,20250812,162500,30.0908,30.1,30.0908,30.1,313,0
TRSY.US,5,20250812,163500,30.1082,30.11,30.1082,30.11,8192,0
TRSY.US,5,20250813,163500,30.1199,30.1199,30.11,30.11,6097,0
TRSY.US,5,20250813,164000,30.12,30.12,30.12,30.12,756,0
TRSY.US,5,20250813,164500,30.11,30.11,30.11,30.11,100,0
TRSY.US,5,20250813,165500,30.1,30.1,30.1,30.1,27585,0
TRSY.US,5,20250813,170000,30.11,30.11,30.11,30.11,100,0
TRSY.US,5,20250813,172000,30.11,30.11,30.11,30.11,100,0
TRSY.US,5,20250813,173500,30.11,30.11,30.11,30.11,100,0
TRSY.US,5,20250813,174500,30.11,30.11,30.11,30.11,836,0
TRSY.US,5,20250813,175500,30.11,30.11,30.11,30.11,100,0
TRSY.US,5,20250813,181500,30.12,30.12,30.12,30.12,100,0
TRSY.US,5,20250813,183500,30.12,30.12,30.12,30.12,100,0
TRSY.US,5,20250813,185500,30.12,30.12,30.12,30.12,100,0
TRSY.US,5,20250813,192000,30.11,30.11,30.11,30.11,100,0
TRSY.US,5,20250813,194000,30.11,30.11,30.11,30.11,100,0
TRSY.US,5,20250813,195500,30.11,30.13,30.11,30.13,19121,0
TRSY.US,5,20250813,200000,30.14,30.14,30.14,30.14,100,0
TRSY.US,5,20250813,201000,30.14,30.14,30.14,30.14,100,0
TRSY.US,5,20250813,202000,30.14,30.14,30.14,30.14,100,0
TRSY.US,5,20250813,203000,30.14,30.14,30.14,30.14,100,0
TRSY.US,5,20250813,204000,30.14,30.14,30.14,30.14,100,0
TRSY.US,5,20250813,205000,30.135,30.135,30.135,30.135,100,0
TRSY.US,5,20250813,210000,30.135,30.135,30.135,30.135,100,0
TRSY.US,5,20250813,211000,30.135,30.135,30.135,30.135,100,0
TRSY.US,5,20250813,211500,30.135,30.135,30.135,30.135,100,0
TRSY.US,5,20250813,212500,30.135,30.135,30.135,30.135,100,0
TRSY.US,5,20250813,213000,30.135,30.135,30.135,30.135,100,0
TRSY.US,5,20250813,213500,30.135,30.135,30.135,30.135,100,0
TRSY.US,5,20250813,214000,30.135,30.135,30.135,30.135,100,0
TRSY.US,5,20250813,214500,30.135,30.135,30.13,30.13,3194,0
TRSY.US,5,20250813,215000,30.11,30.12,30.11,30.12,300,0
TRSY.US,5,20250813,215500,30.12,30.12,30.12,30.12,1055,0
TRSY.US,5,20250814,161500,30.12,30.12,30.12,30.12,100,0
TRSY.US,5,20250815,161500,30.12,30.12,30.12,30.12,100,0
TRSY.US,5,20250818,164500,30.11,30.11,30.11,30.11,100,0
TRSY.US,5,20250818,212000,30.11,30.12,30.11,30.12,2054,0
TRSY.US,5,20250819,190500,30.125,30.125,30.125,30.125,100,0
TRSY.US,5,20250820,154000,30.13,30.13,30.13,30.13,252,0
TRSY.US,5,20250820,160000,30.12,30.12,30.12,30.12,547,0
TRSY.US,5,20250820,215500,30.12,30.12,30.12,30.12,100,0
TRSY.US,5,20250822,154500,30.14,30.14,30.14,30.14,236,0
TRSY.US,5,20250822,162500,30.15,30.15,30.15,30.15,480,0
TRSY.US,5,20250822,173500,30.15,30.16,30.15,30.16,300,0
TRSY.US,5,20250822,194500,30.1472,30.1472,30.145,30.145,1600,0
TRSY.US,5,20250825,154500,30.145,30.145,30.145,30.145,300,0
TRSY.US,5,20250825,174000,30.1401,30.1401,30.1401,30.1401,311,0
TRSY.US,5,20250825,210000,30.145,30.145,30.145,30.145,600,0
TRSY.US,5,20250825,214500,30.145,30.15,30.145,30.1463,1030,0
TRSY.US,5,20250825,215500,30.15,30.15,30.15,30.15,397,0
TRSY.US,5,20250829,163500,30.16,30.16,30.16,30.16,100,0
TRSY.US,5,20250829,180000,30.16,30.16,30.16,30.16,200,0
TRSY.US,5,20250829,195000,30.16,30.16,30.16,30.16,177,0
TRSY.US,5,20250829,215500,30.17,30.17,30.17,30.17,259,0
TRSY.US,5,20250902,211500,30.08,30.08,30.075,30.075,1400,0
TRSY.US,5,20250902,214000,30.075,30.08,30.075,30.0763,1326,0
TRSY.US,5,20250902,215500,30.08,30.08,30.08,30.08,480,0
TRSY.US,5,20250903,194500,30.07,30.07,30.07,30.07,200,0
TRSY.US,5,20250903,195500,30.08,30.0899,30.08,30.0899,3940,0
TRSY.US,5,20250903,215500,30.07,30.07,30.07,30.07,190,0
TRSY.US,5,20250904,184000,30.0807,30.0807,30.0807,30.0807,1427,0
TRSY.US,5,20250904,203000,30.085,30.085,30.085,30.085,100,0
TRSY.US,5,20250904,215500,30.09,30.09,30.09,30.09,135,0
TRSY.US,5,20250905,215000,30.1,30.1,30.1,30.1,230,0
TRSY.US,5,20250909,155500,30.1,30.1,30.1,30.1,100,0
TRSY.US,5,20250909,161500,30.12,30.12,30.1199,30.12,9037,0
TRSY.US,5,20250909,203500,30.1147,30.1147,30.1147,30.1147,2556,0
TRSY.US,5,20250909,215500,30.12,30.12,30.12,30.12,249,0
TRSY.US,5,20250910,153000,30.1096,30.1096,30.1096,30.1096,130,0
TRSY.US,5,20250910,184000,30.1115,30.1115,30.1115,30.1115,130,0
TRSY.US,5,20250910,215000,30.11,30.11,30.11,30.11,100,0
TRSY.US,5,20250910,215500,30.1104,30.1104,30.1104,30.1104,285,0
TRSY.US,5,20250911,211500,30.11,30.11,30.11,30.11,3365,0
TRSY.US,5,20250911,215500,30.11,30.11,30.11,30.11,190,0
TRSY.US,5,20250912,212500,30.1281,30.1299,30.125,30.125,2206,0
TRSY.US,5,20250915,161000,30.14,30.14,30.14,30.14,1291,0
TRSY.US,5,20250915,163500,30.13,30.13,30.13,30.13,319,0
TRSY.US,5,20250916,161000,30.13,30.14,30.13,30.14,1163,0
TRSY.US,5,20250916,175500,30.14,30.14,30.14,30.14,200,0
TRSY.US,5,20250917,165500,30.13,30.13,30.13,30.13,1800,0
TRSY.US,5,20250918,181500,30.15,30.15,30.15,30.15,100,0
TRSY.US,5,20250918,192500,30.13,30.13,30.13,30.13,466,0
TRSY.US,5,20250918,194000,30.15,30.15,30.15,30.15,100,0
TRSY.US,5,20250918,194500,30.15,30.15,30.15,30.15,100,0
TRSY.US,5,20250918,195500,30.15,30.15,30.15,30.15,100,0
TRSY.US,5,20250918,200500,30.15,30.15,30.15,30.15,100,0
TRSY.US,5,20250918,201000,30.15,30.15,30.15,30.15,100,0
TRSY.US,5,20250918,201500,30.15,30.15,30.15,30.15,100,0
TRSY.US,5,20250918,202500,30.15,30.15,30.15,30.15,100,0
TRSY.US,5,20250918,203000,30.15,30.15,30.15,30.15,100,0
TRSY.US,5,20250918,204000,30.15,30.15,30.15,30.15,100,0
TRSY.US,5,20250918,210000,30.15,30.15,30.15,30.15,100,0
TRSY.US,5,20250918,212000,30.15,30.15,30.15,30.15,66800,0
TRSY.US,5,20250918,215000,30.15,30.15,30.15,30.15,100,0
TRSY.US,5,20250918,215500,30.15,30.15,30.15,30.15,200,0
TRSY.US,5,20250922,154000,30.1545,30.1545,29.82,30.1545,8250,0
TRSY.US,5,20250922,215500,30.155,30.16,30.155,30.16,320,0
TRSY.US,5,20250923,162000,30.1515,30.1515,30.15,30.15,1704,0
TRSY.US,5,20250923,180000,30.1501,30.1501,30.15,30.15,243204,0
TRSY.US,5,20250923,180500,30.15,30.15,30.15,30.15,28118,0
TRSY.US,5,20250923,181500,30.16,30.16,30.16,30.16,100,0
TRSY.US,5,20250923,184000,30.16,30.16,30.16,30.16,100,0
TRSY.US,5,20250923,192500,30.17,30.17,30.17,30.17,100,0
TRSY.US,5,20250923,194500,30.17,30.17,30.17,30.17,100,0
TRSY.US,5,20250923,200500,30.17,30.17,30.17,30.17,100,0
TRSY.US,5,20250923,202500,30.17,30.17,30.17,30.17,100,0
TRSY.US,5,20250923,204500,30.17,30.17,30.17,30.17,100,0
TRSY.US,5,20250923,205500,30.17,30.17,30.17,30.17,201,0
TRSY.US,5,20250923,210000,30.17,30.17,30.17,30.17,100,0
TRSY.US,5,20250923,212000,30.17,30.17,30.17,30.17,100,0
TRSY.US,5,20250923,213000,30.17,30.17,30.17,30.17,100,0
TRSY.US,5,20250923,214000,30.17,30.17,30.17,30.17,100,0
TRSY.US,5,20250923,215500,30.17,30.18,30.17,30.18,300,0
TRSY.US,5,20250924,153500,30.1519,30.1519,30.1519,30.1519,116,0
TRSY.US,5,20250924,162500,30.1501,30.1501,30.1501,30.1501,250,0
TRSY.US,5,20250924,192500,30.1576,30.1576,30.1576,30.1576,500,0
TRSY.US,5,20250924,194000,30.1505,30.1505,30.1505,30.1505,400,0
TRSY.US,5,20250924,195000,30.16,30.16,30.16,30.16,550,0
TRSY.US,5,20250924,201500,30.15,30.15,30.15,30.15,111,0
TRSY.US,5,20250925,164500,30.1509,30.1509,30.1509,30.1509,207,0
TRSY.US,5,20250925,201000,30.17,30.17,30.16,30.16,2160,0
TRSY.US,5,20250925,203500,30.1626,30.1626,30.1626,30.1626,3940,0
TRSY.US,5,20250925,205500,30.1501,30.1501,30.1501,30.1501,2000,0
TRSY.US,5,20250925,215000,30.17,30.17,30.17,30.17,100,0
TRSY.US,5,20250929,193500,30.1708,30.18,30.1708,30.18,1717,0
TRSY.US,5,20250930,162000,30.19,30.19,30.19,30.19,6420,0
TRSY.US,5,20250930,163500,30.19,30.19,30.17,30.17,5518,0
TRSY.US,5,20250930,164500,30.1794,30.1794,30.1794,30.1794,400,0
TRSY.US,5,20250930,184500,30.1776,30.1776,30.1776,30.1776,130,0
TRSY.US,5,20251001,205500,30.08,30.08,30.08,30.08,100,0
TRSY.US,5,20251003,201500,30.08,30.08,30.08,30.08,700,0
TRSY.US,5,20251003,204000,30.072,30.072,30.072,30.072,116,0
TRSY.US,5,20251003,212000,30.0826,30.0826,30.0826,30.0826,335,0
TRSY.US,5,20251006,155500,30.09,30.09,30.09,30.09,100,0
TRSY.US,5,20251006,171500,30.081,30.081,30.081,30.081,170,0
TRSY.US,5,20251006,193500,30.0862,30.0862,30.0862,30.0862,215,0
TRSY.US,5,20251006,205500,30.0819,30.0819,30.0819,30.0819,208,0
TRSY.US,5,20251007,163000,30.0801,30.0801,30.08,30.08,4700,0
TRSY.US,5,20251007,164500,30.08,30.1,30.07,30.1,2239,0
TRSY.US,5,20251007,190000,30.0817,30.0817,30.0817,30.0817,416,0
TRSY.US,5,20251007,190500,30.08,30.08,30.08,30.08,100,0
TRSY.US,5,20251008,160500,30.1,30.1,30.1,30.1,100,0
TRSY.US,5,20251008,171500,30.0916,30.0916,30.0916,30.0916,100,0
TRSY.US,5,20251014,163500,30.1001,30.1186,30.1,30.1,4891,0
TRSY.US,5,20251014,194000,30.1,30.1,30.1,30.1,100,0
TRSY.US,5,20251016,195000,30.13,30.13,30.1299,30.1299,3445,0
TRSY.US,5,20251016,195500,30.128,30.128,30.12,30.12,1155,0
TRSY.US,5,20251016,205500,30.1283,30.1283,30.1283,30.1283,204,0
TRSY.US,5,20251016,213000,30.1284,30.1284,30.1284,30.1284,550,0
TRSY.US,5,20251016,215500,30.13,30.13,30.13,30.13,395,0
TRSY.US,5,20251017,160000,30.1383,30.1383,30.1383,30.1383,338,0
TRSY.US,5,20251017,170000,30.1383,30.1383,30.1383,30.1383,400,0
TRSY.US,5,20251020,191000,30.1219,30.1219,30.1219,30.1219,500,0
TRSY.US,5,20251020,194500,30.1397,30.1397,30.1397,30.1397,1824,0
TRSY.US,5,20251021,161500,30.1399,30.14,30.135,30.14,5671,0
TRSY.US,5,20251021,162000,30.1395,30.1395,30.1395,30.1395,663,0
TRSY.US,5,20251021,162500,30.1399,30.1399,30.135,30.135,7818,0
