<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
UZF.US,5,20250728,161000,21.31,21.31,21.31,21.31,100,0
UZF.US,5,20250728,161500,21.31,21.31,21.3,21.3,995,0
UZF.US,5,20250728,171500,21.4,21.43,21.4,21.43,556,0
UZF.US,5,20250728,172500,21.41,21.41,21.41,21.41,500,0
UZF.US,5,20250728,193000,21.43,21.43,21.43,21.43,100,0
UZF.US,5,20250728,201000,21.47,21.47,21.47,21.47,102,0
UZF.US,5,20250728,205500,21.43,21.4706,21.42,21.4706,2119,0
UZF.US,5,20250728,211500,21.58,21.58,21.58,21.58,100,0
UZF.US,5,20250728,213000,21.58,21.58,21.58,21.58,200,0
UZF.US,5,20250728,215500,21.57,21.76,21.57,21.75,2988,0
UZF.US,5,20250729,153500,21.58,21.58,21.58,21.58,100,0
UZF.US,5,20250729,154500,21.62,21.62,21.62,21.62,100,0
UZF.US,5,20250729,162000,21.7,21.7,21.7,21.7,1000,0
UZF.US,5,20250729,162500,21.6501,21.6501,21.6501,21.6501,432,0
UZF.US,5,20250729,165500,21.79,21.93,21.79,21.93,400,0
UZF.US,5,20250729,170500,21.91,22.02,21.91,22.02,4750,0
UZF.US,5,20250729,172500,22.015,22.015,22.015,22.015,142,0
UZF.US,5,20250729,174000,22,22,22,22,100,0
UZF.US,5,20250729,180000,22.03,22.03,22.03,22.03,100,0
UZF.US,5,20250729,183000,22.08,22.08,22.08,22.08,200,0
UZF.US,5,20250729,184500,22.035,22.035,22.035,22.035,100,0
UZF.US,5,20250729,185000,22.12,22.12,22.1,22.1,200,0
UZF.US,5,20250729,185500,22.11,22.11,22.11,22.11,157,0
UZF.US,5,20250729,200500,22.28,22.28,22.28,22.28,315,0
UZF.US,5,20250729,202000,22.28,22.28,22.22,22.22,715,0
UZF.US,5,20250729,202500,22.2893,22.2893,22.2893,22.2893,150,0
UZF.US,5,20250729,203500,22.28,22.3,22.28,22.28,565,0
