<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WBS_F.US,5,20250728,163000,19.78,19.78,19.78,19.78,2014,0
WBS_F.US,5,20250728,165500,19.4725,19.4725,19.4725,19.4725,174,0
WBS_F.US,5,20250728,200500,19.4902,19.4902,19.4902,19.4902,565,0
WBS_F.US,5,20250728,211000,19.47,19.47,19.47,19.47,200,0
WBS_F.US,5,20250728,214500,19.54,19.54,19.54,19.54,834,0
WBS_F.US,5,20250729,165000,19.42,19.5,19.4,19.4,2482,0
WBS_F.US,5,20250729,171000,19.55,19.55,19.55,19.55,110,0
WBS_F.US,5,20250729,174500,19.55,19.55,19.55,19.55,100,0
WBS_F.US,5,20250729,175000,19.4801,19.4801,19.4801,19.4801,436,0
WBS_F.US,5,20250729,191500,19.5035,19.5035,19.5035,19.5035,400,0
WBS_F.US,5,20250729,204500,19.5,19.52,19.5,19.52,1000,0
WBS_F.US,5,20250729,205000,19.54,19.55,19.54,19.55,1269,0
WBS_F.US,5,20250729,205500,19.54,19.55,19.54,19.55,200,0
WBS_F.US,5,20250729,210000,19.4601,19.4601,19.4601,19.4601,136,0
WBS_F.US,5,20250730,154500,19.545,19.545,19.5376,19.5376,400,0
WBS_F.US,5,20250730,155500,19.55,19.6,19.55,19.6,226,0
WBS_F.US,5,20250730,165000,19.527,19.527,19.527,19.527,150,0
WBS_F.US,5,20250730,171500,19.45,19.45,19.45,19.45,190,0
WBS_F.US,5,20250730,180000,19.49,19.49,19.49,19.49,100,0
WBS_F.US,5,20250730,181000,19.56,19.56,19.56,19.56,100,0
WBS_F.US,5,20250730,201000,19.6091,19.6091,19.6091,19.6091,100,0
WBS_F.US,5,20250730,201500,19.595,19.595,19.595,19.595,150,0
WBS_F.US,5,20250730,203500,19.56,19.56,19.56,19.56,100,0
WBS_F.US,5,20250730,205000,19.55,19.55,19.55,19.55,328,0
WBS_F.US,5,20250730,205500,19.39,19.39,19.35,19.35,1579,0
WBS_F.US,5,20250730,211000,19.25,19.25,19.25,19.25,537,0
WBS_F.US,5,20250730,212500,19.34,19.34,19.26,19.26,1107,0
WBS_F.US,5,20250730,213000,19.23,19.26,19.2,19.26,3521,0
WBS_F.US,5,20250730,214500,19.26,19.26,19.26,19.26,100,0
WBS_F.US,5,20250730,215000,19.26,19.27,19.26,19.2699,1361,0
WBS_F.US,5,20250730,215500,19.46,19.46,19.3901,19.3901,1000,0
WBS_F.US,5,20250731,153500,19.4,19.4,19.4,19.4,200,0
WBS_F.US,5,20250731,162500,19.3521,19.3521,19.3521,19.3521,218,0
WBS_F.US,5,20250731,163500,19.58,19.7999,19.58,19.7999,456,0
WBS_F.US,5,20250731,173000,19.4755,19.4755,19.4755,19.4755,267,0
WBS_F.US,5,20250731,173500,19.3,19.3,19.3,19.3,200,0
WBS_F.US,5,20250731,175500,19.38,19.38,19.36,19.36,400,0
WBS_F.US,5,20250731,183500,19.39,19.39,19.39,19.39,138,0
WBS_F.US,5,20250731,184000,19.38,19.38,19.38,19.38,489,0
WBS_F.US,5,20250731,184500,19.3417,19.3417,19.3417,19.3417,209,0
WBS_F.US,5,20250731,200000,19.38,19.38,19.3794,19.38,767,0
WBS_F.US,5,20250731,201000,19.37,19.37,19.37,19.37,100,0
WBS_F.US,5,20250731,202000,19.422,19.422,19.422,19.422,100,0
WBS_F.US,5,20250731,202500,19.3001,19.3001,19.3001,19.3001,123,0
WBS_F.US,5,20250731,213000,19.71,19.71,19.71,19.71,267,0
WBS_F.US,5,20250801,153000,19.575,19.575,19.575,19.575,267,0
WBS_F.US,5,20250801,153500,19.8,19.8,19.8,19.8,124,0
WBS_F.US,5,20250801,154500,19.575,19.575,19.575,19.575,102,0
WBS_F.US,5,20250801,160000,19.37,19.37,19.37,19.37,200,0
WBS_F.US,5,20250801,160500,19.517,19.517,19.37,19.37,400,0
WBS_F.US,5,20250801,162000,19.51,19.51,19.35,19.35,1000,0
WBS_F.US,5,20250801,171000,19.4391,19.4391,19.4391,19.4391,267,0
WBS_F.US,5,20250801,171500,19.37,19.37,19.37,19.37,105,0
WBS_F.US,5,20250801,174000,19.43,19.43,19.43,19.43,100,0
WBS_F.US,5,20250801,180000,19.37,19.4149,19.37,19.4149,664,0
WBS_F.US,5,20250801,180500,19.3451,19.3451,19.32,19.32,283,0
WBS_F.US,5,20250801,181500,19.32,19.32,19.2933,19.2933,300,0
WBS_F.US,5,20250801,182000,19.4,19.4,19.38,19.38,302,0
WBS_F.US,5,20250801,182500,19.3981,19.3981,19.3981,19.3981,675,0
WBS_F.US,5,20250801,185000,19.305,19.305,19.305,19.305,200,0
WBS_F.US,5,20250801,194000,19.305,19.3999,19.29,19.2999,600,0
WBS_F.US,5,20250801,195000,19.29,19.29,19.29,19.29,100,0
WBS_F.US,5,20250801,202500,19.3851,19.3851,19.3851,19.3851,100,0
WBS_F.US,5,20250801,213000,19.36,19.36,19.35,19.35,335,0
WBS_F.US,5,20250801,215500,19.39,19.39,19.39,19.39,100,0
WBS_F.US,5,20250804,163000,19.38,19.4,19.36,19.36,762,0
WBS_F.US,5,20250804,164000,19.35,19.35,19.35,19.35,600,0
WBS_F.US,5,20250804,164500,19.35,19.35,19.35,19.35,100,0
WBS_F.US,5,20250804,174000,19.42,19.4225,19.25,19.4225,500,0
WBS_F.US,5,20250804,175500,19.5702,19.5702,19.5702,19.5702,209,0
WBS_F.US,5,20250804,181000,19.445,19.445,19.445,19.445,1075,0
WBS_F.US,5,20250804,183000,19.5,19.52,19.5,19.5199,6996,0
WBS_F.US,5,20250804,184500,19.5,19.5,19.5,19.5,728,0
WBS_F.US,5,20250804,185500,19.53,19.53,19.53,19.53,2497,0
WBS_F.US,5,20250804,190000,19.565,19.565,19.53,19.53,1000,0
WBS_F.US,5,20250804,205000,19.5999,19.5999,19.5999,19.5999,1375,0
WBS_F.US,5,20250804,205500,19.55,19.55,19.55,19.55,100,0
WBS_F.US,5,20250804,210500,19.5147,19.5147,19.5147,19.5147,100,0
WBS_F.US,5,20250804,212500,19.54,19.5601,19.53,19.5301,1810,0
WBS_F.US,5,20250804,213500,19.6,19.6,19.6,19.6,805,0
WBS_F.US,5,20250804,215000,19.6355,19.6355,19.6355,19.6355,1000,0
WBS_F.US,5,20250805,165000,19.69,19.69,19.69,19.69,120,0
WBS_F.US,5,20250805,171000,19.65,19.65,19.65,19.65,148,0
WBS_F.US,5,20250805,180500,19.67,19.67,19.67,19.67,100,0
WBS_F.US,5,20250805,193000,19.61,19.665,19.61,19.665,400,0
WBS_F.US,5,20250805,195000,19.7,19.7,19.7,19.7,100,0
WBS_F.US,5,20250805,211500,19.661,19.7,19.661,19.7,355,0
WBS_F.US,5,20250805,215000,19.65,19.65,19.65,19.65,550,0
WBS_F.US,5,20250806,154000,19.725,19.725,19.725,19.725,1250,0
WBS_F.US,5,20250806,155000,19.8,19.8,19.8,19.8,100,0
WBS_F.US,5,20250806,170000,19.84,19.88,19.84,19.88,300,0
WBS_F.US,5,20250806,182500,19.82,19.82,19.82,19.82,290,0
WBS_F.US,5,20250806,184500,19.6901,19.755,19.6901,19.755,1900,0
