<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WES.US,5,20250728,153000,41.22,41.25,40.985,41.03,15217,0
WES.US,5,20250728,153500,41.05,41.05,40.81,40.85,13009,0
WES.US,5,20250728,154000,40.91,40.91,40.8,40.83,3245,0
WES.US,5,20250728,154500,40.83,40.8599,40.73,40.795,12391,0
WES.US,5,20250728,155000,40.81,40.83,40.76,40.81,8273,0
WES.US,5,20250728,155500,40.78,40.91,40.78,40.875,8537,0
WES.US,5,20250728,160000,40.8966,40.9506,40.84,40.9506,6106,0
WES.US,5,20250728,160500,40.925,40.96,40.8,40.83,2975,0
WES.US,5,20250728,161000,40.8,40.86,40.75,40.86,10132,0
WES.US,5,20250728,161500,40.8404,40.88,40.82,40.82,1628,0
WES.US,5,20250728,162000,40.85,40.89,40.81,40.845,8733,0
WES.US,5,20250728,162500,40.87,40.87,40.84,40.86,2690,0
WES.US,5,20250728,163000,40.87,40.89,40.81,40.89,2003,0
WES.US,5,20250728,163500,40.84,40.84,40.75,40.76,16318,0
WES.US,5,20250728,164000,40.745,40.7799,40.65,40.75,9820,0
WES.US,5,20250728,164500,40.7344,40.74,40.7,40.73,7707,0
WES.US,5,20250728,165000,40.74,40.75,40.7,40.74,4874,0
WES.US,5,20250728,165500,40.7,40.72,40.68,40.7,5560,0
WES.US,5,20250728,170000,40.7,40.72,40.63,40.63,5869,0
WES.US,5,20250728,170500,40.6233,40.67,40.585,40.585,4873,0
WES.US,5,20250728,171000,40.56,40.64,40.56,40.64,5093,0
WES.US,5,20250728,171500,40.6,40.62,40.57,40.595,10974,0
WES.US,5,20250728,172000,40.6167,40.65,40.6,40.65,5067,0
WES.US,5,20250728,172500,40.6144,40.68,40.59,40.67,4422,0
WES.US,5,20250728,173000,40.6669,40.73,40.6669,40.724,4873,0
WES.US,5,20250728,173500,40.72,40.74,40.69,40.72,4097,0
