<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WIA.US,5,20250728,155000,8.3,8.3,8.3,8.3,100,0
WIA.US,5,20250728,161500,8.33,8.33,8.33,8.33,100,0
WIA.US,5,20250728,162500,8.2863,8.2863,8.2863,8.2863,600,0
WIA.US,5,20250728,163000,8.33,8.33,8.33,8.33,100,0
WIA.US,5,20250728,163500,8.33,8.33,8.33,8.33,200,0
WIA.US,5,20250728,164000,8.34,8.34,8.2905,8.34,7852,0
WIA.US,5,20250728,164500,8.315,8.34,8.29,8.315,3726,0
WIA.US,5,20250728,165000,8.34,8.34,8.29,8.2901,1300,0
WIA.US,5,20250728,171500,8.291,8.291,8.29,8.2901,1100,0
WIA.US,5,20250728,172500,8.3167,8.3167,8.29,8.29,1200,0
WIA.US,5,20250728,190000,8.29,8.29,8.29,8.29,100,0
WIA.US,5,20250728,194000,8.3,8.305,8.29,8.29,1910,0
WIA.US,5,20250728,195500,8.2996,8.2996,8.2996,8.2996,200,0
WIA.US,5,20250728,200000,8.3,8.3,8.3,8.3,534,0
WIA.US,5,20250728,201500,8.308,8.308,8.29,8.3,1304,0
WIA.US,5,20250728,202500,8.29,8.3,8.29,8.3,1700,0
WIA.US,5,20250728,204500,8.3,8.3,8.3,8.3,166,0
WIA.US,5,20250728,205500,8.3,8.3,8.3,8.3,200,0
WIA.US,5,20250728,212000,8.3084,8.3084,8.3,8.3,1325,0
WIA.US,5,20250728,215500,8.3,8.3,8.295,8.3,590,0
WIA.US,5,20250729,153500,8.3255,8.3255,8.3255,8.3255,5000,0
WIA.US,5,20250729,154000,8.31,8.31,8.304,8.31,1827,0
WIA.US,5,20250729,161000,8.3001,8.3001,8.3001,8.3001,508,0
WIA.US,5,20250729,181500,8.31,8.31,8.31,8.31,1000,0
WIA.US,5,20250729,190000,8.32,8.32,8.315,8.315,2810,0
WIA.US,5,20250729,194000,8.32,8.32,8.3147,8.3147,836,0
WIA.US,5,20250729,194500,8.3165,8.3165,8.31,8.31,1300,0
WIA.US,5,20250729,203000,8.315,8.315,8.31,8.31,354,0
WIA.US,5,20250729,204000,8.3192,8.3192,8.3192,8.3192,700,0
WIA.US,5,20250729,204500,8.3199,8.3199,8.3147,8.3147,1400,0
