<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WT.US,5,20250728,153000,13.715,13.715,13.62,13.6373,12871,0
WT.US,5,20250728,153500,13.635,13.695,13.635,13.68,15624,0
WT.US,5,20250728,154000,13.66,13.665,13.655,13.66,4824,0
WT.US,5,20250728,154500,13.66,13.68,13.66,13.669,12064,0
WT.US,5,20250728,155000,13.665,13.67,13.6643,13.6667,5049,0
WT.US,5,20250728,155500,13.66,13.6653,13.6501,13.66,19158,0
WT.US,5,20250728,160000,13.66,13.66,13.635,13.655,13291,0
WT.US,5,20250728,160500,13.66,13.675,13.64,13.64,10479,0
WT.US,5,20250728,161000,13.635,13.66,13.63,13.6565,8963,0
WT.US,5,20250728,161500,13.655,13.655,13.625,13.625,6308,0
WT.US,5,20250728,162000,13.625,13.625,13.605,13.615,9422,0
WT.US,5,20250728,162500,13.615,13.615,13.585,13.59,12117,0
WT.US,5,20250728,163000,13.595,13.605,13.59,13.605,10550,0
WT.US,5,20250728,163500,13.605,13.62,13.595,13.615,18706,0
WT.US,5,20250728,164000,13.615,13.6275,13.61,13.625,4818,0
WT.US,5,20250728,164500,13.625,13.63,13.605,13.615,26036,0
WT.US,5,20250728,165000,13.61,13.63,13.605,13.61,13308,0
WT.US,5,20250728,165500,13.6,13.6,13.58,13.585,25696,0
WT.US,5,20250728,170000,13.585,13.595,13.585,13.59,14635,0
WT.US,5,20250728,170500,13.585,13.59,13.58,13.585,6834,0
WT.US,5,20250728,171000,13.585,13.585,13.57,13.575,8308,0
WT.US,5,20250728,171500,13.575,13.58,13.565,13.565,13504,0
WT.US,5,20250728,172000,13.565,13.575,13.555,13.575,20435,0
WT.US,5,20250728,172500,13.57,13.59,13.57,13.59,22027,0
WT.US,5,20250728,173000,13.58,13.59,13.58,13.585,5066,0
WT.US,5,20250728,173500,13.59,13.6,13.585,13.595,12042,0
WT.US,5,20250728,174000,13.595,13.595,13.555,13.555,15289,0
WT.US,5,20250728,174500,13.555,13.57,13.55,13.565,11268,0
WT.US,5,20250728,175000,13.565,13.58,13.565,13.575,7038,0
WT.US,5,20250728,175500,13.575,13.58,13.5647,13.5647,6577,0
WT.US,5,20250728,180000,13.565,13.57,13.565,13.565,1873,0
WT.US,5,20250728,180500,13.57,13.575,13.5501,13.555,13277,0
WT.US,5,20250728,181000,13.56,13.57,13.55,13.555,13578,0
WT.US,5,20250728,181500,13.555,13.56,13.535,13.555,15232,0
WT.US,5,20250728,182000,13.555,13.56,13.555,13.555,5653,0
WT.US,5,20250728,182500,13.555,13.555,13.54,13.55,12400,0
WT.US,5,20250728,183000,13.545,13.55,13.545,13.545,2341,0
WT.US,5,20250728,183500,13.545,13.545,13.535,13.535,12144,0
WT.US,5,20250728,184000,13.535,13.54,13.53,13.535,3871,0
WT.US,5,20250728,184500,13.53,13.53,13.52,13.52,4872,0
WT.US,5,20250728,185000,13.525,13.53,13.52,13.525,4755,0
WT.US,5,20250728,185500,13.525,13.5299,13.52,13.525,3577,0
WT.US,5,20250728,190000,13.525,13.5399,13.515,13.525,21412,0
WT.US,5,20250728,190500,13.53,13.535,13.525,13.525,6845,0
WT.US,5,20250728,191000,13.525,13.53,13.5201,13.5201,2490,0
WT.US,5,20250728,191500,13.525,13.525,13.505,13.5101,10073,0
WT.US,5,20250728,192000,13.51,13.53,13.505,13.525,9943,0
WT.US,5,20250728,192500,13.525,13.53,13.525,13.525,3840,0
WT.US,5,20250728,193000,13.53,13.55,13.53,13.545,8687,0
