<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XLFI.US,5,20250731,163500,24.88,24.88,24.88,24.88,200,0
XLFI.US,5,20250801,174000,24.32,24.32,24.3075,24.3075,810,0
XLFI.US,5,20250805,153500,24.609,24.609,24.609,24.609,203,0
XLFI.US,5,20250811,153500,24.61,24.61,24.61,24.61,406,0
XLFI.US,5,20250811,162500,24.54,24.54,24.54,24.54,409,0
XLFI.US,5,20250812,171500,24.8075,24.8075,24.8075,24.8075,202,0
XLFI.US,5,20250814,205500,25.01,25.01,25.01,25.01,100,0
XLFI.US,5,20250815,183000,24.92,24.92,24.92,24.92,100,0
XLFI.US,5,20250815,192500,24.919,24.919,24.919,24.919,100,0
XLFI.US,5,20250821,172500,24.9895,24.99,24.9895,24.99,400,0
XLFI.US,5,20250825,173500,25.1914,25.1914,25.1914,25.1914,300,0
XLFI.US,5,20250825,174000,25.199,25.199,25.199,25.199,300,0
XLFI.US,5,20250825,194000,25.1832,25.1832,25.1832,25.1832,120,0
XLFI.US,5,20250826,214500,25.28,25.28,25.28,25.28,100,0
XLFI.US,5,20250827,163000,25.45,25.45,25.45,25.45,300,0
XLFI.US,5,20250827,165000,25.339,25.339,25.339,25.339,230,0
XLFI.US,5,20250827,171000,25.34,25.34,25.34,25.34,100,0
XLFI.US,5,20250827,192000,25.3332,25.3332,25.3332,25.3332,149,0
XLFI.US,5,20250827,200000,25.36,25.36,25.36,25.36,100,0
XLFI.US,5,20250828,153000,25.37,25.37,25.37,25.37,1000,0
XLFI.US,5,20250828,191500,25.35,25.35,25.35,25.35,100,0
XLFI.US,5,20250902,154000,24.88,24.88,24.88,24.88,100,0
XLFI.US,5,20250902,180000,24.88,24.88,24.88,24.88,260,0
XLFI.US,5,20250902,185000,24.89,24.89,24.89,24.89,200,0
XLFI.US,5,20250902,193500,24.959,24.959,24.94,24.959,780,0
XLFI.US,5,20250903,162500,24.95,24.95,24.95,24.95,100,0
XLFI.US,5,20250903,211500,24.939,24.939,24.939,24.939,300,0
XLFI.US,5,20250905,175000,24.88,24.88,24.88,24.88,100,0
XLFI.US,5,20250905,190000,24.9,24.9,24.9,24.9,200,0
XLFI.US,5,20250908,154000,24.845,24.845,24.845,24.845,100,0
XLFI.US,5,20250908,163500,24.85,24.85,24.85,24.85,200,0
XLFI.US,5,20250908,164500,24.88,24.8801,24.88,24.8801,200,0
XLFI.US,5,20250908,173500,24.871,24.871,24.871,24.871,300,0
XLFI.US,5,20250908,200500,24.85,24.85,24.85,24.85,200,0
XLFI.US,5,20250909,162000,25.02,25.02,25.02,25.02,200,0
XLFI.US,5,20250909,164000,25.029,25.029,25.029,25.029,199,0
XLFI.US,5,20250909,164500,25.02,25.02,25.02,25.02,100,0
XLFI.US,5,20250909,175000,25.04,25.04,25.04,25.04,200,0
XLFI.US,5,20250909,190500,25,25,25,25,1000,0
XLFI.US,5,20250909,193500,25.0181,25.0181,25.0181,25.0181,100,0
XLFI.US,5,20250910,163500,24.98,24.98,24.98,24.98,100,0
XLFI.US,5,20250910,170500,24.939,24.939,24.939,24.939,128,0
XLFI.US,5,20250910,173500,24.93,24.93,24.9299,24.9299,800,0
XLFI.US,5,20250910,180500,24.98,24.98,24.98,24.98,100,0
XLFI.US,5,20250910,203500,24.98,24.98,24.98,24.98,100,0
XLFI.US,5,20250912,161000,25.2125,25.23,25.2125,25.215,300,0
XLFI.US,5,20250912,203500,25.23,25.23,25.23,25.23,100,0
XLFI.US,5,20250912,204500,25.23,25.23,25.23,25.23,100,0
XLFI.US,5,20250912,205500,25.24,25.24,25.24,25.24,100,0
XLFI.US,5,20250915,174500,25.178,25.178,25.178,25.178,198,0
XLFI.US,5,20250915,213000,25.17,25.17,25.17,25.17,100,0
XLFI.US,5,20250915,214000,25.179,25.179,25.179,25.179,200,0
XLFI.US,5,20250916,160500,25.069,25.07,25.05,25.05,300,0
XLFI.US,5,20250916,205500,25.158,25.158,25.158,25.158,200,0
XLFI.US,5,20250917,160000,25.241,25.241,25.241,25.241,100,0
XLFI.US,5,20250917,165500,25.276,25.276,25.276,25.276,100,0
XLFI.US,5,20250917,201000,25.29,25.29,25.29,25.29,100,0
XLFI.US,5,20250917,202500,25.309,25.309,25.309,25.309,100,0
XLFI.US,5,20250917,204000,25.26,25.26,25.26,25.26,100,0
XLFI.US,5,20250917,204500,25.26,25.26,25.26,25.26,100,0
XLFI.US,5,20250917,205500,25.2178,25.2499,25.2178,25.2499,200,0
XLFI.US,5,20250918,160000,25.37,25.37,25.37,25.37,100,0
XLFI.US,5,20250918,195000,25.339,25.339,25.32,25.32,434,0
XLFI.US,5,20250918,203000,25.34,25.34,25.34,25.34,200,0
XLFI.US,5,20250918,203500,25.33,25.33,25.33,25.33,100,0
XLFI.US,5,20250918,204500,25.32,25.32,25.32,25.32,100,0
XLFI.US,5,20250918,205500,25.34,25.34,25.34,25.34,100,0
XLFI.US,5,20250919,153000,25.305,25.305,25.305,25.305,500,0
XLFI.US,5,20250919,154000,25.3,25.3,25.3,25.3,100,0
XLFI.US,5,20250919,175000,25.3196,25.3196,25.3196,25.3196,200,0
XLFI.US,5,20250919,182000,25.35,25.35,25.35,25.35,200,0
XLFI.US,5,20250919,185500,25.32,25.3599,25.32,25.34,600,0
XLFI.US,5,20250919,200500,25.37,25.37,25.37,25.37,100,0
XLFI.US,5,20250919,205500,25.38,25.38,25.38,25.38,200,0
