<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
YPF.US,5,20250728,153000,33.11,33.395,33.02,33.315,9150,0
YPF.US,5,20250728,153500,33.32,33.66,33.32,33.61,14163,0
YPF.US,5,20250728,154000,33.62,33.83,33.52,33.83,9338,0
YPF.US,5,20250728,154500,33.86,33.87,33.63,33.68,12389,0
YPF.US,5,20250728,155000,33.73,33.77,33.55,33.61,15855,0
YPF.US,5,20250728,155500,33.58,33.59,33.455,33.59,7917,0
YPF.US,5,20250728,160000,33.61,33.62,33.44,33.515,11197,0
YPF.US,5,20250728,160500,33.48,33.5599,33.41,33.51,12325,0
YPF.US,5,20250728,161000,33.5,33.53,33.44,33.5,2219,0
YPF.US,5,20250728,161500,33.53,33.54,33.3819,33.45,13816,0
YPF.US,5,20250728,162000,33.43,33.46,33.2501,33.46,14817,0
YPF.US,5,20250728,162500,33.395,33.47,33.36,33.435,4113,0
YPF.US,5,20250728,163000,33.435,33.475,33.4,33.4,4612,0
YPF.US,5,20250728,163500,33.44,33.44,33.25,33.2732,12349,0
YPF.US,5,20250728,164000,33.28,33.37,33.28,33.37,899,0
YPF.US,5,20250728,164500,33.375,33.42,33.375,33.3964,1900,0
YPF.US,5,20250728,165000,33.4,33.53,33.38,33.53,16205,0
YPF.US,5,20250728,165500,33.51,33.535,33.47,33.48,3286,0
YPF.US,5,20250728,170000,33.45,33.54,33.4138,33.53,8987,0
YPF.US,5,20250728,170500,33.5304,33.6,33.5304,33.6,7813,0
YPF.US,5,20250728,171000,33.5799,33.615,33.5657,33.6,6000,0
YPF.US,5,20250728,171500,33.61,33.67,33.59,33.59,10347,0
YPF.US,5,20250728,172000,33.57,33.65,33.57,33.635,8262,0
YPF.US,5,20250728,172500,33.66,33.68,33.61,33.65,12853,0
YPF.US,5,20250728,173000,33.6604,33.67,33.62,33.66,2927,0
YPF.US,5,20250728,173500,33.65,33.75,33.64,33.72,15947,0
YPF.US,5,20250728,174000,33.67,33.68,33.5,33.51,21379,0
YPF.US,5,20250728,174500,33.5388,33.59,33.52,33.565,11028,0
YPF.US,5,20250728,175000,33.55,33.56,33.485,33.485,4876,0
YPF.US,5,20250728,175500,33.485,33.485,33.455,33.47,8630,0
YPF.US,5,20250728,180000,33.455,33.52,33.42,33.495,5420,0
YPF.US,5,20250728,180500,33.47,33.5,33.43,33.49,5615,0
YPF.US,5,20250728,181000,33.46,33.49,33.46,33.46,4190,0
YPF.US,5,20250728,181500,33.44,33.48,33.402,33.402,4672,0
YPF.US,5,20250728,182000,33.402,33.405,33.37,33.405,1221,0
YPF.US,5,20250728,182500,33.41,33.42,33.38,33.385,1831,0
YPF.US,5,20250728,183000,33.39,33.445,33.3761,33.445,1917,0
YPF.US,5,20250728,183500,33.46,33.47,33.44,33.46,1886,0
YPF.US,5,20250728,184000,33.41,33.415,33.33,33.35,11356,0
YPF.US,5,20250728,184500,33.345,33.365,33.3,33.365,11891,0
YPF.US,5,20250728,185000,33.38,33.4,33.33,33.4,5157,0
YPF.US,5,20250728,185500,33.4,33.42,33.39,33.4,979,0
YPF.US,5,20250728,190000,33.385,33.385,33.22,33.242,10414,0
YPF.US,5,20250728,190500,33.25,33.268,33.2432,33.25,2229,0
YPF.US,5,20250728,191000,33.25,33.25,33.23,33.245,2186,0
YPF.US,5,20250728,191500,33.2,33.24,33.1801,33.1801,7737,0
YPF.US,5,20250728,192000,33.205,33.22,33.144,33.15,2764,0
YPF.US,5,20250728,192500,33.16,33.19,33.14,33.15,4712,0
YPF.US,5,20250728,193000,33.15,33.1612,33.1,33.12,4635,0
YPF.US,5,20250728,193500,33.11,33.138,33.07,33.12,13379,0
YPF.US,5,20250728,194000,33.12,33.2,33.1,33.18,5705,0
YPF.US,5,20250728,194500,33.185,33.19,33.12,33.18,9761,0
YPF.US,5,20250728,195000,33.18,33.2399,33.13,33.155,3700,0
YPF.US,5,20250728,195500,33.158,33.17,33.1,33.115,8199,0
YPF.US,5,20250728,200000,33.115,33.115,33.05,33.095,11357,0
YPF.US,5,20250728,200500,33.095,33.205,33.06,33.17,12555,0
YPF.US,5,20250728,201000,33.19,33.23,33.18,33.21,2429,0
YPF.US,5,20250728,201500,33.21,33.22,33.18,33.18,1058,0
YPF.US,5,20250728,202000,33.18,33.24,33.18,33.24,1910,0
YPF.US,5,20250728,202500,33.19,33.3,33.19,33.29,9327,0
YPF.US,5,20250728,203000,33.2687,33.305,33.2687,33.305,882,0
YPF.US,5,20250728,203500,33.27,33.3119,33.27,33.295,1484,0
YPF.US,5,20250728,204000,33.3,33.32,33.3,33.32,720,0
YPF.US,5,20250728,204500,33.315,33.34,33.31,33.34,666,0
YPF.US,5,20250728,205000,33.31,33.34,33.27,33.29,6613,0
YPF.US,5,20250728,205500,33.29,33.32,33.29,33.315,1600,0
YPF.US,5,20250728,210000,33.3,33.33,33.29,33.32,6517,0
YPF.US,5,20250728,210500,33.315,33.315,33.15,33.16,10088,0
YPF.US,5,20250728,211000,33.15,33.175,33.15,33.17,740,0
YPF.US,5,20250728,211500,33.17,33.1711,33.165,33.165,1535,0
YPF.US,5,20250728,212000,33.19,33.2071,33.185,33.185,638,0
YPF.US,5,20250728,212500,33.185,33.24,33.185,33.24,2489,0
YPF.US,5,20250728,213000,33.23,33.23,33.17,33.18,2108,0
YPF.US,5,20250728,213500,33.18,33.2,33.07,33.13,17671,0
YPF.US,5,20250728,214000,33.12,33.195,33.105,33.145,82795,0
YPF.US,5,20250728,214500,33.14,33.17,33.14,33.16,4337,0
YPF.US,5,20250728,215000,33.17,33.22,33.16,33.195,10122,0
YPF.US,5,20250728,215500,33.19,33.27,33.18,33.23,57698,0
YPF.US,5,20250729,153000,33.27,33.385,33.12,33.32,8314,0
YPF.US,5,20250729,153500,33.29,33.295,33.18,33.235,5438,0
YPF.US,5,20250729,154000,33.21,33.21,33.21,33.21,100,0
YPF.US,5,20250729,154500,33.264,33.44,33.26,33.44,7729,0
YPF.US,5,20250729,155000,33.46,33.61,33.44,33.58,7991,0
YPF.US,5,20250729,155500,33.576,33.66,33.52,33.565,8497,0
YPF.US,5,20250729,160000,33.575,33.68,33.5482,33.66,21727,0
YPF.US,5,20250729,160500,33.66,33.79,33.65,33.75,35286,0
YPF.US,5,20250729,161000,33.72,33.86,33.57,33.82,24544,0
YPF.US,5,20250729,161500,33.83,34.07,33.83,33.89,59301,0
YPF.US,5,20250729,162000,33.925,34.18,33.85,34.11,24391,0
YPF.US,5,20250729,162500,34.11,34.175,33.92,33.94,16375,0
YPF.US,5,20250729,163000,33.99,34.075,33.97,34.075,5371,0
YPF.US,5,20250729,163500,34.075,34.18,34.02,34.04,28846,0
YPF.US,5,20250729,164000,34.09,34.15,34.02,34.09,55024,0
YPF.US,5,20250729,164500,34.04,34.0401,33.91,33.92,28431,0
YPF.US,5,20250729,165000,33.9,33.94,33.83,33.86,18352,0
YPF.US,5,20250729,165500,33.86,33.95,33.84,33.94,7991,0
YPF.US,5,20250729,170000,33.915,34.05,33.91,34.05,17350,0
YPF.US,5,20250729,170500,34.04,34.24,34.01,34.16,26844,0
YPF.US,5,20250729,171000,34.15,34.1754,34.08,34.16,19476,0
YPF.US,5,20250729,171500,34.14,34.14,34.09,34.12,2600,0
YPF.US,5,20250729,172000,34.11,34.11,34.07,34.07,2282,0
YPF.US,5,20250729,172500,34.05,34.08,34.01,34.03,7175,0
YPF.US,5,20250729,173000,34.0291,34.17,34.001,34.09,18244,0
YPF.US,5,20250729,173500,34.09,34.14,34.0867,34.14,2130,0
YPF.US,5,20250729,174000,34.12,34.22,34.09,34.22,10169,0
YPF.US,5,20250729,174500,34.21,34.22,34.1417,34.15,17681,0
YPF.US,5,20250729,175000,34.18,34.29,34.18,34.29,11734,0
YPF.US,5,20250729,175500,34.28,34.2996,34.2295,34.26,7476,0
YPF.US,5,20250729,180000,34.25,34.36,34.25,34.32,52280,0
YPF.US,5,20250729,180500,34.325,34.51,34.3,34.455,28923,0
YPF.US,5,20250729,181000,34.44,34.52,34.42,34.514,7079,0
YPF.US,5,20250729,181500,34.525,34.58,34.49,34.51,14715,0
YPF.US,5,20250729,182000,34.52,34.5297,34.39,34.415,11715,0
YPF.US,5,20250729,182500,34.44,34.45,34.25,34.32,16827,0
YPF.US,5,20250729,183000,34.34,34.45,34.34,34.43,16906,0
YPF.US,5,20250729,183500,34.42,34.4899,34.42,34.445,2836,0
YPF.US,5,20250729,184000,34.45,34.465,34.32,34.32,7760,0
YPF.US,5,20250729,184500,34.35,34.402,34.34,34.35,9919,0
YPF.US,5,20250729,185000,34.355,34.3799,34.32,34.32,2034,0
YPF.US,5,20250729,185500,34.34,34.3925,34.33,34.35,25760,0
YPF.US,5,20250729,190000,34.41,34.4999,34.41,34.4999,5264,0
YPF.US,5,20250729,190500,34.4505,34.475,34.41,34.46,8356,0
YPF.US,5,20250729,191000,34.49,34.49,34.44,34.49,1494,0
YPF.US,5,20250729,191500,34.5,34.5599,34.43,34.431,22612,0
YPF.US,5,20250729,192000,34.475,34.53,34.4664,34.51,8224,0
YPF.US,5,20250729,192500,34.5014,34.54,34.47,34.47,18782,0
YPF.US,5,20250729,193000,34.46,34.48,34.44,34.48,9349,0
YPF.US,5,20250729,193500,34.475,34.53,34.475,34.52,20774,0
YPF.US,5,20250729,194000,34.55,34.61,34.55,34.6,41336,0
YPF.US,5,20250729,194500,34.6,34.6299,34.57,34.57,11534,0
YPF.US,5,20250729,195000,34.5799,34.6,34.54,34.6,4891,0
YPF.US,5,20250729,195500,34.585,34.62,34.585,34.59,8973,0
YPF.US,5,20250729,200000,34.6,34.6299,34.535,34.565,43105,0
YPF.US,5,20250729,200500,34.55,34.6023,34.535,34.585,12896,0
YPF.US,5,20250729,201000,34.585,34.621,34.585,34.62,24866,0
YPF.US,5,20250729,201500,34.63,34.7399,34.63,34.715,15426,0
YPF.US,5,20250729,202000,34.72,34.79,34.7009,34.79,25744,0
YPF.US,5,20250729,202500,34.775,34.775,34.72,34.73,40959,0
YPF.US,5,20250729,203000,34.745,34.8,34.7213,34.781,15966,0
YPF.US,5,20250729,203500,34.785,34.8299,34.78,34.8044,7795,0
YPF.US,5,20250729,204000,34.82,34.825,34.76,34.7832,9914,0
YPF.US,5,20250729,204500,34.77,34.7901,34.76,34.765,2724,0
