<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CATX.US,5,20250728,153000,4.0825,4.0825,4.051,4.075,5776,0
CATX.US,5,20250728,153500,4.05,4.06,4.01,4.035,27346,0
CATX.US,5,20250728,154000,4.035,4.08,4.035,4.0503,16644,0
CATX.US,5,20250728,154500,4.0518,4.1,4.0518,4.065,8740,0
CATX.US,5,20250728,155000,4.065,4.08,4.03,4.03,9646,0
CATX.US,5,20250728,155500,4.0001,4.03,4.0001,4.01,3235,0
CATX.US,5,20250728,160000,4.035,4.06,4.035,4.04,11379,0
CATX.US,5,20250728,160500,4.04,4.12,4.04,4.12,6922,0
CATX.US,5,20250728,161000,4.115,4.155,4.115,4.155,6037,0
CATX.US,5,20250728,161500,4.145,4.16,4.125,4.135,7576,0
CATX.US,5,20250728,162000,4.135,4.145,4.13,4.14,4863,0
CATX.US,5,20250728,162500,4.14,4.15,4.13,4.15,8662,0
CATX.US,5,20250728,163000,4.15,4.185,4.15,4.175,23847,0
CATX.US,5,20250728,163500,4.17,4.186,4.16,4.178,7032,0
CATX.US,5,20250728,164000,4.1601,4.225,4.1601,4.225,13822,0
CATX.US,5,20250728,164500,4.235,4.25,4.2106,4.225,10915,0
CATX.US,5,20250728,165000,4.225,4.25,4.225,4.25,16363,0
CATX.US,5,20250728,165500,4.25,4.28,4.24,4.2739,33182,0
CATX.US,5,20250728,170000,4.27,4.28,4.2502,4.255,13859,0
CATX.US,5,20250728,170500,4.255,4.255,4.2,4.23,11394,0
CATX.US,5,20250728,171000,4.23,4.23,4.22,4.22,786,0
CATX.US,5,20250728,171500,4.23,4.23,4.22,4.23,3818,0
CATX.US,5,20250728,172000,4.23,4.23,4.22,4.23,2852,0
CATX.US,5,20250728,172500,4.23,4.23,4.22,4.22,4455,0
CATX.US,5,20250728,173000,4.22,4.22,4.19,4.2,30547,0
CATX.US,5,20250728,173500,4.2,4.2,4.16,4.16,9463,0
CATX.US,5,20250728,174000,4.16,4.17,4.15,4.15,2419,0
CATX.US,5,20250728,174500,4.16,4.16,4.13,4.14,6632,0
CATX.US,5,20250728,175000,4.14,4.14,4.14,4.14,2700,0
CATX.US,5,20250728,175500,4.1428,4.145,4.11,4.1298,16164,0
CATX.US,5,20250728,180000,4.11,4.14,4.11,4.135,1320,0
CATX.US,5,20250728,180500,4.135,4.135,4.135,4.135,1000,0
CATX.US,5,20250728,181000,4.13,4.135,4.12,4.135,2850,0
CATX.US,5,20250728,181500,4.14,4.14,4.135,4.14,2640,0
CATX.US,5,20250728,182000,4.14,4.205,4.14,4.205,8151,0
CATX.US,5,20250728,182500,4.205,4.205,4.19,4.19,1879,0
CATX.US,5,20250728,183000,4.185,4.185,4.17,4.17,678,0
CATX.US,5,20250728,183500,4.15,4.18,4.15,4.17,6263,0
CATX.US,5,20250728,184000,4.165,4.17,4.165,4.17,400,0
CATX.US,5,20250728,184500,4.17,4.18,4.17,4.175,2018,0
CATX.US,5,20250728,185000,4.175,4.175,4.15,4.15,2734,0
CATX.US,5,20250728,185500,4.16,4.16,4.145,4.15,2939,0
CATX.US,5,20250728,190000,4.16,4.19,4.1501,4.17,3172,0
CATX.US,5,20250728,190500,4.17,4.21,4.17,4.185,2825,0
CATX.US,5,20250728,191000,4.185,4.21,4.185,4.2069,1400,0
CATX.US,5,20250728,191500,4.19,4.2,4.19,4.19,2749,0
CATX.US,5,20250728,192000,4.18,4.18,4.18,4.18,653,0
CATX.US,5,20250728,192500,4.19,4.21,4.18,4.19,5944,0
CATX.US,5,20250728,193000,4.19,4.2,4.1815,4.2,384,0
CATX.US,5,20250728,193500,4.1912,4.21,4.1912,4.2,700,0
CATX.US,5,20250728,194000,4.2,4.23,4.2,4.22,13880,0
CATX.US,5,20250728,194500,4.23,4.24,4.23,4.23,3403,0
CATX.US,5,20250728,195000,4.23,4.23,4.2,4.2,3503,0
CATX.US,5,20250728,195500,4.21,4.2184,4.2,4.2184,1200,0
CATX.US,5,20250728,200000,4.205,4.205,4.18,4.18,8300,0
CATX.US,5,20250728,200500,4.17,4.17,4.17,4.17,300,0
CATX.US,5,20250728,201000,4.17,4.17,4.16,4.16,1333,0
CATX.US,5,20250728,201500,4.16,4.17,4.16,4.16,2193,0
CATX.US,5,20250728,202000,4.16,4.175,4.16,4.17,5643,0
CATX.US,5,20250728,202500,4.16,4.16,4.15,4.155,1800,0
CATX.US,5,20250728,203000,4.16,4.17,4.16,4.17,9605,0
CATX.US,5,20250728,203500,4.17,4.18,4.1666,4.17,800,0
CATX.US,5,20250728,204000,4.17,4.17,4.17,4.17,100,0
CATX.US,5,20250728,204500,4.17,4.18,4.16,4.16,3404,0
CATX.US,5,20250728,205000,4.16,4.16,4.15,4.15,1304,0
CATX.US,5,20250728,205500,4.16,4.165,4.16,4.16,1400,0
CATX.US,5,20250728,210000,4.15,4.15,4.1409,4.145,1447,0
CATX.US,5,20250728,210500,4.145,4.145,4.135,4.135,1565,0
CATX.US,5,20250728,211000,4.14,4.15,4.13,4.15,4300,0
CATX.US,5,20250728,211500,4.15,4.15,4.15,4.15,3100,0
CATX.US,5,20250728,212000,4.15,4.15,4.1402,4.15,1900,0
CATX.US,5,20250728,212500,4.15,4.15,4.13,4.14,4991,0
CATX.US,5,20250728,213000,4.14,4.14,4.115,4.12,8312,0
CATX.US,5,20250728,213500,4.13,4.1404,4.125,4.125,4491,0
CATX.US,5,20250728,214000,4.125,4.125,4.11,4.12,7294,0
CATX.US,5,20250728,214500,4.12,4.14,4.12,4.125,12411,0
CATX.US,5,20250728,215000,4.12,4.13,4.115,4.13,12178,0
CATX.US,5,20250728,215500,4.13,4.14,4.12,4.135,35881,0
CATX.US,5,20250729,153000,4.13,4.13,4.05,4.08,11144,0
CATX.US,5,20250729,153500,4.07,4.075,4.06,4.075,931,0
CATX.US,5,20250729,154000,4.075,4.085,4.01,4.01,24802,0
CATX.US,5,20250729,154500,4.01,4.015,3.98,3.995,4524,0
CATX.US,5,20250729,155000,3.995,3.995,3.95,3.995,9895,0
CATX.US,5,20250729,155500,3.98,3.98,3.96,3.97,4862,0
CATX.US,5,20250729,160000,3.976,4,3.97,3.97,16087,0
CATX.US,5,20250729,160500,3.96,3.97,3.93,3.9565,50094,0
CATX.US,5,20250729,161000,3.95,4,3.95,3.96,5668,0
CATX.US,5,20250729,161500,3.9502,3.97,3.9502,3.96,5860,0
CATX.US,5,20250729,162000,3.96,3.9688,3.95,3.96,6914,0
CATX.US,5,20250729,162500,3.96,3.96,3.94,3.94,5836,0
CATX.US,5,20250729,163000,3.945,3.955,3.93,3.93,6271,0
CATX.US,5,20250729,163500,3.94,3.95,3.94,3.94,500,0
CATX.US,5,20250729,164000,3.945,3.9598,3.94,3.955,9619,0
