<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EONR.US,5,20250728,153000,0.33,0.33,0.326,0.326,6407,0
EONR.US,5,20250728,153500,0.3251,0.3279,0.3247,0.325,26502,0
EONR.US,5,20250728,154000,0.3253,0.3256,0.3235,0.3235,42323,0
EONR.US,5,20250728,154500,0.3239,0.3239,0.3217,0.3217,3100,0
EONR.US,5,20250728,155000,0.3211,0.3211,0.31915,0.31915,6760,0
EONR.US,5,20250728,155500,0.32,0.32,0.318,0.3183,13754,0
EONR.US,5,20250728,160000,0.3185,0.3197,0.3185,0.3185,15709,0
EONR.US,5,20250728,160500,0.3183,0.319549,0.3149,0.319549,23862,0
EONR.US,5,20250728,161000,0.319749,0.3199,0.318101,0.318101,4676,0
EONR.US,5,20250728,161500,0.319,0.319,0.318001,0.319,8100,0
EONR.US,5,20250728,162000,0.32,0.32,0.3198,0.3198,1450,0
EONR.US,5,20250728,162500,0.3195,0.3199,0.319,0.3198,7695,0
EONR.US,5,20250728,163000,0.3198,0.3198,0.3194,0.3197,3392,0
EONR.US,5,20250728,163500,0.3199,0.3199,0.3195,0.3195,1563,0
EONR.US,5,20250728,164000,0.3195,0.3195,0.3191,0.3191,500,0
EONR.US,5,20250728,164500,0.3191,0.3194,0.319,0.319,22772,0
EONR.US,5,20250728,165000,0.319,0.3197,0.319,0.319,1051,0
EONR.US,5,20250728,165500,0.319,0.319,0.318,0.318,7634,0
EONR.US,5,20250728,170000,0.318,0.318,0.3162,0.31765,12100,0
EONR.US,5,20250728,170500,0.31865,0.3195,0.31865,0.3193,3570,0
EONR.US,5,20250728,171000,0.319799,0.319799,0.319799,0.319799,200,0
EONR.US,5,20250728,171500,0.31895,0.31895,0.3181,0.3181,2500,0
EONR.US,5,20250728,172000,0.3181,0.3189,0.3181,0.3189,2325,0
EONR.US,5,20250728,172500,0.3189,0.319699,0.3181,0.3181,8983,0
EONR.US,5,20250728,173000,0.31969,0.31969,0.3181,0.3181,11627,0
