<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ISOU.US,5,20250730,153000,6.7,6.75,6.7,6.75,350,0
ISOU.US,5,20250730,153500,6.9,6.9,6.89,6.9,630,0
ISOU.US,5,20250730,154000,6.88,6.88,6.88,6.88,500,0
ISOU.US,5,20250730,154500,6.86,6.87,6.86,6.87,200,0
ISOU.US,5,20250730,155000,6.83,6.83,6.83,6.83,100,0
ISOU.US,5,20250730,160000,6.76,6.76,6.76,6.76,100,0
ISOU.US,5,20250730,160500,6.835,6.845,6.742,6.742,400,0
ISOU.US,5,20250730,161000,6.79,6.8,6.79,6.79,660,0
ISOU.US,5,20250730,161500,6.8511,6.8511,6.8511,6.8511,300,0
ISOU.US,5,20250730,162000,6.78,6.78,6.78,6.78,200,0
ISOU.US,5,20250730,162500,6.77,6.77,6.77,6.77,100,0
ISOU.US,5,20250730,163500,6.744,6.744,6.744,6.744,200,0
ISOU.US,5,20250730,164000,6.77,6.77,6.745,6.745,300,0
ISOU.US,5,20250730,165000,6.7608,6.7608,6.7608,6.7608,1000,0
ISOU.US,5,20250730,170000,6.7,6.7,6.7,6.7,300,0
ISOU.US,5,20250730,170500,6.69,6.715,6.68,6.68,1375,0
ISOU.US,5,20250730,171000,6.68,6.68,6.64,6.66,2462,0
ISOU.US,5,20250730,171500,6.65,6.65,6.64,6.64,800,0
ISOU.US,5,20250730,172000,6.6,6.62,6.6,6.62,400,0
ISOU.US,5,20250730,173000,6.61,6.61,6.61,6.61,200,0
ISOU.US,5,20250730,173500,6.6,6.6,6.6,6.6,100,0
ISOU.US,5,20250730,174500,6.56,6.56,6.56,6.56,100,0
ISOU.US,5,20250730,180000,6.57,6.57,6.57,6.57,100,0
ISOU.US,5,20250730,180500,6.61,6.61,6.61,6.61,100,0
ISOU.US,5,20250730,181000,6.62,6.62,6.62,6.62,100,0
ISOU.US,5,20250730,181500,6.594,6.616,6.594,6.616,300,0
ISOU.US,5,20250730,182000,6.6,6.6,6.6,6.6,250,0
ISOU.US,5,20250730,182500,6.58,6.58,6.58,6.58,100,0
ISOU.US,5,20250730,185000,6.57,6.57,6.57,6.57,100,0
ISOU.US,5,20250730,185500,6.6,6.6,6.6,6.6,100,0
ISOU.US,5,20250730,190000,6.63,6.63,6.63,6.63,100,0
ISOU.US,5,20250730,192500,6.61,6.61,6.6,6.6,600,0
ISOU.US,5,20250730,193000,6.6,6.6,6.6,6.6,100,0
ISOU.US,5,20250730,193500,6.627,6.627,6.627,6.627,1505,0
ISOU.US,5,20250730,194000,6.64,6.64,6.64,6.64,460,0
ISOU.US,5,20250730,195000,6.655,6.655,6.655,6.655,225,0
ISOU.US,5,20250730,202500,6.6,6.6,6.6,6.6,1550,0
ISOU.US,5,20250730,203000,6.6,6.6,6.595,6.595,500,0
ISOU.US,5,20250730,204500,6.59,6.59,6.57,6.57,900,0
ISOU.US,5,20250730,205000,6.57,6.59,6.57,6.59,7056,0
ISOU.US,5,20250730,205500,6.585,6.585,6.57,6.57,5360,0
ISOU.US,5,20250730,210000,6.55,6.56,6.53,6.56,540,0
ISOU.US,5,20250730,211000,6.55,6.56,6.55,6.56,800,0
ISOU.US,5,20250730,212000,6.52,6.52,6.52,6.52,100,0
ISOU.US,5,20250730,212500,6.531,6.531,6.531,6.531,204,0
ISOU.US,5,20250730,213000,6.54,6.54,6.54,6.54,100,0
ISOU.US,5,20250730,213500,6.51,6.51,6.51,6.51,100,0
ISOU.US,5,20250730,214000,6.5,6.51,6.5,6.51,200,0
ISOU.US,5,20250730,214500,6.51,6.51,6.51,6.51,300,0
ISOU.US,5,20250730,215000,6.52,6.6005,6.52,6.56,15818,0
ISOU.US,5,20250730,215500,6.55,6.575,6.52,6.52,800,0
ISOU.US,5,20250731,153000,6.51,6.51,6.51,6.51,1402,0
ISOU.US,5,20250731,153500,6.6369,6.6369,6.6369,6.6369,375,0
ISOU.US,5,20250731,154000,6.6013,6.6013,6.575,6.575,250,0
ISOU.US,5,20250731,154500,6.53,6.6,6.5,6.6,1230,0
ISOU.US,5,20250731,155500,6.59,6.691,6.59,6.691,1383,0
ISOU.US,5,20250731,160000,6.6141,6.7233,6.6141,6.7233,1100,0
ISOU.US,5,20250731,160500,6.71,6.71,6.68,6.68,600,0
ISOU.US,5,20250731,161000,6.635,6.64,6.635,6.64,1848,0
ISOU.US,5,20250731,163500,6.6152,6.6152,6.6152,6.6152,100,0
ISOU.US,5,20250731,164000,6.58,6.58,6.58,6.58,371,0
ISOU.US,5,20250731,165000,6.545,6.545,6.545,6.545,175,0
ISOU.US,5,20250731,170000,6.5525,6.6,6.5525,6.6,1462,0
ISOU.US,5,20250731,170500,6.6,6.6045,6.6,6.6045,5115,0
ISOU.US,5,20250731,172000,6.6,6.6,6.57,6.6,500,0
ISOU.US,5,20250731,173000,6.5844,6.5844,6.5844,6.5844,400,0
ISOU.US,5,20250731,180000,6.57,6.57,6.57,6.57,100,0
ISOU.US,5,20250731,183000,6.635,6.635,6.635,6.635,300,0
ISOU.US,5,20250731,184500,6.74,7.02,6.55,6.55,13863,0
ISOU.US,5,20250731,190000,6.61,6.61,6.61,6.61,100,0
ISOU.US,5,20250731,193000,6.52,6.52,6.52,6.52,300,0
ISOU.US,5,20250731,195000,6.5,6.5,6.415,6.415,300,0
ISOU.US,5,20250731,195500,6.42,6.42,6.4087,6.4087,382,0
ISOU.US,5,20250731,202500,6.415,6.415,6.415,6.415,1400,0
ISOU.US,5,20250731,203000,6.41,6.46,6.41,6.44,3819,0
ISOU.US,5,20250731,203500,6.49,6.5,6.48,6.48,2000,0
ISOU.US,5,20250731,204000,6.47,6.5,6.47,6.5,2700,0
ISOU.US,5,20250731,204500,6.52,6.53,6.49,6.52,1800,0
ISOU.US,5,20250731,205000,6.49,6.49,6.49,6.49,2845,0
ISOU.US,5,20250731,213000,6.45,6.45,6.45,6.45,200,0
ISOU.US,5,20250731,213500,6.5319,6.5319,6.39,6.39,250,0
ISOU.US,5,20250731,214500,6.6,6.6,6.6,6.6,250,0
ISOU.US,5,20250731,215500,6.43,6.43,6.35,6.35,2578,0
ISOU.US,5,20250801,153000,6.06,6.39,6.06,6.1332,1934,0
ISOU.US,5,20250801,153500,6.16,6.16,6.1,6.1,350,0
ISOU.US,5,20250801,154000,6.04,6.04,5.95,5.98,12703,0
ISOU.US,5,20250801,154500,6.05,6.05,6.05,6.05,204,0
ISOU.US,5,20250801,160000,6.0974,6.0974,6.0974,6.0974,100,0
ISOU.US,5,20250801,160500,6.0527,6.07,6.05,6.05,900,0
ISOU.US,5,20250801,161000,6.2,6.2,6.19,6.2,1400,0
ISOU.US,5,20250801,161500,6.1362,6.2053,6.1362,6.18,1900,0
ISOU.US,5,20250801,162000,6.2,6.2,6.2,6.2,100,0
ISOU.US,5,20250801,162500,6.25,6.25,6.205,6.205,5383,0
ISOU.US,5,20250801,163500,6.16,6.16,6.16,6.16,500,0
ISOU.US,5,20250801,164000,6.2,6.2,6.2,6.2,100,0
ISOU.US,5,20250801,164500,6.12,6.16,5.94,6.085,1971,0
ISOU.US,5,20250801,165000,6.21,6.21,6.21,6.21,500,0
ISOU.US,5,20250801,165500,6.09,6.09,6.08,6.08,340,0
ISOU.US,5,20250801,170000,6.08,6.08,6.08,6.08,400,0
ISOU.US,5,20250801,170500,6.075,6.075,6.075,6.075,100,0
ISOU.US,5,20250801,171000,6.075,6.075,6.075,6.075,100,0
ISOU.US,5,20250801,172500,6.17,6.17,6.17,6.17,100,0
ISOU.US,5,20250801,173000,6.0439,6.18,6.0439,6.16,822,0
ISOU.US,5,20250801,174500,6.25,6.25,6.24,6.25,2456,0
ISOU.US,5,20250801,175000,6.28,6.28,6.28,6.28,298,0
ISOU.US,5,20250801,181000,6.222,6.222,6.222,6.222,900,0
ISOU.US,5,20250801,181500,6.21,6.21,6.1627,6.1627,5768,0
ISOU.US,5,20250801,182000,6.26,6.3,6.25,6.3,2445,0
ISOU.US,5,20250801,185500,6.15,6.15,6.15,6.15,300,0
ISOU.US,5,20250801,190500,6.15,6.16,6.15,6.16,1635,0
ISOU.US,5,20250801,191000,6.1922,6.1922,6.1922,6.1922,100,0
ISOU.US,5,20250801,192000,6.08,6.08,6.08,6.08,200,0
ISOU.US,5,20250801,192500,6.1937,6.1937,6.1937,6.1937,223,0
ISOU.US,5,20250801,193000,6.1343,6.1995,6.1343,6.1995,850,0
ISOU.US,5,20250801,193500,6.1869,6.1869,6.1869,6.1869,250,0
ISOU.US,5,20250801,201000,6.12,6.12,6.12,6.12,400,0
ISOU.US,5,20250801,203000,6.145,6.145,6.145,6.145,100,0
ISOU.US,5,20250801,203500,6.21,6.21,6.209,6.21,1350,0
ISOU.US,5,20250801,204000,6.25,6.28,6.249,6.25,1400,0
ISOU.US,5,20250801,204500,6.27,6.28,6.27,6.28,1180,0
ISOU.US,5,20250801,205000,6.23,6.23,6.23,6.23,100,0
ISOU.US,5,20250801,211000,6.32,6.32,6.28,6.28,2900,0
ISOU.US,5,20250801,211500,6.3,6.31,6.3,6.31,3100,0
ISOU.US,5,20250801,212000,6.33,6.33,6.33,6.33,3814,0
ISOU.US,5,20250801,213000,6.3,6.3,6.3,6.3,100,0
ISOU.US,5,20250801,213500,6.3,6.3,6.3,6.3,100,0
ISOU.US,5,20250801,215500,6.34,6.35,6.31,6.31,545,0
ISOU.US,5,20250804,155000,6.1348,6.1348,6.1348,6.1348,250,0
ISOU.US,5,20250804,161000,7.2,7.2,6.77,6.77,1569,0
ISOU.US,5,20250804,162000,6.6539,6.6539,6.6539,6.6539,1000,0
ISOU.US,5,20250804,184500,6.668,6.67,6.668,6.67,1000,0
ISOU.US,5,20250804,201000,6.59,6.59,6.59,6.59,100,0
ISOU.US,5,20250804,201500,6.3046,6.3046,6.3046,6.3046,800,0
ISOU.US,5,20250804,202000,6.51,6.51,6.51,6.51,100,0
ISOU.US,5,20250804,202500,6.58,6.6,6.55,6.6,600,0
ISOU.US,5,20250804,204000,6.56,6.57,6.56,6.57,200,0
ISOU.US,5,20250804,204500,6.51,6.51,6.36,6.36,450,0
ISOU.US,5,20250804,205000,6.37,6.4,6.3,6.4,3125,0
ISOU.US,5,20250804,205500,6.4,6.4,6.4,6.4,100,0
ISOU.US,5,20250804,210500,6.33,6.33,6.32,6.33,400,0
ISOU.US,5,20250804,211000,6.4,6.4,6.4,6.4,100,0
ISOU.US,5,20250804,212500,6.4,6.56,6.3,6.3,2832,0
ISOU.US,5,20250804,213000,6.305,6.305,6.305,6.305,100,0
ISOU.US,5,20250804,213500,6.42,6.462,6.42,6.462,3126,0
ISOU.US,5,20250804,214000,6.39,6.39,6.39,6.39,400,0
ISOU.US,5,20250804,214500,6.3807,6.3807,6.3807,6.3807,130,0
ISOU.US,5,20250804,215000,6.39,6.39,6.39,6.39,176,0
ISOU.US,5,20250804,215500,6.345,6.478,6.345,6.41,2452,0
ISOU.US,5,20250805,153000,6.81,6.81,6.81,6.81,100,0
ISOU.US,5,20250805,154000,6.69,6.7,6.645,6.7,1200,0
ISOU.US,5,20250805,154500,6.61,6.61,6.6,6.61,800,0
ISOU.US,5,20250805,155000,6.58,6.58,6.58,6.58,400,0
ISOU.US,5,20250805,160000,6.5982,6.5982,6.5982,6.5982,125,0
ISOU.US,5,20250805,161500,6.58,6.58,6.57,6.57,200,0
ISOU.US,5,20250805,164000,6.4637,6.4637,6.4637,6.4637,140,0
ISOU.US,5,20250805,164500,6.38,6.47,6.38,6.47,300,0
ISOU.US,5,20250805,165500,6.435,6.435,6.435,6.435,100,0
ISOU.US,5,20250805,170000,6.435,6.435,6.435,6.435,200,0
ISOU.US,5,20250805,170500,6.435,6.435,6.435,6.435,100,0
ISOU.US,5,20250805,171000,6.445,6.445,6.445,6.445,200,0
ISOU.US,5,20250805,171500,6.5,6.51,6.5,6.51,200,0
ISOU.US,5,20250805,174000,6.45,6.45,6.45,6.45,100,0
ISOU.US,5,20250805,174500,6.44,6.4756,6.44,6.4756,300,0
ISOU.US,5,20250805,175000,6.44,6.44,6.44,6.44,100,0
ISOU.US,5,20250805,175500,6.425,6.425,6.4,6.4,400,0
ISOU.US,5,20250805,180000,6.445,6.445,6.445,6.445,100,0
ISOU.US,5,20250805,181500,6.455,6.455,6.455,6.455,100,0
ISOU.US,5,20250805,182000,6.505,6.51,6.465,6.51,3026,0
ISOU.US,5,20250805,183000,6.48,6.51,6.48,6.48,1368,0
ISOU.US,5,20250805,184000,6.51,6.51,6.48,6.48,1128,0
ISOU.US,5,20250805,184500,6.5018,6.5018,6.5018,6.5018,111,0
ISOU.US,5,20250805,185000,6.485,6.485,6.485,6.485,100,0
ISOU.US,5,20250805,190000,6.45,6.45,6.45,6.45,100,0
ISOU.US,5,20250805,191000,6.47,6.47,6.465,6.465,250,0
ISOU.US,5,20250805,193000,6.47,6.47,6.47,6.47,200,0
ISOU.US,5,20250805,193500,6.47,6.52,6.47,6.52,300,0
ISOU.US,5,20250805,201500,6.53,6.53,6.52,6.52,300,0
ISOU.US,5,20250805,202000,6.49,6.49,6.49,6.49,100,0
ISOU.US,5,20250805,210000,6.55,6.57,6.545,6.545,1676,0
ISOU.US,5,20250805,211000,6.545,6.58,6.545,6.58,364,0
ISOU.US,5,20250805,212500,6.575,6.6,6.575,6.6,300,0
ISOU.US,5,20250805,213000,6.585,6.585,6.585,6.585,100,0
ISOU.US,5,20250805,214000,6.585,6.5901,6.58,6.58,1050,0
ISOU.US,5,20250805,214500,6.58,6.59,6.58,6.59,646,0
ISOU.US,5,20250805,215000,6.59,6.59,6.57,6.57,400,0
ISOU.US,5,20250805,215500,6.58,6.58,6.58,6.58,141,0
ISOU.US,5,20250806,154000,6.53,6.63,6.53,6.63,700,0
ISOU.US,5,20250806,155000,6.56,6.56,6.56,6.56,500,0
ISOU.US,5,20250806,155500,6.615,6.68,6.6114,6.6114,1320,0
ISOU.US,5,20250806,160500,6.6119,6.6119,6.6119,6.6119,135,0
ISOU.US,5,20250806,161000,6.68,6.68,6.68,6.68,1941,0
ISOU.US,5,20250806,165500,6.56,6.605,6.55,6.605,8496,0
ISOU.US,5,20250806,170500,6.56,6.61,6.55,6.55,4100,0
ISOU.US,5,20250806,171000,6.58,6.62,6.58,6.62,1998,0
ISOU.US,5,20250806,171500,6.63,6.63,6.63,6.63,100,0
ISOU.US,5,20250806,180000,6.581,6.625,6.58,6.6,2400,0
ISOU.US,5,20250806,180500,6.6716,6.6716,6.6716,6.6716,1021,0
ISOU.US,5,20250806,181500,6.664,6.7,6.664,6.7,2028,0
ISOU.US,5,20250806,182500,6.73,6.73,6.7057,6.7057,3800,0
ISOU.US,5,20250806,184000,6.79,6.79,6.79,6.79,100,0
ISOU.US,5,20250806,185500,6.85,6.91,6.85,6.87,5356,0
ISOU.US,5,20250806,191500,6.85,6.85,6.85,6.85,150,0
ISOU.US,5,20250806,194000,6.8,6.8,6.8,6.8,250,0
ISOU.US,5,20250806,195000,6.8,6.8,6.8,6.8,249,0
ISOU.US,5,20250806,202500,6.8462,6.8462,6.8462,6.8462,100,0
ISOU.US,5,20250806,203000,6.81,6.81,6.81,6.81,100,0
ISOU.US,5,20250806,203500,6.86,6.86,6.86,6.86,200,0
ISOU.US,5,20250806,204500,6.78,6.78,6.78,6.78,100,0
ISOU.US,5,20250806,210000,6.77,6.77,6.77,6.77,100,0
ISOU.US,5,20250806,210500,6.76,6.76,6.73,6.74,600,0
ISOU.US,5,20250806,211000,6.73,6.73,6.73,6.73,500,0
ISOU.US,5,20250806,211500,6.73,6.73,6.73,6.73,100,0
ISOU.US,5,20250806,213000,6.73,6.76,6.73,6.76,1700,0
ISOU.US,5,20250806,213500,6.7749,6.7749,6.7749,6.7749,100,0
ISOU.US,5,20250806,214500,6.75,6.75,6.71,6.71,500,0
ISOU.US,5,20250806,215500,6.76,6.76,6.76,6.76,200,0
ISOU.US,5,20250807,153000,6.94,6.94,6.9,6.9,400,0
ISOU.US,5,20250807,153500,6.93,7,6.885,6.885,1472,0
ISOU.US,5,20250807,154000,6.95,6.9528,6.8498,6.95,5000,0
ISOU.US,5,20250807,155500,6.918,6.918,6.918,6.918,1875,0
ISOU.US,5,20250807,160000,6.95,6.95,6.95,6.95,1900,0
ISOU.US,5,20250807,160500,7.0054,7.0054,7.0054,7.0054,130,0
ISOU.US,5,20250807,161000,6.91,6.91,6.91,6.91,100,0
ISOU.US,5,20250807,164500,6.8768,6.8768,6.8768,6.8768,310,0
ISOU.US,5,20250807,165000,6.86,6.86,6.86,6.86,100,0
ISOU.US,5,20250807,170500,6.84,6.84,6.84,6.84,300,0
ISOU.US,5,20250807,171000,6.8274,6.8274,6.8274,6.8274,100,0
ISOU.US,5,20250807,173000,6.801,6.81,6.8,6.81,1800,0
ISOU.US,5,20250807,173500,6.86,6.86,6.8,6.85,2200,0
ISOU.US,5,20250807,174000,6.88,6.88,6.8,6.85,4349,0
ISOU.US,5,20250807,174500,6.801,6.86,6.8,6.8,10500,0
ISOU.US,5,20250807,175000,6.86,6.86,6.86,6.86,100,0
ISOU.US,5,20250807,182000,6.87,6.87,6.87,6.87,100,0
ISOU.US,5,20250807,182500,6.8813,6.8813,6.8813,6.8813,144,0
ISOU.US,5,20250807,183000,6.8656,6.8656,6.8656,6.8656,1200,0
ISOU.US,5,20250807,184000,6.89,6.89,6.89,6.89,100,0
ISOU.US,5,20250807,184500,6.86,6.91,6.86,6.91,800,0
ISOU.US,5,20250807,185000,6.99,6.99,6.99,6.99,250,0
ISOU.US,5,20250807,185500,6.9929,6.9929,6.9929,6.9929,350,0
ISOU.US,5,20250807,191000,7.03,7.03,7.03,7.03,200,0
