<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MTA.US,5,20250728,153000,4.1548,4.17,4.06,4.12,10998,0
MTA.US,5,20250728,153500,4.15,4.1742,4.15,4.1742,360,0
MTA.US,5,20250728,154000,4.13,4.1667,4.13,4.1482,1453,0
MTA.US,5,20250728,154500,4.13,4.15,4.1054,4.1328,5446,0
MTA.US,5,20250728,155000,4.1,4.1,4.0814,4.1,2100,0
MTA.US,5,20250728,155500,4.1,4.1,4.07,4.08,5896,0
MTA.US,5,20250728,160000,4.07,4.0967,4.07,4.0967,2452,0
MTA.US,5,20250728,160500,4.0952,4.1,4.09,4.09,900,0
MTA.US,5,20250728,161000,4.0891,4.09,4.0891,4.09,1450,0
MTA.US,5,20250728,161500,4.1,4.1196,4.1,4.11,3200,0
MTA.US,5,20250728,162000,4.1189,4.1189,4.105,4.11,3777,0
MTA.US,5,20250728,162500,4.105,4.1189,4.105,4.1189,300,0
MTA.US,5,20250728,163000,4.11,4.12,4.1012,4.11,2900,0
MTA.US,5,20250728,163500,4.1,4.1,4.0908,4.1,7743,0
MTA.US,5,20250728,164000,4.1,4.11,4.1,4.109,2267,0
MTA.US,5,20250728,164500,4.11,4.12,4.1,4.1,6237,0
MTA.US,5,20250728,165000,4.0901,4.13,4.0901,4.13,27232,0
MTA.US,5,20250728,165500,4.13,4.13,4.13,4.13,2100,0
MTA.US,5,20250728,170000,4.12,4.12,4.1111,4.1111,756,0
MTA.US,5,20250728,170500,4.125,4.125,4.1233,4.1233,223,0
MTA.US,5,20250728,171000,4.13,4.13,4.125,4.125,1284,0
MTA.US,5,20250728,171500,4.125,4.14,4.125,4.13,4897,0
MTA.US,5,20250728,172000,4.13,4.13,4.12,4.13,2795,0
MTA.US,5,20250728,172500,4.14,4.14,4.14,4.14,100,0
MTA.US,5,20250728,173000,4.14,4.145,4.14,4.145,300,0
MTA.US,5,20250728,173500,4.1491,4.1491,4.145,4.145,800,0
MTA.US,5,20250728,174500,4.145,4.145,4.14,4.14,3490,0
MTA.US,5,20250728,175000,4.1429,4.145,4.1429,4.145,725,0
MTA.US,5,20250728,175500,4.145,4.145,4.12,4.145,24968,0
MTA.US,5,20250728,180000,4.14,4.14,4.13,4.14,7800,0
MTA.US,5,20250728,180500,4.14,4.14,4.14,4.14,700,0
MTA.US,5,20250728,181000,4.135,4.14,4.135,4.14,2815,0
MTA.US,5,20250728,182000,4.1333,4.14,4.1333,4.14,800,0
MTA.US,5,20250728,182500,4.14,4.14,4.14,4.14,200,0
MTA.US,5,20250728,183500,4.1301,4.14,4.125,4.13,13716,0
MTA.US,5,20250728,184000,4.14,4.14,4.14,4.14,386,0
MTA.US,5,20250728,184500,4.1389,4.14,4.13,4.14,1920,0
MTA.US,5,20250728,185000,4.14,4.15,4.14,4.15,2833,0
MTA.US,5,20250728,185500,4.15,4.15,4.15,4.15,200,0
MTA.US,5,20250728,190000,4.1453,4.1453,4.14,4.14,571,0
MTA.US,5,20250728,190500,4.145,4.15,4.145,4.145,443,0
MTA.US,5,20250728,191000,4.145,4.15,4.14,4.15,500,0
MTA.US,5,20250728,191500,4.14,4.16,4.14,4.16,4566,0
MTA.US,5,20250728,192000,4.155,4.17,4.155,4.165,1297,0
MTA.US,5,20250728,192500,4.165,4.17,4.165,4.17,300,0
MTA.US,5,20250728,193000,4.1601,4.17,4.1601,4.17,438,0
MTA.US,5,20250728,193500,4.165,4.17,4.165,4.165,4418,0
MTA.US,5,20250728,194000,4.165,4.17,4.16,4.16,16076,0
MTA.US,5,20250728,194500,4.15,4.15,4.145,4.145,4241,0
MTA.US,5,20250728,195000,4.15,4.15,4.15,4.15,100,0
MTA.US,5,20250728,195500,4.15,4.155,4.145,4.155,1651,0
MTA.US,5,20250728,200000,4.16,4.16,4.16,4.16,200,0
MTA.US,5,20250728,200500,4.15,4.15,4.15,4.15,100,0
MTA.US,5,20250728,201000,4.1552,4.165,4.155,4.165,4087,0
MTA.US,5,20250728,201500,4.16,4.17,4.16,4.17,1368,0
MTA.US,5,20250728,202000,4.17,4.19,4.17,4.19,10170,0
MTA.US,5,20250728,202500,4.1865,4.1865,4.1811,4.1811,400,0
MTA.US,5,20250728,203000,4.185,4.195,4.185,4.19,7770,0
MTA.US,5,20250728,203500,4.18,4.19,4.175,4.18,5303,0
MTA.US,5,20250728,204000,4.19,4.2,4.19,4.19,5779,0
MTA.US,5,20250728,204500,4.185,4.19,4.185,4.19,334,0
MTA.US,5,20250728,205000,4.19,4.19,4.181,4.19,486,0
MTA.US,5,20250728,205500,4.18,4.18,4.18,4.18,200,0
MTA.US,5,20250728,210000,4.19,4.19,4.1809,4.19,1550,0
MTA.US,5,20250728,210500,4.185,4.19,4.185,4.19,613,0
MTA.US,5,20250728,211000,4.19,4.21,4.185,4.185,10594,0
MTA.US,5,20250728,211500,4.18,4.18,4.18,4.18,2400,0
MTA.US,5,20250728,212000,4.1735,4.18,4.1735,4.18,2803,0
MTA.US,5,20250728,212500,4.175,4.19,4.175,4.185,6513,0
MTA.US,5,20250728,213000,4.185,4.185,4.185,4.185,100,0
MTA.US,5,20250728,213500,4.1865,4.19,4.18,4.18,1070,0
MTA.US,5,20250728,214000,4.19,4.19,4.185,4.19,400,0
MTA.US,5,20250728,214500,4.185,4.19,4.18,4.185,13963,0
MTA.US,5,20250728,215000,4.185,4.195,4.175,4.195,12238,0
MTA.US,5,20250728,215500,4.2,4.21,4.195,4.21,16301,0
MTA.US,5,20250729,153000,4.2,4.2,4.17,4.19,5777,0
MTA.US,5,20250729,153500,4.19,4.25,4.19,4.25,600,0
MTA.US,5,20250729,154000,4.19,4.21,4.15,4.21,2559,0
MTA.US,5,20250729,154500,4.21,4.23,4.21,4.23,1342,0
MTA.US,5,20250729,155000,4.23,4.25,4.23,4.25,620,0
MTA.US,5,20250729,155500,4.243,4.243,4.2102,4.22,4490,0
MTA.US,5,20250729,160000,4.22,4.22,4.21,4.21,635,0
MTA.US,5,20250729,160500,4.21,4.225,4.21,4.225,1400,0
MTA.US,5,20250729,161000,4.22,4.23,4.22,4.23,1120,0
MTA.US,5,20250729,161500,4.235,4.235,4.23,4.23,212,0
MTA.US,5,20250729,162000,4.24,4.24,4.235,4.235,327,0
MTA.US,5,20250729,162500,4.2355,4.245,4.2355,4.245,2660,0
MTA.US,5,20250729,163000,4.25,4.26,4.25,4.255,3542,0
MTA.US,5,20250729,163500,4.26,4.265,4.26,4.265,555,0
