<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
UMAC.US,5,20250728,153000,11.15,11.24,11.08,11.09,112012,0
UMAC.US,5,20250728,153500,11.08,11.0999,10.94,11.07,94817,0
UMAC.US,5,20250728,154000,11.0843,11.1,10.8,10.9092,96066,0
UMAC.US,5,20250728,154500,10.86,10.8674,10.58,10.7,147545,0
UMAC.US,5,20250728,155000,10.65,10.6756,10.51,10.615,81628,0
UMAC.US,5,20250728,155500,10.61,10.6495,10.5505,10.615,51174,0
UMAC.US,5,20250728,160000,10.58,10.65,10.55,10.6,25184,0
UMAC.US,5,20250728,160500,10.56,10.6445,10.5,10.525,42635,0
UMAC.US,5,20250728,161000,10.525,10.5499,10.46,10.52,59913,0
UMAC.US,5,20250728,161500,10.51,10.57,10.4352,10.47,49255,0
UMAC.US,5,20250728,162000,10.49,10.54,10.47,10.54,19633,0
UMAC.US,5,20250728,162500,10.52,10.5223,10.4,10.415,67027,0
UMAC.US,5,20250728,163000,10.4006,10.5,10.39,10.454,61591,0
UMAC.US,5,20250728,163500,10.4566,10.52,10.44,10.48,15392,0
UMAC.US,5,20250728,164000,10.4806,10.51,10.475,10.48,25251,0
UMAC.US,5,20250728,164500,10.48,10.528,10.48,10.51,17966,0
UMAC.US,5,20250728,165000,10.5,10.53,10.48,10.505,31520,0
UMAC.US,5,20250728,165500,10.51,10.515,10.4822,10.49,13625,0
UMAC.US,5,20250728,170000,10.49,10.5197,10.42,10.4327,26548,0
UMAC.US,5,20250728,170500,10.43,10.53,10.42,10.47,35273,0
UMAC.US,5,20250728,171000,10.47,10.489,10.45,10.48,13663,0
UMAC.US,5,20250728,171500,10.46,10.5,10.424,10.43,8590,0
UMAC.US,5,20250728,172000,10.4353,10.4353,10.3737,10.4024,37630,0
UMAC.US,5,20250728,172500,10.41,10.43,10.4,10.42,13696,0
UMAC.US,5,20250728,173000,10.4314,10.4352,10.4,10.432,11703,0
UMAC.US,5,20250728,173500,10.43,10.4493,10.4,10.4,6130,0
UMAC.US,5,20250728,174000,10.4,10.4,10.33,10.36,45563,0
UMAC.US,5,20250728,174500,10.37,10.4,10.37,10.37,7570,0
UMAC.US,5,20250728,175000,10.374,10.375,10.3393,10.34,12979,0
UMAC.US,5,20250728,175500,10.3301,10.35,10.3301,10.35,11890,0
UMAC.US,5,20250728,180000,10.355,10.355,10.26,10.2963,64618,0
