<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
USBC.US,5,20250728,153000,2.4985,2.53,2.4985,2.53,943,0
USBC.US,5,20250728,153500,2.52,2.52,2.52,2.52,1000,0
USBC.US,5,20250728,154000,2.5596,2.5596,2.53,2.53,787,0
USBC.US,5,20250728,154500,2.53,2.5496,2.47,2.495,13041,0
USBC.US,5,20250728,155000,2.49,2.4901,2.49,2.4901,601,0
USBC.US,5,20250728,155500,2.505,2.505,2.505,2.505,100,0
USBC.US,5,20250728,160000,2.49,2.49,2.49,2.49,500,0
USBC.US,5,20250728,160500,2.4908,2.4908,2.485,2.485,2900,0
USBC.US,5,20250728,161500,2.48,2.48,2.48,2.48,375,0
USBC.US,5,20250728,162000,2.4816,2.4816,2.47,2.48,4705,0
USBC.US,5,20250728,162500,2.4703,2.4985,2.4703,2.4756,2670,0
USBC.US,5,20250728,163000,2.47,2.4876,2.47,2.4876,5400,0
USBC.US,5,20250728,163500,2.5,2.525,2.49,2.5153,8550,0
USBC.US,5,20250728,164000,2.5599,2.57,2.54,2.55,42398,0
USBC.US,5,20250728,164500,2.5665,2.5699,2.5205,2.545,2848,0
USBC.US,5,20250728,165000,2.545,2.545,2.545,2.545,100,0
USBC.US,5,20250728,165500,2.545,2.56,2.545,2.55,2500,0
USBC.US,5,20250728,170000,2.5333,2.5333,2.5333,2.5333,310,0
USBC.US,5,20250728,170500,2.546,2.56,2.545,2.545,600,0
USBC.US,5,20250728,171500,2.5303,2.545,2.5303,2.545,250,0
USBC.US,5,20250728,173000,2.5312,2.5312,2.5312,2.5312,653,0
USBC.US,5,20250728,174000,2.54,2.543,2.54,2.543,1300,0
USBC.US,5,20250728,174500,2.55,2.55,2.54,2.54,783,0
USBC.US,5,20250728,175000,2.5302,2.54,2.5302,2.5311,1909,0
USBC.US,5,20250728,175500,2.535,2.5389,2.535,2.535,650,0
USBC.US,5,20250728,180000,2.535,2.5399,2.5309,2.535,2694,0
USBC.US,5,20250728,180500,2.54,2.54,2.535,2.54,600,0
USBC.US,5,20250728,181000,2.5597,2.5597,2.5597,2.5597,1000,0
USBC.US,5,20250728,181500,2.55,2.56,2.5386,2.5386,3950,0
USBC.US,5,20250728,182000,2.5374,2.5374,2.5374,2.5374,100,0
USBC.US,5,20250728,183000,2.56,2.56,2.56,2.56,1858,0
USBC.US,5,20250728,183500,2.57,2.5801,2.5658,2.5658,6192,0
USBC.US,5,20250728,184500,2.565,2.565,2.5501,2.5525,3250,0
USBC.US,5,20250728,185000,2.5552,2.5552,2.555,2.555,2900,0
USBC.US,5,20250728,185500,2.555,2.5597,2.555,2.5597,1000,0
USBC.US,5,20250728,191000,2.5593,2.56,2.555,2.56,600,0
USBC.US,5,20250728,192000,2.5534,2.5904,2.5534,2.5904,5693,0
USBC.US,5,20250728,192500,2.5801,2.59,2.57,2.57,25850,0
USBC.US,5,20250728,193500,2.5774,2.5774,2.57,2.57,750,0
