<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
3MUSY.B,5,20250728,080500,4.358,4.358,4.343,4.343,0,0
3MUSY.B,5,20250728,081000,4.358,4.358,4.343,4.358,0,0
3MUSY.B,5,20250728,081500,4.358,4.358,4.343,4.343,0,0
3MUSY.B,5,20250728,082000,4.343,4.358,4.343,4.358,0,0
3MUSY.B,5,20250728,082500,4.343,4.358,4.343,4.358,0,0
3MUSY.B,5,20250728,083000,4.358,4.358,4.343,4.358,0,0
3MUSY.B,5,20250728,083500,4.343,4.358,4.343,4.343,0,0
3MUSY.B,5,20250728,084000,4.358,4.358,4.358,4.358,0,0
3MUSY.B,5,20250728,084500,4.343,4.358,4.343,4.358,0,0
3MUSY.B,5,20250728,085000,4.343,4.343,4.343,4.343,0,0
3MUSY.B,5,20250728,085500,4.343,4.358,4.343,4.358,0,0
3MUSY.B,5,20250728,090000,4.358,4.358,4.343,4.358,0,0
3MUSY.B,5,20250728,090500,4.358,4.358,4.343,4.343,0,0
3MUSY.B,5,20250728,091000,4.343,4.358,4.343,4.343,0,0
3MUSY.B,5,20250728,091500,4.358,4.358,4.343,4.343,0,0
3MUSY.B,5,20250728,092000,4.343,4.358,4.343,4.358,0,0
3MUSY.B,5,20250728,092500,4.358,4.358,4.343,4.343,0,0
3MUSY.B,5,20250728,093000,4.358,4.358,4.343,4.343,0,0
3MUSY.B,5,20250728,093500,4.358,4.358,4.343,4.358,0,0
3MUSY.B,5,20250728,094000,4.358,4.358,4.343,4.358,0,0
3MUSY.B,5,20250728,094500,4.358,4.358,4.343,4.343,0,0
3MUSY.B,5,20250728,095000,4.358,4.358,4.343,4.358,0,0
3MUSY.B,5,20250728,095500,4.358,4.358,4.358,4.358,0,0
3MUSY.B,5,20250728,100000,4.343,4.343,4.343,4.343,0,0
3MUSY.B,5,20250728,100500,4.358,4.358,4.343,4.358,0,0
3MUSY.B,5,20250728,101000,4.358,4.358,4.343,4.343,0,0
3MUSY.B,5,20250728,101500,4.343,4.358,4.343,4.343,0,0
3MUSY.B,5,20250728,102000,4.358,4.358,4.343,4.358,0,0
3MUSY.B,5,20250728,102500,4.358,4.358,4.343,4.358,0,0
3MUSY.B,5,20250728,103000,4.358,4.358,4.343,4.343,0,0
3MUSY.B,5,20250728,103500,4.343,4.343,4.343,4.343,0,0
3MUSY.B,5,20250728,104000,4.358,4.358,4.343,4.343,0,0
3MUSY.B,5,20250728,104500,4.343,4.343,4.343,4.343,0,0
3MUSY.B,5,20250728,105000,4.358,4.358,4.343,4.358,0,0
3MUSY.B,5,20250728,105500,4.358,4.358,4.358,4.358,0,0
3MUSY.B,5,20250728,110000,4.358,4.358,4.343,4.358,0,0
3MUSY.B,5,20250728,110500,4.358,4.358,4.343,4.343,0,0
3MUSY.B,5,20250728,111000,4.343,4.358,4.343,4.358,0,0
3MUSY.B,5,20250728,111500,4.343,4.358,4.343,4.358,0,0
3MUSY.B,5,20250728,112000,4.343,4.358,4.343,4.343,0,0
3MUSY.B,5,20250728,112500,4.358,4.358,4.343,4.343,0,0
3MUSY.B,5,20250728,113000,4.343,4.358,4.343,4.343,0,0
3MUSY.B,5,20250728,113500,4.343,4.358,4.343,4.358,0,0
3MUSY.B,5,20250728,114000,4.343,4.358,4.343,4.358,0,0
3MUSY.B,5,20250728,114500,4.343,4.358,4.343,4.358,0,0
3MUSY.B,5,20250728,115000,4.358,4.358,4.343,4.343,0,0
3MUSY.B,5,20250728,115500,4.343,4.358,4.343,4.358,0,0
3MUSY.B,5,20250728,120000,4.358,4.358,4.343,4.343,0,0
3MUSY.B,5,20250728,120500,4.343,4.358,4.343,4.343,0,0
3MUSY.B,5,20250728,121000,4.343,4.358,4.343,4.358,0,0
3MUSY.B,5,20250728,121500,4.358,4.358,4.343,4.343,0,0
3MUSY.B,5,20250728,122000,4.358,4.358,4.358,4.358,0,0
3MUSY.B,5,20250728,122500,4.358,4.358,4.358,4.358,0,0
3MUSY.B,5,20250728,131000,4.343,4.358,4.343,4.343,0,0
3MUSY.B,5,20250728,131500,4.343,4.358,4.343,4.343,0,0
3MUSY.B,5,20250728,132000,4.343,4.343,4.343,4.343,0,0
3MUSY.B,5,20250728,133500,4.358,4.358,4.343,4.343,0,0
3MUSY.B,5,20250728,134000,4.343,4.343,4.343,4.343,0,0
3MUSY.B,5,20250728,134500,4.358,4.358,4.343,4.343,0,0
3MUSY.B,5,20250728,135000,4.343,4.348,4.343,4.348,0,0
3MUSY.B,5,20250728,135500,4.348,4.348,4.343,4.348,0,0
3MUSY.B,5,20250728,140000,4.348,4.348,4.343,4.348,0,0
3MUSY.B,5,20250728,140500,4.348,4.348,4.348,4.348,0,0
3MUSY.B,5,20250728,141000,4.358,4.358,4.358,4.358,0,0
3MUSY.B,5,20250728,141500,4.358,4.358,4.358,4.358,0,0
3MUSY.B,5,20250728,142000,4.348,4.358,4.348,4.358,0,0
3MUSY.B,5,20250728,142500,4.358,4.358,4.358,4.358,0,0
3MUSY.B,5,20250728,144500,4.353,4.358,4.353,4.353,0,0
3MUSY.B,5,20250728,145000,4.353,4.353,4.353,4.353,0,0
3MUSY.B,5,20250728,200000,4.338,4.338,4.338,4.338,0,0
3MUSY.B,5,20250728,200500,4.338,4.353,4.338,4.338,0,0
3MUSY.B,5,20250728,201000,4.338,4.338,4.338,4.338,0,0
3MUSY.B,5,20250729,051500,4.345,4.345,4.345,4.345,0,0
3MUSY.B,5,20250729,052000,4.34,4.345,4.34,4.345,0,0
3MUSY.B,5,20250729,052500,4.345,4.345,4.345,4.345,0,0
3MUSY.B,5,20250729,055000,4.34,4.34,4.34,4.34,0,0
3MUSY.B,5,20250729,055500,4.345,4.345,4.345,4.345,0,0
3MUSY.B,5,20250729,060000,4.345,4.345,4.345,4.345,0,0
3MUSY.B,5,20250729,061000,4.34,4.34,4.34,4.34,0,0
3MUSY.B,5,20250729,061500,4.345,4.345,4.34,4.34,0,0
3MUSY.B,5,20250729,062000,4.34,4.34,4.34,4.34,0,0
3MUSY.B,5,20250729,072000,4.345,4.345,4.345,4.345,0,0
3MUSY.B,5,20250729,072500,4.34,4.345,4.34,4.345,0,0
3MUSY.B,5,20250729,073000,4.345,4.345,4.34,4.345,0,0
3MUSY.B,5,20250729,073500,4.345,4.345,4.345,4.345,0,0
3MUSY.B,5,20250729,074500,4.34,4.34,4.34,4.34,0,0
3MUSY.B,5,20250729,075000,4.34,4.34,4.34,4.34,0,0
3MUSY.B,5,20250729,082000,4.345,4.345,4.345,4.345,0,0
3MUSY.B,5,20250729,082500,4.34,4.345,4.34,4.345,0,0
3MUSY.B,5,20250729,083000,4.345,4.345,4.345,4.345,0,0
3MUSY.B,5,20250729,083500,4.34,4.345,4.34,4.345,0,0
3MUSY.B,5,20250729,084000,4.345,4.345,4.345,4.345,0,0
3MUSY.B,5,20250729,084500,4.34,4.34,4.34,4.34,0,0
3MUSY.B,5,20250729,085000,4.34,4.345,4.34,4.345,0,0
3MUSY.B,5,20250729,085500,4.34,4.34,4.335,4.34,0,0
3MUSY.B,5,20250729,090000,4.335,4.34,4.335,4.34,0,0
3MUSY.B,5,20250729,090500,4.34,4.34,4.34,4.34,0,0
3MUSY.B,5,20250729,091000,4.335,4.34,4.335,4.34,0,0
3MUSY.B,5,20250729,091500,4.34,4.34,4.34,4.34,0,0
3MUSY.B,5,20250729,194500,4.335,4.34,4.335,4.335,0,0
3MUSY.B,5,20250729,195000,4.34,4.34,4.335,4.335,0,0
3MUSY.B,5,20250729,195500,4.335,4.335,4.335,4.335,0,0
3MUSY.B,5,20250729,222500,4.34,4.34,4.34,4.34,0,0
3MUSY.B,5,20250729,223000,4.34,4.34,4.34,4.34,0,0
3MUSY.B,5,20250730,175000,4.335,4.335,4.335,4.335,0,0
3MUSY.B,5,20250730,175500,4.335,4.335,4.335,4.335,0,0
3MUSY.B,5,20250730,180000,4.335,4.335,4.335,4.335,0,0
3MUSY.B,5,20250730,200500,4.345,4.345,4.345,4.345,0,0
3MUSY.B,5,20250730,201000,4.345,4.345,4.345,4.345,0,0
3MUSY.B,5,20250730,205000,4.351,4.351,4.351,4.351,0,0
3MUSY.B,5,20250730,205500,4.351,4.351,4.345,4.345,0,0
3MUSY.B,5,20250730,210000,4.351,4.351,4.351,4.351,0,0
3MUSY.B,5,20250730,210500,4.351,4.351,4.351,4.351,0,0
3MUSY.B,5,20250730,214500,4.345,4.345,4.345,4.345,0,0
3MUSY.B,5,20250730,215000,4.345,4.345,4.345,4.345,0,0
