<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AUDIO.V,5,20250727,000500,0.0671134,0.0671134,0.0671134,0.0671134,271.999,0
AUDIO.V,5,20250727,001000,0.0671134,0.0672134,0.0670134,0.0671134,13279.58887,0
AUDIO.V,5,20250727,001500,0.0671067,0.0672067,0.0670067,0.0672067,2123.11587,0
AUDIO.V,5,20250727,002000,0.0672067,0.0673135,0.0672067,0.0673067,9788.83324,0
AUDIO.V,5,20250727,002500,0.0674135,0.0674135,0.0670067,0.0670134,18899.51624,0
AUDIO.V,5,20250727,003000,0.0670134,0.0670134,0.0668134,0.0668134,4468.421403,0
AUDIO.V,5,20250727,003500,0.0670134,0.0670134,0.0670134,0.0670134,501.29974,0
AUDIO.V,5,20250727,004000,0.0670067,0.0670067,0.0668134,0.0669134,2844.23884,0
AUDIO.V,5,20250727,004500,0.0669134,0.0669134,0.0669134,0.0669134,1013.60832,0
AUDIO.V,5,20250727,005000,0.0669134,0.0669134,0.0669067,0.0669067,3961.203,0
AUDIO.V,5,20250727,005500,0.0669134,0.0669134,0.0669067,0.0669134,2140.03016,0
AUDIO.V,5,20250727,010000,0.0669067,0.0669134,0.0669067,0.0669134,5029.85686,0
AUDIO.V,5,20250727,010500,0.0669134,0.0669134,0.0667133,0.0668134,14464.65373,0
AUDIO.V,5,20250727,011000,0.0668067,0.0669134,0.0667067,0.0667067,1298.15598,0
AUDIO.V,5,20250727,011500,0.0667133,0.0668134,0.0666067,0.0666067,6386.82392,0
AUDIO.V,5,20250727,012000,0.0667067,0.0667067,0.0665133,0.0667067,798.26299,0
AUDIO.V,5,20250727,012500,0.0666133,0.0667133,0.0664066,0.0664066,1177.532321,0
AUDIO.V,5,20250727,013000,0.0667067,0.0667067,0.0667067,0.0667067,4043.468,0
AUDIO.V,5,20250727,013500,0.0665067,0.0667133,0.0665067,0.0667133,2518.382283,0
AUDIO.V,5,20250727,014000,0.0667067,0.0667067,0.0666133,0.0666133,360.984333,0
AUDIO.V,5,20250727,014500,0.0665067,0.0666133,0.0663133,0.0666133,6287.420843,0
AUDIO.V,5,20250727,015000,0.0664133,0.0666133,0.0664133,0.0666133,8999.417673,0
AUDIO.V,5,20250727,015500,0.0666133,0.0666133,0.0666133,0.0666133,704.13676,0
AUDIO.V,5,20250727,020000,0.0665067,0.0666067,0.0663133,0.0664066,48557.352223,0
AUDIO.V,5,20250727,020500,0.0664066,0.0664133,0.0663133,0.0664066,21777.17896,0
AUDIO.V,5,20250727,021000,0.0664066,0.0664066,0.0664066,0.0664066,598.01129,0
AUDIO.V,5,20250727,021500,0.0664066,0.0665067,0.0664066,0.0665067,3523.28979,0
AUDIO.V,5,20250727,022000,0.0666133,0.0666133,0.0665067,0.0665067,5223.7001,0
AUDIO.V,5,20250727,022500,0.0664133,0.0665133,0.0664066,0.0665067,8450.7545,0
AUDIO.V,5,20250727,023000,0.0664066,0.0665067,0.0664066,0.0665067,8472.85461,0
AUDIO.V,5,20250727,023500,0.0664066,0.0665133,0.0664066,0.0664066,9751.38317,0
AUDIO.V,5,20250727,024000,0.0665133,0.0665133,0.0664133,0.0664133,1332.663041,0
AUDIO.V,5,20250727,024500,0.0664133,0.0665133,0.0664133,0.0664133,6415.42669,0
AUDIO.V,5,20250727,025000,0.0664133,0.0665133,0.0663133,0.0663133,3223.02581,0
AUDIO.V,5,20250727,025500,0.0664066,0.0664133,0.0664066,0.0664133,1626.77461,0
AUDIO.V,5,20250727,030000,0.0664066,0.0665133,0.0664066,0.0665133,3096.473113,0
AUDIO.V,5,20250727,030500,0.0665133,0.0665133,0.0664066,0.0664066,3941.81147,0
AUDIO.V,5,20250727,031000,0.0664066,0.0666067,0.0664066,0.0665067,11087.16034,0
AUDIO.V,5,20250727,031500,0.0665067,0.0667133,0.0665067,0.0667133,8891.74039,0
AUDIO.V,5,20250727,032000,0.0666133,0.0666133,0.0666133,0.0666133,1164.75223,0
AUDIO.V,5,20250727,032500,0.0666067,0.0667067,0.0666067,0.0667067,2089.38564,0
AUDIO.V,5,20250727,033000,0.0666067,0.0666067,0.0666067,0.0666067,210.47895,0
AUDIO.V,5,20250727,033500,0.0667067,0.0667067,0.0666067,0.0667067,10233.70684,0
AUDIO.V,5,20250727,034000,0.0666067,0.0667067,0.0665067,0.0667067,13997.84059,0
AUDIO.V,5,20250727,034500,0.0666133,0.0666133,0.0664066,0.0665067,8863.50373,0
AUDIO.V,5,20250727,035000,0.0665067,0.0665133,0.0664066,0.0665067,4162.36061,0
AUDIO.V,5,20250727,035500,0.0665133,0.0666133,0.0665133,0.0665133,2357.62224,0
AUDIO.V,5,20250727,040000,0.0665067,0.0665133,0.0664066,0.0665067,10319.03421,0
AUDIO.V,5,20250727,040500,0.0664066,0.0664133,0.0664066,0.0664133,3394.60759,0
AUDIO.V,5,20250727,041000,0.0665067,0.0665067,0.0664066,0.0665067,4202.49293,0
AUDIO.V,5,20250727,041500,0.0665067,0.0666067,0.0664133,0.0664133,8533.58923,0
AUDIO.V,5,20250727,042000,0.0664066,0.0666133,0.0664066,0.0666133,46406.27747,0
AUDIO.V,5,20250727,042500,0.0665133,0.0666133,0.0665067,0.0666067,4811.618793,0
AUDIO.V,5,20250727,043000,0.0666067,0.0667133,0.0664133,0.0667067,22375.096963,0
AUDIO.V,5,20250727,043500,0.0667067,0.0668067,0.0667067,0.0668067,3539.330513,0
AUDIO.V,5,20250727,044000,0.0668067,0.0668067,0.0668067,0.0668067,5664.95635,0
AUDIO.V,5,20250727,044500,0.0668067,0.0668067,0.0666067,0.0666067,3140.1909,0
AUDIO.V,5,20250727,045000,0.0665067,0.0671134,0.0665067,0.0670134,18372.991353,0
AUDIO.V,5,20250727,045500,0.0669134,0.0672134,0.0668134,0.0669134,6212.14698,0
AUDIO.V,5,20250727,050000,0.0670134,0.0671134,0.0669134,0.0670067,3520.27388,0
AUDIO.V,5,20250727,050500,0.0670067,0.0670067,0.0667133,0.06682,33289.38298,0
AUDIO.V,5,20250727,051000,0.06682,0.06682,0.0668134,0.0668134,630.564304,0
AUDIO.V,5,20250727,051500,0.0670134,0.0671134,0.06682,0.0671134,51134.39852,0
AUDIO.V,5,20250727,052000,0.0668134,0.06682,0.0668134,0.06682,659.981923,0
AUDIO.V,5,20250727,052500,0.0669134,0.0669134,0.0668134,0.0668134,2161.295723,0
AUDIO.V,5,20250727,053000,0.0669201,0.0670201,0.0668134,0.06682,4767.29723,0
AUDIO.V,5,20250727,053500,0.0668134,0.0670201,0.0668134,0.0669134,9179.468763,0
AUDIO.V,5,20250727,054000,0.0669134,0.0669134,0.0668134,0.0668134,1517.11786,0
AUDIO.V,5,20250727,054500,0.0669201,0.0669201,0.06682,0.0669201,8643.071049,0
AUDIO.V,5,20250727,055000,0.0669134,0.0669201,0.06682,0.0669201,3486.952501,0
AUDIO.V,5,20250727,055500,0.0670134,0.0671134,0.0668134,0.06682,12975.59076,0
AUDIO.V,5,20250727,060000,0.0669201,0.0669201,0.0669134,0.0669201,805.41807,0
AUDIO.V,5,20250727,060500,0.0669201,0.0669201,0.0669201,0.0669201,663.23802,0
AUDIO.V,5,20250727,061000,0.0669201,0.0669201,0.0668134,0.0669134,2072.91052,0
AUDIO.V,5,20250727,061500,0.0669201,0.0669201,0.06662,0.06662,2133.366921,0
AUDIO.V,5,20250727,062000,0.06682,0.0669201,0.0667133,0.0667133,6482.985558,0
AUDIO.V,5,20250727,062500,0.0670201,0.0670201,0.06672,0.0669134,2229.229463,0
AUDIO.V,5,20250727,063000,0.0668134,0.0670201,0.0668134,0.0668134,3125.549608,0
AUDIO.V,5,20250727,063500,0.0668134,0.0672202,0.0668134,0.0669201,2429.069433,0
AUDIO.V,5,20250727,064000,0.0671134,0.0671134,0.0669201,0.0670134,7118.35027,0
AUDIO.V,5,20250727,064500,0.0668134,0.0670201,0.0668134,0.0670134,2227.54892,0
AUDIO.V,5,20250727,065000,0.0671201,0.0672202,0.0669134,0.0670134,6102.72406,0
AUDIO.V,5,20250727,065500,0.0671134,0.0671134,0.0669134,0.0669134,3810.070053,0
AUDIO.V,5,20250727,070000,0.0670201,0.0673202,0.0669201,0.0673202,2417.000378,0
AUDIO.V,5,20250727,070500,0.0670134,0.0671134,0.0670134,0.0671134,1195.27934,0
AUDIO.V,5,20250727,071000,0.0670134,0.0673202,0.0670134,0.0671201,2000.68945,0
AUDIO.V,5,20250727,071500,0.0671201,0.0675135,0.0669134,0.0671201,11971.75247,0
AUDIO.V,5,20250727,072000,0.0672202,0.0672202,0.0670134,0.0671134,5874.24618,0
AUDIO.V,5,20250727,072500,0.0672134,0.0672202,0.0671134,0.0671134,3252.50279,0
AUDIO.V,5,20250727,073000,0.0672134,0.0675135,0.0671134,0.0674135,36778.81751,0
AUDIO.V,5,20250727,073500,0.0673135,0.0675203,0.0673135,0.0674135,21956.304879,0
AUDIO.V,5,20250727,074000,0.0675135,0.0675135,0.0671134,0.0671201,25960.90755,0
AUDIO.V,5,20250727,074500,0.0672202,0.0673202,0.0671201,0.0672202,2053.64658,0
AUDIO.V,5,20250727,075000,0.0671201,0.0672202,0.0670134,0.0670134,7330.121,0
AUDIO.V,5,20250727,075500,0.0670134,0.0674202,0.0670134,0.0673202,2477.60111,0
AUDIO.V,5,20250727,080000,0.0673135,0.0673202,0.0672134,0.0672202,7024.1932,0
AUDIO.V,5,20250727,080500,0.0672134,0.0673202,0.0671201,0.0673202,2466.247561,0
AUDIO.V,5,20250727,081000,0.0671201,0.0673202,0.0671134,0.0671134,7514.94153,0
AUDIO.V,5,20250727,081500,0.0671201,0.0673202,0.0671134,0.0673202,7806.536383,0
AUDIO.V,5,20250727,082000,0.0672202,0.0673202,0.0672134,0.0673202,2360.160782,0
AUDIO.V,5,20250727,082500,0.0671134,0.0672202,0.0671134,0.0672134,4090.21828,0
AUDIO.V,5,20250727,083000,0.0674202,0.0674202,0.0671134,0.0671201,5744.447644,0
AUDIO.V,5,20250727,083500,0.0671134,0.0673135,0.0671134,0.0673135,1686.58318,0
AUDIO.V,5,20250727,084000,0.0672202,0.0674202,0.0672202,0.0674202,12910.62418,0
AUDIO.V,5,20250727,084500,0.0673202,0.0674202,0.0671134,0.0673135,18135.869983,0
AUDIO.V,5,20250727,085000,0.0671134,0.0673202,0.0671134,0.0673202,1461.1586968123,0
AUDIO.V,5,20250727,085500,0.0675203,0.0677203,0.0671201,0.0674202,3995.42802,0
AUDIO.V,5,20250727,090000,0.0674202,0.0674202,0.0672134,0.0673202,4939.43158,0
AUDIO.V,5,20250727,090500,0.0671201,0.0674202,0.0671201,0.0674202,3336.677341,0
AUDIO.V,5,20250727,091000,0.0674202,0.0675203,0.0673135,0.0674135,3070.89652,0
AUDIO.V,5,20250727,091500,0.0674202,0.0676203,0.0673135,0.0673135,17022.910528,0
AUDIO.V,5,20250727,092000,0.0674135,0.0676135,0.0672134,0.0672134,31840.36442,0
AUDIO.V,5,20250727,092500,0.0671134,0.0673135,0.0671134,0.0672202,63566.146913,0
AUDIO.V,5,20250727,093000,0.0672202,0.0673202,0.0670201,0.0671134,10485.715698,0
AUDIO.V,5,20250727,093500,0.0673135,0.0674135,0.0671134,0.0673135,12730.900106,0
AUDIO.V,5,20250727,094000,0.0671134,0.0674202,0.0670201,0.0672202,16384.335333,0
AUDIO.V,5,20250727,094500,0.0674202,0.0674202,0.0671201,0.0671201,11408.26505,0
AUDIO.V,5,20250727,095000,0.0671201,0.0675203,0.0671201,0.0675203,1749.09833,0
AUDIO.V,5,20250727,095500,0.0673202,0.0673202,0.0670201,0.0671201,15457.5141,0
AUDIO.V,5,20250727,100000,0.0671134,0.0674202,0.0671134,0.0673202,33306.37101,0
AUDIO.V,5,20250727,100500,0.0673202,0.0673202,0.0671201,0.0672134,10218.236508,0
AUDIO.V,5,20250727,101000,0.0672134,0.0673202,0.0671134,0.0672202,5203.25915,0
AUDIO.V,5,20250727,101500,0.0672202,0.0672202,0.0671134,0.0672134,8732.652248,0
AUDIO.V,5,20250727,102000,0.0672134,0.0676203,0.0672134,0.0675135,49701.67083,0
AUDIO.V,5,20250727,102500,0.0675203,0.0675203,0.0674202,0.0675203,11587.840906,0
AUDIO.V,5,20250727,103000,0.0674135,0.0674202,0.0673202,0.0673202,5499.73605,0
AUDIO.V,5,20250727,103500,0.0673202,0.0673202,0.0671134,0.0672202,8197.058754,0
AUDIO.V,5,20250727,104000,0.0672202,0.0675135,0.0672202,0.0674135,31309.718047,0
AUDIO.V,5,20250727,104500,0.0674135,0.0675203,0.0674135,0.0675203,1030.085743,0
AUDIO.V,5,20250727,105000,0.0674202,0.0676203,0.0674135,0.0674202,7122.145556,0
AUDIO.V,5,20250727,105500,0.0674202,0.0676203,0.0674202,0.0674202,10947.412506,0
AUDIO.V,5,20250727,110000,0.0675135,0.0675135,0.0672134,0.0674135,10267.26961,0
AUDIO.V,5,20250727,110500,0.0674135,0.0676135,0.0674135,0.0675135,12638.051266,0
AUDIO.V,5,20250727,111000,0.0675135,0.0675203,0.0674135,0.0674202,43974.24922,0
AUDIO.V,5,20250727,111500,0.0674202,0.0676203,0.0674202,0.0675135,11840.235193,0
AUDIO.V,5,20250727,112000,0.0675135,0.0675135,0.0673135,0.0675135,13331.489503,0
AUDIO.V,5,20250727,112500,0.0674202,0.0675203,0.0674135,0.0675203,6463.888053,0
AUDIO.V,5,20250727,113000,0.0674202,0.0674202,0.0672134,0.0674135,6111.19767,0
AUDIO.V,5,20250727,113500,0.0672134,0.0674202,0.0672134,0.0673202,2449.81175,0
AUDIO.V,5,20250727,114000,0.0673202,0.0674202,0.0672202,0.0672202,2096.29198,0
AUDIO.V,5,20250727,114500,0.0673202,0.0673202,0.0669134,0.0671201,234731.2951,0
AUDIO.V,5,20250727,115000,0.0671201,0.0671201,0.06682,0.0669201,4078.27781,0
AUDIO.V,5,20250727,115500,0.06682,0.0670201,0.06682,0.0670134,1137.424856,0
AUDIO.V,5,20250727,120000,0.0670134,0.0674202,0.0670134,0.0674202,32820.47325,0
AUDIO.V,5,20250727,120500,0.0673202,0.0676203,0.0673135,0.0673135,49518.881223,0
AUDIO.V,5,20250727,121000,0.0675135,0.0676203,0.0674135,0.0675203,9346.12297,0
AUDIO.V,5,20250727,121500,0.0675203,0.0676135,0.0674135,0.0676135,1466.56524,0
AUDIO.V,5,20250727,122000,0.0675135,0.0676203,0.0674135,0.0676203,7950.110263,0
AUDIO.V,5,20250727,122500,0.0675135,0.0675135,0.0673135,0.0674135,9287.362283,0
AUDIO.V,5,20250727,123000,0.0675203,0.0675203,0.0673135,0.0673202,12218.290726,0
AUDIO.V,5,20250727,123500,0.0673202,0.0675203,0.0673202,0.0675203,30072.878926,0
AUDIO.V,5,20250727,124000,0.0675135,0.0679136,0.0673135,0.0677135,33304.968898,0
AUDIO.V,5,20250727,124500,0.0677135,0.0681136,0.0676135,0.0681136,4364.802183,0
AUDIO.V,5,20250727,125000,0.0679136,0.0682205,0.0677203,0.0678203,1823.58016,0
AUDIO.V,5,20250727,125500,0.0681204,0.0683205,0.0675135,0.0675135,20160.132066,0
AUDIO.V,5,20250727,130000,0.0676135,0.0676203,0.0675135,0.0675203,6261.988966,0
AUDIO.V,5,20250727,130500,0.0676203,0.0678203,0.0673202,0.0676203,34848.95575,0
AUDIO.V,5,20250727,131000,0.0676135,0.0677135,0.0675135,0.0676135,4998.14762,0
AUDIO.V,5,20250727,131500,0.0676135,0.0681136,0.0676135,0.0680136,36833.049973,0
AUDIO.V,5,20250727,132000,0.0681136,0.0681136,0.0676135,0.0681136,22454.63853,0
AUDIO.V,5,20250727,132500,0.0681136,0.0682205,0.0677203,0.0681204,5827.00159,0
AUDIO.V,5,20250727,133000,0.0681204,0.0682205,0.0679204,0.0682205,22445.360321,0
AUDIO.V,5,20250727,133500,0.0679136,0.0682136,0.0674202,0.0674202,44101.609493,0
AUDIO.V,5,20250727,134000,0.0675203,0.0680204,0.0674135,0.0674202,21541.4231,0
AUDIO.V,5,20250727,134500,0.0674202,0.0681204,0.0671134,0.0674202,67881.375278,0
AUDIO.V,5,20250727,135000,0.0674135,0.0675203,0.0674135,0.0674202,7953.142461,0
AUDIO.V,5,20250727,135500,0.0674202,0.0674202,0.0673135,0.0674135,28360.133228,0
AUDIO.V,5,20250727,140000,0.0674135,0.0676203,0.0673135,0.0676203,11029.01813,0
AUDIO.V,5,20250727,140500,0.0674135,0.0675135,0.0673135,0.0674135,51780.62815,0
AUDIO.V,5,20250727,141000,0.0674135,0.0676203,0.0672134,0.0676203,22436.32823,0
AUDIO.V,5,20250727,141500,0.0675135,0.0676135,0.0674135,0.0674135,38683.92249,0
AUDIO.V,5,20250727,142000,0.0674202,0.0676203,0.0674135,0.0675203,30182.90817,0
AUDIO.V,5,20250727,142500,0.0675203,0.0676203,0.0673202,0.0675203,33643.43807,0
