<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CKB.V,5,20250727,000500,0.00657632,0.00658432,0.00657331,0.00657531,1490720.0399,0
CKB.V,5,20250727,001000,0.00657531,0.00660532,0.00657366,0.00658632,5677619.5664,0
CKB.V,5,20250727,001500,0.00659132,0.00660166,0.00658432,0.00659666,1209896.3955,0
CKB.V,5,20250727,002000,0.00659666,0.00662966,0.00659666,0.00659966,5836191.3716,0
CKB.V,5,20250727,002500,0.00660066,0.00660866,0.00657732,0.00660332,5901373.6191,0
CKB.V,5,20250727,003000,0.00660532,0.00661732,0.00656531,0.00656931,2281176.6783,0
CKB.V,5,20250727,003500,0.00656931,0.00660566,0.00656066,0.00660466,5234953.2092,0
CKB.V,5,20250727,004000,0.00660766,0.00661666,0.00656631,0.00658032,5062555.867,0
CKB.V,5,20250727,004500,0.00658132,0.00658332,0.00653931,0.00655331,14536260.5892,0
CKB.V,5,20250727,005000,0.00654531,0.00655431,0.00649265,0.0065193,14855230.9319,0
CKB.V,5,20250727,005500,0.0065133,0.00652665,0.00649665,0.00652665,4210990.5076,0
CKB.V,5,20250727,010000,0.00652665,0.00661132,0.00652065,0.00660232,27076716.0899,0
CKB.V,5,20250727,010500,0.00660332,0.00661532,0.00657466,0.00658732,3557375.3874,0
CKB.V,5,20250727,011000,0.00658932,0.00661232,0.00658332,0.00659432,11605793.8694,0
CKB.V,5,20250727,011500,0.00659432,0.00659532,0.00653331,0.00653531,8287687.4896,0
CKB.V,5,20250727,012000,0.00653031,0.00654331,0.00650065,0.00650065,3849028.49,0
CKB.V,5,20250727,012500,0.00649665,0.00649665,0.00643529,0.00647265,14430847.1877,0
CKB.V,5,20250727,013000,0.00646765,0.00646765,0.00642729,0.00642729,3044186.7591,0
CKB.V,5,20250727,013500,0.00643329,0.00645229,0.00640328,0.00640328,2343960.9873,0
CKB.V,5,20250727,014000,0.00641928,0.00642629,0.00638728,0.00638964,8588073.9859,0
CKB.V,5,20250727,014500,0.00638964,0.00640428,0.00634927,0.00637828,10890197.0575,0
CKB.V,5,20250727,015000,0.00637828,0.00642128,0.00637164,0.00637627,4054948.4579,0
CKB.V,5,20250727,015500,0.00638028,0.00639028,0.00633527,0.00634827,7647707.8489,0
CKB.V,5,20250727,020000,0.00634027,0.00634027,0.00620362,0.00624362,58727600.3395,0
CKB.V,5,20250727,020500,0.00622862,0.00653031,0.00620024,0.00653031,62650836.4674,0
CKB.V,5,20250727,021000,0.0065103,0.00676368,0.00633663,0.00636264,98859694.117,0
CKB.V,5,20250727,021500,0.00636364,0.00642729,0.00630863,0.00641128,25406891.6734,0
CKB.V,5,20250727,022000,0.00642428,0.00642428,0.00622925,0.00624425,18695800.2038,0
CKB.V,5,20250727,022500,0.00621524,0.00640364,0.00619624,0.00637964,29887761.3145,0
CKB.V,5,20250727,023000,0.00637064,0.00639964,0.00631663,0.00635964,11279451.8213,0
CKB.V,5,20250727,023500,0.00634663,0.00637464,0.00626763,0.00628763,12327244.3013,0
CKB.V,5,20250727,024000,0.00628763,0.00631163,0.00623925,0.00625625,8721135.5288,0
CKB.V,5,20250727,024500,0.00625825,0.00634627,0.00624725,0.00634027,9721554.608,0
CKB.V,5,20250727,025000,0.00632426,0.00636664,0.00629926,0.00630626,8556127.2472,0
CKB.V,5,20250727,025500,0.00631426,0.00637364,0.00631026,0.00634227,7907396.426,0
CKB.V,5,20250727,030000,0.00634227,0.00635027,0.00627225,0.00628326,10903630.7594,0
CKB.V,5,20250727,030500,0.00628226,0.00630626,0.00626025,0.00627563,10090885.6531,0
CKB.V,5,20250727,031000,0.00627263,0.00634727,0.00625063,0.00634227,16331311.3455,0
CKB.V,5,20250727,031500,0.00633627,0.00638464,0.00633227,0.00633927,8102913.3201,0
CKB.V,5,20250727,032000,0.00634727,0.00636227,0.00630063,0.00631663,11828515.6899,0
CKB.V,5,20250727,032500,0.00631663,0.00636864,0.00631663,0.00634763,5917653.4196,0
CKB.V,5,20250727,033000,0.00635364,0.00637864,0.00632163,0.00637664,4970118.04363,0
CKB.V,5,20250727,033500,0.00637464,0.00637564,0.00630763,0.00633963,9592826.7995,0
CKB.V,5,20250727,034000,0.00634263,0.00637227,0.00634063,0.00636627,2847510.4571,0
CKB.V,5,20250727,034500,0.00636627,0.00636627,0.00632226,0.00633163,3101984.0123,0
CKB.V,5,20250727,035000,0.00633363,0.00636364,0.00631963,0.00635664,3509919.217,0
CKB.V,5,20250727,035500,0.00635864,0.00636727,0.00633227,0.00633563,424115.5693,0
CKB.V,5,20250727,040000,0.00633563,0.00633563,0.00628063,0.00629163,3468186.9908,0
CKB.V,5,20250727,040500,0.00629163,0.00631663,0.00628463,0.00631163,957956.8537,0
CKB.V,5,20250727,041000,0.00631163,0.00635627,0.00630963,0.00634527,1190517.46993,0
CKB.V,5,20250727,041500,0.00633963,0.00637127,0.00633663,0.00635627,4594326.07853,0
CKB.V,5,20250727,042000,0.00635264,0.00635564,0.00630763,0.00632827,797247.7436,0
CKB.V,5,20250727,042500,0.00632727,0.00634227,0.00630663,0.00631563,1625519.1936,0
CKB.V,5,20250727,043000,0.00631763,0.00632126,0.00629026,0.00630163,2998032.8415,0
CKB.V,5,20250727,043500,0.00630426,0.00633963,0.00630426,0.00633963,240988.3153,0
CKB.V,5,20250727,044000,0.00634263,0.00636364,0.00632263,0.00636364,1028197.0287,0
CKB.V,5,20250727,044500,0.00636264,0.00636564,0.00634263,0.00635264,1622701.1248,0
CKB.V,5,20250727,045000,0.00635564,0.00636464,0.00634363,0.00635627,1875291.5511,0
CKB.V,5,20250727,045500,0.00635627,0.00636627,0.00633927,0.00635527,1753923.9611,0
CKB.V,5,20250727,050000,0.00635527,0.00637127,0.00632963,0.00633263,5986577.9029,0
CKB.V,5,20250727,050500,0.00634063,0.00635727,0.00633027,0.0063349,1977437.892403,0
CKB.V,5,20250727,051000,0.0063519,0.0063519,0.00633227,0.00633827,2243290.4268,0
CKB.V,5,20250727,051500,0.00633727,0.00635691,0.00633127,0.00635027,2281535.2317,0
CKB.V,5,20250727,052000,0.00635327,0.00635427,0.0063309,0.0063389,5121635.27421,0
CKB.V,5,20250727,052500,0.0063419,0.00635491,0.00633727,0.00635491,5891586.0086,0
CKB.V,5,20250727,053000,0.00635491,0.00637527,0.0063409,0.00635491,2108961.9032,0
CKB.V,5,20250727,053500,0.00635227,0.00636127,0.00633627,0.00633727,1197860.7143,0
CKB.V,5,20250727,054000,0.00633527,0.00634127,0.00633127,0.00633227,185578.7603,0
CKB.V,5,20250727,054500,0.00633227,0.00636391,0.0063299,0.0063459,2107279.9782,0
CKB.V,5,20250727,055000,0.0063459,0.0063479,0.00634127,0.0063439,819509.3951,0
CKB.V,5,20250727,055500,0.0063419,0.0063419,0.00629989,0.00630189,3477144.66043,0
CKB.V,5,20250727,060000,0.00629089,0.00631389,0.00626788,0.00629789,6161031.2944,0
