<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ICX.V,5,20250727,001000,0.14823,0.14823,0.14763,0.14793,11128.938923,0
ICX.V,5,20250727,001500,0.14783,0.148315,0.147715,0.148115,11236.50786,0
ICX.V,5,20250727,002000,0.148215,0.148415,0.147815,0.148315,6934.494077,0
ICX.V,5,20250727,002500,0.14853,0.14853,0.14783,0.14783,7368.81957,0
ICX.V,5,20250727,003000,0.14783,0.14783,0.14783,0.14783,1614.717705,0
ICX.V,5,20250727,003500,0.147815,0.14783,0.147529,0.147529,387.027242,0
ICX.V,5,20250727,004000,0.147615,0.147615,0.147615,0.147615,40.645935,0
ICX.V,5,20250727,004500,0.147529,0.147529,0.147529,0.147529,164.77944,0
ICX.V,5,20250727,005500,0.147329,0.147429,0.147315,0.147315,2599.10872,0
ICX.V,5,20250727,010000,0.147315,0.147315,0.147215,0.147215,527.771603,0
ICX.V,5,20250727,011500,0.147529,0.147529,0.147215,0.147215,355.48688,0
ICX.V,5,20250727,012000,0.147415,0.147515,0.147415,0.147515,143.155683,0
ICX.V,5,20250727,012500,0.147415,0.147415,0.147415,0.147415,169.85531,0
ICX.V,5,20250727,013000,0.147415,0.147415,0.147129,0.147129,3758.72382,0
ICX.V,5,20250727,013500,0.147329,0.147329,0.147215,0.147215,424.171575,0
ICX.V,5,20250727,014000,0.147415,0.147429,0.147415,0.147429,203.850637,0
ICX.V,5,20250727,014500,0.147029,0.147029,0.146529,0.146929,1346.680923,0
ICX.V,5,20250727,015000,0.146629,0.146629,0.146629,0.146629,48.330333,0
ICX.V,5,20250727,015500,0.146829,0.146829,0.146829,0.146829,152.4745,0
ICX.V,5,20250727,020000,0.147129,0.147215,0.146915,0.147129,3217.8565,0
ICX.V,5,20250727,020500,0.147215,0.147215,0.147029,0.147029,989.06202,0
ICX.V,5,20250727,021000,0.147115,0.147229,0.146915,0.147115,1377.746118,0
ICX.V,5,20250727,021500,0.147215,0.147529,0.147029,0.147215,9027.524678,0
ICX.V,5,20250727,022000,0.147415,0.147415,0.147215,0.147215,878.08706,0
ICX.V,5,20250727,022500,0.147029,0.147029,0.146329,0.146815,4765.581708,0
ICX.V,5,20250727,023000,0.146915,0.147015,0.146715,0.146915,1166.51512,0
ICX.V,5,20250727,023500,0.146915,0.147029,0.146715,0.146929,2160.42619,0
ICX.V,5,20250727,024000,0.146929,0.146929,0.146615,0.146715,1166.94162,0
ICX.V,5,20250727,024500,0.146829,0.147029,0.146729,0.146729,5011.77145,0
ICX.V,5,20250727,025000,0.147329,0.147329,0.146815,0.146815,4529.34719,0
ICX.V,5,20250727,025500,0.146829,0.147129,0.146629,0.146915,16247.070824,0
ICX.V,5,20250727,030000,0.146929,0.147029,0.146529,0.146629,4087.20654,0
ICX.V,5,20250727,030500,0.146829,0.147229,0.146715,0.147115,1857.591591,0
ICX.V,5,20250727,031000,0.147415,0.147415,0.147229,0.147229,373.53298,0
ICX.V,5,20250727,031500,0.147015,0.147529,0.147015,0.147429,2765.06252,0
ICX.V,5,20250727,032000,0.147329,0.147429,0.147215,0.147215,1138.81363,0
ICX.V,5,20250727,032500,0.147615,0.147615,0.147115,0.147215,487.59463,0
ICX.V,5,20250727,033000,0.147315,0.147415,0.147015,0.147329,1956.189586,0
ICX.V,5,20250727,033500,0.147415,0.147415,0.147115,0.147215,603.275263,0
ICX.V,5,20250727,034000,0.147315,0.147615,0.147129,0.147329,12988.99357,0
ICX.V,5,20250727,034500,0.147229,0.147315,0.146915,0.147315,17825.32398,0
ICX.V,5,20250727,035000,0.147215,0.147215,0.146715,0.146715,242.725419,0
ICX.V,5,20250727,035500,0.146829,0.146929,0.146629,0.146929,1548.68603,0
ICX.V,5,20250727,040000,0.146715,0.146929,0.146715,0.146729,1640.34745,0
ICX.V,5,20250727,040500,0.146629,0.146629,0.146315,0.146315,1021.574481,0
ICX.V,5,20250727,041000,0.146515,0.147015,0.146315,0.146915,1344.34673,0
ICX.V,5,20250727,042000,0.146815,0.147029,0.146815,0.147029,649.79309,0
ICX.V,5,20250727,042500,0.146729,0.146829,0.146529,0.146729,1128.35891,0
ICX.V,5,20250727,043000,0.146729,0.147129,0.146629,0.147129,524.84412,0
ICX.V,5,20250727,043500,0.146929,0.146929,0.146615,0.146615,382.757697,0
ICX.V,5,20250727,044000,0.147015,0.147015,0.147015,0.147015,323.36166,0
ICX.V,5,20250727,044500,0.147215,0.147215,0.146729,0.146915,1335.37942,0
ICX.V,5,20250727,045000,0.146915,0.146915,0.146915,0.146915,52939.487,0
ICX.V,5,20250727,045500,0.147529,0.14773,0.147329,0.147429,2269.89978,0
ICX.V,5,20250727,050000,0.147529,0.14763,0.147529,0.14763,343.02298,0
ICX.V,5,20250727,050500,0.147715,0.14773,0.146815,0.147144,51710.394098,0
ICX.V,5,20250727,051000,0.147429,0.147529,0.147229,0.147529,1315.8713,0
ICX.V,5,20250727,051500,0.147329,0.14773,0.147244,0.147444,2160.24949,0
ICX.V,5,20250727,052000,0.147229,0.147344,0.147229,0.147344,2010.79653,0
ICX.V,5,20250727,052500,0.147529,0.147529,0.147529,0.147529,428.51429,0
ICX.V,5,20250727,053000,0.147644,0.14793,0.147529,0.147544,5680.886667,0
ICX.V,5,20250727,053500,0.14773,0.14773,0.14773,0.14773,813.83892,0
ICX.V,5,20250727,054000,0.14773,0.14773,0.14773,0.14773,161.19186,0
ICX.V,5,20250727,055000,0.147844,0.147844,0.147644,0.147644,2352.57294,0
ICX.V,5,20250727,060000,0.147544,0.147644,0.147344,0.147544,1081.346319,0
ICX.V,5,20250727,060500,0.147644,0.147644,0.147644,0.147644,40.637808,0
ICX.V,5,20250727,061000,0.147644,0.147644,0.147529,0.147529,532.42021,0
ICX.V,5,20250727,061500,0.147544,0.147844,0.147544,0.147544,1588.855521,0
ICX.V,5,20250727,062000,0.147444,0.147529,0.147444,0.147529,79.450038,0
ICX.V,5,20250727,062500,0.147529,0.14783,0.147429,0.147429,373.570175,0
ICX.V,5,20250727,063000,0.147444,0.147544,0.147444,0.147529,1147.74785,0
ICX.V,5,20250727,064000,0.147544,0.147544,0.147529,0.147529,334.40811,0
ICX.V,5,20250727,064500,0.147544,0.147544,0.147544,0.147544,177.86264,0
ICX.V,5,20250727,065000,0.147744,0.147744,0.14773,0.14773,627.48214,0
ICX.V,5,20250727,070000,0.147544,0.147544,0.147344,0.147344,2181.86542,0
ICX.V,5,20250727,071000,0.147544,0.147544,0.147144,0.147244,17947.79461,0
ICX.V,5,20250727,071500,0.147144,0.147244,0.146729,0.146929,11757.200469,0
ICX.V,5,20250727,072000,0.147429,0.147429,0.147129,0.147129,320.60797,0
ICX.V,5,20250727,072500,0.147229,0.14773,0.147029,0.147229,5602.886743,0
ICX.V,5,20250727,073000,0.14773,0.14773,0.14773,0.14773,524.00519,0
ICX.V,5,20250727,073500,0.147644,0.147644,0.147329,0.147329,896.87038,0
ICX.V,5,20250727,074000,0.147429,0.147544,0.147129,0.147344,3099.57171,0
ICX.V,5,20250727,074500,0.147044,0.147044,0.146944,0.146944,1150.9474,0
ICX.V,5,20250727,075000,0.147244,0.147244,0.146044,0.146629,63468.28997,0
ICX.V,5,20250727,075500,0.146829,0.147329,0.146829,0.147129,5156.522422,0
ICX.V,5,20250727,080000,0.147029,0.147244,0.146944,0.147229,5399.19086,0
ICX.V,5,20250727,080500,0.147144,0.147144,0.146844,0.146844,329.38187,0
ICX.V,5,20250727,081000,0.146844,0.146844,0.146344,0.146344,1185.511223,0
ICX.V,5,20250727,081500,0.146429,0.146829,0.146429,0.146744,1373.78518,0
ICX.V,5,20250727,082500,0.146529,0.146744,0.146229,0.146444,15842.99008,0
ICX.V,5,20250727,083000,0.146544,0.146829,0.146229,0.146344,4877.40134,0
ICX.V,5,20250727,083500,0.146629,0.147229,0.146629,0.147229,528.16015,0
ICX.V,5,20250727,084500,0.146744,0.146829,0.146329,0.146429,7000.43792,0
ICX.V,5,20250727,085000,0.146329,0.146844,0.146329,0.146844,707.451017,0
ICX.V,5,20250727,085500,0.146944,0.147044,0.146944,0.147044,332.18993,0
ICX.V,5,20250727,090000,0.147144,0.147144,0.146929,0.147144,503.7207,0
ICX.V,5,20250727,090500,0.147129,0.147229,0.147129,0.147229,442.04158,0
ICX.V,5,20250727,091000,0.147144,0.147244,0.147029,0.147244,20808.92756,0
ICX.V,5,20250727,091500,0.146844,0.147344,0.146729,0.146944,6583.77103,0
ICX.V,5,20250727,092000,0.147444,0.147444,0.147244,0.147244,681.34378,0
ICX.V,5,20250727,092500,0.147229,0.147544,0.147044,0.147044,7006.98127,0
ICX.V,5,20250727,093000,0.147044,0.147044,0.146844,0.147044,5375.45121,0
ICX.V,5,20250727,093500,0.147144,0.147144,0.147029,0.147029,188.913398,0
ICX.V,5,20250727,094000,0.147044,0.147044,0.147044,0.147044,521.685981,0
ICX.V,5,20250727,094500,0.147044,0.147144,0.146944,0.147144,1012.45803,0
ICX.V,5,20250727,095500,0.147044,0.147244,0.147044,0.147244,1399.999957,0
ICX.V,5,20250727,100000,0.147229,0.147244,0.147044,0.147244,3829.094893,0
ICX.V,5,20250727,100500,0.147044,0.147244,0.147044,0.147144,2846.22195,0
ICX.V,5,20250727,101500,0.147044,0.147044,0.147044,0.147044,160.20053,0
ICX.V,5,20250727,102000,0.147029,0.147144,0.146944,0.146944,699.735051,0
ICX.V,5,20250727,102500,0.147044,0.147044,0.146629,0.146644,18644.89024,0
ICX.V,5,20250727,103000,0.146729,0.146844,0.146729,0.146844,328.87828,0
ICX.V,5,20250727,103500,0.146544,0.146629,0.146344,0.146444,2415.677954,0
ICX.V,5,20250727,104000,0.146844,0.146844,0.146529,0.146544,680.25337,0
ICX.V,5,20250727,104500,0.146944,0.147044,0.146644,0.147044,3599.251356,0
ICX.V,5,20250727,105000,0.146744,0.146744,0.146644,0.146644,1240.471479,0
ICX.V,5,20250727,105500,0.146644,0.146644,0.146644,0.146644,158.6383,0
ICX.V,5,20250727,110000,0.146629,0.146744,0.146629,0.146744,2154.12007,0
ICX.V,5,20250727,110500,0.146629,0.146629,0.146629,0.146629,219.742349,0
ICX.V,5,20250727,111000,0.146644,0.146644,0.146644,0.146644,646.82914,0
ICX.V,5,20250727,111500,0.146544,0.146644,0.146529,0.146529,1875.349341,0
ICX.V,5,20250727,112000,0.146629,0.146629,0.146529,0.146529,384.832422,0
ICX.V,5,20250727,112500,0.146629,0.146629,0.146629,0.146629,171.78054,0
ICX.V,5,20250727,113000,0.146344,0.146529,0.146344,0.146529,1515.89522,0
ICX.V,5,20250727,114000,0.146544,0.146544,0.146244,0.146244,690.49344,0
ICX.V,5,20250727,114500,0.146129,0.146129,0.145729,0.146044,56862.49604,0
ICX.V,5,20250727,115000,0.146029,0.146029,0.146029,0.146029,41.081783,0
ICX.V,5,20250727,115500,0.145844,0.146044,0.145844,0.146044,3371.43935,0
ICX.V,5,20250727,120000,0.146029,0.146229,0.145929,0.146229,2479.2454,0
ICX.V,5,20250727,120500,0.146529,0.146529,0.146529,0.146529,155.24295,0
ICX.V,5,20250727,121000,0.146629,0.146644,0.146629,0.146629,1772.173434,0
ICX.V,5,20250727,121500,0.146429,0.146429,0.146429,0.146429,151.08008,0
ICX.V,5,20250727,122000,0.146629,0.146744,0.146629,0.146644,1964.96697,0
ICX.V,5,20250727,122500,0.146529,0.146629,0.146529,0.146629,489.35252,0
ICX.V,5,20250727,123000,0.146629,0.146744,0.146329,0.146744,2352.117123,0
ICX.V,5,20250727,123500,0.146844,0.146844,0.146744,0.146844,3789.62617,0
ICX.V,5,20250727,124000,0.146844,0.147329,0.146844,0.147144,7018.98952,0
ICX.V,5,20250727,124500,0.147129,0.147429,0.147129,0.147429,443.419584,0
ICX.V,5,20250727,125000,0.147429,0.147429,0.147044,0.147044,16811.56624,0
ICX.V,5,20250727,125500,0.147244,0.147244,0.147029,0.147129,8212.68545,0
ICX.V,5,20250727,130000,0.147129,0.147229,0.147029,0.147144,2147.33427,0
ICX.V,5,20250727,130500,0.147129,0.147129,0.147129,0.147129,329.78233,0
ICX.V,5,20250727,131500,0.147129,0.147329,0.147129,0.147329,340.115775,0
ICX.V,5,20250727,132000,0.147129,0.147129,0.147029,0.147129,1034.435993,0
ICX.V,5,20250727,132500,0.147044,0.147044,0.147029,0.147029,218.986495,0
ICX.V,5,20250727,133000,0.147144,0.147244,0.147044,0.147144,20939.71458,0
ICX.V,5,20250727,133500,0.147129,0.147129,0.146844,0.146944,3267.014361,0
ICX.V,5,20250727,134000,0.146929,0.146944,0.146844,0.146844,3338.06916,0
ICX.V,5,20250727,134500,0.146844,0.146844,0.146644,0.146644,1294.62498,0
