<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TUSD.V,5,20250727,000000,0.99846,0.99875,0.99846,0.99875,1319.602109,0
TUSD.V,5,20250727,000500,0.99875,0.99876,0.99798,0.99842,4325.285386,0
TUSD.V,5,20250727,001000,0.99842,0.99842,0.99818,0.99826,2046.138868,0
TUSD.V,5,20250727,001500,0.99826,0.99826,0.99814,0.99814,174.003846,0
TUSD.V,5,20250727,002000,0.99814,0.99814,0.99811,0.99812,345.428152,0
TUSD.V,5,20250727,002500,0.99815,0.99883,0.99806,0.99882,939.686439,0
TUSD.V,5,20250727,003000,0.99882,0.99914,0.9981,0.99858,2609.389202,0
TUSD.V,5,20250727,003500,0.99855,0.99855,0.99844,0.99844,104.152232,0
TUSD.V,5,20250727,004000,0.99843,0.99848,0.99838,0.99846,1575.999102,0
TUSD.V,5,20250727,004500,0.99843,0.99843,0.99843,0.99843,36.802838,0
TUSD.V,5,20250727,005000,0.99842,0.99842,0.99842,0.99842,14.917716,0
TUSD.V,5,20250727,005500,0.9984,0.9984,0.99747,0.99785,2040.695836,0
TUSD.V,5,20250727,010000,0.99785,0.99785,0.99747,0.997589,64.758768,0
TUSD.V,5,20250727,010500,0.997259,0.997259,0.997249,0.997249,22.382123,0
TUSD.V,5,20250727,011000,0.99814,0.99814,0.99813,0.99813,42.518095,0
TUSD.V,5,20250727,011500,0.99811,0.99812,0.99802,0.9981,70.44793,0
TUSD.V,5,20250727,012000,0.998,0.99809,0.99799,0.99809,66.296025,0
TUSD.V,5,20250727,012500,0.99799,0.99809,0.99799,0.99809,43.7375,0
TUSD.V,5,20250727,013000,0.99808,0.99808,0.997499,0.997499,195.167764,0
TUSD.V,5,20250727,013500,0.997499,0.997499,0.997499,0.997499,14.740451,0
TUSD.V,5,20250727,014000,0.997479,0.997479,0.99739,0.99739,46.250508,0
TUSD.V,5,20250727,014500,0.99739,0.99739,0.99739,0.99739,16.9983,0
TUSD.V,5,20250727,015000,0.99825,0.99826,0.99816,0.99816,38.448496,0
TUSD.V,5,20250727,015500,0.99826,0.99826,0.99826,0.99826,12.250749,0
TUSD.V,5,20250727,020000,0.99816,0.99816,0.9981,0.9981,124.95761,0
TUSD.V,5,20250727,020500,0.997589,0.997589,0.99749,0.997589,46.854413,0
TUSD.V,5,20250727,021500,0.99749,0.997589,0.99724,0.99724,1530.500152,0
TUSD.V,5,20250727,022000,0.99723,0.99723,0.99723,0.99723,19.998,0
TUSD.V,5,20250727,022500,0.997329,0.997339,0.99708,0.99708,1417.986381,0
TUSD.V,5,20250727,023000,0.99705,0.99705,0.99704,0.99704,111.287468,0
TUSD.V,5,20250727,023500,0.99804,0.99804,0.99793,0.99794,229.395195,0
TUSD.V,5,20250727,024000,0.99793,0.99827,0.99793,0.99827,156.356061,0
TUSD.V,5,20250727,024500,0.99827,0.99827,0.997589,0.997589,250.580677,0
TUSD.V,5,20250727,025000,0.997589,0.997589,0.99748,0.99748,254.616336,0
TUSD.V,5,20250727,025500,0.99826,0.99827,0.99809,0.99809,1825.906462,0
TUSD.V,5,20250727,030000,0.99817,0.99826,0.99817,0.99826,57.522887,0
TUSD.V,5,20250727,030500,0.99826,0.99827,0.997569,0.997569,96.33423,0
TUSD.V,5,20250727,031000,0.99748,0.997489,0.99737,0.997439,1634.796192,0
TUSD.V,5,20250727,031500,0.99781,0.99817,0.99748,0.99749,1376.893637,0
TUSD.V,5,20250727,032000,0.99787,0.99828,0.99718,0.99749,1786.193237,0
TUSD.V,5,20250727,032500,0.99748,0.99764,0.99718,0.99749,1430.363447,0
TUSD.V,5,20250727,033000,0.99816,0.99816,0.997249,0.99726,1556.195155,0
TUSD.V,5,20250727,033500,0.99726,0.99726,0.99726,0.99726,144.949001,0
TUSD.V,5,20250727,034000,0.99726,0.997359,0.99726,0.997359,93.24591,0
TUSD.V,5,20250727,034500,0.99726,0.997319,0.99721,0.99721,131.480144,0
TUSD.V,5,20250727,035000,0.997269,0.997269,0.99715,0.99715,1233.943585,0
TUSD.V,5,20250727,035500,0.99715,0.997249,0.99715,0.997249,76.429212,0
TUSD.V,5,20250727,040500,0.99711,0.99711,0.99704,0.99704,262.06909,0
TUSD.V,5,20250727,041000,0.99704,0.997049,0.99696,0.997049,198.92485,0
TUSD.V,5,20250727,041500,0.99695,0.996979,0.99688,0.996979,739.215822,0
TUSD.V,5,20250727,042000,0.99687,0.996959,0.99686,0.99686,52.057933,0
TUSD.V,5,20250727,042500,0.996959,0.996969,0.996959,0.996969,49.199858,0
TUSD.V,5,20250727,043000,0.99687,0.996969,0.99687,0.996959,54.836631,0
TUSD.V,5,20250727,043500,0.996959,0.996959,0.99686,0.99686,81.87401,0
TUSD.V,5,20250727,044000,0.99686,0.99686,0.99686,0.99686,40.731925,0
TUSD.V,5,20250727,044500,0.99686,0.996959,0.99685,0.99685,147.299479,0
TUSD.V,5,20250727,045000,0.99686,0.996959,0.99685,0.996959,1535.143269,0
TUSD.V,5,20250727,045500,0.996959,0.996959,0.996959,0.996959,12.974805,0
TUSD.V,5,20250727,050000,0.99685,0.99686,0.99685,0.99686,1918.315954,0
TUSD.V,5,20250727,050500,0.996959,0.99827,0.996949,0.99827,136.226249,0
TUSD.V,5,20250727,051000,0.998369,0.9989,0.998369,0.9989,43.045747,0
TUSD.V,5,20250727,051500,0.99889,0.9989,0.99889,0.9989,25.449509,0
TUSD.V,5,20250727,052000,0.99852,0.99852,0.99852,0.99852,34.982603,0
TUSD.V,5,20250727,052500,0.998599,0.998599,0.998599,0.998599,18.994301,0
TUSD.V,5,20250727,053000,0.99827,0.99827,0.99827,0.99827,20.9958,0
TUSD.V,5,20250727,053500,0.99827,0.99827,0.99827,0.99827,29.454709,0
TUSD.V,5,20250727,054000,0.99827,0.99827,0.99825,0.99827,198.401916,0
TUSD.V,5,20250727,054500,0.998359,0.998369,0.998359,0.998369,49.353092,0
TUSD.V,5,20250727,055000,0.99826,0.99826,0.99826,0.99826,18.9962,0
TUSD.V,5,20250727,055500,0.999,0.999,0.998369,0.998369,32.803358,0
TUSD.V,5,20250727,060000,0.99826,0.99826,0.997579,0.997579,99.801637,0
TUSD.V,5,20250727,060500,0.997679,0.997679,0.997579,0.997579,28.183073,0
TUSD.V,5,20250727,061000,0.997579,0.997579,0.997579,0.997579,41.085282,0
TUSD.V,5,20250727,061500,0.997649,0.997979,0.997649,0.997939,1493.485241,0
TUSD.V,5,20250727,062000,0.997939,0.998099,0.997939,0.99805,1699.786636,0
TUSD.V,5,20250727,062500,0.99799,0.99804,0.99799,0.99799,1333.53618,0
TUSD.V,5,20250727,063000,0.998089,0.998089,0.99798,0.99798,1279.688954,0
TUSD.V,5,20250727,063500,0.998079,0.998079,0.998079,0.998079,24.686993,0
TUSD.V,5,20250727,064000,0.998079,0.998079,0.99798,0.99798,177.64222,0
TUSD.V,5,20250727,064500,0.998079,0.998079,0.99798,0.99798,118.371988,0
TUSD.V,5,20250727,065000,0.998079,0.998079,0.998079,0.998079,12.536539,0
TUSD.V,5,20250727,070000,0.998079,0.998079,0.998079,0.998079,112.601916,0
TUSD.V,5,20250727,070500,0.99797,0.99797,0.99797,0.99797,12.334933,0
TUSD.V,5,20250727,071000,0.99797,0.998049,0.99795,0.997979,1235.776894,0
TUSD.V,5,20250727,071500,0.997979,0.997979,0.99785,0.99785,132.662298,0
TUSD.V,5,20250727,072500,0.99786,0.99786,0.99781,0.99781,2311.26243,0
TUSD.V,5,20250727,073000,0.99775,0.99775,0.99774,0.99774,293.867721,0
TUSD.V,5,20250727,073500,0.99773,0.997819,0.99771,0.99771,47.751236,0
TUSD.V,5,20250727,074000,0.99772,0.997819,0.997679,0.997779,2388.054004,0
TUSD.V,5,20250727,074500,0.997749,0.997749,0.997689,0.997689,1796.849518,0
TUSD.V,5,20250727,075000,0.997669,0.997669,0.997669,0.997669,16.994901,0
TUSD.V,5,20250727,080000,0.997549,0.997649,0.997499,0.997579,1719.403483,0
TUSD.V,5,20250727,080500,0.997469,0.998359,0.997469,0.998359,91.179828,0
TUSD.V,5,20250727,081000,0.998359,0.998369,0.997589,0.997589,150.669793,0
TUSD.V,5,20250727,081500,0.997689,0.997689,0.997589,0.997589,189.141994,0
TUSD.V,5,20250727,082000,0.997689,0.997689,0.997579,0.997679,75.19227,0
TUSD.V,5,20250727,082500,0.997349,0.997349,0.997249,0.997249,63.691823,0
TUSD.V,5,20250727,083000,0.997339,0.997339,0.997339,0.997339,18.994301,0
TUSD.V,5,20250727,083500,0.997239,0.997239,0.997079,0.997089,2684.91857,0
TUSD.V,5,20250727,084000,0.997079,0.997109,0.997019,0.997069,1979.796955,0
TUSD.V,5,20250727,084500,0.998369,0.99924,0.997679,0.99924,1073.810636,0
TUSD.V,5,20250727,085500,0.998359,0.998359,0.998359,0.998359,25.771368,0
TUSD.V,5,20250727,090000,0.998359,0.998359,0.998359,0.998359,11.172648,0
TUSD.V,5,20250727,090500,0.998369,0.998369,0.9982,0.99821,5065.569677,0
TUSD.V,5,20250727,091000,0.998289,0.998289,0.99805,0.998149,3357.733589,0
TUSD.V,5,20250727,091500,0.998129,0.998129,0.99801,0.998109,64.603653,0
TUSD.V,5,20250727,092000,0.99826,0.998369,0.99826,0.998369,40.290789,0
