<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XDC.V,5,20250727,000000,0.090186,0.090214,0.090179,0.090214,42256.73689,0
XDC.V,5,20250727,000500,0.090245,0.0903181,0.090245,0.0903181,60189.0247,0
XDC.V,5,20250727,001000,0.0903211,0.0903641,0.090146,0.0902921,59150.22554,0
XDC.V,5,20250727,001500,0.0902881,0.090336,0.0902881,0.090336,10460.14447,0
XDC.V,5,20250727,002000,0.090336,0.0905611,0.09032,0.0905611,276453.20198,0
XDC.V,5,20250727,002500,0.0905601,0.0905871,0.090398,0.0904391,240447.10616,0
XDC.V,5,20250727,003000,0.0904211,0.0904371,0.090241,0.090241,43306.5552,0
XDC.V,5,20250727,003500,0.09024,0.090241,0.090216,0.090216,23182.67633,0
XDC.V,5,20250727,004000,0.090304,0.0903271,0.090261,0.0903271,37739.27313,0
XDC.V,5,20250727,004500,0.0904241,0.0904241,0.090107,0.090191,48192.41506,0
XDC.V,5,20250727,005000,0.090221,0.090388,0.090211,0.0902821,30966.69868,0
XDC.V,5,20250727,005500,0.09014,0.09021,0.09014,0.090179,49170.1916,0
XDC.V,5,20250727,010000,0.090148,0.090148,0.090108,0.090108,18754.367542,0
XDC.V,5,20250727,010500,0.090097,0.090141,0.090054,0.090141,33356.25077,0
XDC.V,5,20250727,011000,0.090107,0.090115,0.090106,0.090115,21184.075262,0
XDC.V,5,20250727,011500,0.090122,0.090122,0.090068,0.090077,16082.95885,0
XDC.V,5,20250727,012000,0.090081,0.090124,0.090081,0.090124,13125.5091,0
XDC.V,5,20250727,012500,0.090088,0.090148,0.090088,0.09014,59383.10237,0
XDC.V,5,20250727,013000,0.09012,0.09012,0.090027,0.090036,70558.3151,0
XDC.V,5,20250727,013500,0.090026,0.090073,0.09002,0.090073,48759.5581,0
XDC.V,5,20250727,014000,0.090075,0.090076,0.089975,0.089975,24578.17639,0
XDC.V,5,20250727,014500,0.089926,0.089959,0.089885,0.089911,55543.76569,0
XDC.V,5,20250727,015000,0.089911,0.089911,0.089902,0.089911,12864.9636,0
XDC.V,5,20250727,015500,0.089911,0.089911,0.08983,0.089839,18963.8548,0
XDC.V,5,20250727,020000,0.089847,0.089851,0.089847,0.089851,31736.5237,0
XDC.V,5,20250727,020500,0.089859,0.089859,0.0895979,0.0895979,45748.04938,0
XDC.V,5,20250727,021000,0.0894989,0.089516,0.0892889,0.0893059,18029.2306,0
XDC.V,5,20250727,021500,0.0893449,0.0895019,0.0893449,0.0895019,50209.90409,0
XDC.V,5,20250727,022000,0.0895129,0.0895549,0.0895039,0.0895549,25462.4024,0
XDC.V,5,20250727,022500,0.0895349,0.0895349,0.0893899,0.0894199,37435.111172,0
XDC.V,5,20250727,023000,0.0894199,0.0894739,0.0893859,0.0894739,26016.09043,0
XDC.V,5,20250727,023500,0.0894739,0.0894909,0.0894739,0.0894819,11315.49181,0
XDC.V,5,20250727,024000,0.0894809,0.0894999,0.0894809,0.0894989,5454.35514,0
XDC.V,5,20250727,024500,0.0893689,0.0893699,0.0893359,0.0893679,24335.61566,0
XDC.V,5,20250727,025000,0.0893679,0.0894399,0.0893669,0.0894399,9488.38384,0
XDC.V,5,20250727,025500,0.0894579,0.0894579,0.0891469,0.0891528,227932.14051,0
XDC.V,5,20250727,030000,0.0891688,0.0891688,0.0886107,0.0886107,284150.5811,0
XDC.V,5,20250727,030500,0.0886107,0.0888468,0.0885957,0.0888119,25171.72522,0
XDC.V,5,20250727,031000,0.0887939,0.0887939,0.0886549,0.0887167,50726.1425,0
XDC.V,5,20250727,031500,0.0887969,0.0889258,0.0887509,0.0889258,44560.04971,0
XDC.V,5,20250727,032000,0.0889918,0.0889918,0.0889119,0.0889119,91922.4562,0
XDC.V,5,20250727,032500,0.0888379,0.0889819,0.0888009,0.0889819,72802.99164,0
XDC.V,5,20250727,033000,0.0889949,0.0890469,0.0887489,0.0887489,51150.7573,0
XDC.V,5,20250727,033500,0.0887439,0.0889469,0.0887439,0.0888619,81636.42596,0
XDC.V,5,20250727,034000,0.0888619,0.0888768,0.0888428,0.0888428,35370.1516,0
XDC.V,5,20250727,034500,0.0888298,0.0888298,0.0887549,0.0888009,41970.30344,0
XDC.V,5,20250727,035000,0.0888059,0.0888148,0.0887979,0.0887979,122314.82481,0
XDC.V,5,20250727,035500,0.0887979,0.0888328,0.0887979,0.0888049,30737.58334,0
XDC.V,5,20250727,040000,0.0888049,0.0888188,0.0888049,0.0888049,10570.2484,0
XDC.V,5,20250727,040500,0.0888039,0.0888299,0.0885979,0.0888299,75630.422604,0
XDC.V,5,20250727,041000,0.0887569,0.0888538,0.0887089,0.0888008,108013.9563,0
XDC.V,5,20250727,041500,0.0887919,0.0889339,0.0887809,0.0889258,113561.564,0
XDC.V,5,20250727,042000,0.0889169,0.0889769,0.0887848,0.0889108,151547.94601,0
XDC.V,5,20250727,042500,0.0889068,0.0889168,0.0885929,0.0885929,193452.13092,0
XDC.V,5,20250727,043000,0.0885859,0.0886927,0.0884438,0.0884438,994243.89254,0
XDC.V,5,20250727,043500,0.0884397,0.0885969,0.0884397,0.0885068,193988.39102,0
XDC.V,5,20250727,044000,0.0885139,0.0885699,0.0885139,0.0885659,109797.5717,0
XDC.V,5,20250727,044500,0.0885489,0.0885999,0.0884178,0.0885999,101169.56167,0
