<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XRP.V,5,20250727,000500,3.19744,3.20014,3.19744,3.20004,154375.731712,0
XRP.V,5,20250727,001000,3.20004,3.20314,3.19804,3.19944,568823.79490636,0
XRP.V,5,20250727,001500,3.19974,3.20262,3.19212,3.20262,517964.984719,0
XRP.V,5,20250727,002000,3.20222,3.20972,3.20062,3.20682,635561.200578,0
XRP.V,5,20250727,002500,3.20552,3.20852,3.19314,3.19314,440770.365069,0
XRP.V,5,20250727,003000,3.19314,3.19704,3.18894,3.19134,329559.410519,0
XRP.V,5,20250727,003500,3.19174,3.19254,3.18574,3.18932,369152.269765,0
XRP.V,5,20250727,004000,3.18932,3.19144,3.18344,3.18904,228641.4489135,0
XRP.V,5,20250727,004500,3.18904,3.19114,3.18734,3.19114,106594.515039,0
XRP.V,5,20250727,005000,3.19114,3.19144,3.18534,3.18574,109202.968273,0
XRP.V,5,20250727,005500,3.18584,3.18584,3.18094,3.18232,183585.910431,0
XRP.V,5,20250727,010000,3.18232,3.18242,3.17814,3.17834,312736.178545,0
XRP.V,5,20250727,010500,3.17844,3.17954,3.17473,3.17624,371432.344824,0
XRP.V,5,20250727,011000,3.17634,3.17652,3.17332,3.17363,247406.938394,0
XRP.V,5,20250727,011500,3.17393,3.17483,3.17202,3.17483,144860.574415,0
XRP.V,5,20250727,012000,3.17513,3.18214,3.17352,3.18032,233914.022214,0
XRP.V,5,20250727,012500,3.18042,3.18042,3.17523,3.17692,158532.855537,0
XRP.V,5,20250727,013000,3.17652,3.17672,3.17213,3.17343,168288.779731,0
XRP.V,5,20250727,013500,3.17313,3.17513,3.17243,3.17353,173230.576394,0
XRP.V,5,20250727,014000,3.17353,3.17584,3.17023,3.17132,473587.153889,0
XRP.V,5,20250727,014500,3.17132,3.17132,3.16623,3.16773,376523.104652,0
XRP.V,5,20250727,015000,3.16763,3.16883,3.16573,3.16753,262008.42753,0
XRP.V,5,20250727,015500,3.16703,3.16733,3.16442,3.16663,449304.193325,0
XRP.V,5,20250727,020000,3.16683,3.16922,3.15972,3.15972,650410.128308,0
XRP.V,5,20250727,020500,3.15932,3.16612,3.15682,3.16463,570945.58296,0
XRP.V,5,20250727,021000,3.16413,3.16832,3.16292,3.16822,224990.241554,0
XRP.V,5,20250727,021500,3.16812,3.17422,3.16682,3.17363,300529.187556,0
XRP.V,5,20250727,022000,3.17403,3.17642,3.17332,3.17433,538255.446422,0
XRP.V,5,20250727,022500,3.17513,3.17782,3.16953,3.17642,1228752.478535,0
XRP.V,5,20250727,023000,3.17642,3.18092,3.17252,3.17962,127898.294582,0
XRP.V,5,20250727,023500,3.17962,3.18022,3.17562,3.17562,200213.559218,0
XRP.V,5,20250727,024000,3.17652,3.17932,3.16903,3.17093,215106.487568,0
XRP.V,5,20250727,024500,3.17093,3.17203,3.16543,3.16953,241248.048079,0
XRP.V,5,20250727,025000,3.16953,3.17684,3.16853,3.17413,138734.447421,0
XRP.V,5,20250727,025500,3.17413,3.18214,3.17273,3.18214,137535.003656,0
XRP.V,5,20250727,030000,3.18214,3.18532,3.17574,3.17734,395843.493413,0
XRP.V,5,20250727,030500,3.17734,3.18624,3.17724,3.18522,418919.091858,0
XRP.V,5,20250727,031000,3.18562,3.19152,3.18532,3.19054,326235.019369,0
XRP.V,5,20250727,031500,3.19054,3.19664,3.18852,3.19664,272973.300938,0
XRP.V,5,20250727,032000,3.19664,3.19902,3.19344,3.19892,558875.743647,0
XRP.V,5,20250727,032500,3.19892,3.19952,3.19412,3.19862,372948.911819,0
XRP.V,5,20250727,033000,3.19832,3.20082,3.19632,3.20082,693049.125115,0
XRP.V,5,20250727,033500,3.20092,3.20272,3.19252,3.19302,428514.16365,0
XRP.V,5,20250727,034000,3.19232,3.19564,3.19152,3.19464,288540.908471,0
XRP.V,5,20250727,034500,3.19464,3.19474,3.18702,3.19332,399222.188602,0
XRP.V,5,20250727,035000,3.19282,3.19412,3.18892,3.19302,242630.546055,0
XRP.V,5,20250727,035500,3.19312,3.19342,3.18722,3.18732,112675.873863,0
XRP.V,5,20250727,040000,3.18722,3.18764,3.17922,3.17982,183161.784657,0
XRP.V,5,20250727,040500,3.17972,3.18202,3.17782,3.18202,172677.950221,0
XRP.V,5,20250727,041000,3.18212,3.18972,3.18172,3.18834,191369.257081,0
XRP.V,5,20250727,041500,3.18802,3.19724,3.18802,3.19564,198296.567279,0
XRP.V,5,20250727,042000,3.19484,3.19694,3.19294,3.19584,328784.266522,0
XRP.V,5,20250727,042500,3.19594,3.19754,3.19322,3.19322,221767.553343,0
XRP.V,5,20250727,043000,3.19242,3.19854,3.19144,3.19702,168856.391571,0
XRP.V,5,20250727,043500,3.19692,3.20052,3.19692,3.19812,290525.711515,0
XRP.V,5,20250727,044000,3.19812,3.19922,3.19642,3.19732,273209.80952,0
XRP.V,5,20250727,044500,3.19702,3.19992,3.19124,3.19752,204107.912529,0
XRP.V,5,20250727,045000,3.19752,3.20704,3.19682,3.20694,487409.548492,0
XRP.V,5,20250727,045500,3.20534,3.20534,3.19704,3.19864,246230.269427,0
XRP.V,5,20250727,050000,3.20024,3.20114,3.19814,3.19892,152499.855337,0
XRP.V,5,20250727,050500,3.19812,3.19854,3.18794,3.18876,422598.389689,0
XRP.V,5,20250727,051000,3.18866,3.19024,3.18814,3.18814,102896.752652,0
XRP.V,5,20250727,051500,3.18744,3.19234,3.18574,3.18584,293146.11583,0
XRP.V,5,20250727,052000,3.18584,3.19096,3.18314,3.19026,703741.34146,0
XRP.V,5,20250727,052500,3.19026,3.19146,3.18944,3.19146,182611.581925,0
XRP.V,5,20250727,053000,3.19156,3.19306,3.19026,3.19296,177089.317819,0
XRP.V,5,20250727,053500,3.19346,3.19904,3.19156,3.19904,235518.343728,0
XRP.V,5,20250727,054000,3.19914,3.20344,3.19884,3.20324,136717.205187,0
XRP.V,5,20250727,054500,3.20354,3.20586,3.19996,3.20256,538736.921735,0
XRP.V,5,20250727,055000,3.20246,3.20254,3.19896,3.19976,389952.1706768,0
XRP.V,5,20250727,055500,3.19966,3.20044,3.19724,3.20026,108540.72560377,0
XRP.V,5,20250727,060000,3.20036,3.20436,3.20006,3.20306,230856.552644,0
XRP.V,5,20250727,060500,3.20466,3.20776,3.19326,3.19326,591440.630425,0
XRP.V,5,20250727,061000,3.19296,3.20196,3.19266,3.20196,457970.808385,0
XRP.V,5,20250727,061500,3.20146,3.20936,3.20016,3.20936,567575.482955,0
XRP.V,5,20250727,062000,3.20936,3.21644,3.20696,3.21644,985036.711137,0
XRP.V,5,20250727,062500,3.21644,3.21814,3.21154,3.21154,507382.5352688,0
XRP.V,5,20250727,063000,3.21094,3.21456,3.20844,3.21234,446093.99534,0
XRP.V,5,20250727,063500,3.21244,3.21997,3.21214,3.21416,346544.140284,0
XRP.V,5,20250727,064000,3.21456,3.21606,3.20936,3.21044,472802.800774,0
XRP.V,5,20250727,064500,3.21054,3.21144,3.20624,3.20634,431066.468,0
XRP.V,5,20250727,065000,3.20634,3.21086,3.20494,3.20964,236987.17932583,0
XRP.V,5,20250727,065500,3.20974,3.21104,3.20744,3.21024,126270.927184,0
XRP.V,5,20250727,070000,3.21024,3.21376,3.20666,3.21144,246520.222063,0
XRP.V,5,20250727,070500,3.21144,3.21524,3.20926,3.20926,458516.515081,0
XRP.V,5,20250727,071000,3.20896,3.21716,3.20896,3.21616,213691.717985,0
XRP.V,5,20250727,071500,3.21606,3.21844,3.21296,3.21656,333260.579261,0
XRP.V,5,20250727,072000,3.21666,3.23565,3.21264,3.22544,1678752.740866,0
XRP.V,5,20250727,072500,3.22585,3.23547,3.22565,3.23275,1236610.104063,0
XRP.V,5,20250727,073000,3.23275,3.23275,3.22214,3.22575,917133.700475,0
XRP.V,5,20250727,073500,3.22585,3.23785,3.22207,3.23785,523010.967549,0
XRP.V,5,20250727,074000,3.23805,3.23905,3.23017,3.23097,762505.967669,0
XRP.V,5,20250727,074500,3.23097,3.23197,3.22247,3.22247,385783.011687,0
XRP.V,5,20250727,075000,3.22237,3.22317,3.21917,3.22314,736464.222961,0
XRP.V,5,20250727,075500,3.22294,3.22517,3.22157,3.22324,402614.120998,0
XRP.V,5,20250727,080000,3.22364,3.22364,3.21724,3.22337,584058.369313,0
XRP.V,5,20250727,080500,3.22287,3.22287,3.21116,3.21166,330738.299809,0
XRP.V,5,20250727,081000,3.21216,3.21606,3.21216,3.21594,256440.161005,0
XRP.V,5,20250727,081500,3.21494,3.22137,3.21324,3.22087,194538.176629,0
XRP.V,5,20250727,082000,3.22097,3.22147,3.21594,3.21696,194191.75415,0
XRP.V,5,20250727,082500,3.21596,3.21596,3.20394,3.20636,1253393.9727005,0
XRP.V,5,20250727,083000,3.20626,3.20646,3.20116,3.20556,486653.821912,0
XRP.V,5,20250727,083500,3.20556,3.20914,3.20356,3.20794,149243.905145,0
XRP.V,5,20250727,084000,3.20794,3.21436,3.20794,3.21416,159921.611326,0
XRP.V,5,20250727,084500,3.21426,3.21476,3.20124,3.20184,197598.905572,0
XRP.V,5,20250727,085000,3.20194,3.20514,3.20106,3.20406,219177.02563,0
XRP.V,5,20250727,085500,3.20396,3.20636,3.19996,3.20246,649746.457361,0
XRP.V,5,20250727,090000,3.20256,3.20306,3.19486,3.19886,568945.37921,0
XRP.V,5,20250727,090500,3.19926,3.20026,3.19646,3.19886,278216.145286,0
XRP.V,5,20250727,091000,3.19976,3.20576,3.19956,3.20096,197735.914139,0
XRP.V,5,20250727,091500,3.20176,3.20336,3.19906,3.20114,113001.322887,0
XRP.V,5,20250727,092000,3.20094,3.20484,3.19976,3.20134,299277.787033,0
XRP.V,5,20250727,092500,3.20124,3.20244,3.19876,3.19916,149658.313838,0
XRP.V,5,20250727,093000,3.19896,3.19976,3.19416,3.19844,276238.474379,0
XRP.V,5,20250727,093500,3.19854,3.19854,3.19124,3.19194,334961.085275,0
XRP.V,5,20250727,094000,3.19184,3.19406,3.19126,3.19356,331276.01943796,0
XRP.V,5,20250727,094500,3.19276,3.19656,3.19014,3.19354,418602.644863,0
XRP.V,5,20250727,095000,3.19414,3.19484,3.18706,3.18706,380530.889694,0
XRP.V,5,20250727,095500,3.18706,3.19226,3.18654,3.19046,179525.163206,0
XRP.V,5,20250727,100000,3.19066,3.19376,3.19066,3.19126,240936.046965,0
XRP.V,5,20250727,100500,3.19126,3.19206,3.18696,3.18974,283118.109618,0
XRP.V,5,20250727,101000,3.18914,3.19104,3.18606,3.18636,267165.167118,0
XRP.V,5,20250727,101500,3.18676,3.18806,3.18285,3.18546,453603.620929,0
XRP.V,5,20250727,102000,3.18574,3.18866,3.18574,3.18696,136827.421333,0
XRP.V,5,20250727,102500,3.18636,3.18636,3.17934,3.17994,645130.349881,0
XRP.V,5,20250727,103000,3.17994,3.18064,3.17575,3.17625,562320.908169,0
XRP.V,5,20250727,103500,3.17685,3.18255,3.17415,3.18255,520581.270659,0
XRP.V,5,20250727,104000,3.18265,3.18596,3.18265,3.18424,304631.600011,0
XRP.V,5,20250727,104500,3.18484,3.18836,3.18484,3.18546,576734.396569,0
XRP.V,5,20250727,105000,3.18526,3.18566,3.18055,3.18566,173092.145008,0
XRP.V,5,20250727,105500,3.18566,3.18674,3.18325,3.18586,194150.671229,0
XRP.V,5,20250727,110000,3.18434,3.18736,3.17865,3.18554,257011.36922,0
XRP.V,5,20250727,110500,3.18674,3.19146,3.18484,3.18804,310305.765399,0
XRP.V,5,20250727,111000,3.18784,3.18924,3.18384,3.18716,283186.415314,0
XRP.V,5,20250727,111500,3.18676,3.18676,3.18234,3.18394,243810.775694,0
XRP.V,5,20250727,112000,3.18334,3.18514,3.18024,3.18305,117471.73162202,0
XRP.V,5,20250727,112500,3.18305,3.18324,3.18035,3.18065,156371.025701,0
XRP.V,5,20250727,113000,3.18045,3.18135,3.17774,3.18075,184218.0117201,0
XRP.V,5,20250727,113500,3.18075,3.18554,3.18075,3.18425,118310.702365,0
XRP.V,5,20250727,114000,3.18436,3.18516,3.17155,3.17435,282444.613974,0
XRP.V,5,20250727,114500,3.17445,3.17445,3.16845,3.16955,591363.315154,0
XRP.V,5,20250727,115000,3.16965,3.17533,3.16965,3.17265,310327.391282,0
XRP.V,5,20250727,115500,3.17275,3.17465,3.16995,3.17163,111300.041027,0
XRP.V,5,20250727,120000,3.17233,3.17965,3.17133,3.17925,312801.10833,0
XRP.V,5,20250727,120500,3.17945,3.18244,3.17925,3.18234,284478.751332,0
XRP.V,5,20250727,121000,3.18244,3.18285,3.18085,3.18265,75326.85529,0
XRP.V,5,20250727,121500,3.18205,3.18774,3.18205,3.18774,189298.045017,0
XRP.V,5,20250727,122000,3.18814,3.18834,3.18484,3.18484,269451.025742,0
XRP.V,5,20250727,122500,3.18454,3.18454,3.17914,3.17914,353985.475758,0
XRP.V,5,20250727,123000,3.17904,3.18425,3.17744,3.18425,111200.292437,0
XRP.V,5,20250727,123500,3.18436,3.18856,3.18436,3.18806,170670.079356,0
