<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AUDPLN,5,20250728,000000,2.37374,2.37432,2.37322,2.37358,0,0
AUDPLN,5,20250728,000500,2.37345,2.37472,2.3734,2.37442,0,0
AUDPLN,5,20250728,001000,2.37429,2.37514,2.37421,2.37458,0,0
AUDPLN,5,20250728,001500,2.37455,2.37455,2.37387,2.37434,0,0
AUDPLN,5,20250728,002000,2.37434,2.3744,2.37359,2.37359,0,0
AUDPLN,5,20250728,002500,2.37356,2.3744,2.37356,2.37408,0,0
AUDPLN,5,20250728,003000,2.3741,2.3752,2.37405,2.37415,0,0
AUDPLN,5,20250728,003500,2.37415,2.37417,2.3738,2.37402,0,0
AUDPLN,5,20250728,004000,2.37399,2.37509,2.37399,2.37445,0,0
AUDPLN,5,20250728,004500,2.37445,2.37449,2.37423,2.37442,0,0
AUDPLN,5,20250728,005000,2.37434,2.37446,2.37402,2.3743,0,0
AUDPLN,5,20250728,005500,2.3743,2.37449,2.37393,2.37435,0,0
AUDPLN,5,20250728,010000,2.37439,2.3746,2.37412,2.3743,0,0
AUDPLN,5,20250728,010500,2.3743,2.37454,2.37414,2.3742,0,0
AUDPLN,5,20250728,011000,2.37424,2.37458,2.37418,2.37457,0,0
AUDPLN,5,20250728,011500,2.37464,2.37472,2.37435,2.37467,0,0
AUDPLN,5,20250728,012000,2.37467,2.37488,2.37457,2.37472,0,0
AUDPLN,5,20250728,012500,2.37472,2.37472,2.37379,2.37392,0,0
AUDPLN,5,20250728,013000,2.37392,2.37395,2.37337,2.37345,0,0
AUDPLN,5,20250728,013500,2.37345,2.37397,2.3734,2.37391,0,0
AUDPLN,5,20250728,014000,2.37391,2.37416,2.37362,2.37396,0,0
AUDPLN,5,20250728,014500,2.3739,2.37423,2.37357,2.37359,0,0
AUDPLN,5,20250728,015000,2.37354,2.37391,2.37354,2.37372,0,0
AUDPLN,5,20250728,015500,2.37368,2.37381,2.37334,2.37381,0,0
AUDPLN,5,20250728,020000,2.3738,2.37453,2.3738,2.37382,0,0
AUDPLN,5,20250728,020500,2.37378,2.37407,2.37348,2.37392,0,0
AUDPLN,5,20250728,021000,2.37366,2.37493,2.37366,2.37461,0,0
AUDPLN,5,20250728,021500,2.37461,2.37484,2.37386,2.37426,0,0
AUDPLN,5,20250728,022000,2.37424,2.375,2.37423,2.37478,0,0
AUDPLN,5,20250728,022500,2.3748,2.37508,2.3747,2.37487,0,0
AUDPLN,5,20250728,023000,2.37484,2.3757,2.37435,2.37533,0,0
AUDPLN,5,20250728,023500,2.37528,2.37654,2.37526,2.37644,0,0
AUDPLN,5,20250728,024000,2.37644,2.37684,2.37631,2.37651,0,0
AUDPLN,5,20250728,024500,2.37651,2.37654,2.37578,2.37646,0,0
AUDPLN,5,20250728,025000,2.37657,2.37663,2.37575,2.37575,0,0
AUDPLN,5,20250728,025500,2.37576,2.37623,2.37565,2.37591,0,0
AUDPLN,5,20250728,030000,2.37599,2.37628,2.37579,2.37612,0,0
AUDPLN,5,20250728,030500,2.37623,2.37694,2.37585,2.37588,0,0
AUDPLN,5,20250728,031000,2.37598,2.3761,2.37505,2.37508,0,0
AUDPLN,5,20250728,031500,2.37508,2.37577,2.37466,2.37466,0,0
AUDPLN,5,20250728,032000,2.37455,2.37464,2.37407,2.37451,0,0
AUDPLN,5,20250728,032500,2.37448,2.37495,2.374,2.37473,0,0
AUDPLN,5,20250728,033000,2.37481,2.37519,2.37453,2.3748,0,0
AUDPLN,5,20250728,033500,2.37484,2.37532,2.37472,2.37491,0,0
AUDPLN,5,20250728,034000,2.37495,2.37529,2.37479,2.37485,0,0
