<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XAGCHF,5,20250728,000000,30.2951,30.3299,30.2866,30.3232,0,0
XAGCHF,5,20250728,000500,30.3232,30.3643,30.3232,30.3618,0,0
XAGCHF,5,20250728,001000,30.3603,30.3736,30.3497,30.3651,0,0
XAGCHF,5,20250728,001500,30.3656,30.3656,30.3429,30.3505,0,0
XAGCHF,5,20250728,002000,30.3503,30.3585,30.3429,30.3478,0,0
XAGCHF,5,20250728,002500,30.3474,30.3555,30.3398,30.3406,0,0
XAGCHF,5,20250728,003000,30.3477,30.353,30.3333,30.3333,0,0
XAGCHF,5,20250728,003500,30.3343,30.3436,30.3293,30.3436,0,0
XAGCHF,5,20250728,004000,30.3431,30.3471,30.3231,30.3231,0,0
XAGCHF,5,20250728,004500,30.3223,30.3289,30.3035,30.3035,0,0
XAGCHF,5,20250728,005000,30.3058,30.309,30.2753,30.2834,0,0
XAGCHF,5,20250728,005500,30.2826,30.3058,30.2794,30.3003,0,0
XAGCHF,5,20250728,010000,30.3014,30.33,30.2932,30.3268,0,0
XAGCHF,5,20250728,010500,30.326,30.3725,30.326,30.3653,0,0
XAGCHF,5,20250728,011000,30.3637,30.3746,30.3558,30.3558,0,0
XAGCHF,5,20250728,011500,30.3583,30.378,30.3583,30.3723,0,0
XAGCHF,5,20250728,012000,30.3723,30.3755,30.3617,30.37,0,0
XAGCHF,5,20250728,012500,30.3701,30.377,30.3599,30.3612,0,0
XAGCHF,5,20250728,013000,30.3623,30.3694,30.3516,30.3563,0,0
XAGCHF,5,20250728,013500,30.3523,30.3649,30.3503,30.3625,0,0
XAGCHF,5,20250728,014000,30.3657,30.3921,30.3614,30.37,0,0
XAGCHF,5,20250728,014500,30.3668,30.3668,30.3437,30.3592,0,0
XAGCHF,5,20250728,015000,30.3596,30.3735,30.3513,30.3735,0,0
XAGCHF,5,20250728,015500,30.3719,30.3803,30.3684,30.3762,0,0
XAGCHF,5,20250728,020000,30.3716,30.3766,30.3522,30.354,0,0
XAGCHF,5,20250728,020500,30.3516,30.3642,30.3354,30.3389,0,0
XAGCHF,5,20250728,021000,30.3375,30.3566,30.3355,30.3443,0,0
XAGCHF,5,20250728,021500,30.3463,30.3623,30.3352,30.3416,0,0
XAGCHF,5,20250728,022000,30.3437,30.3497,30.329,30.3454,0,0
XAGCHF,5,20250728,022500,30.3458,30.3493,30.3268,30.343,0,0
XAGCHF,5,20250728,023000,30.351,30.3712,30.3474,30.3645,0,0
XAGCHF,5,20250728,023500,30.3623,30.3732,30.3623,30.3689,0,0
XAGCHF,5,20250728,024000,30.3681,30.3795,30.3653,30.3762,0,0
XAGCHF,5,20250728,024500,30.3762,30.4088,30.3758,30.4018,0,0
XAGCHF,5,20250728,025000,30.4028,30.4131,30.3988,30.4024,0,0
XAGCHF,5,20250728,025500,30.4029,30.407,30.3915,30.3938,0,0
XAGCHF,5,20250728,030000,30.3926,30.4368,30.3731,30.4368,0,0
XAGCHF,5,20250728,030500,30.4387,30.447,30.4093,30.4103,0,0
XAGCHF,5,20250728,031000,30.4124,30.4223,30.3932,30.4054,0,0
XAGCHF,5,20250728,031500,30.4038,30.4069,30.3813,30.4061,0,0
XAGCHF,5,20250728,032000,30.4109,30.416,30.3852,30.3982,0,0
XAGCHF,5,20250728,032500,30.3985,30.4019,30.3813,30.3981,0,0
XAGCHF,5,20250728,033000,30.3928,30.4079,30.3749,30.396,0,0
XAGCHF,5,20250728,033500,30.393,30.4076,30.3723,30.3848,0,0
XAGCHF,5,20250728,034000,30.3891,30.4129,30.3846,30.3996,0,0
XAGCHF,5,20250728,034500,30.3961,30.4073,30.3886,30.4055,0,0
XAGCHF,5,20250728,035000,30.4087,30.4195,30.3835,30.3877,0,0
XAGCHF,5,20250728,035500,30.3877,30.4112,30.3835,30.3903,0,0
XAGCHF,5,20250728,040000,30.3919,30.414,30.3874,30.4067,0,0
XAGCHF,5,20250728,040500,30.4048,30.462,30.4025,30.4573,0,0
XAGCHF,5,20250728,041000,30.4549,30.4692,30.4533,30.4635,0,0
XAGCHF,5,20250728,041500,30.463,30.4655,30.4448,30.4547,0,0
XAGCHF,5,20250728,042000,30.4547,30.4547,30.4312,30.4351,0,0
XAGCHF,5,20250728,042500,30.4351,30.4558,30.4275,30.4526,0,0
XAGCHF,5,20250728,043000,30.4618,30.4714,30.4548,30.4572,0,0
XAGCHF,5,20250728,043500,30.459,30.4746,30.4504,30.4504,0,0
XAGCHF,5,20250728,044000,30.4536,30.4674,30.4501,30.4557,0,0
XAGCHF,5,20250728,044500,30.4522,30.4573,30.4372,30.4471,0,0
XAGCHF,5,20250728,045000,30.4479,30.4589,30.4432,30.4567,0,0
XAGCHF,5,20250728,045500,30.4562,30.4619,30.4486,30.4562,0,0
XAGCHF,5,20250728,050000,30.4557,30.4575,30.4418,30.4471,0,0
XAGCHF,5,20250728,050500,30.4479,30.4554,30.4434,30.4489,0,0
XAGCHF,5,20250728,051000,30.4473,30.4502,30.4299,30.442,0,0
XAGCHF,5,20250728,051500,30.4416,30.444,30.4224,30.426,0,0
XAGCHF,5,20250728,052000,30.426,30.4292,30.3984,30.405,0,0
XAGCHF,5,20250728,052500,30.4074,30.4074,30.3841,30.393,0,0
XAGCHF,5,20250728,053000,30.3909,30.3931,30.3778,30.3827,0,0
XAGCHF,5,20250728,053500,30.3795,30.3985,30.3795,30.3902,0,0
XAGCHF,5,20250728,054000,30.3902,30.3991,30.3833,30.3975,0,0
XAGCHF,5,20250728,054500,30.3975,30.4049,30.3905,30.391,0,0
XAGCHF,5,20250728,055000,30.3902,30.4042,30.3902,30.3959,0,0
XAGCHF,5,20250728,055500,30.3975,30.4049,30.3889,30.4013,0,0
XAGCHF,5,20250728,060000,30.4037,30.4052,30.3926,30.4052,0,0
XAGCHF,5,20250728,060500,30.4052,30.4288,30.4052,30.4257,0,0
XAGCHF,5,20250728,061000,30.425,30.4303,30.4182,30.4253,0,0
XAGCHF,5,20250728,061500,30.4253,30.4258,30.408,30.408,0,0
XAGCHF,5,20250728,062000,30.4079,30.4244,30.4018,30.4168,0,0
XAGCHF,5,20250728,062500,30.4168,30.4168,30.3945,30.3989,0,0
XAGCHF,5,20250728,063000,30.3977,30.4171,30.3929,30.4166,0,0
XAGCHF,5,20250728,063500,30.4101,30.4101,30.403,30.4081,0,0
XAGCHF,5,20250728,064000,30.407,30.407,30.3834,30.3877,0,0
XAGCHF,5,20250728,064500,30.396,30.3971,30.3841,30.3956,0,0
XAGCHF,5,20250728,065000,30.394,30.4173,30.3931,30.4036,0,0
