<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ARSISK,5,20250728,160000,0.0954406,0.0955244,0.0954244,0.0955244,0,0
ARSISK,5,20250728,160500,0.095457,0.0954842,0.0953917,0.0954734,0,0
ARSISK,5,20250728,161000,0.09546,0.095505,0.0953893,0.095505,0,0
ARSISK,5,20250728,161500,0.0954417,0.0955146,0.0953976,0.0955146,0,0
ARSISK,5,20250728,162000,0.0954496,0.0955194,0.0954394,0.0955194,0,0
ARSISK,5,20250728,162500,0.0954515,0.0954515,0.0952703,0.0952703,0,0
ARSISK,5,20250728,163000,0.0952249,0.0952876,0.0952249,0.0952675,0,0
ARSISK,5,20250728,163500,0.0952373,0.0952499,0.0952325,0.0952325,0,0
ARSISK,5,20250728,164000,0.0952355,0.0952355,0.0951779,0.0951884,0,0
ARSISK,5,20250728,164500,0.0950181,0.0950181,0.0949869,0.0950068,0,0
ARSISK,5,20250728,165000,0.0950271,0.0950494,0.0950049,0.0950494,0,0
ARSISK,5,20250728,165500,0.0950316,0.0950599,0.0950316,0.0950599,0,0
ARSISK,5,20250728,170000,0.0950481,0.0951063,0.0950481,0.0950806,0,0
ARSISK,5,20250728,170500,0.0950946,0.0951072,0.0950616,0.0951072,0,0
ARSISK,5,20250728,171000,0.0951058,0.0951582,0.0951058,0.0951582,0,0
ARSISK,5,20250728,171500,0.095163,0.095163,0.0951386,0.0951525,0,0
ARSISK,5,20250728,172000,0.0951094,0.0951094,0.0950374,0.0950494,0,0
ARSISK,5,20250728,172500,0.0950539,0.0950945,0.094985,0.094985,0,0
ARSISK,5,20250728,173000,0.0949835,0.0949939,0.0949691,0.0949939,0,0
ARSISK,5,20250728,173500,0.0949862,0.0950074,0.0949862,0.0950074,0,0
ARSISK,5,20250728,174000,0.0950025,0.0950119,0.0949956,0.094997,0,0
ARSISK,5,20250728,174500,0.0949839,0.0950254,0.0949839,0.0950254,0,0
ARSISK,5,20250728,175000,0.0950347,0.0950443,0.0950231,0.0950291,0,0
ARSISK,5,20250728,175500,0.0950115,0.0950455,0.0950024,0.0950455,0,0
ARSISK,5,20250728,180000,0.0950329,0.0951573,0.0950329,0.09508,0,0
ARSISK,5,20250728,180500,0.0950496,0.0950613,0.0950496,0.0950613,0,0
ARSISK,5,20250728,181000,0.0950593,0.095069,0.0950442,0.095069,0,0
ARSISK,5,20250728,181500,0.095055,0.0950802,0.095055,0.095066,0,0
ARSISK,5,20250728,182000,0.0950621,0.095068,0.0950434,0.095068,0,0
ARSISK,5,20250728,182500,0.0950485,0.0950576,0.0950449,0.0950576,0,0
ARSISK,5,20250728,183000,0.0950352,0.0950728,0.0950352,0.0950728,0,0
ARSISK,5,20250728,183500,0.0950725,0.0951222,0.0950725,0.0951222,0,0
ARSISK,5,20250728,184000,0.0950995,0.0950995,0.0950683,0.0950702,0,0
ARSISK,5,20250728,184500,0.0950582,0.0951084,0.0950582,0.0951084,0,0
ARSISK,5,20250728,185000,0.0950705,0.0950705,0.0947682,0.0947713,0,0
ARSISK,5,20250728,185500,0.0947981,0.0947981,0.0947713,0.0947877,0,0
ARSISK,5,20250729,160000,0.0949163,0.0950161,0.0949163,0.0950161,0,0
ARSISK,5,20250729,160500,0.0949948,0.0950259,0.0949883,0.0950259,0,0
ARSISK,5,20250729,161000,0.0950634,0.0950758,0.0950413,0.0950748,0,0
ARSISK,5,20250729,161500,0.0950512,0.0950823,0.0950473,0.0950823,0,0
ARSISK,5,20250729,162000,0.0950086,0.0950086,0.0948858,0.0948858,0,0
ARSISK,5,20250729,162500,0.0948574,0.0949092,0.0948569,0.0949092,0,0
ARSISK,5,20250729,163000,0.0949061,0.0949061,0.0948904,0.0948956,0,0
ARSISK,5,20250729,163500,0.0948789,0.094879,0.0948456,0.094879,0,0
ARSISK,5,20250729,164000,0.0948475,0.0948564,0.0948267,0.0948564,0,0
ARSISK,5,20250729,164500,0.0948413,0.0948924,0.0948219,0.0948918,0,0
ARSISK,5,20250729,165000,0.0948619,0.0949054,0.0948619,0.0949054,0,0
ARSISK,5,20250729,165500,0.0949336,0.094949,0.0949298,0.0949425,0,0
ARSISK,5,20250729,170000,0.0949751,0.0949936,0.0949589,0.0949717,0,0
ARSISK,5,20250729,170500,0.0949584,0.0949584,0.0948883,0.0948883,0,0
ARSISK,5,20250729,171000,0.0948697,0.0948697,0.0947706,0.0947799,0,0
ARSISK,5,20250729,171500,0.0947825,0.0947972,0.0947709,0.0947817,0,0
ARSISK,5,20250729,172000,0.0948072,0.0948911,0.0948072,0.0948911,0,0
ARSISK,5,20250729,172500,0.0948799,0.0948806,0.09485,0.0948806,0,0
ARSISK,5,20250729,173000,0.0948525,0.0948525,0.0948096,0.0948097,0,0
ARSISK,5,20250729,173500,0.0948274,0.0948603,0.0948228,0.0948603,0,0
ARSISK,5,20250729,174000,0.0948604,0.0949201,0.0948422,0.0949201,0,0
ARSISK,5,20250729,174500,0.0949834,0.0951382,0.0949834,0.0951382,0,0
ARSISK,5,20250729,175000,0.0951013,0.0951334,0.0950865,0.0951334,0,0
ARSISK,5,20250729,175500,0.0951129,0.0951314,0.0950983,0.0951314,0,0
ARSISK,5,20250729,180000,0.0951245,0.0951245,0.0950547,0.0950547,0,0
ARSISK,5,20250729,180500,0.0950561,0.0950561,0.0950217,0.0950217,0,0
ARSISK,5,20250729,181000,0.0949907,0.0949907,0.0949655,0.0949655,0,0
ARSISK,5,20250729,181500,0.0949674,0.0949674,0.0949127,0.0949299,0,0
ARSISK,5,20250729,182000,0.0949643,0.0950734,0.0949643,0.0950734,0,0
ARSISK,5,20250729,182500,0.0950493,0.0950622,0.0950441,0.0950622,0,0
ARSISK,5,20250729,183000,0.0950674,0.0952456,0.0950674,0.0952456,0,0
ARSISK,5,20250729,183500,0.0952481,0.0952528,0.0952024,0.0952528,0,0
ARSISK,5,20250729,184000,0.0952395,0.0952489,0.0952246,0.0952489,0,0
ARSISK,5,20250729,184500,0.0952252,0.0952252,0.0951762,0.095214,0,0
ARSISK,5,20250729,185000,0.0952209,0.0952586,0.0952047,0.0952586,0,0
ARSISK,5,20250729,185500,0.0952324,0.0952474,0.0952324,0.0952474,0,0
ARSISK,5,20250730,160000,0.0959922,0.0960314,0.0959702,0.0960314,0,0
ARSISK,5,20250730,160500,0.0959851,0.0960175,0.0959816,0.0959834,0,0
ARSISK,5,20250730,161000,0.0959743,0.0959743,0.0959474,0.0959665,0,0
ARSISK,5,20250730,161500,0.0959564,0.0959657,0.0959186,0.0959657,0,0
ARSISK,5,20250730,162000,0.0959455,0.0959625,0.0959165,0.0959625,0,0
ARSISK,5,20250730,162500,0.0959491,0.0959894,0.0959356,0.0959894,0,0
ARSISK,5,20250730,163000,0.0959424,0.0959424,0.0957572,0.0957572,0,0
ARSISK,5,20250730,163500,0.095753,0.0957588,0.0957362,0.0957362,0,0
ARSISK,5,20250730,164000,0.0957651,0.0957651,0.0957525,0.0957614,0,0
ARSISK,5,20250730,164500,0.0957526,0.0957526,0.0957166,0.095735,0,0
ARSISK,5,20250730,165000,0.0957534,0.0958001,0.0957534,0.0958001,0,0
