<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BTCGBP,5,20250728,000500,89081.6,89146.8,89077.6,89113.5,0,0
BTCGBP,5,20250728,001000,89112.7,89182.9,89047.7,89156.6,0,0
BTCGBP,5,20250728,001500,89153.7,89168.5,89034.7,89143,0,0
BTCGBP,5,20250728,002000,89130,89151.2,89085.6,89144.5,0,0
BTCGBP,5,20250728,002500,89144.5,89165.6,89123.8,89124,0,0
BTCGBP,5,20250728,003000,89124,89144.5,89097.7,89112.3,0,0
BTCGBP,5,20250728,003500,89112.3,89140.4,89103.7,89135,0,0
BTCGBP,5,20250728,004000,89136.3,89188.1,89118,89186.1,0,0
BTCGBP,5,20250728,004500,89186.8,89186.8,89138.1,89147.3,0,0
BTCGBP,5,20250728,005000,89138.3,89142.3,88975.6,88989.1,0,0
BTCGBP,5,20250728,005500,88989.1,89011.8,88973.4,88973.4,0,0
BTCGBP,5,20250728,010000,88982.3,88999.5,88898.6,88955.2,0,0
BTCGBP,5,20250728,010500,88954.6,88992,88930.1,88930.1,0,0
BTCGBP,5,20250728,011000,88930.1,88948.5,88744.6,88789.7,0,0
BTCGBP,5,20250728,011500,88780.8,88929,88780.8,88891.9,0,0
BTCGBP,5,20250728,012000,88893,88947.9,88837.2,88910.6,0,0
BTCGBP,5,20250728,012500,88919,88945.1,88836.2,88886.7,0,0
BTCGBP,5,20250728,013000,88886.7,88889.8,88810.3,88822.1,0,0
BTCGBP,5,20250728,013500,88823.4,88907.2,88818.1,88900,0,0
BTCGBP,5,20250728,014000,88900,88907.8,88839.1,88839.1,0,0
BTCGBP,5,20250728,014500,88839.7,88846.4,88811.9,88830.2,0,0
BTCGBP,5,20250728,015000,88830.2,88889,88830.2,88881.8,0,0
BTCGBP,5,20250728,015500,88892,88926.9,88866.4,88866.4,0,0
BTCGBP,5,20250728,020000,88890.5,88914.1,88800.9,88809.7,0,0
BTCGBP,5,20250728,020500,88809,88861.5,88801.6,88834,0,0
BTCGBP,5,20250728,021000,88834,88871.3,88806.1,88842.9,0,0
BTCGBP,5,20250728,021500,88874.6,88993.6,88851.8,88993.6,0,0
BTCGBP,5,20250728,022000,88995.8,89020,88888.1,88997,0,0
BTCGBP,5,20250728,022500,89000.1,89042.3,88983.3,89019,0,0
BTCGBP,5,20250728,023000,89018.4,89019.4,88922.1,88985.9,0,0
BTCGBP,5,20250728,023500,88994.7,89005.1,88885.9,88916.1,0,0
BTCGBP,5,20250728,024000,88916.1,88916.1,88770.3,88770.3,0,0
BTCGBP,5,20250728,024500,88771,88802.2,88696.9,88698.5,0,0
BTCGBP,5,20250728,025000,88692.7,88849.7,88681.3,88822.8,0,0
BTCGBP,5,20250728,025500,88800.3,88848,88735.5,88738.4,0,0
BTCGBP,5,20250728,030000,88738.4,88738.4,88553,88554.3,0,0
BTCGBP,5,20250728,030500,88562.3,88755.2,88562.3,88754.5,0,0
BTCGBP,5,20250728,031000,88746.4,88746.6,88626.1,88668.9,0,0
BTCGBP,5,20250728,031500,88668.9,88793.5,88621.1,88793.5,0,0
BTCGBP,5,20250728,032000,88796.6,88871.8,88795.8,88814.5,0,0
BTCGBP,5,20250728,032500,88794.3,88811.9,88741.4,88811.9,0,0
BTCGBP,5,20250728,033000,88839.7,88839.7,88660.6,88661.3,0,0
BTCGBP,5,20250728,033500,88660.6,88692,88660.6,88680.4,0,0
BTCGBP,5,20250728,034000,88680.4,88704.8,88661,88665.2,0,0
BTCGBP,5,20250728,034500,88666.5,88708.7,88610.6,88648.2,0,0
BTCGBP,5,20250728,035000,88611.8,88628,88553.3,88553.9,0,0
BTCGBP,5,20250728,035500,88553.9,88626.3,88550.7,88622.9,0,0
BTCGBP,5,20250728,040000,88622.9,88670.4,88609.5,88661.7,0,0
BTCGBP,5,20250728,040500,88661.7,88720.8,88621.8,88705.2,0,0
BTCGBP,5,20250728,041000,88705.2,88801.3,88705.2,88782,0,0
BTCGBP,5,20250728,041500,88787.3,88899.6,88786.6,88896.7,0,0
BTCGBP,5,20250728,042000,88898,88908.7,88824.4,88884.8,0,0
BTCGBP,5,20250728,042500,88884.7,88994.7,88884.7,88948.1,0,0
BTCGBP,5,20250728,043000,88948.1,89174.5,88946.9,89156,0,0
BTCGBP,5,20250728,043500,89154.6,89189.4,89030.3,89057.8,0,0
BTCGBP,5,20250728,044000,89078.1,89078.1,88953.6,89028.6,0,0
BTCGBP,5,20250728,044500,89028.6,89052.3,88938.8,88955.8,0,0
BTCGBP,5,20250728,045000,88974.4,88974.4,88859.9,88864.4,0,0
BTCGBP,5,20250728,045500,88863.8,88892.5,88835,88883.7,0,0
BTCGBP,5,20250728,050000,88883.7,88969.3,88883.7,88932.4,0,0
BTCGBP,5,20250728,050500,88932.4,88967.7,88901.3,88901.3,0,0
BTCGBP,5,20250728,051000,88901.3,88901.3,88812,88840.7,0,0
BTCGBP,5,20250728,051500,88840.7,88921.1,88833.3,88871.2,0,0
BTCGBP,5,20250728,052000,88881.5,88890.9,88833.4,88834,0,0
BTCGBP,5,20250728,052500,88834,88834.7,88790.5,88809.2,0,0
BTCGBP,5,20250728,053000,88809.2,88832.1,88787.4,88807.5,0,0
BTCGBP,5,20250728,053500,88807.5,88854.2,88755.4,88756,0,0
BTCGBP,5,20250728,054000,88755.4,88773.8,88737.9,88752.9,0,0
BTCGBP,5,20250728,054500,88752.9,88774,88731.4,88758.7,0,0
BTCGBP,5,20250728,055000,88768.9,88772.3,88751.8,88751.8,0,0
BTCGBP,5,20250728,055500,88751.2,88790,88740.4,88776.8,0,0
BTCGBP,5,20250728,060000,88772.2,88850.9,88768.2,88827.1,0,0
BTCGBP,5,20250728,060500,88827.1,88839,88786.8,88786.8,0,0
BTCGBP,5,20250728,061000,88786.8,88801.6,88758.1,88769.1,0,0
BTCGBP,5,20250728,061500,88761.9,88761.9,88658.7,88691.9,0,0
BTCGBP,5,20250728,062000,88691.9,88705.2,88674.4,88685,0,0
BTCGBP,5,20250728,062500,88684.3,88705.2,88671.7,88690.1,0,0
BTCGBP,5,20250728,063000,88689.5,88739.2,88677.7,88737.9,0,0
BTCGBP,5,20250728,063500,88731.8,88755.4,88706.7,88748.8,0,0
BTCGBP,5,20250728,064000,88748.8,88851.5,88748.8,88808.5,0,0
BTCGBP,5,20250728,064500,88811.1,88865.1,88750.3,88789.7,0,0
BTCGBP,5,20250728,065000,88785,88827.5,88740,88740,0,0
BTCGBP,5,20250728,065500,88741.3,88763.1,88739.4,88754.3,0,0
BTCGBP,5,20250728,070000,88754.3,88789,88711.8,88711.8,0,0
BTCGBP,5,20250728,070500,88702.9,88818.7,88702.9,88818.7,0,0
BTCGBP,5,20250728,071000,88818.7,88850.6,88809.2,88820.4,0,0
BTCGBP,5,20250728,071500,88821.1,88971.2,88821.1,88952.3,0,0
BTCGBP,5,20250728,072000,88952.3,88984.1,88927.4,88964,0,0
BTCGBP,5,20250728,072500,88958.7,88958.7,88875.7,88923.2,0,0
