<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BTCKRW,5,20250728,020000,165252415,165297617,164636177,164652495,0,0
BTCKRW,5,20250728,020500,164652495,164771824,164625431,164747819,0,0
BTCKRW,5,20250728,021000,164747819,164820631,164674282,164691689,0,0
BTCKRW,5,20250728,021500,164751905,164934870,164693415,164934870,0,0
BTCKRW,5,20250728,022000,164939015,165042883,164782479,164995901,0,0
BTCKRW,5,20250728,022500,165006761,165151408,165006761,165079931,0,0
BTCKRW,5,20250728,023000,165079931,165079931,164876955,165012874,0,0
BTCKRW,5,20250728,023500,165030440,165031426,164778909,164828915,0,0
BTCKRW,5,20250728,024000,164828915,164828915,164610722,164610722,0,0
BTCKRW,5,20250728,024500,164610722,164636620,164460251,164479753,0,0
BTCKRW,5,20250728,025000,164471323,164762821,164454074,164716598,0,0
BTCKRW,5,20250728,025500,164673545,164752636,164563998,164582557,0,0
BTCKRW,5,20250728,030000,164582557,164582557,164242575,164242575,0,0
BTCKRW,5,20250728,030500,164254706,164619616,164254706,164619616,0,0
BTCKRW,5,20250728,031000,164603305,164620425,164381879,164419993,0,0
BTCKRW,5,20250728,031500,164419993,164715154,164400724,164715154,0,0
BTCKRW,5,20250728,032000,164714958,164941455,164695839,164836280,0,0
BTCKRW,5,20250728,032500,164797504,164874753,164668961,164874753,0,0
BTCKRW,5,20250728,033000,164928714,164928714,164581260,164581260,0,0
BTCKRW,5,20250728,033500,164581260,164631283,164564789,164591984,0,0
BTCKRW,5,20250728,034000,164591984,164608666,164556962,164573910,0,0
BTCKRW,5,20250728,034500,164573910,164677758,164499077,164530143,0,0
BTCKRW,5,20250728,035000,164461591,164503571,164432708,164432708,0,0
BTCKRW,5,20250728,035500,164432708,164465254,164399389,164452721,0,0
BTCKRW,5,20250728,040000,164452721,164551774,164410341,164514730,0,0
BTCKRW,5,20250728,040500,164514730,164675571,164466235,164672824,0,0
BTCKRW,5,20250728,041000,164672824,164796839,164672824,164748979,0,0
BTCKRW,5,20250728,041500,164748979,164939282,164744209,164939282,0,0
BTCKRW,5,20250728,042000,164939282,164955433,164802252,164916596,0,0
BTCKRW,5,20250728,042500,164916399,165122268,164916399,165005676,0,0
BTCKRW,5,20250728,043000,165005676,165435749,165004504,165405229,0,0
BTCKRW,5,20250728,043500,165403842,165422769,165099509,165165664,0,0
BTCKRW,5,20250728,044000,165203423,165207255,164999611,165168226,0,0
BTCKRW,5,20250728,044500,165168226,165201356,164898761,164899549,0,0
BTCKRW,5,20250728,045000,164935238,164935238,164755012,164755012,0,0
BTCKRW,5,20250728,045500,164755012,164755012,164640976,164720540,0,0
BTCKRW,5,20250728,050000,164720540,164866735,164692067,164813309,0,0
BTCKRW,5,20250728,050500,164813309,164858270,164748087,164748087,0,0
BTCKRW,5,20250728,051000,164748087,164748087,164612466,164701808,0,0
BTCKRW,5,20250728,051500,164709085,164883045,164708340,164774729,0,0
BTCKRW,5,20250728,052000,164795000,164811339,164697624,164738997,0,0
BTCKRW,5,20250728,052500,164738997,164738997,164616496,164646035,0,0
BTCKRW,5,20250728,053000,164646035,164695239,164533641,164556025,0,0
BTCKRW,5,20250728,053500,164518519,164621385,164487983,164487983,0,0
BTCKRW,5,20250728,054000,164504271,164524489,164459261,164470184,0,0
BTCKRW,5,20250728,054500,164458255,164528326,164451022,164500269,0,0
BTCKRW,5,20250728,055000,164508620,164541739,164499985,164519769,0,0
BTCKRW,5,20250728,055500,164498632,164587299,164494325,164535330,0,0
BTCKRW,5,20250728,060000,164535330,164651553,164535330,164621884,0,0
BTCKRW,5,20250728,060500,164621884,164649511,164544392,164544392,0,0
BTCKRW,5,20250728,061000,164544392,164544951,164433270,164441315,0,0
BTCKRW,5,20250728,061500,164423067,164423067,164229640,164293276,0,0
BTCKRW,5,20250728,062000,164293276,164307583,164237730,164264099,0,0
BTCKRW,5,20250728,062500,164264099,164294586,164221738,164278137,0,0
BTCKRW,5,20250728,063000,164265802,164378089,164256406,164378089,0,0
BTCKRW,5,20250728,063500,164366722,164407719,164329875,164376276,0,0
BTCKRW,5,20250728,064000,164376276,164530128,164371507,164466094,0,0
BTCKRW,5,20250728,064500,164466094,164582291,164408639,164480238,0,0
BTCKRW,5,20250728,065000,164480238,164525900,164378579,164378579,0,0
BTCKRW,5,20250728,065500,164378579,164404392,164358308,164388119,0,0
BTCKRW,5,20250728,070000,164388119,164440834,164309511,164309511,0,0
BTCKRW,5,20250728,070500,164293061,164484250,164279950,164484054,0,0
BTCKRW,5,20250728,071000,164484054,164530358,164464170,164494876,0,0
BTCKRW,5,20250728,071500,164494876,164745423,164465905,164690451,0,0
BTCKRW,5,20250728,072000,164690451,164772197,164639651,164721215,0,0
BTCKRW,5,20250728,072500,164709016,164709016,164530794,164601903,0,0
BTCKRW,5,20250728,073000,164605485,164611033,164443118,164561178,0,0
BTCKRW,5,20250728,073500,164561178,164734199,164512648,164687159,0,0
BTCKRW,5,20250728,074000,164687159,164843021,164658452,164832576,0,0
