<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CHFXPD,5,20250728,001000,0.00101594,0.00102243,0.00101476,0.00101488,0,0
CHFXPD,5,20250728,001500,0.00101489,0.00102142,0.00101378,0.00101544,0,0
CHFXPD,5,20250728,002000,0.00101544,0.00101836,0.00101403,0.00101597,0,0
CHFXPD,5,20250728,002500,0.00101597,0.00102408,0.00101343,0.00101448,0,0
CHFXPD,5,20250728,003000,0.00101448,0.00102051,0.00101331,0.00101439,0,0
CHFXPD,5,20250728,003500,0.00101439,0.001022,0.00101437,0.00101521,0,0
CHFXPD,5,20250728,004000,0.00101521,0.00102034,0.00101059,0.00101162,0,0
CHFXPD,5,20250728,004500,0.00101508,0.00101789,0.0010107,0.0010119,0,0
CHFXPD,5,20250728,005000,0.00101392,0.00101905,0.00101158,0.00101208,0,0
CHFXPD,5,20250728,005500,0.00101524,0.00101824,0.00101115,0.00101115,0,0
CHFXPD,5,20250728,010000,0.00101722,0.00102412,0.00101069,0.00101126,0,0
CHFXPD,5,20250728,010500,0.00101065,0.0010168,0.00101044,0.00101108,0,0
CHFXPD,5,20250728,011000,0.00101107,0.00102411,0.00101076,0.00101076,0,0
CHFXPD,5,20250728,011500,0.00101097,0.00102229,0.00101029,0.00101155,0,0
CHFXPD,5,20250728,012000,0.00101049,0.00102054,0.00101049,0.00101101,0,0
CHFXPD,5,20250728,012500,0.0010154,0.00101863,0.00101108,0.0010111,0,0
CHFXPD,5,20250728,013000,0.0010111,0.00101766,0.00101063,0.00101123,0,0
CHFXPD,5,20250728,013500,0.0010112,0.00101818,0.00101069,0.00101156,0,0
CHFXPD,5,20250728,014000,0.00101156,0.00101789,0.00101125,0.00101148,0,0
CHFXPD,5,20250728,014500,0.00101147,0.00101859,0.00101147,0.00101249,0,0
CHFXPD,5,20250728,015000,0.00101579,0.00101579,0.0010125,0.00101487,0,0
CHFXPD,5,20250728,015500,0.00101487,0.0010204,0.00101358,0.0010144,0,0
CHFXPD,5,20250728,020000,0.0010144,0.00102087,0.00101437,0.00101505,0,0
CHFXPD,5,20250728,020500,0.00101505,0.00102106,0.00101371,0.00101561,0,0
CHFXPD,5,20250728,021000,0.00101506,0.00102138,0.00101477,0.00101571,0,0
CHFXPD,5,20250728,021500,0.00101571,0.00102172,0.00101447,0.00101488,0,0
CHFXPD,5,20250728,022000,0.00101485,0.00102081,0.00101411,0.0010143,0,0
CHFXPD,5,20250728,022500,0.00101413,0.00102018,0.00101389,0.00101461,0,0
CHFXPD,5,20250728,023000,0.00101458,0.00102081,0.00101357,0.00101402,0,0
CHFXPD,5,20250728,023500,0.00101401,0.00101997,0.00101338,0.00101995,0,0
CHFXPD,5,20250728,024000,0.00101995,0.00102019,0.00101336,0.00101395,0,0
CHFXPD,5,20250728,024500,0.00101391,0.00102026,0.00101329,0.00101367,0,0
CHFXPD,5,20250728,025000,0.00101372,0.00101911,0.0010136,0.0010158,0,0
CHFXPD,5,20250728,025500,0.00101397,0.00101918,0.00101361,0.00101389,0,0
CHFXPD,5,20250728,030000,0.00101389,0.00102127,0.00101348,0.00101348,0,0
CHFXPD,5,20250728,030500,0.00102012,0.00102012,0.00101308,0.00101836,0,0
CHFXPD,5,20250728,031000,0.00101405,0.00102139,0.00101344,0.00101344,0,0
CHFXPD,5,20250728,031500,0.00101855,0.00101934,0.00101296,0.00101322,0,0
CHFXPD,5,20250728,032000,0.00101887,0.00101887,0.00101298,0.00101362,0,0
CHFXPD,5,20250728,032500,0.00101854,0.00101899,0.00101304,0.00101434,0,0
CHFXPD,5,20250728,033000,0.00101435,0.00101856,0.00101217,0.00101229,0,0
CHFXPD,5,20250728,033500,0.00101727,0.00101794,0.00101224,0.00101277,0,0
CHFXPD,5,20250728,034000,0.0010174,0.00101755,0.00101185,0.0010123,0,0
CHFXPD,5,20250728,034500,0.00101766,0.00101871,0.00101231,0.00101231,0,0
CHFXPD,5,20250728,035000,0.00101874,0.00101884,0.00101171,0.00101884,0,0
CHFXPD,5,20250728,035500,0.00101884,0.00101914,0.00101238,0.00101914,0,0
CHFXPD,5,20250728,040000,0.00101914,0.00102128,0.00101259,0.00102044,0,0
CHFXPD,5,20250728,040500,0.00102045,0.00102086,0.00101366,0.00101377,0,0
CHFXPD,5,20250728,041000,0.00101377,0.00101986,0.00101334,0.0010141,0,0
CHFXPD,5,20250728,041500,0.00101402,0.00102034,0.00101402,0.00101943,0,0
CHFXPD,5,20250728,042000,0.00101939,0.00102098,0.00101401,0.00101418,0,0
CHFXPD,5,20250728,042500,0.00101418,0.00102115,0.00101377,0.00101401,0,0
CHFXPD,5,20250728,043000,0.00101401,0.00101976,0.00101363,0.00101395,0,0
CHFXPD,5,20250728,043500,0.00101405,0.0010191,0.0010133,0.00101542,0,0
CHFXPD,5,20250728,044000,0.00101342,0.00101646,0.00101329,0.00101354,0,0
CHFXPD,5,20250728,044500,0.00101354,0.001016,0.0010125,0.00101474,0,0
CHFXPD,5,20250728,045000,0.00101323,0.00101485,0.00101091,0.00101124,0,0
CHFXPD,5,20250728,045500,0.00101441,0.00101442,0.00101045,0.00101087,0,0
CHFXPD,5,20250728,050000,0.00101088,0.00101406,0.00101044,0.00101068,0,0
CHFXPD,5,20250728,050500,0.00101088,0.00101409,0.00100458,0.00100458,0,0
CHFXPD,5,20250728,051000,0.00100458,0.0010076,0.00100383,0.00100529,0,0
CHFXPD,5,20250728,051500,0.00100533,0.0010066,0.00100404,0.00100641,0,0
CHFXPD,5,20250728,052000,0.00100641,0.00100765,0.00100391,0.00100391,0,0
CHFXPD,5,20250728,052500,0.00100777,0.00100777,0.0010036,0.00100764,0,0
CHFXPD,5,20250728,053000,0.00100764,0.00100804,0.00100153,0.00100458,0,0
CHFXPD,5,20250728,053500,0.00100458,0.00100458,0.000994596,0.000999713,0,0
CHFXPD,5,20250728,054000,0.000996624,0.000999721,0.0009961,0.0009961,0,0
CHFXPD,5,20250728,054500,0.0009961,0.00100159,0.000996084,0.000997348,0,0
CHFXPD,5,20250728,055000,0.00100085,0.00100085,0.000995552,0.000997587,0,0
CHFXPD,5,20250728,055500,0.00100086,0.00100172,0.00099677,0.000996795,0,0
CHFXPD,5,20250728,060000,0.000996994,0.00100181,0.000995134,0.00100013,0,0
CHFXPD,5,20250728,060500,0.00100013,0.00100013,0.000995473,0.000995519,0,0
CHFXPD,5,20250728,061000,0.00099921,0.00100054,0.000995457,0.000996646,0,0
CHFXPD,5,20250728,061500,0.000996436,0.0010008,0.000995947,0.000996211,0,0
CHFXPD,5,20250728,062000,0.000996211,0.000999981,0.00099558,0.000995632,0,0
CHFXPD,5,20250728,062500,0.00099546,0.000999534,0.00099546,0.000995699,0,0
