<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CLPILS,5,20250728,143000,0.00347022,0.00347099,0.00346818,0.003469,0,0
CLPILS,5,20250728,143500,0.003469,0.00347003,0.00346817,0.00346931,0,0
CLPILS,5,20250728,144000,0.00346931,0.00347109,0.00346911,0.00346931,0,0
CLPILS,5,20250728,144500,0.00346937,0.00346938,0.003466,0.0034661,0,0
CLPILS,5,20250728,145000,0.00346605,0.00346639,0.00346061,0.00346149,0,0
CLPILS,5,20250728,145500,0.00346149,0.00346223,0.00345881,0.00346066,0,0
CLPILS,5,20250728,150000,0.00346066,0.003463,0.0034606,0.00346282,0,0
CLPILS,5,20250728,150500,0.00346474,0.00346494,0.0034637,0.00346437,0,0
CLPILS,5,20250728,151000,0.00346479,0.00346713,0.00346468,0.00346675,0,0
CLPILS,5,20250728,151500,0.00346675,0.00346772,0.00346384,0.00346428,0,0
CLPILS,5,20250728,152000,0.00346425,0.00346623,0.00346399,0.00346434,0,0
CLPILS,5,20250728,152500,0.00346433,0.00346587,0.00346433,0.00346529,0,0
CLPILS,5,20250728,153000,0.00346534,0.00346952,0.00346531,0.00346861,0,0
CLPILS,5,20250728,153500,0.00346861,0.00346913,0.00346649,0.00346763,0,0
CLPILS,5,20250728,154000,0.0034679,0.00346798,0.00346547,0.00346687,0,0
CLPILS,5,20250728,154500,0.00346687,0.00346687,0.00346364,0.00346368,0,0
CLPILS,5,20250728,155000,0.00346373,0.00346423,0.00345984,0.00346027,0,0
CLPILS,5,20250728,155500,0.00346027,0.0034608,0.00345822,0.00345882,0,0
CLPILS,5,20250728,160000,0.00345884,0.00345892,0.00345129,0.00345129,0,0
CLPILS,5,20250728,160500,0.00345129,0.00345475,0.00345075,0.00345475,0,0
CLPILS,5,20250728,161000,0.00345473,0.00345473,0.00345069,0.00345158,0,0
CLPILS,5,20250728,161500,0.0034521,0.00345417,0.00345138,0.00345407,0,0
CLPILS,5,20250728,162000,0.00345387,0.00345459,0.00344948,0.00344948,0,0
CLPILS,5,20250728,162500,0.00344948,0.00345325,0.0034469,0.00345304,0,0
CLPILS,5,20250728,163000,0.00345304,0.00345649,0.00345217,0.00345646,0,0
CLPILS,5,20250728,163500,0.00345641,0.00345789,0.00345427,0.00345429,0,0
CLPILS,5,20250728,164000,0.00345429,0.00345559,0.00345304,0.00345304,0,0
CLPILS,5,20250728,164500,0.00345304,0.00345325,0.00345007,0.00345151,0,0
CLPILS,5,20250728,165000,0.00345136,0.00345486,0.00345131,0.00345411,0,0
CLPILS,5,20250728,165500,0.00345411,0.00345458,0.00345097,0.00345183,0,0
CLPILS,5,20250728,170000,0.00345036,0.00345073,0.00344854,0.00344871,0,0
CLPILS,5,20250728,170500,0.00344875,0.00344903,0.00344853,0.00344888,0,0
CLPILS,5,20250728,171000,0.00344888,0.00344986,0.00344567,0.00344593,0,0
CLPILS,5,20250728,171500,0.00344593,0.0034507,0.00344537,0.0034507,0,0
CLPILS,5,20250728,172000,0.00345029,0.00345127,0.00345021,0.00345117,0,0
CLPILS,5,20250728,172500,0.00345117,0.00345122,0.00344987,0.00344989,0,0
CLPILS,5,20250729,143000,0.00347663,0.00347711,0.00347445,0.00347445,0,0
CLPILS,5,20250729,143500,0.00347523,0.00347596,0.00347157,0.00347157,0,0
CLPILS,5,20250729,144000,0.00347426,0.00347686,0.00347368,0.00347368,0,0
CLPILS,5,20250729,144500,0.00347333,0.00347544,0.00347254,0.00347405,0,0
CLPILS,5,20250729,145000,0.003474,0.00347503,0.00347286,0.00347502,0,0
CLPILS,5,20250729,145500,0.00347498,0.00347512,0.00347214,0.00347296,0,0
CLPILS,5,20250729,150000,0.00347303,0.00347459,0.00347287,0.00347418,0,0
CLPILS,5,20250729,150500,0.00347418,0.0034762,0.00347347,0.0034762,0,0
CLPILS,5,20250729,151000,0.00347629,0.00347922,0.00347627,0.00347909,0,0
CLPILS,5,20250729,151500,0.00347909,0.00348097,0.00347888,0.00348012,0,0
CLPILS,5,20250729,152000,0.00348027,0.00348043,0.0034754,0.00347716,0,0
CLPILS,5,20250729,152500,0.00347716,0.00347722,0.00347603,0.00347634,0,0
CLPILS,5,20250729,153000,0.00347634,0.00347757,0.00347334,0.00347585,0,0
CLPILS,5,20250729,153500,0.0034759,0.00347679,0.00347198,0.00347198,0,0
CLPILS,5,20250729,154000,0.00347198,0.00347539,0.00347029,0.00347492,0,0
CLPILS,5,20250729,154500,0.00347503,0.0034777,0.00347503,0.0034777,0,0
CLPILS,5,20250729,155000,0.0034777,0.00348123,0.0034772,0.0034772,0,0
CLPILS,5,20250729,155500,0.00347739,0.0034783,0.00347588,0.00347588,0,0
CLPILS,5,20250729,160000,0.00347588,0.00347811,0.00347454,0.00347454,0,0
CLPILS,5,20250729,160500,0.00347454,0.0034777,0.00347365,0.00347768,0,0
CLPILS,5,20250729,161000,0.00347768,0.0034796,0.00347767,0.00347875,0,0
