<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CNYGBP,5,20250728,020000,0.103831,0.103837,0.103795,0.1038,0,0
CNYGBP,5,20250728,020500,0.103798,0.103827,0.103792,0.103813,0,0
CNYGBP,5,20250728,021000,0.103816,0.103828,0.103805,0.103808,0,0
CNYGBP,5,20250728,021500,0.103807,0.103809,0.103782,0.103788,0,0
CNYGBP,5,20250728,022000,0.103788,0.103793,0.103781,0.103793,0,0
CNYGBP,5,20250728,022500,0.10379,0.103803,0.103788,0.103791,0,0
CNYGBP,5,20250728,023000,0.103793,0.103837,0.103792,0.103832,0,0
CNYGBP,5,20250728,023500,0.103831,0.10385,0.103823,0.103846,0,0
CNYGBP,5,20250728,024000,0.103846,0.103849,0.103827,0.103827,0,0
CNYGBP,5,20250728,024500,0.103829,0.103848,0.103821,0.103822,0,0
CNYGBP,5,20250728,025000,0.103821,0.103829,0.103807,0.103812,0,0
CNYGBP,5,20250728,025500,0.103811,0.103819,0.103793,0.103801,0,0
CNYGBP,5,20250728,030000,0.103801,0.103816,0.103753,0.103759,0,0
CNYGBP,5,20250728,030500,0.103761,0.103775,0.103748,0.103758,0,0
CNYGBP,5,20250728,031000,0.103754,0.103766,0.103746,0.103762,0,0
CNYGBP,5,20250728,031500,0.103762,0.103762,0.103724,0.103748,0,0
CNYGBP,5,20250728,032000,0.10375,0.103764,0.103745,0.103749,0,0
CNYGBP,5,20250728,032500,0.10375,0.103763,0.103749,0.103761,0,0
CNYGBP,5,20250728,033000,0.10376,0.103784,0.103756,0.103777,0,0
CNYGBP,5,20250728,033500,0.103776,0.103801,0.103776,0.1038,0,0
CNYGBP,5,20250728,034000,0.1038,0.103818,0.103784,0.103787,0,0
CNYGBP,5,20250728,034500,0.103788,0.103821,0.103788,0.10382,0,0
CNYGBP,5,20250728,035000,0.103828,0.103837,0.103808,0.103819,0,0
CNYGBP,5,20250728,035500,0.103819,0.103837,0.103809,0.103837,0,0
CNYGBP,5,20250728,040000,0.103837,0.103849,0.10382,0.103835,0,0
CNYGBP,5,20250728,040500,0.103835,0.10384,0.103824,0.103829,0,0
CNYGBP,5,20250728,041000,0.103831,0.103857,0.103831,0.103853,0,0
CNYGBP,5,20250728,041500,0.103857,0.103874,0.103843,0.103866,0,0
CNYGBP,5,20250728,042000,0.103865,0.103872,0.103846,0.103849,0,0
CNYGBP,5,20250728,042500,0.103849,0.103851,0.103836,0.103847,0,0
CNYGBP,5,20250728,043000,0.103847,0.103852,0.103836,0.103841,0,0
CNYGBP,5,20250728,043500,0.103842,0.103847,0.103831,0.103834,0,0
CNYGBP,5,20250728,044000,0.10383,0.103842,0.103819,0.103819,0,0
CNYGBP,5,20250728,044500,0.103816,0.103823,0.103812,0.103816,0,0
CNYGBP,5,20250728,045000,0.103815,0.103816,0.103783,0.103791,0,0
CNYGBP,5,20250728,045500,0.10379,0.103798,0.103781,0.103789,0,0
CNYGBP,5,20250728,050000,0.10379,0.103814,0.10379,0.103806,0,0
CNYGBP,5,20250728,050500,0.103802,0.103803,0.103787,0.103797,0,0
CNYGBP,5,20250728,051000,0.103797,0.103808,0.10379,0.10379,0,0
CNYGBP,5,20250728,051500,0.10379,0.103794,0.103786,0.103789,0,0
CNYGBP,5,20250728,052000,0.103789,0.103795,0.103774,0.103775,0,0
CNYGBP,5,20250728,052500,0.103776,0.103783,0.103771,0.103779,0,0
CNYGBP,5,20250728,053000,0.103779,0.103796,0.103772,0.103784,0,0
CNYGBP,5,20250728,053500,0.103784,0.103792,0.10377,0.103774,0,0
CNYGBP,5,20250728,054000,0.103774,0.103779,0.103768,0.103779,0,0
CNYGBP,5,20250728,054500,0.103779,0.103782,0.10377,0.103773,0,0
CNYGBP,5,20250728,055000,0.103772,0.103789,0.103771,0.10378,0,0
CNYGBP,5,20250728,055500,0.103779,0.10378,0.103769,0.103773,0,0
CNYGBP,5,20250728,060000,0.103766,0.103766,0.103748,0.103755,0,0
CNYGBP,5,20250728,060500,0.103757,0.10378,0.103756,0.103773,0,0
CNYGBP,5,20250728,061000,0.103771,0.103786,0.10377,0.103771,0,0
CNYGBP,5,20250728,061500,0.103773,0.103776,0.103761,0.103772,0,0
CNYGBP,5,20250728,062000,0.103772,0.103794,0.103772,0.10379,0,0
CNYGBP,5,20250728,062500,0.103791,0.103797,0.10379,0.103795,0,0
CNYGBP,5,20250728,063000,0.103794,0.103808,0.10379,0.103804,0,0
CNYGBP,5,20250728,063500,0.103804,0.103822,0.103804,0.103819,0,0
CNYGBP,5,20250728,064000,0.103819,0.103834,0.103819,0.103828,0,0
CNYGBP,5,20250728,064500,0.103831,0.103832,0.1038,0.103804,0,0
CNYGBP,5,20250728,065000,0.1038,0.103815,0.1038,0.103807,0,0
CNYGBP,5,20250728,065500,0.103808,0.103814,0.103802,0.103812,0,0
