<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EGPXPD,5,20250728,083000,0.0000163094,0.0000163207,0.0000162578,0.0000162884,0,0
EGPXPD,5,20250728,083500,0.0000162813,0.0000163605,0.0000162813,0.000016307,0,0
EGPXPD,5,20250728,084000,0.000016307,0.0000163556,0.0000162881,0.0000162946,0,0
EGPXPD,5,20250728,084500,0.0000162946,0.000016355,0.0000162914,0.0000163271,0,0
EGPXPD,5,20250728,085000,0.0000163271,0.0000164217,0.0000163271,0.000016385,0,0
EGPXPD,5,20250728,085500,0.000016385,0.0000163968,0.0000163401,0.0000163473,0,0
EGPXPD,5,20250728,090000,0.0000163473,0.0000163947,0.0000163016,0.0000163378,0,0
EGPXPD,5,20250728,090500,0.0000163378,0.0000163848,0.0000163308,0.0000163595,0,0
EGPXPD,5,20250728,091000,0.0000163655,0.0000164009,0.0000163583,0.0000163677,0,0
EGPXPD,5,20250728,091500,0.0000163677,0.0000164532,0.0000163677,0.0000163947,0,0
EGPXPD,5,20250728,092000,0.0000163947,0.0000164391,0.0000163851,0.000016394,0,0
EGPXPD,5,20250728,092500,0.000016394,0.0000164559,0.0000163897,0.0000164078,0,0
EGPXPD,5,20250728,093000,0.0000164072,0.0000164549,0.0000164061,0.0000164137,0,0
EGPXPD,5,20250728,093500,0.0000164137,0.0000164944,0.0000164049,0.0000164937,0,0
EGPXPD,5,20250728,094000,0.0000164937,0.0000165574,0.0000164765,0.0000165087,0,0
EGPXPD,5,20250728,094500,0.0000165087,0.0000165567,0.0000164927,0.0000165035,0,0
EGPXPD,5,20250728,095000,0.0000165001,0.0000165526,0.0000165001,0.0000165188,0,0
EGPXPD,5,20250728,095500,0.0000165179,0.0000165779,0.0000165073,0.0000165312,0,0
EGPXPD,5,20250728,100000,0.0000165312,0.0000165792,0.0000165151,0.0000165542,0,0
EGPXPD,5,20250728,100500,0.0000165542,0.0000165736,0.0000165118,0.0000165172,0,0
EGPXPD,5,20250728,101000,0.0000165172,0.000016573,0.0000165066,0.0000165372,0,0
EGPXPD,5,20250728,101500,0.0000165363,0.0000165818,0.0000165339,0.0000165408,0,0
EGPXPD,5,20250728,102000,0.0000165408,0.0000165432,0.0000165051,0.0000165051,0,0
EGPXPD,5,20250728,102500,0.0000165051,0.0000165301,0.0000164758,0.0000164917,0,0
EGPXPD,5,20250728,103000,0.0000164917,0.0000165039,0.000016447,0.0000164602,0,0
EGPXPD,5,20250728,103500,0.0000164503,0.0000164837,0.0000164404,0.0000164492,0,0
EGPXPD,5,20250728,104000,0.0000164492,0.0000164934,0.0000164459,0.0000164927,0,0
EGPXPD,5,20250728,104500,0.0000164927,0.000016515,0.0000164909,0.0000165055,0,0
EGPXPD,5,20250728,105000,0.0000165091,0.0000165509,0.0000164992,0.0000165244,0,0
EGPXPD,5,20250728,105500,0.0000165244,0.0000165706,0.0000165098,0.0000165132,0,0
EGPXPD,5,20250728,110000,0.0000165165,0.0000165659,0.0000165068,0.0000165301,0,0
EGPXPD,5,20250728,110500,0.0000165305,0.000016534,0.0000164974,0.0000165067,0,0
EGPXPD,5,20250728,111000,0.0000165067,0.0000165361,0.0000165048,0.0000165115,0,0
EGPXPD,5,20250728,111500,0.0000165115,0.0000165115,0.0000164857,0.0000164857,0,0
EGPXPD,5,20250728,112000,0.0000164824,0.0000164845,0.0000164524,0.0000164676,0,0
EGPXPD,5,20250728,112500,0.0000164676,0.0000164938,0.0000164623,0.0000164637,0,0
EGPXPD,5,20250728,113000,0.0000164637,0.0000164979,0.0000164622,0.0000164688,0,0
EGPXPD,5,20250728,113500,0.0000164688,0.0000165163,0.0000164586,0.0000164762,0,0
EGPXPD,5,20250728,114000,0.0000164826,0.0000165225,0.0000164749,0.0000164979,0,0
EGPXPD,5,20250728,114500,0.0000164979,0.0000165256,0.0000164787,0.00001649,0,0
EGPXPD,5,20250728,115000,0.00001649,0.0000165203,0.00001649,0.0000164904,0,0
EGPXPD,5,20250728,115500,0.0000164904,0.0000165011,0.0000164763,0.0000164776,0,0
EGPXPD,5,20250728,120000,0.0000164776,0.000016497,0.0000164572,0.0000164797,0,0
EGPXPD,5,20250728,120500,0.0000165103,0.0000165231,0.0000164747,0.0000165207,0,0
EGPXPD,5,20250728,121000,0.0000165174,0.0000165461,0.0000165015,0.0000165044,0,0
EGPXPD,5,20250728,121500,0.0000165018,0.0000165457,0.0000164991,0.0000165007,0,0
EGPXPD,5,20250728,122000,0.0000165024,0.000016518,0.0000164908,0.0000164908,0,0
EGPXPD,5,20250728,122500,0.0000164908,0.0000165406,0.0000164742,0.0000164976,0,0
EGPXPD,5,20250728,123000,0.0000164976,0.0000165333,0.0000164976,0.0000165091,0,0
EGPXPD,5,20250728,123500,0.0000165091,0.0000165368,0.0000165088,0.0000165197,0,0
EGPXPD,5,20250728,124000,0.0000165224,0.0000165493,0.000016493,0.0000165096,0,0
EGPXPD,5,20250728,124500,0.0000165096,0.0000165326,0.0000165,0.0000165069,0,0
