<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
INRJPY,5,20250728,074000,1.70827,1.70851,1.70819,1.70838,0,0
INRJPY,5,20250728,074500,1.70838,1.70859,1.70773,1.70813,0,0
INRJPY,5,20250728,075000,1.70813,1.70827,1.70764,1.70809,0,0
INRJPY,5,20250728,075500,1.70807,1.70895,1.70794,1.70884,0,0
INRJPY,5,20250728,080000,1.70883,1.70999,1.70859,1.70999,0,0
INRJPY,5,20250728,080500,1.70985,1.71018,1.70959,1.71001,0,0
INRJPY,5,20250728,081000,1.71001,1.71059,1.7099,1.71033,0,0
INRJPY,5,20250728,081500,1.7103,1.71114,1.7103,1.71109,0,0
INRJPY,5,20250728,082000,1.71117,1.71207,1.71115,1.71166,0,0
INRJPY,5,20250728,082500,1.71156,1.71246,1.71148,1.71178,0,0
INRJPY,5,20250728,083000,1.71185,1.71194,1.71148,1.71178,0,0
INRJPY,5,20250728,083500,1.71178,1.71242,1.71153,1.71185,0,0
INRJPY,5,20250728,084000,1.71185,1.71196,1.71156,1.71167,0,0
INRJPY,5,20250728,084500,1.71173,1.71212,1.71148,1.71148,0,0
INRJPY,5,20250728,085000,1.71152,1.7121,1.71105,1.71136,0,0
INRJPY,5,20250728,085500,1.71136,1.71172,1.71069,1.71069,0,0
INRJPY,5,20250728,090000,1.71068,1.7107,1.70994,1.71036,0,0
INRJPY,5,20250728,090500,1.71039,1.71039,1.70896,1.70949,0,0
INRJPY,5,20250728,091000,1.70962,1.7097,1.70895,1.70909,0,0
INRJPY,5,20250728,091500,1.70909,1.70928,1.70834,1.7088,0,0
INRJPY,5,20250728,092000,1.7088,1.70925,1.70869,1.70901,0,0
INRJPY,5,20250728,092500,1.7089,1.70986,1.70876,1.70967,0,0
INRJPY,5,20250728,093000,1.70974,1.71045,1.70974,1.7103,0,0
INRJPY,5,20250728,093500,1.71034,1.71137,1.71034,1.71137,0,0
INRJPY,5,20250728,094000,1.71137,1.71236,1.7112,1.71233,0,0
INRJPY,5,20250728,094500,1.71233,1.71272,1.7121,1.71265,0,0
INRJPY,5,20250728,095000,1.71252,1.71367,1.71239,1.71326,0,0
INRJPY,5,20250728,095500,1.71325,1.71436,1.71323,1.71347,0,0
INRJPY,5,20250728,100000,1.71335,1.71387,1.71297,1.71351,0,0
INRJPY,5,20250728,100500,1.71335,1.71384,1.71303,1.71309,0,0
INRJPY,5,20250728,101000,1.71309,1.71342,1.7123,1.7127,0,0
INRJPY,5,20250728,101500,1.71275,1.713,1.71243,1.71272,0,0
INRJPY,5,20250728,102000,1.71272,1.7131,1.71246,1.71274,0,0
INRJPY,5,20250728,102500,1.71272,1.71293,1.7124,1.7128,0,0
INRJPY,5,20250728,103000,1.71278,1.71327,1.71224,1.7125,0,0
INRJPY,5,20250728,103500,1.71251,1.7128,1.71211,1.71257,0,0
INRJPY,5,20250728,104000,1.71255,1.71316,1.71255,1.71283,0,0
INRJPY,5,20250728,104500,1.71282,1.71317,1.71251,1.71286,0,0
INRJPY,5,20250728,105000,1.7129,1.71346,1.71209,1.71274,0,0
INRJPY,5,20250728,105500,1.71276,1.713,1.71202,1.71239,0,0
INRJPY,5,20250728,110000,1.71241,1.71272,1.71201,1.71272,0,0
INRJPY,5,20250728,110500,1.71279,1.71307,1.71246,1.71275,0,0
INRJPY,5,20250728,111000,1.71275,1.71299,1.7124,1.71277,0,0
INRJPY,5,20250728,111500,1.71286,1.71291,1.71222,1.71241,0,0
INRJPY,5,20250728,112000,1.71235,1.71239,1.71173,1.71216,0,0
INRJPY,5,20250728,112500,1.71216,1.713,1.71216,1.71263,0,0
INRJPY,5,20250728,113000,1.71267,1.71303,1.71255,1.7129,0,0
INRJPY,5,20250728,113500,1.71292,1.71341,1.71251,1.71294,0,0
INRJPY,5,20250728,114000,1.7128,1.7128,1.71189,1.71201,0,0
INRJPY,5,20250728,114500,1.71201,1.71255,1.71189,1.71218,0,0
INRJPY,5,20250728,115000,1.71217,1.71249,1.71177,1.71223,0,0
INRJPY,5,20250728,115500,1.71224,1.71266,1.71162,1.71162,0,0
