<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ISKCLP,5,20250728,143000,7.91627,7.92103,7.91627,7.92018,0,0
ISKCLP,5,20250728,143500,7.92064,7.92324,7.91897,7.91943,0,0
ISKCLP,5,20250728,144000,7.91891,7.91926,7.91455,7.91783,0,0
ISKCLP,5,20250728,144500,7.91783,7.92055,7.91647,7.92055,0,0
ISKCLP,5,20250728,145000,7.92055,7.92303,7.91763,7.92228,0,0
ISKCLP,5,20250728,145500,7.92475,7.93306,7.92475,7.93115,0,0
ISKCLP,5,20250728,150000,7.9278,7.93305,7.9278,7.9301,0,0
ISKCLP,5,20250728,150500,7.92584,7.92642,7.92525,7.9259,0,0
ISKCLP,5,20250728,151000,7.92408,7.92408,7.91849,7.91901,0,0
ISKCLP,5,20250728,151500,7.91758,7.92098,7.91639,7.92098,0,0
ISKCLP,5,20250728,152000,7.92039,7.92039,7.91305,7.91765,0,0
ISKCLP,5,20250728,152500,7.91761,7.91761,7.91528,7.91528,0,0
ISKCLP,5,20250728,153000,7.91405,7.91405,7.90612,7.90631,0,0
ISKCLP,5,20250728,153500,7.90683,7.91029,7.90637,7.90945,0,0
ISKCLP,5,20250728,154000,7.90809,7.91255,7.90699,7.91223,0,0
ISKCLP,5,20250728,154500,7.91182,7.91335,7.90942,7.91212,0,0
ISKCLP,5,20250728,155000,7.91031,7.91866,7.91011,7.91827,0,0
ISKCLP,5,20250728,155500,7.91833,7.9243,7.91795,7.9243,0,0
ISKCLP,5,20250728,160000,7.92953,7.94109,7.92953,7.94109,0,0
ISKCLP,5,20250728,160500,7.94109,7.94272,7.93419,7.93419,0,0
ISKCLP,5,20250728,161000,7.93419,7.94237,7.93387,7.94237,0,0
ISKCLP,5,20250728,161500,7.94224,7.94243,7.93797,7.93797,0,0
ISKCLP,5,20250728,162000,7.93804,7.94812,7.93635,7.94812,0,0
ISKCLP,5,20250728,162500,7.94812,7.94962,7.94209,7.94209,0,0
ISKCLP,5,20250728,163000,7.94209,7.94228,7.9329,7.9329,0,0
ISKCLP,5,20250728,163500,7.93375,7.94058,7.93232,7.94058,0,0
ISKCLP,5,20250728,164000,7.94051,7.94077,7.9375,7.93782,0,0
ISKCLP,5,20250728,164500,7.94029,7.94701,7.94029,7.94279,0,0
ISKCLP,5,20250728,165000,7.94337,7.94502,7.94174,7.94209,0,0
ISKCLP,5,20250728,165500,7.94001,7.94459,7.94001,7.94459,0,0
ISKCLP,5,20250728,170000,7.94803,7.95068,7.94712,7.95016,0,0
ISKCLP,5,20250728,170500,7.95153,7.95153,7.94763,7.94763,0,0
ISKCLP,5,20250728,171000,7.94756,7.95369,7.94449,7.95369,0,0
