<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ISKEGP,5,20250728,090000,0.403078,0.403084,0.402855,0.402855,0,0
ISKEGP,5,20250728,090500,0.402855,0.403005,0.402792,0.403002,0,0
ISKEGP,5,20250728,091000,0.402643,0.402643,0.402474,0.402474,0,0
ISKEGP,5,20250728,091500,0.402176,0.402269,0.402176,0.402269,0,0
ISKEGP,5,20250728,092000,0.402279,0.402279,0.402079,0.402149,0,0
ISKEGP,5,20250728,092500,0.402128,0.402137,0.402002,0.402002,0,0
ISKEGP,5,20250728,093000,0.401854,0.401854,0.401395,0.401461,0,0
ISKEGP,5,20250728,093500,0.4015,0.401546,0.401486,0.401486,0,0
ISKEGP,5,20250728,094000,0.401424,0.401424,0.40124,0.401254,0,0
ISKEGP,5,20250728,094500,0.401211,0.401211,0.400996,0.400996,0,0
ISKEGP,5,20250728,095000,0.401055,0.401055,0.400884,0.400884,0,0
ISKEGP,5,20250728,095500,0.400907,0.400907,0.400416,0.400416,0,0
ISKEGP,5,20250728,100000,0.400357,0.400626,0.400357,0.40059,0,0
ISKEGP,5,20250728,100500,0.400574,0.400574,0.400458,0.400458,0,0
ISKEGP,5,20250728,101000,0.400477,0.400726,0.400477,0.400726,0,0
ISKEGP,5,20250728,101500,0.400729,0.400729,0.400481,0.400491,0,0
ISKEGP,5,20250728,102000,0.400589,0.400926,0.400589,0.400926,0,0
ISKEGP,5,20250728,102500,0.400942,0.400978,0.400705,0.400705,0,0
ISKEGP,5,20250728,103000,0.400696,0.40092,0.400696,0.40092,0,0
ISKEGP,5,20250728,103500,0.400933,0.400946,0.400728,0.400728,0,0
ISKEGP,5,20250728,104000,0.400705,0.400705,0.40043,0.40043,0,0
ISKEGP,5,20250728,104500,0.400446,0.400608,0.400403,0.400608,0,0
ISKEGP,5,20250728,105000,0.400621,0.400621,0.400539,0.400554,0,0
ISKEGP,5,20250728,105500,0.400537,0.400758,0.400537,0.400758,0,0
ISKEGP,5,20250728,110000,0.400791,0.400818,0.400785,0.400785,0,0
ISKEGP,5,20250728,110500,0.400622,0.400632,0.400569,0.400632,0,0
ISKEGP,5,20250728,111000,0.400594,0.400627,0.400594,0.400604,0,0
ISKEGP,5,20250728,111500,0.400607,0.400607,0.400558,0.400571,0,0
ISKEGP,5,20250728,112000,0.400601,0.400808,0.400601,0.400808,0,0
ISKEGP,5,20250728,112500,0.400742,0.400742,0.400514,0.400514,0,0
ISKEGP,5,20250728,113000,0.400495,0.400552,0.400462,0.400552,0,0
ISKEGP,5,20250728,113500,0.40049,0.40049,0.40021,0.400306,0,0
ISKEGP,5,20250728,114000,0.400296,0.400421,0.400296,0.400421,0,0
ISKEGP,5,20250728,114500,0.400219,0.400233,0.400219,0.400233,0,0
ISKEGP,5,20250728,115000,0.400168,0.400201,0.400138,0.400201,0,0
ISKEGP,5,20250728,115500,0.400151,0.400198,0.400132,0.400169,0,0
ISKEGP,5,20250728,120000,0.400342,0.400486,0.400195,0.400299,0,0
ISKEGP,5,20250728,120500,0.400164,0.400191,0.400155,0.400155,0,0
ISKEGP,5,20250728,121000,0.400145,0.400219,0.400094,0.400219,0,0
ISKEGP,5,20250728,121500,0.400225,0.400315,0.400225,0.400315,0,0
ISKEGP,5,20250728,122000,0.400292,0.400292,0.399994,0.399994,0,0
ISKEGP,5,20250728,122500,0.399912,0.399993,0.399872,0.399993,0,0
ISKEGP,5,20250728,123000,0.4,0.400141,0.4,0.400138,0,0
ISKEGP,5,20250728,123500,0.400122,0.400135,0.400102,0.400102,0,0
ISKEGP,5,20250728,124000,0.400173,0.400294,0.400173,0.40024,0,0
ISKEGP,5,20250728,124500,0.400233,0.400233,0.400053,0.400053,0,0
ISKEGP,5,20250728,125000,0.400057,0.400057,0.400004,0.400014,0,0
ISKEGP,5,20250728,125500,0.400022,0.400078,0.400022,0.400052,0,0
ISKEGP,5,20250728,130000,0.400036,0.400036,0.399878,0.399878,0,0
ISKEGP,5,20250728,130500,0.399885,0.399927,0.399835,0.399851,0,0
ISKEGP,5,20250728,131000,0.399822,0.399822,0.399571,0.399597,0,0
ISKEGP,5,20250728,131500,0.399604,0.399604,0.399496,0.399496,0,0
ISKEGP,5,20250728,132000,0.399477,0.399527,0.39947,0.399527,0,0
ISKEGP,5,20250728,132500,0.399448,0.399665,0.399383,0.399665,0,0
ISKEGP,5,20250729,090000,0.395794,0.395977,0.395794,0.395939,0,0
ISKEGP,5,20250729,090500,0.39601,0.396042,0.395849,0.395849,0,0
ISKEGP,5,20250729,091000,0.395791,0.395791,0.395133,0.395229,0,0
ISKEGP,5,20250729,091500,0.39512,0.395275,0.39512,0.395275,0,0
ISKEGP,5,20250729,092000,0.395307,0.395628,0.395307,0.395628,0,0
ISKEGP,5,20250729,092500,0.395596,0.395615,0.395312,0.395312,0,0
ISKEGP,5,20250729,093000,0.395232,0.395302,0.395159,0.395254,0,0
ISKEGP,5,20250729,093500,0.395391,0.395433,0.39525,0.39525,0,0
ISKEGP,5,20250729,094000,0.395282,0.395419,0.395282,0.395419,0,0
ISKEGP,5,20250729,094500,0.395473,0.39559,0.395455,0.39559,0,0
ISKEGP,5,20250729,095000,0.395613,0.39576,0.395573,0.395644,0,0
ISKEGP,5,20250729,095500,0.39563,0.395726,0.395598,0.395726,0,0
ISKEGP,5,20250729,100000,0.395742,0.395955,0.395742,0.395955,0,0
ISKEGP,5,20250729,100500,0.396083,0.396235,0.396055,0.396141,0,0
ISKEGP,5,20250729,101000,0.396187,0.396187,0.396095,0.396147,0,0
ISKEGP,5,20250729,101500,0.396237,0.396307,0.396237,0.396307,0,0
ISKEGP,5,20250729,102000,0.396372,0.396385,0.396333,0.396336,0,0
ISKEGP,5,20250729,102500,0.39631,0.396317,0.396244,0.396244,0,0
ISKEGP,5,20250729,103000,0.39626,0.396266,0.396153,0.396266,0,0
ISKEGP,5,20250729,103500,0.396275,0.39637,0.396275,0.396295,0,0
ISKEGP,5,20250729,104000,0.396283,0.396316,0.39627,0.396313,0,0
ISKEGP,5,20250729,104500,0.396329,0.396329,0.395859,0.395859,0,0
ISKEGP,5,20250729,105000,0.395865,0.396213,0.395865,0.396213,0,0
ISKEGP,5,20250729,105500,0.396184,0.396316,0.39618,0.396316,0,0
ISKEGP,5,20250729,110000,0.396432,0.396483,0.396262,0.396262,0,0
ISKEGP,5,20250729,110500,0.396224,0.396328,0.396146,0.396176,0,0
ISKEGP,5,20250729,111000,0.396212,0.396305,0.396092,0.396121,0,0
ISKEGP,5,20250729,111500,0.396163,0.396453,0.396163,0.396453,0,0
ISKEGP,5,20250729,112000,0.396449,0.396651,0.396449,0.39657,0,0
ISKEGP,5,20250729,112500,0.396612,0.396612,0.396398,0.396436,0,0
ISKEGP,5,20250729,113000,0.396504,0.396598,0.396504,0.396598,0,0
ISKEGP,5,20250729,113500,0.396568,0.396568,0.396342,0.396342,0,0
ISKEGP,5,20250729,114000,0.396346,0.396441,0.396278,0.396441,0,0
ISKEGP,5,20250729,114500,0.396464,0.396515,0.396351,0.396351,0,0
ISKEGP,5,20250729,115000,0.396254,0.396279,0.396235,0.396235,0,0
ISKEGP,5,20250729,115500,0.3962,0.396254,0.396112,0.396112,0,0
ISKEGP,5,20250729,120000,0.396121,0.396138,0.396121,0.396138,0,0
ISKEGP,5,20250729,120500,0.396088,0.39612,0.396072,0.396088,0,0
ISKEGP,5,20250729,121000,0.396069,0.39616,0.396069,0.39616,0,0
ISKEGP,5,20250729,121500,0.396182,0.396366,0.396182,0.396366,0,0
ISKEGP,5,20250729,122000,0.396221,0.396221,0.396125,0.396125,0,0
ISKEGP,5,20250729,122500,0.396183,0.396452,0.396183,0.396452,0,0
ISKEGP,5,20250729,123000,0.39651,0.39651,0.396366,0.396366,0,0
ISKEGP,5,20250729,123500,0.396331,0.396331,0.396256,0.396331,0,0
ISKEGP,5,20250729,124000,0.396315,0.396315,0.396238,0.396238,0,0
ISKEGP,5,20250729,124500,0.396231,0.396242,0.396215,0.396242,0,0
ISKEGP,5,20250729,125000,0.396209,0.396269,0.396138,0.396269,0,0
ISKEGP,5,20250729,125500,0.39623,0.396246,0.396227,0.396237,0,0
ISKEGP,5,20250729,130000,0.396059,0.396059,0.395946,0.395946,0,0
ISKEGP,5,20250729,130500,0.395931,0.395931,0.395789,0.395789,0,0
ISKEGP,5,20250729,131000,0.395775,0.395994,0.395772,0.395994,0,0
ISKEGP,5,20250729,131500,0.395978,0.396001,0.395894,0.395894,0,0
ISKEGP,5,20250729,132000,0.395823,0.395974,0.395703,0.395703,0,0
ISKEGP,5,20250729,132500,0.395687,0.395687,0.395606,0.395606,0,0
ISKEGP,5,20250730,090000,0.395471,0.395561,0.395471,0.395561,0,0
ISKEGP,5,20250730,090500,0.395548,0.39599,0.395548,0.39599,0,0
ISKEGP,5,20250730,091000,0.396041,0.396041,0.395735,0.395748,0,0
ISKEGP,5,20250730,091500,0.395902,0.395909,0.395857,0.395857,0,0
