<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
JPYTHB,5,20250728,000000,0.218763,0.219046,0.218688,0.218805,0,0
JPYTHB,5,20250728,000500,0.218808,0.218896,0.218715,0.218826,0,0
JPYTHB,5,20250728,001000,0.218802,0.219196,0.21879,0.219178,0,0
JPYTHB,5,20250728,001500,0.219177,0.219353,0.218983,0.219177,0,0
JPYTHB,5,20250728,002000,0.219179,0.219307,0.219031,0.219055,0,0
JPYTHB,5,20250728,002500,0.219055,0.219312,0.219019,0.219188,0,0
JPYTHB,5,20250728,003000,0.219188,0.219206,0.21891,0.218968,0,0
JPYTHB,5,20250728,003500,0.218968,0.219016,0.218891,0.218924,0,0
JPYTHB,5,20250728,004000,0.218924,0.218925,0.218736,0.218873,0,0
JPYTHB,5,20250728,004500,0.218872,0.218873,0.218729,0.218813,0,0
JPYTHB,5,20250728,005000,0.218807,0.218863,0.218733,0.21886,0,0
JPYTHB,5,20250728,005500,0.218851,0.218854,0.218654,0.218654,0,0
JPYTHB,5,20250728,010000,0.218656,0.219282,0.218656,0.219273,0,0
JPYTHB,5,20250728,010500,0.219275,0.219402,0.219212,0.219373,0,0
JPYTHB,5,20250728,011000,0.219373,0.219414,0.218918,0.219045,0,0
JPYTHB,5,20250728,011500,0.219045,0.219382,0.218925,0.219267,0,0
JPYTHB,5,20250728,012000,0.219265,0.219441,0.21925,0.219435,0,0
JPYTHB,5,20250728,012500,0.219435,0.219496,0.219207,0.219253,0,0
JPYTHB,5,20250728,013000,0.219253,0.219405,0.219253,0.219275,0,0
JPYTHB,5,20250728,013500,0.21927,0.219447,0.219267,0.219362,0,0
JPYTHB,5,20250728,014000,0.219361,0.219361,0.219073,0.21911,0,0
JPYTHB,5,20250728,014500,0.219109,0.219313,0.21906,0.219155,0,0
JPYTHB,5,20250728,015000,0.219148,0.219334,0.219128,0.219137,0,0
JPYTHB,5,20250728,015500,0.219135,0.219385,0.219135,0.21925,0,0
JPYTHB,5,20250728,020000,0.21925,0.219514,0.21925,0.219464,0,0
JPYTHB,5,20250728,020500,0.219464,0.219464,0.219248,0.21932,0,0
JPYTHB,5,20250728,021000,0.21932,0.220459,0.219266,0.219328,0,0
JPYTHB,5,20250728,021500,0.219331,0.220737,0.219308,0.219338,0,0
JPYTHB,5,20250728,022000,0.219341,0.21995,0.219231,0.219924,0,0
JPYTHB,5,20250728,022500,0.21992,0.220708,0.219199,0.219202,0,0
JPYTHB,5,20250728,023000,0.219197,0.220475,0.219197,0.220475,0,0
JPYTHB,5,20250728,023500,0.220454,0.220807,0.219407,0.219425,0,0
