<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NOK_I,5,20250728,000000,54.5407,54.5496,54.4597,54.4715,0,0
NOK_I,5,20250728,000500,54.4644,54.4721,54.4211,54.4211,0,0
NOK_I,5,20250728,001000,54.4358,54.45,54.418,54.4407,0,0
NOK_I,5,20250728,001500,54.4393,54.4458,54.422,54.4399,0,0
NOK_I,5,20250728,002000,54.4401,54.4401,54.4073,54.4241,0,0
NOK_I,5,20250728,002500,54.4315,54.4468,54.4162,54.4354,0,0
NOK_I,5,20250728,003000,54.4397,54.4397,54.3746,54.3771,0,0
NOK_I,5,20250728,003500,54.3769,54.3949,54.3674,54.3795,0,0
NOK_I,5,20250728,004000,54.3757,54.3911,54.3292,54.346,0,0
NOK_I,5,20250728,004500,54.3552,54.3714,54.3418,54.3644,0,0
NOK_I,5,20250728,005000,54.3677,54.3733,54.3607,54.371,0,0
NOK_I,5,20250728,005500,54.3709,54.3797,54.361,54.3702,0,0
NOK_I,5,20250728,010000,54.3817,54.3817,54.3523,54.3578,0,0
NOK_I,5,20250728,010500,54.3579,54.3783,54.3437,54.3737,0,0
NOK_I,5,20250728,011000,54.3688,54.3718,54.3528,54.3675,0,0
NOK_I,5,20250728,011500,54.3607,54.3673,54.348,54.3594,0,0
NOK_I,5,20250728,012000,54.3587,54.3791,54.3555,54.3634,0,0
NOK_I,5,20250728,012500,54.365,54.3915,54.3601,54.3843,0,0
NOK_I,5,20250728,013000,54.3989,54.3989,54.3675,54.3874,0,0
NOK_I,5,20250728,013500,54.3822,54.3902,54.3605,54.3895,0,0
NOK_I,5,20250728,014000,54.3841,54.4053,54.3658,54.3941,0,0
NOK_I,5,20250728,014500,54.391,54.4012,54.3577,54.3884,0,0
NOK_I,5,20250728,015000,54.3865,54.3949,54.3669,54.3684,0,0
NOK_I,5,20250728,015500,54.3681,54.375,54.3585,54.3688,0,0
NOK_I,5,20250728,020000,54.372,54.3842,54.3679,54.3839,0,0
NOK_I,5,20250728,020500,54.3856,54.3856,54.3577,54.3618,0,0
NOK_I,5,20250728,021000,54.3669,54.3685,54.354,54.3683,0,0
NOK_I,5,20250728,021500,54.3677,54.3769,54.3575,54.3586,0,0
NOK_I,5,20250728,022000,54.3637,54.3704,54.36,54.3699,0,0
NOK_I,5,20250728,022500,54.3705,54.3718,54.3574,54.3599,0,0
NOK_I,5,20250728,023000,54.3602,54.3623,54.3459,54.3484,0,0
NOK_I,5,20250728,023500,54.3491,54.3532,54.34,54.3429,0,0
NOK_I,5,20250728,024000,54.3442,54.3453,54.3394,54.3413,0,0
NOK_I,5,20250728,024500,54.3412,54.3472,54.3364,54.3402,0,0
NOK_I,5,20250728,025000,54.3448,54.3516,54.339,54.3432,0,0
NOK_I,5,20250728,025500,54.3446,54.3843,54.3446,54.3628,0,0
NOK_I,5,20250728,030000,54.3634,54.3786,54.3602,54.3737,0,0
NOK_I,5,20250728,030500,54.3692,54.3771,54.3668,54.3735,0,0
NOK_I,5,20250728,031000,54.371,54.383,54.3692,54.3731,0,0
NOK_I,5,20250728,031500,54.3735,54.3832,54.3529,54.3564,0,0
NOK_I,5,20250728,032000,54.357,54.357,54.3478,54.3522,0,0
NOK_I,5,20250728,032500,54.3548,54.3614,54.3492,54.3547,0,0
NOK_I,5,20250728,033000,54.3553,54.3589,54.3379,54.3402,0,0
NOK_I,5,20250728,033500,54.3378,54.3434,54.333,54.3375,0,0
NOK_I,5,20250728,034000,54.3333,54.3501,54.3272,54.3288,0,0
NOK_I,5,20250728,034500,54.3306,54.3437,54.3306,54.3367,0,0
NOK_I,5,20250728,035000,54.3376,54.3404,54.3238,54.3394,0,0
NOK_I,5,20250728,035500,54.3359,54.3414,54.3269,54.3279,0,0
NOK_I,5,20250728,040000,54.3273,54.3352,54.3244,54.3254,0,0
NOK_I,5,20250728,040500,54.3264,54.3314,54.3176,54.3258,0,0
NOK_I,5,20250728,041000,54.3235,54.325,54.3165,54.3171,0,0
NOK_I,5,20250728,041500,54.3173,54.3228,54.3128,54.3163,0,0
NOK_I,5,20250728,042000,54.3175,54.3218,54.3143,54.3218,0,0
NOK_I,5,20250728,042500,54.3202,54.3268,54.3195,54.3203,0,0
NOK_I,5,20250728,043000,54.3205,54.3348,54.3205,54.331,0,0
NOK_I,5,20250728,043500,54.3298,54.3409,54.3297,54.3388,0,0
NOK_I,5,20250728,044000,54.3386,54.3394,54.3327,54.3383,0,0
NOK_I,5,20250728,044500,54.337,54.3557,54.337,54.3545,0,0
NOK_I,5,20250728,045000,54.3552,54.3552,54.3441,54.3458,0,0
NOK_I,5,20250728,045500,54.3466,54.3526,54.3413,54.343,0,0
NOK_I,5,20250728,050000,54.3427,54.3445,54.3386,54.3396,0,0
NOK_I,5,20250728,050500,54.3429,54.3433,54.336,54.336,0,0
NOK_I,5,20250728,051000,54.3358,54.3446,54.3347,54.3393,0,0
NOK_I,5,20250728,051500,54.3401,54.3401,54.3323,54.3336,0,0
NOK_I,5,20250728,052000,54.3337,54.3341,54.3233,54.329,0,0
NOK_I,5,20250728,052500,54.3299,54.3482,54.3293,54.3354,0,0
NOK_I,5,20250728,053000,54.3353,54.3432,54.332,54.3346,0,0
NOK_I,5,20250728,053500,54.3341,54.3395,54.3296,54.3365,0,0
NOK_I,5,20250728,054000,54.3357,54.3385,54.3294,54.3368,0,0
NOK_I,5,20250728,054500,54.337,54.3407,54.3289,54.3289,0,0
NOK_I,5,20250728,055000,54.3284,54.3284,54.3191,54.322,0,0
NOK_I,5,20250728,055500,54.3223,54.3298,54.3205,54.3225,0,0
NOK_I,5,20250728,060000,54.323,54.3296,54.3153,54.3234,0,0
NOK_I,5,20250728,060500,54.3238,54.3257,54.3153,54.3228,0,0
NOK_I,5,20250728,061000,54.3231,54.3253,54.3145,54.3171,0,0
NOK_I,5,20250728,061500,54.3177,54.3254,54.3169,54.3239,0,0
NOK_I,5,20250728,062000,54.3241,54.3241,54.3156,54.3163,0,0
NOK_I,5,20250728,062500,54.3157,54.3187,54.3141,54.3141,0,0
NOK_I,5,20250728,063000,54.3127,54.3149,54.3074,54.3096,0,0
NOK_I,5,20250728,063500,54.309,54.3138,54.3081,54.3121,0,0
NOK_I,5,20250728,064000,54.3131,54.3145,54.3061,54.3083,0,0
NOK_I,5,20250728,064500,54.3079,54.3165,54.3074,54.313,0,0
NOK_I,5,20250728,065000,54.3138,54.3152,54.3067,54.3138,0,0
NOK_I,5,20250728,065500,54.3137,54.3153,54.3098,54.3123,0,0
NOK_I,5,20250728,070000,54.3121,54.3175,54.3121,54.3164,0,0
NOK_I,5,20250728,070500,54.3161,54.3173,54.3059,54.3063,0,0
NOK_I,5,20250728,071000,54.3055,54.3092,54.3055,54.3063,0,0
NOK_I,5,20250728,071500,54.3064,54.3079,54.3019,54.3068,0,0
NOK_I,5,20250728,072000,54.3073,54.3073,54.3021,54.3021,0,0
NOK_I,5,20250728,072500,54.3026,54.3062,54.3011,54.3061,0,0
NOK_I,5,20250728,073000,54.306,54.306,54.3011,54.3022,0,0
NOK_I,5,20250728,073500,54.3023,54.3098,54.3018,54.3089,0,0
NOK_I,5,20250728,074000,54.3086,54.3102,54.3007,54.3018,0,0
