<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NOKCHF,5,20250728,000000,0.0786939,0.0786939,0.0785368,0.0785594,0,0
NOKCHF,5,20250728,000500,0.0785602,0.0785777,0.0785136,0.0785145,0,0
NOKCHF,5,20250728,001000,0.078534,0.0785657,0.0785105,0.0785473,0,0
NOKCHF,5,20250728,001500,0.0785456,0.0785508,0.0785165,0.0785451,0,0
NOKCHF,5,20250728,002000,0.0785402,0.0785404,0.0784869,0.0785144,0,0
NOKCHF,5,20250728,002500,0.078524,0.0785464,0.0784996,0.0785275,0,0
NOKCHF,5,20250728,003000,0.0785339,0.0785341,0.0784378,0.0784418,0,0
NOKCHF,5,20250728,003500,0.0784432,0.0784697,0.0784314,0.0784461,0,0
NOKCHF,5,20250728,004000,0.0784413,0.0784648,0.0783798,0.0784016,0,0
NOKCHF,5,20250728,004500,0.0784137,0.0784387,0.0783919,0.0784307,0,0
NOKCHF,5,20250728,005000,0.0784359,0.0784449,0.0784253,0.0784399,0,0
NOKCHF,5,20250728,005500,0.0784399,0.0784525,0.0784306,0.0784452,0,0
NOKCHF,5,20250728,010000,0.0784601,0.0784635,0.0784303,0.0784378,0,0
NOKCHF,5,20250728,010500,0.0784378,0.078476,0.0784285,0.0784613,0,0
NOKCHF,5,20250728,011000,0.0784542,0.0784601,0.0784366,0.0784581,0,0
NOKCHF,5,20250728,011500,0.0784518,0.0784625,0.0784392,0.0784533,0,0
NOKCHF,5,20250728,012000,0.0784526,0.0784792,0.078443,0.0784555,0,0
NOKCHF,5,20250728,012500,0.0784564,0.078493,0.078447,0.0784807,0,0
NOKCHF,5,20250728,013000,0.0785017,0.0785017,0.0784554,0.0784843,0,0
NOKCHF,5,20250728,013500,0.0784772,0.0784946,0.0784506,0.0784945,0,0
NOKCHF,5,20250728,014000,0.0784866,0.0785158,0.0784603,0.0785,0,0
NOKCHF,5,20250728,014500,0.0784955,0.078513,0.0784472,0.0784945,0,0
NOKCHF,5,20250728,015000,0.0784932,0.078505,0.0784584,0.0784628,0,0
NOKCHF,5,20250728,015500,0.0784631,0.0784677,0.0784456,0.0784584,0,0
NOKCHF,5,20250728,020000,0.0784597,0.0784756,0.0784523,0.0784688,0,0
NOKCHF,5,20250728,020500,0.078472,0.078472,0.0784231,0.0784318,0,0
NOKCHF,5,20250728,021000,0.0784378,0.0784424,0.0784204,0.0784368,0,0
NOKCHF,5,20250728,021500,0.0784335,0.0784487,0.0784207,0.0784232,0,0
NOKCHF,5,20250728,022000,0.0784329,0.0784485,0.0784277,0.0784485,0,0
NOKCHF,5,20250728,022500,0.0784487,0.0784512,0.0784294,0.078433,0,0
NOKCHF,5,20250728,023000,0.0784334,0.0784365,0.0784042,0.0784071,0,0
NOKCHF,5,20250728,023500,0.0784072,0.0784148,0.0783886,0.078393,0,0
NOKCHF,5,20250728,024000,0.0783947,0.0784013,0.0783892,0.0783996,0,0
NOKCHF,5,20250728,024500,0.0783999,0.0784158,0.0783953,0.0783989,0,0
NOKCHF,5,20250728,025000,0.0784074,0.0784208,0.0784027,0.0784117,0,0
NOKCHF,5,20250728,025500,0.0784183,0.0784696,0.0784183,0.0784376,0,0
NOKCHF,5,20250728,030000,0.0784387,0.0784581,0.0784257,0.0784536,0,0
NOKCHF,5,20250728,030500,0.078451,0.0784702,0.0784493,0.0784646,0,0
NOKCHF,5,20250728,031000,0.0784609,0.0784821,0.0784604,0.0784721,0,0
NOKCHF,5,20250728,031500,0.0784716,0.0784852,0.0784331,0.0784357,0,0
NOKCHF,5,20250728,032000,0.0784372,0.0784398,0.0784276,0.0784318,0,0
NOKCHF,5,20250728,032500,0.078435,0.0784453,0.0784261,0.0784373,0,0
NOKCHF,5,20250728,033000,0.0784381,0.0784424,0.0784128,0.0784162,0,0
NOKCHF,5,20250728,033500,0.078412,0.078424,0.0783912,0.0783967,0,0
NOKCHF,5,20250728,034000,0.0783905,0.0784128,0.0783854,0.0783889,0,0
NOKCHF,5,20250728,034500,0.0783914,0.0784147,0.0783914,0.0784003,0,0
NOKCHF,5,20250728,035000,0.0784039,0.0784101,0.0783833,0.0784053,0,0
NOKCHF,5,20250728,035500,0.0784005,0.0784099,0.0783932,0.0783943,0,0
NOKCHF,5,20250728,040000,0.0783932,0.0784056,0.0783904,0.0783958,0,0
NOKCHF,5,20250728,040500,0.0783982,0.0784074,0.0783895,0.0784043,0,0
NOKCHF,5,20250728,041000,0.0784009,0.078406,0.0783884,0.0783911,0,0
NOKCHF,5,20250728,041500,0.0783912,0.0783974,0.0783832,0.0783902,0,0
NOKCHF,5,20250728,042000,0.0783926,0.0783937,0.0783823,0.0783937,0,0
NOKCHF,5,20250728,042500,0.0783906,0.0784047,0.0783906,0.0783971,0,0
NOKCHF,5,20250728,043000,0.0783982,0.0784176,0.0783972,0.0784117,0,0
NOKCHF,5,20250728,043500,0.0784109,0.0784257,0.0784091,0.0784205,0,0
NOKCHF,5,20250728,044000,0.07842,0.0784202,0.0784107,0.0784147,0,0
NOKCHF,5,20250728,044500,0.0784131,0.0784364,0.0784079,0.0784361,0,0
NOKCHF,5,20250728,045000,0.0784368,0.0784368,0.078417,0.0784302,0,0
NOKCHF,5,20250728,045500,0.0784306,0.0784399,0.0784198,0.0784235,0,0
NOKCHF,5,20250728,050000,0.078423,0.0784276,0.0784197,0.0784208,0,0
NOKCHF,5,20250728,050500,0.0784252,0.0784259,0.0784098,0.0784121,0,0
NOKCHF,5,20250728,051000,0.0784117,0.0784198,0.0784059,0.0784126,0,0
NOKCHF,5,20250728,051500,0.0784104,0.0784142,0.0784037,0.0784107,0,0
NOKCHF,5,20250728,052000,0.0784114,0.0784116,0.078392,0.0783972,0,0
NOKCHF,5,20250728,052500,0.0783987,0.0784252,0.0783987,0.0784041,0,0
NOKCHF,5,20250728,053000,0.0784043,0.0784108,0.0783926,0.078395,0,0
NOKCHF,5,20250728,053500,0.0783943,0.0784038,0.0783831,0.0783891,0,0
NOKCHF,5,20250728,054000,0.0783878,0.0783927,0.0783715,0.0783912,0,0
NOKCHF,5,20250728,054500,0.0783912,0.0783977,0.07838,0.0783808,0,0
NOKCHF,5,20250728,055000,0.0783804,0.0783804,0.0783642,0.0783677,0,0
NOKCHF,5,20250728,055500,0.0783684,0.0783781,0.078365,0.0783659,0,0
NOKCHF,5,20250728,060000,0.0783667,0.0783743,0.0783545,0.0783639,0,0
NOKCHF,5,20250728,060500,0.0783646,0.0783677,0.0783526,0.0783657,0,0
NOKCHF,5,20250728,061000,0.0783658,0.0783718,0.078357,0.078357,0,0
NOKCHF,5,20250728,061500,0.0783579,0.0783678,0.0783566,0.0783642,0,0
NOKCHF,5,20250728,062000,0.0783641,0.0783648,0.0783525,0.0783551,0,0
NOKCHF,5,20250728,062500,0.0783543,0.0783601,0.0783531,0.0783534,0,0
NOKCHF,5,20250728,063000,0.0783514,0.0783536,0.0783417,0.0783444,0,0
NOKCHF,5,20250728,063500,0.0783411,0.07836,0.0783377,0.0783564,0,0
NOKCHF,5,20250728,064000,0.0783566,0.0783599,0.0783469,0.0783526,0,0
NOKCHF,5,20250728,064500,0.0783509,0.0783603,0.0783489,0.0783554,0,0
NOKCHF,5,20250728,065000,0.0783562,0.0783618,0.0783483,0.0783589,0,0
NOKCHF,5,20250728,065500,0.0783589,0.0783686,0.0783549,0.0783676,0,0
NOKCHF,5,20250728,070000,0.0783673,0.0783745,0.0783668,0.0783734,0,0
NOKCHF,5,20250728,070500,0.0783733,0.0783777,0.0783572,0.0783616,0,0
NOKCHF,5,20250728,071000,0.0783606,0.0783634,0.0783546,0.0783546,0,0
NOKCHF,5,20250728,071500,0.0783546,0.0783665,0.0783505,0.0783579,0,0
NOKCHF,5,20250728,072000,0.078358,0.078358,0.0783478,0.0783519,0,0
NOKCHF,5,20250728,072500,0.0783523,0.0783557,0.0783472,0.0783541,0,0
NOKCHF,5,20250728,073000,0.0783541,0.0783541,0.0783393,0.0783393,0,0
NOKCHF,5,20250728,073500,0.0783391,0.0783564,0.0783379,0.0783564,0,0
NOKCHF,5,20250728,074000,0.0783544,0.0783581,0.0783399,0.078341,0,0
NOKCHF,5,20250728,074500,0.0783396,0.078354,0.078334,0.078354,0,0
NOKCHF,5,20250728,075000,0.078353,0.078372,0.0783496,0.0783656,0,0
NOKCHF,5,20250728,075500,0.0783678,0.0783775,0.0783422,0.0783504,0,0
NOKCHF,5,20250728,080000,0.0783576,0.0783698,0.0783305,0.078353,0,0
NOKCHF,5,20250728,080500,0.0783494,0.078391,0.0783494,0.0783891,0,0
NOKCHF,5,20250728,081000,0.0783893,0.0784082,0.0783632,0.0784054,0,0
NOKCHF,5,20250728,081500,0.0784008,0.078409,0.0783696,0.078371,0,0
NOKCHF,5,20250728,082000,0.0783705,0.0783795,0.0783316,0.0783533,0,0
NOKCHF,5,20250728,082500,0.0783554,0.0783633,0.0783337,0.0783523,0,0
NOKCHF,5,20250728,083000,0.078351,0.0783654,0.0783401,0.0783598,0,0
NOKCHF,5,20250728,083500,0.078363,0.0783919,0.0783555,0.0783919,0,0
NOKCHF,5,20250728,084000,0.0783904,0.078394,0.0783569,0.0783706,0,0
NOKCHF,5,20250728,084500,0.078371,0.0783866,0.0783594,0.0783641,0,0
NOKCHF,5,20250728,085000,0.0783671,0.0783709,0.0783306,0.0783385,0,0
NOKCHF,5,20250728,085500,0.0783337,0.0783366,0.0782523,0.0782643,0,0
NOKCHF,5,20250728,090000,0.0782686,0.0783184,0.0782624,0.0783097,0,0
NOKCHF,5,20250728,090500,0.0783104,0.0783104,0.0782717,0.0782858,0,0
NOKCHF,5,20250728,091000,0.0782862,0.0782993,0.0782566,0.078261,0,0
NOKCHF,5,20250728,091500,0.0782613,0.0782902,0.0782613,0.0782887,0,0
NOKCHF,5,20250728,092000,0.078292,0.0783392,0.0782886,0.078296,0,0
NOKCHF,5,20250728,092500,0.0783061,0.0783087,0.078253,0.078253,0,0
NOKCHF,5,20250728,093000,0.0782469,0.0782469,0.0781232,0.0781688,0,0
NOKCHF,5,20250728,093500,0.0781698,0.0781982,0.0781609,0.0781768,0,0
NOKCHF,5,20250728,094000,0.0781754,0.0781962,0.0781698,0.0781877,0,0
NOKCHF,5,20250728,094500,0.0781924,0.0782495,0.0781924,0.0782493,0,0
NOKCHF,5,20250728,095000,0.0782558,0.0782623,0.0782428,0.0782574,0,0
NOKCHF,5,20250728,095500,0.0782567,0.0782856,0.0782385,0.0782597,0,0
NOKCHF,5,20250728,100000,0.0782602,0.07827,0.0782229,0.078237,0,0
NOKCHF,5,20250728,100500,0.0782367,0.0782528,0.0782083,0.0782137,0,0
NOKCHF,5,20250728,101000,0.0782169,0.0782476,0.0782033,0.078207,0,0
NOKCHF,5,20250728,101500,0.078207,0.0782426,0.0781935,0.0782055,0,0
NOKCHF,5,20250728,102000,0.0782054,0.0782697,0.0782054,0.0782441,0,0
NOKCHF,5,20250728,102500,0.0782442,0.0782719,0.0782352,0.0782613,0,0
NOKCHF,5,20250728,103000,0.0782599,0.0782761,0.0782412,0.0782742,0,0
NOKCHF,5,20250728,103500,0.0782756,0.0783031,0.0782684,0.0782932,0,0
NOKCHF,5,20250728,104000,0.0782946,0.0783092,0.0782753,0.0783092,0,0
NOKCHF,5,20250728,104500,0.0783053,0.0783266,0.0782973,0.0783004,0,0
NOKCHF,5,20250728,105000,0.0783016,0.0783461,0.0783011,0.0783461,0,0
NOKCHF,5,20250728,105500,0.078353,0.0783949,0.078353,0.078385,0,0
NOKCHF,5,20250728,110000,0.0783819,0.0784136,0.0783815,0.0783884,0,0
NOKCHF,5,20250728,110500,0.0783888,0.0783999,0.0783598,0.0783895,0,0
NOKCHF,5,20250728,111000,0.0783946,0.0784307,0.0783865,0.0784071,0,0
NOKCHF,5,20250728,111500,0.078405,0.0784132,0.0783721,0.0783941,0,0
NOKCHF,5,20250728,112000,0.0783945,0.0784044,0.0783823,0.0784024,0,0
NOKCHF,5,20250728,112500,0.0784003,0.0784251,0.0783965,0.0783995,0,0
NOKCHF,5,20250728,113000,0.0783983,0.0784309,0.0783914,0.0784309,0,0
NOKCHF,5,20250728,113500,0.0784343,0.0784394,0.0784079,0.0784175,0,0
NOKCHF,5,20250728,114000,0.0784223,0.078443,0.0784162,0.0784208,0,0
NOKCHF,5,20250728,114500,0.0784213,0.0784539,0.0784187,0.0784527,0,0
NOKCHF,5,20250728,115000,0.0784559,0.0784705,0.0784421,0.0784676,0,0
NOKCHF,5,20250728,115500,0.078467,0.0784807,0.0784489,0.0784655,0,0
NOKCHF,5,20250728,120000,0.0784638,0.0785076,0.0784527,0.0785076,0,0
NOKCHF,5,20250728,120500,0.0785056,0.0785325,0.0784841,0.0785325,0,0
NOKCHF,5,20250728,121000,0.0785316,0.0785838,0.0785143,0.0785802,0,0
NOKCHF,5,20250728,121500,0.0785919,0.0785934,0.0785659,0.0785788,0,0
NOKCHF,5,20250728,122000,0.0785811,0.0785915,0.0785672,0.0785869,0,0
NOKCHF,5,20250728,122500,0.0785864,0.0786285,0.0785864,0.0786268,0,0
NOKCHF,5,20250728,123000,0.0786269,0.0786386,0.0785747,0.0786029,0,0
NOKCHF,5,20250728,123500,0.0786018,0.0786092,0.0785858,0.0785964,0,0
NOKCHF,5,20250728,124000,0.0785954,0.0786076,0.078571,0.0785711,0,0
NOKCHF,5,20250728,124500,0.078569,0.0785984,0.078569,0.0785984,0,0
NOKCHF,5,20250728,125000,0.0785971,0.0786142,0.0785945,0.0786002,0,0
NOKCHF,5,20250728,125500,0.0785991,0.0786133,0.0785769,0.0786071,0,0
NOKCHF,5,20250728,130000,0.0786046,0.0786579,0.0785954,0.0786451,0,0
NOKCHF,5,20250728,130500,0.0786441,0.0786482,0.0786123,0.0786156,0,0
NOKCHF,5,20250728,131000,0.0786152,0.0786386,0.0786145,0.0786287,0,0
NOKCHF,5,20250728,131500,0.0786334,0.0786616,0.0786229,0.0786432,0,0
NOKCHF,5,20250728,132000,0.0786448,0.0786514,0.0786287,0.0786294,0,0
NOKCHF,5,20250728,132500,0.0786325,0.0786581,0.0786195,0.078625,0,0
NOKCHF,5,20250728,133000,0.0786227,0.0786512,0.0786065,0.0786512,0,0
NOKCHF,5,20250728,133500,0.0786472,0.07868,0.0786467,0.0786751,0,0
NOKCHF,5,20250728,134000,0.0786777,0.0786852,0.078666,0.07867,0,0
NOKCHF,5,20250728,134500,0.0786712,0.0786878,0.0786712,0.0786813,0,0
NOKCHF,5,20250728,135000,0.0786877,0.0787128,0.0786822,0.0786859,0,0
NOKCHF,5,20250728,135500,0.0786852,0.0787074,0.0786758,0.0786853,0,0
NOKCHF,5,20250728,140000,0.0786855,0.0787216,0.0786825,0.0787152,0,0
NOKCHF,5,20250728,140500,0.0787121,0.0787172,0.0786765,0.0786915,0,0
NOKCHF,5,20250728,141000,0.0786893,0.0787231,0.0786893,0.0787177,0,0
NOKCHF,5,20250728,141500,0.0787127,0.078742,0.078708,0.078742,0,0
NOKCHF,5,20250728,142000,0.0787427,0.0787745,0.078738,0.0787745,0,0
NOKCHF,5,20250728,142500,0.0787741,0.0788065,0.0787729,0.0788059,0,0
NOKCHF,5,20250728,143000,0.0788059,0.0788263,0.0787864,0.0788017,0,0
NOKCHF,5,20250728,143500,0.0787941,0.0788209,0.0787743,0.0788138,0,0
NOKCHF,5,20250728,144000,0.0788126,0.0788315,0.0787834,0.0788281,0,0
NOKCHF,5,20250728,144500,0.0788285,0.0788505,0.078821,0.0788277,0,0
NOKCHF,5,20250728,145000,0.0788269,0.0788343,0.078805,0.0788137,0,0
NOKCHF,5,20250728,145500,0.078814,0.0788771,0.078812,0.0788576,0,0
NOKCHF,5,20250728,150000,0.0788543,0.0788956,0.0788528,0.0788956,0,0
NOKCHF,5,20250728,150500,0.0788967,0.078979,0.0788955,0.078979,0,0
NOKCHF,5,20250728,151000,0.0789788,0.0790105,0.0789673,0.0789922,0,0
NOKCHF,5,20250728,151500,0.0789913,0.0790018,0.0789524,0.0789703,0,0
NOKCHF,5,20250728,152000,0.0789669,0.0789669,0.0788725,0.0788879,0,0
NOKCHF,5,20250728,152500,0.0788811,0.0788883,0.0788643,0.0788722,0,0
NOKCHF,5,20250728,153000,0.0788715,0.0788943,0.0788422,0.0788832,0,0
NOKCHF,5,20250728,153500,0.0788835,0.0788899,0.0788492,0.0788636,0,0
NOKCHF,5,20250728,154000,0.0788632,0.078911,0.0788593,0.0789041,0,0
NOKCHF,5,20250728,154500,0.0789054,0.0789185,0.0788264,0.078844,0,0
NOKCHF,5,20250728,155000,0.0788456,0.0788761,0.0788419,0.0788495,0,0
NOKCHF,5,20250728,155500,0.0788466,0.078871,0.0788377,0.0788586,0,0
NOKCHF,5,20250728,160000,0.0788486,0.0789123,0.0788486,0.0788933,0,0
NOKCHF,5,20250728,160500,0.0788979,0.0789251,0.0788899,0.0788982,0,0
NOKCHF,5,20250728,161000,0.0788931,0.0788931,0.0788403,0.0788492,0,0
NOKCHF,5,20250728,161500,0.0788547,0.0788551,0.0788268,0.0788398,0,0
NOKCHF,5,20250728,162000,0.0788425,0.0788502,0.0788038,0.078811,0,0
NOKCHF,5,20250728,162500,0.0788075,0.0788262,0.0787782,0.0787782,0,0
NOKCHF,5,20250728,163000,0.0787785,0.0787831,0.0787134,0.0787182,0,0
NOKCHF,5,20250728,163500,0.078722,0.078759,0.0787161,0.0787585,0,0
NOKCHF,5,20250728,164000,0.0787583,0.0787786,0.0787411,0.078762,0,0
NOKCHF,5,20250728,164500,0.0787604,0.0787616,0.0787313,0.0787437,0,0
NOKCHF,5,20250728,165000,0.0787257,0.0787599,0.078705,0.0787599,0,0
NOKCHF,5,20250728,165500,0.0787611,0.0788189,0.0787611,0.0788071,0,0
NOKCHF,5,20250728,170000,0.0788057,0.0788167,0.0787781,0.0788012,0,0
NOKCHF,5,20250728,170500,0.0788055,0.0788151,0.0787915,0.0788012,0,0
NOKCHF,5,20250728,171000,0.0787883,0.0788121,0.0787805,0.0787832,0,0
NOKCHF,5,20250728,171500,0.0787842,0.07879,0.0787612,0.0787615,0,0
NOKCHF,5,20250728,172000,0.078766,0.0787943,0.0787497,0.0787943,0,0
NOKCHF,5,20250728,172500,0.0787976,0.0788315,0.0787909,0.0788045,0,0
NOKCHF,5,20250728,173000,0.0788071,0.0788071,0.0787858,0.0787984,0,0
NOKCHF,5,20250728,173500,0.0787965,0.0788061,0.0787693,0.0787693,0,0
NOKCHF,5,20250728,174000,0.0787708,0.0787804,0.0787596,0.078768,0,0
NOKCHF,5,20250728,174500,0.0787691,0.078799,0.0787654,0.0787937,0,0
NOKCHF,5,20250728,175000,0.0787915,0.0788034,0.0787788,0.0787924,0,0
NOKCHF,5,20250728,175500,0.0787919,0.0787942,0.0787782,0.0787837,0,0
NOKCHF,5,20250728,180000,0.078789,0.0788146,0.078781,0.0787985,0,0
NOKCHF,5,20250728,180500,0.0788052,0.0788146,0.0787875,0.0788146,0,0
NOKCHF,5,20250728,181000,0.0788128,0.0788158,0.078798,0.078814,0,0
NOKCHF,5,20250728,181500,0.0788188,0.0788188,0.0787983,0.0788042,0,0
NOKCHF,5,20250728,182000,0.0788068,0.0788148,0.0788007,0.0788011,0,0
NOKCHF,5,20250728,182500,0.0787978,0.0788201,0.0787907,0.0788166,0,0
NOKCHF,5,20250728,183000,0.0788166,0.0788183,0.0787968,0.0788032,0,0
NOKCHF,5,20250728,183500,0.0788034,0.0788569,0.0788005,0.0788452,0,0
NOKCHF,5,20250728,184000,0.0788398,0.0788407,0.0788159,0.0788188,0,0
NOKCHF,5,20250728,184500,0.0788181,0.0788181,0.0787894,0.0788046,0,0
NOKCHF,5,20250728,185000,0.0788062,0.0788286,0.0788062,0.0788286,0,0
NOKCHF,5,20250728,185500,0.0788295,0.0788378,0.0788058,0.0788126,0,0
NOKCHF,5,20250728,190000,0.078795,0.078814,0.0787854,0.0787862,0,0
NOKCHF,5,20250728,190500,0.0787893,0.0787945,0.0787681,0.0787681,0,0
NOKCHF,5,20250728,191000,0.07877,0.0787812,0.0787673,0.0787765,0,0
NOKCHF,5,20250728,191500,0.0787746,0.0787822,0.0787616,0.0787652,0,0
NOKCHF,5,20250728,192000,0.0787632,0.0787632,0.0787295,0.078734,0,0
NOKCHF,5,20250728,192500,0.078735,0.0787595,0.0787298,0.0787344,0,0
NOKCHF,5,20250728,193000,0.0787504,0.0787647,0.0787387,0.0787387,0,0
NOKCHF,5,20250728,193500,0.0787408,0.0787421,0.0787221,0.078724,0,0
NOKCHF,5,20250728,194000,0.0787221,0.0787231,0.0786834,0.0786933,0,0
NOKCHF,5,20250728,194500,0.0786917,0.0787003,0.0786728,0.0786728,0,0
NOKCHF,5,20250728,195000,0.0786776,0.0786924,0.0786737,0.0786924,0,0
NOKCHF,5,20250728,195500,0.0786917,0.0787263,0.0786913,0.0787215,0,0
NOKCHF,5,20250728,200000,0.0787228,0.0787249,0.078714,0.0787208,0,0
NOKCHF,5,20250728,200500,0.0787211,0.0787313,0.0787149,0.0787249,0,0
NOKCHF,5,20250728,201000,0.0787255,0.0787413,0.0787166,0.0787407,0,0
NOKCHF,5,20250728,201500,0.0787364,0.0787468,0.0787335,0.0787468,0,0
NOKCHF,5,20250728,202000,0.0787496,0.0787528,0.0787405,0.0787405,0,0
NOKCHF,5,20250728,202500,0.0787403,0.0787407,0.0787279,0.0787343,0,0
NOKCHF,5,20250728,203000,0.0787343,0.0787695,0.0787258,0.0787681,0,0
NOKCHF,5,20250728,203500,0.0787679,0.078786,0.0787631,0.0787802,0,0
NOKCHF,5,20250728,204000,0.0787811,0.0787935,0.0787797,0.0787914,0,0
NOKCHF,5,20250728,204500,0.0787918,0.0787938,0.0787856,0.0787922,0,0
NOKCHF,5,20250728,205000,0.0787956,0.0788039,0.0787885,0.0787924,0,0
NOKCHF,5,20250728,205500,0.0787945,0.0788089,0.0787878,0.0787898,0,0
NOKCHF,5,20250728,210000,0.0787892,0.0787928,0.0787728,0.0787758,0,0
NOKCHF,5,20250728,210500,0.0787769,0.0787777,0.078767,0.0787676,0,0
NOKCHF,5,20250728,211000,0.0787679,0.0787708,0.0787646,0.0787676,0,0
NOKCHF,5,20250728,211500,0.0787659,0.0787667,0.0787564,0.0787661,0,0
NOKCHF,5,20250728,212000,0.0787669,0.0787805,0.0787668,0.0787794,0,0
NOKCHF,5,20250728,212500,0.0787782,0.0787809,0.0787694,0.0787739,0,0
NOKCHF,5,20250728,213000,0.0787751,0.0787769,0.0787621,0.0787642,0,0
NOKCHF,5,20250728,213500,0.0787631,0.0787657,0.078757,0.078758,0,0
NOKCHF,5,20250728,214000,0.0787589,0.0787614,0.0787498,0.0787504,0,0
NOKCHF,5,20250728,214500,0.0787505,0.0787557,0.0787432,0.0787482,0,0
NOKCHF,5,20250728,215000,0.0787467,0.0787889,0.0787465,0.0787886,0,0
NOKCHF,5,20250728,215500,0.0787924,0.0788097,0.0787751,0.0787843,0,0
NOKCHF,5,20250728,220000,0.0787885,0.078813,0.0787885,0.0788125,0,0
NOKCHF,5,20250728,220500,0.078814,0.0788182,0.0788092,0.0788146,0,0
NOKCHF,5,20250728,221000,0.0788112,0.0788229,0.078808,0.0788183,0,0
NOKCHF,5,20250728,221500,0.0788191,0.0788226,0.0788153,0.078822,0,0
NOKCHF,5,20250728,222000,0.0788224,0.0788272,0.0788214,0.0788272,0,0
NOKCHF,5,20250728,222500,0.0788272,0.0788294,0.0788185,0.0788236,0,0
NOKCHF,5,20250728,223000,0.0788249,0.0788269,0.0788208,0.0788237,0,0
NOKCHF,5,20250728,223500,0.0788231,0.0788269,0.078821,0.0788237,0,0
NOKCHF,5,20250728,224000,0.0788233,0.0788264,0.0788208,0.0788228,0,0
NOKCHF,5,20250728,224500,0.0788244,0.0788357,0.0788243,0.0788255,0,0
NOKCHF,5,20250728,225000,0.0788204,0.0788265,0.078808,0.0788205,0,0
NOKCHF,5,20250728,225500,0.0788232,0.0788325,0.0787822,0.078797,0,0
NOKCHF,5,20250728,230000,0.0787948,0.0787948,0.0787258,0.0787415,0,0
NOKCHF,5,20250728,230500,0.0787337,0.0787769,0.0787288,0.0787563,0,0
NOKCHF,5,20250728,231000,0.0787622,0.0787789,0.0787088,0.0787088,0,0
NOKCHF,5,20250728,231500,0.0787393,0.0787503,0.078719,0.0787395,0,0
